,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
0,1,11:34.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),0,2
1,1,11:14.0,Turnover by C. Anthony (lost ball; steal by G. Antetokounmpo),,0,2
2,1,11:09.0,,E. Bledsoe makes 2-pt layup from 1 ft,0,4
3,1,10:58.0,A. Tolliver makes 3-pt jump shot from 27 ft (assist by C. McCollum),,3,4
4,1,10:41.0,,D. DiVincenzo makes 2-pt layup from 1 ft (assist by W. Matthews),3,6
5,1,10:30.0,C. McCollum misses 2-pt jump shot from 11 ft,,3,6
6,1,10:27.0,,Defensive rebound by G. Antetokounmpo,3,6
7,1,10:25.0,,Personal foul by R. Hood (drawn by G. Antetokounmpo),3,6
8,1,10:21.0,,Personal foul by C. Anthony (drawn by B. Lopez),3,6
9,1,10:17.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by B. Lopez),3,9
10,1,9:55.0,G. Trent makes 3-pt jump shot from 28 ft (assist by C. Anthony),,6,9
11,1,9:40.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by B. Lopez),6,12
12,1,9:29.0,A. Tolliver misses 3-pt jump shot from 31 ft,,6,12
13,1,9:26.0,,Defensive rebound by G. Antetokounmpo,6,12
14,1,9:20.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),6,15
15,1,9:05.0,C. Anthony misses 2-pt jump shot from 16 ft,,6,15
16,1,9:03.0,,Defensive rebound by G. Antetokounmpo,6,15
17,1,8:55.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),6,17
18,1,8:55.0,Portland full timeout,,6,17
19,1,8:44.0,C. McCollum makes 2-pt jump shot from 12 ft,,8,17
20,1,8:22.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,8,17
21,1,8:19.0,Defensive rebound by C. Anthony,,8,17
22,1,8:16.0,G. Trent misses 2-pt layup from 3 ft,,8,17
23,1,8:12.0,Offensive rebound by A. Tolliver,,8,17
24,1,8:12.0,A. Tolliver misses 2-pt layup at rim,,8,17
25,1,8:11.0,,Defensive rebound by D. DiVincenzo,8,17
26,1,8:06.0,,D. DiVincenzo misses 2-pt layup from 3 ft (block by G. Trent),8,17
27,1,8:02.0,,Offensive rebound by G. Antetokounmpo,8,17
28,1,8:01.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,8,19
29,1,7:54.0,C. McCollum makes 3-pt jump shot from 26 ft,,11,19
30,1,7:39.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,11,19
31,1,7:36.0,Defensive rebound by R. Hood,,11,19
32,1,7:33.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by R. Hood),,14,19
33,1,7:10.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,14,19
34,1,7:07.0,Defensive rebound by C. McCollum,,14,19
35,1,6:58.0,C. Anthony misses 2-pt jump shot from 15 ft,,14,19
36,1,6:55.0,,Defensive rebound by G. Antetokounmpo,14,19
37,1,6:50.0,,D. DiVincenzo misses 3-pt jump shot from 26 ft,14,19
38,1,6:48.0,Defensive rebound by C. McCollum,,14,19
39,1,6:41.0,C. McCollum makes 2-pt layup from 2 ft,,16,19
40,1,6:22.0,,E. Bledsoe misses 2-pt layup from 1 ft,16,19
41,1,6:22.0,,Offensive rebound by Team,16,19
42,1,6:22.0,Loose ball foul by A. Tolliver (drawn by G. Antetokounmpo),,16,19
43,1,6:17.0,,Turnover by B. Lopez (bad pass; steal by G. Trent),16,19
44,1,6:14.0,A. Tolliver makes 2-pt dunk from 2 ft (assist by G. Trent),,18,19
45,1,6:14.0,,Milwaukee full timeout,18,19
46,1,6:14.0,,S. Brown enters the game for D. DiVincenzo,18,19
47,1,6:14.0,,E. İlyasova enters the game for B. Lopez,18,19
48,1,5:58.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),18,21
49,1,5:47.0,A. Tolliver misses 3-pt jump shot from 28 ft,,18,21
50,1,5:44.0,,Defensive rebound by G. Antetokounmpo,18,21
