,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHOENIX_ACTION,MEMPHIS_SCORE,PHOENIX_SCORE
0,1,11:34.0,J. Jackson misses 2-pt hook shot from 6 ft,,0,0
1,1,11:33.0,,Defensive rebound by F. Kaminsky,0,0
2,1,11:20.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by R. Rubio),0,3
3,1,10:58.0,J. Jackson misses 2-pt layup from 1 ft,,0,3
4,1,10:58.0,Offensive rebound by Team,,0,3
5,1,10:52.0,J. Morant misses 2-pt jump shot from 17 ft,,0,3
6,1,10:48.0,,Defensive rebound by D. Booker,0,3
7,1,10:41.0,,R. Rubio makes 2-pt layup at rim (assist by F. Kaminsky),0,5
8,1,10:30.0,J. Valančiūnas misses 2-pt layup from 2 ft,,0,5
9,1,10:28.0,,Defensive rebound by K. Oubre,0,5
10,1,10:24.0,,K. Oubre makes 2-pt layup from 1 ft (assist by D. Booker),0,7
11,1,10:24.0,,Shooting foul by J. Valančiūnas (drawn by K. Oubre),0,7
12,1,10:24.0,Memphis full timeout,,0,7
13,1,10:24.0,,K. Oubre makes free throw 1 of 1,0,8
14,1,10:15.0,J. Jackson misses 3-pt jump shot from 27 ft,,0,8
15,1,10:11.0,,Defensive rebound by D. Booker,0,8
16,1,10:05.0,,R. Rubio misses 3-pt jump shot from 23 ft,0,8
17,1,10:02.0,Defensive rebound by J. Morant,,0,8
18,1,9:55.0,Turnover by J. Morant (bad pass),,0,8
19,1,9:42.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by R. Rubio),0,11
20,1,9:26.0,J. Jackson makes 2-pt layup from 1 ft,,2,11
21,1,9:16.0,,Turnover by K. Oubre (bad pass; steal by D. Brooks),2,11
22,1,9:07.0,D. Brooks makes 2-pt jump shot from 20 ft,,4,11
23,1,8:53.0,,K. Oubre misses 2-pt layup from 1 ft,4,11
24,1,8:50.0,Defensive rebound by J. Crowder,,4,11
25,1,8:37.0,D. Brooks makes 2-pt hook shot from 5 ft (assist by J. Crowder),,6,11
26,1,8:17.0,,Turnover by D. Booker (bad pass),6,11
27,1,8:12.0,J. Crowder misses 3-pt jump shot from 26 ft,,6,11
28,1,8:10.0,,Defensive rebound by D. Šarić,6,11
29,1,8:05.0,,K. Oubre misses 3-pt jump shot from 23 ft,6,11
30,1,8:02.0,Defensive rebound by D. Brooks,,6,11
31,1,7:58.0,Turnover by J. Morant (traveling),,6,11
32,1,7:48.0,,Personal foul by D. Brooks (drawn by D. Booker),6,11
33,1,7:40.0,,F. Kaminsky makes 2-pt jump shot from 12 ft (assist by D. Booker),6,13
34,1,7:30.0,D. Brooks misses 2-pt jump shot from 21 ft,,6,13
35,1,7:27.0,,Defensive rebound by D. Booker,6,13
36,1,7:25.0,,D. Booker misses 3-pt jump shot from 26 ft,6,13
37,1,7:21.0,Defensive rebound by J. Jackson,,6,13
38,1,7:18.0,Offensive foul by D. Brooks (drawn by F. Kaminsky),,6,13
39,1,7:18.0,Turnover by D. Brooks (offensive foul),,6,13
40,1,7:18.0,B. Clarke enters the game for D. Brooks,,6,13
41,1,7:18.0,D. Melton enters the game for J. Valančiūnas,,6,13
42,1,7:06.0,,D. Šarić misses 2-pt layup from 2 ft,6,13
43,1,7:04.0,Defensive rebound by J. Jackson,,6,13
44,1,6:58.0,J. Jackson makes 2-pt dunk at rim (assist by J. Morant),,8,13
45,1,6:43.0,,D. Booker misses 2-pt jump shot from 11 ft,8,13
46,1,6:42.0,Defensive rebound by J. Morant,,8,13
47,1,6:36.0,D. Melton makes 3-pt jump shot from 25 ft (assist by J. Morant),,11,13
48,1,6:14.0,,D. Šarić misses 3-pt jump shot from 26 ft,11,13
49,1,6:11.0,Defensive rebound by J. Crowder,,11,13
50,1,6:07.0,J. Crowder makes 3-pt jump shot from 25 ft,,14,13
51,1,6:05.0,,Phoenix full timeout,14,13
52,1,6:05.0,T. Jones enters the game for J. Morant,,14,13
53,1,5:53.0,,K. Oubre misses 2-pt layup from 3 ft,14,13
54,1,5:52.0,Defensive rebound by J. Jackson,,14,13
55,1,5:46.0,Shooting foul by D. Šarić (drawn by B. Clarke),,14,13
56,1,5:46.0,B. Clarke makes free throw 1 of 2,,15,13
57,1,5:46.0,B. Clarke misses free throw 2 of 2,,15,13
58,1,5:44.0,,Defensive rebound by K. Oubre,15,13
59,1,5:29.0,,D. Šarić misses 3-pt jump shot from 23 ft,15,13
60,1,5:24.0,Defensive rebound by D. Melton,,15,13
61,1,5:10.0,B. Clarke makes 3-pt jump shot from 26 ft (assist by J. Jackson),,18,13
62,1,4:53.0,,D. Booker makes 2-pt jump shot from 12 ft (assist by D. Šarić),18,15
63,1,4:34.0,B. Clarke makes 2-pt jump shot from 10 ft (assist by J. Jackson),,20,15
64,1,4:16.0,,R. Rubio makes 2-pt layup from 1 ft (assist by D. Šarić),20,17
65,1,3:55.0,J. Jackson makes 2-pt layup from 1 ft (assist by J. Crowder),,22,17
66,1,3:42.0,,D. Booker misses 2-pt layup from 1 ft,22,17
67,1,3:40.0,Defensive rebound by D. Melton,,22,17
68,1,3:36.0,J. Crowder misses 2-pt layup from 1 ft,,22,17
69,1,3:36.0,Offensive rebound by Team,,22,17
70,1,3:36.0,K. Anderson enters the game for J. Crowder,,22,17
71,1,3:36.0,,A. Baynes enters the game for F. Kaminsky,22,17
72,1,3:36.0,,M. Bridges enters the game for K. Oubre,22,17
73,1,3:36.0,,T. Jerome enters the game for R. Rubio,22,17
74,1,3:36.0,,C. Johnson enters the game for D. Šarić,22,17
75,1,3:25.0,B. Clarke makes 3-pt jump shot from 24 ft (assist by J. Jackson),,25,17
76,1,3:14.0,,C. Johnson misses 2-pt jump shot from 15 ft,25,17
77,1,3:11.0,Defensive rebound by B. Clarke,,25,17
78,1,2:57.0,J. Jackson misses 2-pt hook shot from 3 ft,,25,17
79,1,2:55.0,,Defensive rebound by A. Baynes,25,17
80,1,2:52.0,,Turnover by C. Johnson (bad pass; steal by K. Anderson),25,17
81,1,2:52.0,Turnover by K. Anderson (step out of bounds),,25,17
82,1,2:52.0,J. Valančiūnas enters the game for J. Jackson,,25,17
83,1,2:47.0,,D. Booker misses 2-pt jump shot from 18 ft,25,17
84,1,2:45.0,,Offensive rebound by D. Booker,25,17
85,1,2:42.0,,A. Baynes misses 3-pt jump shot from 25 ft,25,17
86,1,2:39.0,Defensive rebound by D. Melton,,25,17
87,1,2:30.0,K. Anderson misses 2-pt jump shot from 10 ft,,25,17
88,1,2:27.0,,Defensive rebound by C. Johnson,25,17
89,1,2:15.0,,D. Booker misses 3-pt jump shot from 25 ft,25,17
90,1,2:11.0,Defensive rebound by J. Valančiūnas,,25,17
91,1,2:02.0,J. Valančiūnas misses 2-pt hook shot from 3 ft,,25,17
92,1,2:01.0,,Defensive rebound by T. Jerome,25,17
93,1,1:57.0,,T. Jerome misses 2-pt jump shot from 17 ft,25,17
94,1,1:55.0,Defensive rebound by B. Clarke,,25,17
95,1,1:47.0,K. Anderson misses 2-pt jump shot from 12 ft,,25,17
96,1,1:44.0,,Defensive rebound by C. Johnson,25,17
97,1,1:35.0,,T. Jerome misses 3-pt jump shot from 24 ft,25,17
98,1,1:32.0,Defensive rebound by B. Clarke,,25,17
99,1,1:14.0,Offensive foul by D. Melton (drawn by M. Bridges),,25,17
100,1,1:14.0,Turnover by D. Melton (offensive foul),,25,17
101,1,1:14.0,S. Hill enters the game for B. Clarke,,25,17
102,1,1:00.0,,T. Jerome misses 2-pt jump shot from 20 ft,25,17
103,1,0:57.0,,Offensive rebound by A. Baynes,25,17
104,1,0:53.0,,A. Baynes misses 3-pt jump shot from 25 ft,25,17
105,1,0:49.0,Defensive rebound by D. Melton,,25,17
106,1,0:41.0,Personal foul by A. Baynes (drawn by J. Valančiūnas),,25,17
107,1,0:34.0,Turnover by J. Valančiūnas (back court),,25,17
108,1,0:31.0,,D. Booker makes 2-pt jump shot from 3 ft (assist by C. Johnson),25,19
109,1,0:12.0,T. Jones misses 2-pt jump shot from 10 ft,,25,19
110,1,0:11.0,Offensive rebound by J. Valančiūnas,,25,19
111,1,0:11.0,J. Valančiūnas makes 2-pt layup from 1 ft,,27,19
112,1,0:02.0,,T. Jerome misses 3-pt jump shot from 25 ft,27,19
113,1,0:02.0,Defensive rebound by K. Anderson,,27,19
114,2,11:48.0,,K. Oubre misses 2-pt jump shot from 12 ft,27,19
115,2,11:43.0,Defensive rebound by J. Valančiūnas,,27,19
116,2,11:38.0,Personal foul by T. Jerome (drawn by J. Morant),,27,19
117,2,11:27.0,Turnover by M. Guduric (lost ball; steal by C. Johnson),,27,19
118,2,11:24.0,,Shooting foul by M. Guduric (drawn by C. Johnson),27,19
119,2,11:24.0,,C. Johnson makes free throw 1 of 2,27,20
120,2,11:24.0,,C. Johnson makes free throw 2 of 2,27,21
121,2,11:09.0,J. Valančiūnas misses 2-pt jump shot from 4 ft,,27,21
122,2,11:06.0,Offensive rebound by K. Anderson,,27,21
123,2,11:06.0,K. Anderson misses 2-pt layup from 1 ft,,27,21
124,2,11:05.0,,Defensive rebound by F. Kaminsky,27,21
125,2,10:56.0,,F. Kaminsky makes 2-pt jump shot from 4 ft,27,23
126,2,10:40.0,S. Hill misses 3-pt jump shot from 26 ft,,27,23
127,2,10:36.0,,Defensive rebound by K. Oubre,27,23
128,2,10:30.0,,K. Oubre misses 2-pt layup from 2 ft,27,23
129,2,10:28.0,,Offensive rebound by K. Oubre,27,23
130,2,10:26.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by T. Jerome),27,26
131,2,10:25.0,Memphis full timeout,,27,26
132,2,10:16.0,J. Morant makes 2-pt jump shot from 14 ft,,29,26
133,2,10:02.0,,K. Oubre misses 2-pt layup from 2 ft,29,26
134,2,10:01.0,,Offensive rebound by Team,29,26
135,2,10:01.0,D. Brooks enters the game for K. Anderson,,29,26
136,2,10:01.0,,R. Rubio enters the game for T. Jerome,29,26
137,2,9:52.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by R. Rubio),29,28
138,2,9:36.0,D. Brooks misses 3-pt jump shot from 26 ft,,29,28
139,2,9:33.0,,Defensive rebound by K. Oubre,29,28
140,2,9:20.0,,F. Kaminsky misses 2-pt jump shot from 16 ft,29,28
141,2,9:18.0,Defensive rebound by J. Valančiūnas,,29,28
142,2,9:07.0,Turnover by M. Guduric (traveling),,29,28
143,2,8:55.0,,F. Kaminsky makes 2-pt dunk from 1 ft (assist by R. Rubio),29,30
144,2,8:33.0,J. Morant misses 3-pt jump shot from 25 ft,,29,30
145,2,8:30.0,Offensive rebound by M. Guduric,,29,30
146,2,8:27.0,D. Brooks makes 2-pt jump shot from 13 ft (assist by M. Guduric),,31,30
147,2,8:14.0,,R. Rubio misses 3-pt jump shot from 25 ft,31,30
148,2,8:10.0,Defensive rebound by J. Valančiūnas,,31,30
149,2,8:10.0,J. Jackson enters the game for J. Valančiūnas,,31,30
150,2,8:10.0,,D. Šarić enters the game for M. Bridges,31,30
151,2,7:58.0,S. Hill misses 2-pt jump shot from 14 ft,,31,30
152,2,7:55.0,,Defensive rebound by R. Rubio,31,30
153,2,7:47.0,,Turnover by R. Rubio (lost ball; steal by S. Hill),31,30
154,2,7:44.0,D. Brooks misses 2-pt layup from 2 ft,,31,30
155,2,7:43.0,Offensive rebound by Team,,31,30
156,2,7:43.0,,Loose ball foul by R. Rubio (drawn by M. Guduric),31,30
157,2,7:43.0,,M. Bridges enters the game for F. Kaminsky,31,30
158,2,7:35.0,M. Guduric makes 3-pt jump shot from 23 ft (assist by J. Morant),,34,30
159,2,7:23.0,,Shooting foul by M. Guduric (drawn by R. Rubio),34,30
160,2,7:23.0,,R. Rubio makes free throw 1 of 2,34,31
161,2,7:23.0,,R. Rubio makes free throw 2 of 2,34,32
162,2,7:01.0,S. Hill misses 3-pt jump shot from 25 ft,,34,32
163,2,6:56.0,,Defensive rebound by K. Oubre,34,32
164,2,6:44.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Rubio),34,34
165,2,6:28.0,Turnover by M. Guduric (bad pass; steal by K. Oubre),,34,34
166,2,6:22.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by R. Rubio),34,37
167,2,6:19.0,Memphis full timeout,,34,37
168,2,6:19.0,B. Clarke enters the game for M. Guduric,,34,37
169,2,6:19.0,J. Crowder enters the game for S. Hill,,34,37
170,2,6:19.0,T. Jones enters the game for J. Morant,,34,37
171,2,6:19.0,,D. Booker enters the game for C. Johnson,34,37
172,2,6:04.0,Offensive foul by J. Jackson (drawn by D. Šarić),,34,37
173,2,6:04.0,Turnover by J. Jackson (offensive foul),,34,37
174,2,5:49.0,,M. Bridges misses 3-pt jump shot from 25 ft,34,37
175,2,5:46.0,,Offensive rebound by K. Oubre,34,37
176,2,5:46.0,,Turnover by K. Oubre (step out of bounds),34,37
177,2,5:29.0,J. Jackson misses 3-pt jump shot from 26 ft,,34,37
178,2,5:26.0,,Defensive rebound by K. Oubre,34,37
179,2,5:09.0,,K. Oubre misses 3-pt jump shot from 23 ft,34,37
180,2,5:05.0,Defensive rebound by J. Crowder,,34,37
181,2,5:01.0,D. Brooks makes 3-pt jump shot from 27 ft (assist by J. Crowder),,37,37
182,2,4:42.0,,R. Rubio makes 2-pt jump shot from 21 ft,37,39
183,2,4:31.0,J. Crowder misses 3-pt jump shot from 26 ft,,37,39
184,2,4:28.0,,Defensive rebound by M. Bridges,37,39
185,2,4:22.0,,K. Oubre makes 2-pt layup from 1 ft (assist by D. Booker),37,41
186,2,4:00.0,J. Crowder makes 2-pt layup at rim (assist by J. Jackson),,39,41
187,2,3:50.0,,Turnover by R. Rubio (lost ball; steal by T. Jones),39,41
188,2,3:46.0,J. Crowder misses 2-pt layup from 1 ft (block by K. Oubre),,39,41
189,2,3:42.0,Offensive rebound by D. Brooks,,39,41
190,2,3:42.0,D. Brooks makes 2-pt layup at rim,,41,41
191,2,3:36.0,,Phoenix full timeout,41,41
192,2,3:36.0,,A. Baynes enters the game for M. Bridges,41,41
193,2,3:36.0,,C. Johnson enters the game for K. Oubre,41,41
194,2,3:25.0,,D. Šarić misses 3-pt jump shot from 25 ft,41,41
195,2,3:21.0,Defensive rebound by J. Jackson,,41,41
196,2,3:12.0,D. Brooks misses 3-pt jump shot from 26 ft,,41,41
197,2,3:08.0,,Defensive rebound by A. Baynes,41,41
198,2,3:01.0,,C. Johnson misses 3-pt jump shot from 23 ft,41,41
199,2,3:00.0,,Offensive rebound by Team,41,41
200,2,3:00.0,Loose ball foul by J. Jackson (drawn by A. Baynes),,41,41
201,2,2:51.0,,R. Rubio makes 2-pt layup from 3 ft,41,43
202,2,2:42.0,J. Jackson misses 3-pt jump shot from 27 ft,,41,43
203,2,2:40.0,,Defensive rebound by D. Šarić,41,43
204,2,2:36.0,,Shooting foul by J. Jackson (drawn by R. Rubio),41,43
205,2,2:36.0,,R. Rubio makes free throw 1 of 2,41,44
206,2,2:36.0,J. Morant enters the game for J. Jackson,,41,44
207,2,2:36.0,J. Valančiūnas enters the game for T. Jones,,41,44
208,2,2:36.0,,R. Rubio makes free throw 2 of 2,41,45
209,2,2:14.0,D. Brooks makes 2-pt jump shot from 13 ft,,43,45
210,2,1:56.0,,D. Šarić misses 2-pt layup from 1 ft,43,45
211,2,1:54.0,Defensive rebound by B. Clarke,,43,45
212,2,1:49.0,Shooting foul by A. Baynes (drawn by B. Clarke),,43,45
213,2,1:49.0,B. Clarke misses free throw 1 of 2,,43,45
214,2,1:49.0,Offensive rebound by Team,,43,45
215,2,1:49.0,D. Melton enters the game for D. Brooks,,43,45
216,2,1:49.0,,K. Oubre enters the game for D. Šarić,43,45
217,2,1:49.0,B. Clarke makes free throw 2 of 2,,44,45
218,2,1:40.0,,D. Booker misses 2-pt jump shot from 17 ft,44,45
219,2,1:36.0,Defensive rebound by D. Melton,,44,45
220,2,1:36.0,Personal foul by D. Booker (drawn by D. Melton),,44,45
221,2,1:36.0,D. Melton makes free throw 1 of 2,,45,45
222,2,1:36.0,D. Melton makes free throw 2 of 2,,46,45
223,2,1:23.0,,D. Booker misses 2-pt layup from 1 ft,46,45
224,2,1:21.0,Defensive rebound by B. Clarke,,46,45
225,2,1:17.0,Turnover by B. Clarke (bad pass),,46,45
226,2,1:08.0,,Personal foul by B. Clarke (drawn by A. Baynes),46,45
227,2,1:08.0,,Instant Replay (Request: Ruling Stands),46,45
228,2,1:08.0,,A. Baynes makes free throw 1 of 2,46,46
229,2,1:08.0,,A. Baynes makes free throw 2 of 2,46,47
230,2,0:53.0,B. Clarke makes 2-pt hook shot from 4 ft (assist by J. Morant),,48,47
231,2,0:53.0,Shooting foul by K. Oubre (drawn by B. Clarke),,48,47
