,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
0,1,11:39.0,J. Butler makes 2-pt jump shot from 4 ft,,2,0
1,1,11:20.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by D. Booker),2,3
2,1,11:07.0,K. Nunn makes 2-pt jump shot from 4 ft,,4,3
3,1,10:51.0,,Personal foul by J. Butler (drawn by D. Šarić),4,3
4,1,10:45.0,,D. Šarić misses 3-pt jump shot from 26 ft,4,3
5,1,10:42.0,Defensive rebound by J. Butler,,4,3
6,1,10:29.0,K. Nunn makes 2-pt layup from 1 ft (assist by B. Adebayo),,6,3
7,1,10:20.0,,Shooting foul by D. Robinson (drawn by K. Oubre),6,3
8,1,10:20.0,,K. Oubre misses free throw 1 of 2,6,3
9,1,10:20.0,,Offensive rebound by Team,6,3
10,1,10:20.0,,K. Oubre makes free throw 2 of 2,6,4
11,1,10:09.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by J. Butler),,9,4
12,1,9:49.0,,A. Baynes misses 2-pt layup at rim,9,4
13,1,9:47.0,Defensive rebound by B. Adebayo,,9,4
14,1,9:45.0,Turnover by B. Adebayo (bad pass; steal by D. Šarić),,9,4
15,1,9:33.0,,Turnover by D. Booker (lost ball; steal by D. Robinson),9,4
16,1,9:28.0,D. Robinson misses 3-pt jump shot from 26 ft,,9,4
17,1,9:25.0,,Defensive rebound by R. Rubio,9,4
18,1,9:17.0,,A. Baynes misses 3-pt jump shot from 25 ft,9,4
19,1,9:13.0,Defensive rebound by K. Nunn,,9,4
20,1,9:09.0,Offensive foul by M. Leonard (drawn by K. Oubre),,9,4
21,1,9:09.0,Turnover by M. Leonard (offensive foul),,9,4
22,1,9:09.0,Instant Replay (Request: Ruling Stands),,9,4
23,1,8:58.0,,A. Baynes makes 2-pt dunk at rim (assist by R. Rubio),9,6
24,1,8:42.0,J. Butler makes 2-pt jump shot from 9 ft,,11,6
25,1,8:35.0,,Offensive foul by D. Booker (drawn by K. Nunn),11,6
26,1,8:35.0,,Turnover by D. Booker (offensive foul),11,6
27,1,8:25.0,Personal foul by A. Baynes (drawn by B. Adebayo),,11,6
28,1,8:13.0,J. Butler makes 3-pt jump shot from 26 ft,,14,6
29,1,8:00.0,,R. Rubio misses 2-pt layup at rim,14,6
30,1,8:00.0,Defensive rebound by Team,,14,6
31,1,7:49.0,K. Nunn makes 2-pt jump shot from 14 ft,,16,6
32,1,7:47.0,,Phoenix full timeout,16,6
33,1,7:35.0,,D. Booker misses 2-pt jump shot from 18 ft,16,6
34,1,7:31.0,Defensive rebound by B. Adebayo,,16,6
35,1,7:22.0,Shooting foul by R. Rubio (drawn by J. Butler),,16,6
36,1,7:22.0,J. Butler makes free throw 1 of 2,,17,6
37,1,7:22.0,J. Butler makes free throw 2 of 2,,18,6
38,1,7:06.0,,R. Rubio makes 2-pt layup from 1 ft,18,8
39,1,6:52.0,D. Robinson misses 2-pt jump shot from 16 ft,,18,8
40,1,6:49.0,,Defensive rebound by R. Rubio,18,8
41,1,6:45.0,,R. Rubio makes 2-pt layup from 1 ft,18,10
42,1,6:45.0,Violation by Team (def goaltending),,18,10
43,1,6:34.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,21,10
44,1,6:23.0,,R. Rubio misses 3-pt jump shot from 25 ft,21,10
45,1,6:21.0,Defensive rebound by K. Nunn,,21,10
46,1,6:03.0,Shooting foul by D. Šarić (drawn by B. Adebayo),,21,10
47,1,6:03.0,B. Adebayo makes free throw 1 of 2,,22,10
48,1,6:03.0,G. Dragić enters the game for D. Robinson,,22,10
49,1,6:03.0,,J. Carter enters the game for A. Baynes,22,10
50,1,6:03.0,,F. Kaminsky enters the game for R. Rubio,22,10
51,1,6:03.0,B. Adebayo misses free throw 2 of 2,,22,10
52,1,6:01.0,,Defensive rebound by J. Carter,22,10
53,1,5:44.0,,J. Carter misses 3-pt jump shot from 26 ft,22,10
54,1,5:42.0,Defensive rebound by B. Adebayo,,22,10
55,1,5:34.0,K. Nunn misses 3-pt jump shot from 25 ft,,22,10
