,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
0,1,11:42.0,,J. Barea makes 2-pt jump shot from 15 ft (assist by L. Dončić),0,2
1,1,11:21.0,D. Jordan makes 2-pt layup from 2 ft,,2,2
2,1,11:05.0,,Def 3 sec tech foul by Team,2,2
3,1,11:05.0,,L. Dončić makes technical free throw,2,3
4,1,10:51.0,,Turnover by J. Barea (bad pass; steal by R. Kurucs),2,3
5,1,10:48.0,Turnover by T. Prince (out of bounds lost ball),,2,3
6,1,10:27.0,,L. Dončić misses 2-pt jump shot from 9 ft,2,3
7,1,10:25.0,Defensive rebound by D. Jordan,,2,3
8,1,10:19.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,2,3
9,1,10:17.0,,Defensive rebound by Team,2,3
10,1,10:10.0,,D. Powell misses 3-pt jump shot from 26 ft,2,3
11,1,10:06.0,Defensive rebound by T. Prince,,2,3
12,1,9:55.0,J. Harris misses 3-pt jump shot from 25 ft,,2,3
13,1,9:52.0,,Defensive rebound by J. Jackson,2,3
14,1,9:44.0,,D. Powell misses 3-pt jump shot from 23 ft,2,3
15,1,9:42.0,Defensive rebound by T. Prince,,2,3
16,1,9:36.0,T. Prince makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,5,3
17,1,9:20.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,5,3
18,1,9:17.0,Defensive rebound by D. Jordan,,5,3
19,1,9:11.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by R. Kurucs),,8,3
20,1,9:10.0,,Dallas full timeout,8,3
21,1,8:57.0,,J. Jackson misses 3-pt jump shot from 25 ft,8,3
22,1,8:54.0,Defensive rebound by D. Jordan,,8,3
23,1,8:45.0,R. Kurucs misses 3-pt jump shot from 23 ft,,8,3
24,1,8:42.0,Offensive rebound by D. Jordan,,8,3
25,1,8:38.0,J. Harris makes 2-pt layup from 4 ft (assist by D. Jordan),,10,3
26,1,8:24.0,,Offensive foul by L. Dončić (drawn by D. Jordan),10,3
27,1,8:24.0,,Turnover by L. Dončić (offensive foul),10,3
28,1,8:10.0,R. Kurucs makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,13,3
29,1,7:57.0,,J. Barea misses 2-pt jump shot from 15 ft,13,3
30,1,7:55.0,Defensive rebound by J. Harris,,13,3
31,1,7:50.0,S. Dinwiddie misses 2-pt jump shot from 6 ft,,13,3
32,1,7:48.0,,Defensive rebound by L. Dončić,13,3
33,1,7:45.0,,Shooting foul by T. Prince (drawn by L. Dončić),13,3
34,1,7:45.0,,L. Dončić makes free throw 1 of 2,13,4
35,1,7:45.0,,M. Kleber enters the game for D. Powell,13,4
36,1,7:45.0,,L. Dončić makes free throw 2 of 2,13,5
37,1,7:34.0,S. Dinwiddie makes 2-pt layup from 1 ft (assist by R. Kurucs),,15,5
38,1,7:21.0,,M. Kleber makes 2-pt dunk from 1 ft (assist by L. Dončić),15,7
39,1,7:11.0,Shooting foul by D. Finney-Smith (drawn by R. Kurucs),,15,7
40,1,7:11.0,R. Kurucs makes free throw 1 of 2,,16,7
41,1,7:11.0,R. Kurucs misses free throw 2 of 2,,16,7
42,1,7:09.0,,Defensive rebound by J. Barea,16,7
43,1,6:55.0,,L. Dončić makes 3-pt jump shot from 30 ft,16,10
44,1,6:39.0,J. Harris misses 2-pt jump shot from 7 ft (block by J. Jackson),,16,10
45,1,6:39.0,Offensive rebound by J. Harris,,16,10
46,1,6:30.0,Shooting foul by M. Kleber (drawn by D. Jordan),,16,10
47,1,6:30.0,D. Jordan makes free throw 1 of 2,,17,10
48,1,6:30.0,W. Chandler enters the game for R. Kurucs,,17,10
49,1,6:30.0,,S. Curry enters the game for L. Dončić,17,10
50,1,6:30.0,D. Jordan makes free throw 2 of 2,,18,10
51,1,6:15.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by M. Kleber),18,13
52,1,6:06.0,Personal foul by D. Finney-Smith (drawn by S. Dinwiddie),,18,13
53,1,6:06.0,J. Allen enters the game for D. Jordan,,18,13
54,1,6:06.0,,C. Lee enters the game for D. Finney-Smith,18,13
55,1,6:00.0,Turnover by T. Prince (out of bounds lost ball),,18,13
56,1,5:36.0,,J. Barea makes 2-pt layup at rim,18,15
57,1,5:26.0,Shooting foul by C. Lee (drawn by W. Chandler),,18,15
58,1,5:26.0,W. Chandler makes free throw 1 of 2,,19,15
59,1,5:26.0,W. Chandler makes free throw 2 of 2,,20,15
60,1,5:07.0,,J. Barea misses 3-pt jump shot from 26 ft,20,15
61,1,5:03.0,Defensive rebound by J. Allen,,20,15
62,1,4:58.0,Turnover by S. Dinwiddie (bad pass),,20,15
63,1,4:46.0,,J. Jackson makes 2-pt layup from 4 ft (assist by J. Barea),20,17
64,1,4:46.0,,Shooting foul by J. Allen (drawn by J. Jackson),20,17
65,1,4:46.0,,J. Jackson makes free throw 1 of 1,20,18
66,1,4:34.0,W. Chandler makes 3-pt jump shot from 22 ft (assist by J. Harris),,23,18
67,1,4:10.0,,M. Kleber makes 2-pt dunk from 1 ft (assist by J. Barea),23,20
68,1,4:10.0,Brooklyn full timeout,,23,20
69,1,4:10.0,T. Luwawu-Cabarrot enters the game for J. Harris,,23,20
70,1,4:10.0,D. Musa enters the game for T. Prince,,23,20
71,1,3:54.0,S. Dinwiddie misses 2-pt jump shot from 8 ft,,23,20
72,1,3:52.0,Offensive rebound by S. Dinwiddie,,23,20
73,1,3:46.0,J. Allen makes 2-pt hook shot from 4 ft (assist by T. Luwawu-Cabarrot),,25,20
74,1,3:26.0,,S. Curry makes 2-pt jump shot from 9 ft,25,22
75,1,3:07.0,W. Chandler makes 2-pt jump shot from 4 ft (assist by D. Musa),,27,22
76,1,2:59.0,,J. Barea misses 3-pt jump shot from 25 ft,27,22
77,1,2:56.0,Defensive rebound by W. Chandler,,27,22
78,1,2:50.0,Turnover by S. Dinwiddie (bad pass),,27,22
79,1,2:50.0,T. Pinson enters the game for S. Dinwiddie,,27,22
80,1,2:50.0,,L. Dončić enters the game for J. Barea,27,22
81,1,2:50.0,,D. Powell enters the game for J. Jackson,27,22
82,1,2:50.0,,D. Wright enters the game for C. Lee,27,22
83,1,2:37.0,,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),27,24
84,1,2:18.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 6 ft (block by L. Dončić),,27,24
85,1,2:15.0,Offensive rebound by T. Luwawu-Cabarrot,,27,24
86,1,2:14.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 2 ft,,27,24
87,1,2:12.0,,Defensive rebound by L. Dončić,27,24
88,1,2:10.0,,L. Dončić misses 3-pt jump shot from 25 ft,27,24
89,1,2:06.0,,Offensive rebound by L. Dončić,27,24
90,1,2:00.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by L. Dončić),27,27
91,1,1:47.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 22 ft (assist by D. Musa),,30,27
92,1,1:28.0,,S. Curry misses 2-pt jump shot from 16 ft,30,27
93,1,1:26.0,,Offensive rebound by D. Wright,30,27
94,1,1:25.0,,D. Wright misses 2-pt dunk at rim,30,27
95,1,1:22.0,Defensive rebound by W. Chandler,,30,27
96,1,1:19.0,Turnover by T. Pinson (lost ball; steal by D. Powell),,30,27
97,1,1:14.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Wright),30,30
98,1,0:55.0,T. Pinson misses 3-pt jump shot from 26 ft,,30,30
99,1,0:52.0,,Defensive rebound by L. Dončić,30,30
100,1,0:43.0,,L. Dončić misses 2-pt jump shot from 5 ft,30,30
101,1,0:42.0,,Offensive rebound by L. Dončić,30,30
102,1,0:42.0,,Shooting foul by J. Allen (drawn by L. Dončić),30,30
103,1,0:42.0,,L. Dončić misses free throw 1 of 2,30,30
104,1,0:42.0,,Offensive rebound by Team,30,30
105,1,0:42.0,,L. Dončić makes free throw 2 of 2,30,31
106,1,0:35.0,D. Musa misses 3-pt jump shot from 26 ft,,30,31
107,1,0:32.0,,Defensive rebound by D. Wright,30,31
108,1,0:15.0,,L. Dončić misses 2-pt jump shot from 16 ft,30,31
109,1,0:13.0,,Offensive rebound by L. Dončić,30,31
110,2,11:37.0,W. Chandler makes 2-pt jump shot from 17 ft,,32,31
111,2,11:13.0,,L. Dončić makes 2-pt jump shot from 7 ft,32,33
112,2,11:00.0,D. Musa makes 2-pt layup from 1 ft (assist by T. Pinson),,34,33
113,2,10:41.0,,S. Curry misses 2-pt jump shot from 12 ft,34,33
114,2,10:41.0,Defensive rebound by T. Pinson,,34,33
115,2,10:30.0,T. Pinson misses 3-pt jump shot from 26 ft,,34,33
116,2,10:28.0,,Defensive rebound by L. Dončić,34,33
117,2,10:22.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Dončić),34,36
118,2,10:20.0,Brooklyn full timeout,,34,36
119,2,10:20.0,,J. Jackson enters the game for M. Kleber,34,36
120,2,10:20.0,,B. Marjanović enters the game for D. Powell,34,36
121,2,9:56.0,T. Pinson misses 2-pt layup from 2 ft,,34,36
122,2,9:53.0,,Defensive rebound by B. Marjanović,34,36
123,2,9:35.0,,J. Jackson misses 2-pt jump shot from 10 ft,34,36
124,2,9:32.0,,Offensive rebound by B. Marjanović,34,36
125,2,9:31.0,,B. Marjanović makes 2-pt dunk from 1 ft,34,38
126,2,9:23.0,Shooting foul by J. Jackson (drawn by D. Jordan),,34,38
127,2,9:23.0,D. Jordan makes free throw 1 of 2,,35,38
128,2,9:23.0,D. Jordan makes free throw 2 of 2,,36,38
129,2,9:12.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Wright),36,41
