,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:36.0,T. Rozier misses 2-pt layup from 3 ft (block by M. Turner),,0,0
1,1,11:32.0,Offensive rebound by P. Washington,,0,0
2,1,11:31.0,P. Washington misses 2-pt jump shot from 19 ft,,0,0
3,1,11:30.0,,Defensive rebound by M. Brogdon,0,0
4,1,11:17.0,,Turnover by M. Turner (lost ball; steal by M. Monk),0,0
5,1,11:13.0,M. Monk makes 2-pt layup from 2 ft,,2,0
6,1,10:51.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by A. Holiday),2,3
7,1,10:29.0,Turnover by C. Zeller (bad pass; steal by T. Warren),,2,3
8,1,10:25.0,,T. Warren makes 2-pt dunk from 1 ft,2,5
9,1,10:05.0,M. Bridges makes 2-pt jump shot from 13 ft,,4,5
10,1,9:43.0,,T. Warren makes 2-pt layup from 2 ft (assist by M. Turner),4,7
11,1,9:33.0,T. Rozier misses 3-pt jump shot from 29 ft,,4,7
12,1,9:30.0,,Defensive rebound by M. Turner,4,7
13,1,9:23.0,,Shooting foul by M. Monk (drawn by M. Brogdon),4,7
14,1,9:23.0,,M. Brogdon misses free throw 1 of 2,4,7
15,1,9:23.0,,Offensive rebound by Team,4,7
16,1,9:23.0,,M. Brogdon makes free throw 2 of 2,4,8
17,1,9:12.0,P. Washington misses 2-pt jump shot from 8 ft,,4,8
18,1,9:08.0,Offensive rebound by P. Washington,,4,8
19,1,9:07.0,M. Bridges makes 3-pt jump shot from 28 ft (assist by P. Washington),,7,8
20,1,8:51.0,,M. Turner misses 2-pt jump shot from 19 ft,7,8
21,1,8:48.0,Defensive rebound by M. Bridges,,7,8
22,1,8:38.0,M. Monk misses 3-pt jump shot from 28 ft,,7,8
23,1,8:35.0,,Defensive rebound by T. Warren,7,8
24,1,8:18.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by D. Sabonis),7,11
25,1,8:05.0,M. Bridges makes 2-pt jump shot from 16 ft (assist by T. Rozier),,9,11
26,1,7:52.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by M. Brogdon),9,14
27,1,7:50.0,Charlotte full timeout,,9,14
28,1,7:27.0,C. Zeller misses 2-pt layup from 4 ft (block by M. Turner),,9,14
29,1,7:27.0,,Defensive rebound by Team,9,14
30,1,7:14.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Brogdon),9,16
31,1,6:56.0,M. Bridges misses 3-pt jump shot from 28 ft,,9,16
32,1,6:54.0,,Defensive rebound by M. Turner,9,16
33,1,6:43.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Turner),9,18
34,1,6:32.0,M. Monk makes 2-pt jump shot from 17 ft (assist by T. Rozier),,11,18
35,1,6:19.0,,D. Sabonis misses 2-pt jump shot from 19 ft,11,18
