,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,J. Holiday makes 2-pt jump shot from 14 ft (assist by D. Favors),0,2
1,1,11:28.0,A. Gordon misses 2-pt jump shot from 14 ft (block by K. Williams),,0,2
2,1,11:28.0,,Defensive rebound by Team,0,2
3,1,11:28.0,Loose ball foul by A. Gordon (drawn by K. Williams),,0,2
4,1,11:15.0,,J. Holiday misses 2-pt jump shot from 12 ft,0,2
5,1,11:11.0,Defensive rebound by J. Isaac,,0,2
6,1,10:58.0,E. Fournier misses 2-pt jump shot from 7 ft,,0,2
7,1,10:57.0,Offensive rebound by N. Vučević,,0,2
8,1,10:56.0,N. Vučević makes 2-pt hook shot from 7 ft,,2,2
9,1,10:37.0,,J. Redick misses 3-pt jump shot from 24 ft,2,2
10,1,10:33.0,,Offensive rebound by B. Ingram,2,2
11,1,10:31.0,,B. Ingram misses 3-pt jump shot from 25 ft,2,2
12,1,10:29.0,Defensive rebound by J. Isaac,,2,2
13,1,10:19.0,Personal foul by B. Ingram (drawn by J. Isaac),,2,2
14,1,10:09.0,M. Fultz makes 2-pt jump shot from 10 ft,,4,2
15,1,9:55.0,,K. Williams misses 3-pt jump shot from 26 ft,4,2
16,1,9:51.0,Defensive rebound by M. Fultz,,4,2
17,1,9:43.0,Shooting foul by K. Williams (drawn by J. Isaac),,4,2
18,1,9:43.0,J. Isaac makes free throw 1 of 2,,5,2
19,1,9:43.0,J. Isaac makes free throw 2 of 2,,6,2
20,1,9:30.0,,Shooting foul by A. Gordon (drawn by K. Williams),6,2
21,1,9:30.0,,K. Williams misses free throw 1 of 2,6,2
22,1,9:30.0,,Offensive rebound by Team,6,2
23,1,9:30.0,,K. Williams misses free throw 2 of 2,6,2
24,1,9:27.0,Defensive rebound by J. Isaac,,6,2
25,1,9:12.0,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),,8,2
26,1,9:00.0,,J. Redick makes 2-pt layup from 2 ft (assist by J. Holiday),8,4
27,1,8:44.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by J. Isaac),,11,4
28,1,8:20.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by B. Ingram),11,7
29,1,8:08.0,M. Fultz misses 2-pt jump shot from 16 ft,,11,7
30,1,8:05.0,,Defensive rebound by J. Holiday,11,7
31,1,7:55.0,,J. Holiday makes 2-pt layup from 2 ft,11,9
32,1,7:38.0,N. Vučević makes 2-pt hook shot from 9 ft (assist by M. Fultz),,13,9
33,1,7:26.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by D. Favors),13,11
34,1,7:01.0,A. Gordon misses 3-pt jump shot from 25 ft (block by K. Williams),,13,11
35,1,7:00.0,Offensive rebound by Team,,13,11
36,1,7:00.0,Turnover by Team (shot clock),,13,11
37,1,7:00.0,,J. Hayes enters the game for D. Favors,13,11
38,1,7:00.0,,New Orleans full timeout,13,11
39,1,6:41.0,,J. Hayes makes 2-pt dunk from 2 ft (assist by J. Holiday),13,13
40,1,6:26.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),,15,13
41,1,6:14.0,,J. Redick makes 2-pt jump shot from 18 ft,15,15
42,1,6:14.0,T. Ross enters the game for A. Gordon,,15,15
43,1,5:59.0,E. Fournier makes 2-pt jump shot from 22 ft (assist by J. Isaac),,17,15
44,1,5:39.0,,Turnover by B. Ingram (dbl dribble),17,15
45,1,5:28.0,E. Fournier misses 2-pt jump shot from 14 ft,,17,15
46,1,5:25.0,,Defensive rebound by K. Williams,17,15
47,1,5:18.0,,B. Ingram makes 2-pt jump shot from 13 ft,17,17
48,1,5:08.0,Shooting foul by J. Redick (drawn by M. Fultz),,17,17
49,1,5:08.0,M. Fultz misses free throw 1 of 2,,17,17
50,1,5:08.0,Offensive rebound by Team,,17,17
51,1,5:08.0,M. Carter-Williams enters the game for E. Fournier,,17,17
52,1,5:08.0,,J. Hart enters the game for K. Williams,17,17
53,1,5:08.0,M. Fultz misses free throw 2 of 2,,17,17
54,1,5:05.0,,Defensive rebound by B. Ingram,17,17
55,1,4:43.0,,B. Ingram misses 3-pt jump shot from 22 ft,17,17
56,1,4:41.0,Defensive rebound by T. Ross,,17,17
57,1,4:28.0,J. Isaac makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,19,17
58,1,4:16.0,,B. Ingram makes 2-pt jump shot from 12 ft (assist by J. Redick),19,19
59,1,3:57.0,Turnover by J. Isaac (bad pass; steal by B. Ingram),,19,19
60,1,3:53.0,,J. Hart misses 3-pt jump shot from 26 ft,19,19
61,1,3:49.0,,Offensive rebound by B. Ingram,19,19
62,1,3:48.0,,B. Ingram misses 2-pt jump shot from 14 ft,19,19
63,1,3:40.0,Defensive rebound by J. Isaac,,19,19
64,1,3:39.0,Orlando full timeout,,19,19
65,1,3:39.0,D. Augustin enters the game for M. Fultz,,19,19
66,1,3:39.0,M. Bamba enters the game for N. Vučević,,19,19
67,1,3:39.0,,L. Ball enters the game for B. Ingram,19,19
68,1,3:35.0,T. Ross misses 2-pt jump shot from 15 ft,,19,19
69,1,3:33.0,Offensive rebound by M. Bamba,,19,19
70,1,3:33.0,M. Bamba makes 2-pt hook shot from 1 ft,,21,19
71,1,3:21.0,,Offensive foul by J. Hayes (drawn by J. Isaac),21,19
72,1,3:21.0,,Turnover by J. Hayes (offensive foul),21,19
73,1,3:10.0,T. Ross misses 3-pt jump shot from 26 ft,,21,19
74,1,3:10.0,,Defensive rebound by J. Redick,21,19
75,1,2:58.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Hayes),21,22
76,1,2:46.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,21,22
77,1,2:42.0,,Defensive rebound by J. Hayes,21,22
78,1,2:32.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Ball),21,25
79,1,2:15.0,Turnover by D. Augustin (bad pass; steal by J. Hart),,21,25
80,1,2:09.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Holiday),21,28
81,1,2:01.0,Orlando full timeout,,21,28
