,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,Personal foul by B. Ingram (drawn by E. İlyasova),0,0
1,1,11:39.0,,K. Middleton makes 2-pt jump shot from 22 ft (assist by B. Lopez),0,2
2,1,11:14.0,B. Ingram makes 2-pt jump shot from 18 ft (assist by J. Okafor),,2,2
3,1,11:01.0,,K. Middleton makes 3-pt jump shot from 27 ft,2,5
4,1,10:35.0,B. Ingram makes 2-pt jump shot from 15 ft,,4,5
5,1,10:23.0,,K. Middleton misses 2-pt jump shot from 16 ft,4,5
6,1,10:23.0,,Offensive rebound by B. Lopez,4,5
7,1,10:13.0,,B. Lopez makes 2-pt hook shot from 2 ft,4,7
8,1,10:01.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Okafor),,7,7
9,1,10:01.0,Shooting foul by E. Bledsoe (drawn by J. Redick),,7,7
10,1,10:01.0,J. Redick makes free throw 1 of 1,,8,7
11,1,9:44.0,,K. Middleton makes 2-pt jump shot from 9 ft (assist by E. İlyasova),8,9
12,1,9:35.0,B. Ingram misses 3-pt jump shot from 26 ft,,8,9
13,1,9:32.0,,Defensive rebound by E. Bledsoe,8,9
14,1,9:27.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,8,12
15,1,9:08.0,Turnover by J. Holiday (bad pass; steal by W. Matthews),,8,12
16,1,9:01.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),8,15
17,1,8:57.0,New Orleans full timeout,,8,15
18,1,8:50.0,K. Williams misses 3-pt jump shot from 27 ft,,8,15
19,1,8:46.0,,Defensive rebound by K. Middleton,8,15
20,1,8:35.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,8,18
21,1,8:27.0,Turnover by J. Holiday (bad pass),,8,18
22,1,8:14.0,,B. Lopez misses 2-pt layup from 2 ft (block by J. Holiday),8,18
23,1,8:11.0,Defensive rebound by K. Williams,,8,18
24,1,8:05.0,J. Redick misses 3-pt jump shot from 25 ft,,8,18
25,1,8:02.0,,Defensive rebound by E. İlyasova,8,18
26,1,7:58.0,,K. Middleton misses 3-pt jump shot from 26 ft,8,18
27,1,7:55.0,Defensive rebound by B. Ingram,,8,18
28,1,7:46.0,B. Ingram misses 2-pt layup from 4 ft,,8,18
29,1,7:44.0,,Defensive rebound by B. Lopez,8,18
30,1,7:36.0,,W. Matthews misses 3-pt jump shot from 26 ft,8,18
31,1,7:36.0,Defensive rebound by Team,,8,18
32,1,7:26.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Okafor),,10,18
33,1,7:09.0,,K. Middleton makes 2-pt jump shot from 12 ft,10,20
34,1,6:46.0,B. Ingram makes 2-pt layup at rim (assist by J. Redick),,12,20
35,1,6:35.0,,E. Bledsoe misses 2-pt layup from 3 ft,12,20
36,1,6:33.0,Defensive rebound by K. Williams,,12,20
37,1,6:24.0,J. Okafor misses 2-pt layup from 3 ft,,12,20
38,1,6:21.0,,Defensive rebound by E. İlyasova,12,20
39,1,6:15.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,12,23
40,1,6:08.0,Personal foul by W. Matthews (drawn by J. Redick),,12,23
