,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:35.0,L. Aldridge misses 3-pt jump shot from 26 ft,,0,0
1,1,11:33.0,,Defensive rebound by D. Green,0,0
2,1,11:18.0,,D. Russell misses 2-pt jump shot from 13 ft,0,0
3,1,11:17.0,Defensive rebound by D. White,,0,0
4,1,11:00.0,B. Forbes misses 3-pt jump shot from 22 ft,,0,0
5,1,10:58.0,,Defensive rebound by W. Cauley-Stein,0,0
6,1,10:46.0,,D. Green makes 3-pt jump shot from 27 ft (assist by D. Russell),0,3
7,1,10:28.0,T. Lyles misses 3-pt jump shot from 27 ft,,0,3
8,1,10:26.0,,Defensive rebound by W. Cauley-Stein,0,3
9,1,10:16.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by L. Aldridge),0,3
10,1,10:15.0,Defensive rebound by L. Aldridge,,0,3
11,1,10:09.0,Shooting foul by G. Robinson (drawn by D. DeRozan),,0,3
12,1,10:09.0,D. DeRozan misses free throw 1 of 2,,0,3
13,1,10:09.0,Offensive rebound by Team,,0,3
14,1,10:09.0,D. DeRozan misses free throw 2 of 2,,0,3
15,1,10:07.0,,Defensive rebound by W. Cauley-Stein,0,3
16,1,9:55.0,,G. Robinson makes 2-pt jump shot from 13 ft (assist by D. Green),0,5
17,1,9:33.0,L. Aldridge misses 3-pt jump shot from 23 ft,,0,5
18,1,9:31.0,,Defensive rebound by W. Cauley-Stein,0,5
19,1,9:22.0,,D. Russell misses 2-pt jump shot from 17 ft,0,5
20,1,9:21.0,Defensive rebound by T. Lyles,,0,5
21,1,9:09.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),,2,5
22,1,8:51.0,,W. Cauley-Stein misses 2-pt hook shot from 5 ft,2,5
23,1,8:50.0,Defensive rebound by T. Lyles,,2,5
24,1,8:41.0,T. Lyles misses 2-pt jump shot from 18 ft,,2,5
25,1,8:39.0,Offensive rebound by L. Aldridge,,2,5
26,1,8:34.0,L. Aldridge misses 2-pt layup from 1 ft,,2,5
27,1,8:33.0,Offensive rebound by L. Aldridge,,2,5
28,1,8:33.0,L. Aldridge makes 2-pt layup from 1 ft,,4,5
29,1,8:25.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Russell),4,7
30,1,8:14.0,D. White misses 2-pt jump shot from 10 ft (block by D. Russell),,4,7
31,1,8:13.0,Offensive rebound by D. White,,4,7
32,1,8:06.0,D. White makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,7,7
33,1,7:52.0,,D. Russell makes 2-pt jump shot from 7 ft (assist by D. Green),7,9
34,1,7:43.0,Shooting foul by J. Poole (drawn by D. DeRozan),,7,9
35,1,7:43.0,D. DeRozan makes free throw 1 of 2,,8,9
36,1,7:43.0,,D. Lee enters the game for J. Poole,8,9
37,1,7:43.0,D. DeRozan makes free throw 2 of 2,,9,9
38,1,7:27.0,,D. Lee misses 2-pt jump shot from 18 ft,9,9
39,1,7:25.0,Defensive rebound by T. Lyles,,9,9
40,1,7:18.0,L. Aldridge misses 2-pt jump shot from 13 ft,,9,9
41,1,7:17.0,,Defensive rebound by D. Lee,9,9
42,1,7:10.0,,D. Green misses 3-pt jump shot from 25 ft,9,9
43,1,7:08.0,Defensive rebound by L. Aldridge,,9,9
44,1,6:52.0,Shooting foul by W. Cauley-Stein (drawn by L. Aldridge),,9,9
45,1,6:52.0,,Golden State full timeout,9,9
