,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:56.0,,Violation by Team (jump ball),0,0
1,1,11:48.0,M. Harkless misses 2-pt layup from 1 ft,,0,0
2,1,11:45.0,,Defensive rebound by D. Dedmon,0,0
3,1,11:39.0,,D. Dedmon misses 3-pt jump shot from 25 ft,0,0
4,1,11:36.0,,Offensive rebound by Team,0,0
5,1,11:30.0,,T. Young misses 2-pt jump shot from 16 ft,0,0
6,1,11:26.0,Defensive rebound by M. Harkless,,0,0
7,1,11:21.0,R. Barrett misses 3-pt jump shot from 24 ft,,0,0
8,1,11:19.0,,Defensive rebound by D. Dedmon,0,0
9,1,11:16.0,,D. Hunter misses 3-pt jump shot from 25 ft,0,0
10,1,11:16.0,Defensive rebound by J. Randle,,0,0
11,1,10:56.0,J. Randle misses 2-pt jump shot from 4 ft,,0,0
12,1,10:52.0,,Defensive rebound by J. Collins,0,0
13,1,10:45.0,,J. Collins misses 3-pt jump shot from 26 ft,0,0
14,1,10:40.0,Defensive rebound by E. Payton,,0,0
15,1,10:37.0,J. Randle makes 2-pt layup from 1 ft (assist by E. Payton),,2,0
16,1,10:20.0,,Personal foul by M. Harkless (drawn by D. Hunter),2,0
17,1,10:10.0,,T. Young makes 2-pt jump shot from 20 ft,2,2
18,1,9:53.0,J. Randle makes 2-pt jump shot from 17 ft (assist by R. Barrett),,4,2
19,1,9:40.0,,D. Dedmon misses 3-pt jump shot from 25 ft,4,2
20,1,9:36.0,Defensive rebound by J. Randle,,4,2
21,1,9:26.0,T. Gibson makes 2-pt layup from 2 ft,,6,2
22,1,9:13.0,,K. Huerter makes 2-pt jump shot from 13 ft,6,4
23,1,9:05.0,Personal foul by K. Huerter (drawn by E. Payton),,6,4
24,1,9:00.0,Turnover by E. Payton (bad pass; steal by J. Collins),,6,4
25,1,8:56.0,,K. Huerter misses 3-pt jump shot from 25 ft,6,4
26,1,8:52.0,Defensive rebound by J. Randle,,6,4
27,1,8:45.0,T. Gibson makes 3-pt jump shot from 23 ft (assist by E. Payton),,9,4
28,1,8:24.0,,Turnover by T. Young (bad pass; steal by E. Payton),9,4
29,1,8:20.0,R. Barrett misses 2-pt layup at rim,,9,4
30,1,8:19.0,Offensive rebound by M. Harkless,,9,4
31,1,8:19.0,M. Harkless makes 2-pt dunk at rim,,11,4
32,1,8:19.0,,Atlanta full timeout,11,4
33,1,8:07.0,,K. Huerter misses 3-pt jump shot from 27 ft,11,4
34,1,8:04.0,,Offensive rebound by D. Dedmon,11,4
35,1,8:04.0,,D. Dedmon misses 2-pt layup from 1 ft,11,4
36,1,8:03.0,Defensive rebound by J. Randle,,11,4
37,1,7:56.0,J. Randle makes 2-pt layup from 1 ft (assist by M. Harkless),,13,4
38,1,7:43.0,,D. Hunter makes 2-pt jump shot from 14 ft,13,6
39,1,7:19.0,R. Barrett misses 3-pt jump shot from 25 ft,,13,6
40,1,7:17.0,,Defensive rebound by J. Collins,13,6
41,1,7:09.0,,Turnover by T. Young (bad pass; steal by T. Gibson),13,6
42,1,7:06.0,M. Harkless makes 2-pt layup at rim (assist by T. Gibson),,15,6
43,1,7:06.0,Shooting foul by D. Hunter (drawn by M. Harkless),,15,6
44,1,7:06.0,M. Harkless makes free throw 1 of 1,,16,6
45,1,6:46.0,,T. Young misses 3-pt jump shot from 25 ft,16,6
46,1,6:42.0,,Offensive rebound by J. Collins,16,6
47,1,6:39.0,,J. Collins misses 2-pt jump shot from 10 ft,16,6
48,1,6:37.0,Defensive rebound by M. Harkless,,16,6
49,1,6:28.0,J. Randle misses 2-pt jump shot from 8 ft,,16,6
50,1,6:24.0,,Defensive rebound by D. Hunter,16,6
51,1,6:15.0,,D. Hunter makes 3-pt jump shot from 26 ft (assist by K. Huerter),16,9
52,1,6:02.0,E. Payton misses 2-pt layup from 1 ft (block by K. Huerter),,16,9
53,1,6:00.0,,Defensive rebound by D. Dedmon,16,9
54,1,5:55.0,,T. Young misses 3-pt jump shot from 30 ft,16,9
55,1,5:50.0,Defensive rebound by J. Randle,,16,9
56,1,5:46.0,Turnover by E. Payton (bad pass),,16,9
57,1,5:46.0,M. Robinson enters the game for T. Gibson,,16,9
58,1,5:46.0,,C. Reddish enters the game for K. Huerter,16,9
59,1,5:46.0,,Violation by Team (delay of game),16,9
60,1,5:34.0,,D. Hunter misses 2-pt jump shot from 16 ft,16,9
61,1,5:31.0,Defensive rebound by E. Payton,,16,9
62,1,5:25.0,M. Harkless makes 2-pt jump shot from 15 ft,,18,9
63,1,5:12.0,,T. Young misses 2-pt jump shot from 12 ft,18,9
64,1,5:08.0,,Offensive rebound by T. Young,18,9
65,1,5:08.0,,T. Young misses 2-pt layup from 1 ft,18,9
66,1,5:08.0,,Offensive rebound by T. Young,18,9
67,1,5:05.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Young),18,11
68,1,4:59.0,Shooting foul by C. Reddish (drawn by R. Barrett),,18,11
69,1,4:59.0,R. Barrett makes free throw 1 of 2,,19,11
70,1,4:59.0,,B. Fernando enters the game for D. Dedmon,19,11
71,1,4:59.0,,J. Teague enters the game for T. Young,19,11
72,1,4:59.0,R. Barrett makes free throw 2 of 2,,20,11
73,1,4:48.0,,C. Reddish misses 3-pt jump shot from 25 ft,20,11
74,1,4:44.0,Defensive rebound by M. Harkless,,20,11
75,1,4:35.0,J. Randle misses 3-pt jump shot from 23 ft,,20,11
76,1,4:33.0,,Defensive rebound by D. Hunter,20,11
