,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,,L. Ball misses 3-pt jump shot from 25 ft,0,0
1,1,11:45.0,Defensive rebound by R. Gobert,,0,0
2,1,11:28.0,,Violation by Team (kicked ball),0,0
3,1,11:14.0,D. Mitchell misses 3-pt jump shot from 25 ft,,0,0
4,1,11:11.0,,Defensive rebound by N. Melli,0,0
5,1,11:04.0,,B. Ingram misses 2-pt layup from 2 ft,0,0
6,1,11:02.0,Defensive rebound by R. O'Neale,,0,0
7,1,10:56.0,R. O'Neale makes 2-pt layup from 2 ft (assist by J. Ingles),,2,0
8,1,10:44.0,,Turnover by L. Ball (bad pass; steal by D. Mitchell),2,0
9,1,10:38.0,R. O'Neale misses 2-pt layup from 2 ft,,2,0
10,1,10:35.0,,Defensive rebound by N. Melli,2,0
11,1,10:25.0,,Personal foul by J. Ingles (drawn by N. Melli),2,0
12,1,10:18.0,,N. Melli makes 3-pt jump shot from 23 ft (assist by L. Ball),2,3
13,1,10:01.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by R. O'Neale),,5,3
14,1,9:45.0,,L. Ball makes 2-pt jump shot from 10 ft,5,5
15,1,9:30.0,J. Ingles makes 3-pt jump shot from 25 ft,,8,5
16,1,9:14.0,,L. Ball misses 2-pt jump shot from 7 ft,8,5
17,1,9:12.0,Defensive rebound by R. Gobert,,8,5
18,1,9:04.0,R. Gobert misses 2-pt layup from 3 ft (block by B. Ingram),,8,5
19,1,9:04.0,Offensive rebound by Team,,8,5
20,1,9:02.0,Personal foul by J. Hart (drawn by R. Gobert),,8,5
21,1,8:53.0,B. Bogdanović makes 2-pt jump shot from 10 ft,,10,5
22,1,8:32.0,,N. Melli misses 2-pt jump shot from 12 ft,10,5
23,1,8:32.0,Defensive rebound by J. Ingles,,10,5
24,1,8:21.0,J. Ingles misses 2-pt jump shot from 21 ft,,10,5
25,1,8:18.0,,Defensive rebound by B. Ingram,10,5
26,1,8:14.0,,Shooting foul by B. Bogdanović (drawn by B. Ingram),10,5
27,1,8:14.0,,B. Ingram makes free throw 1 of 2,10,6
28,1,8:14.0,,B. Ingram makes free throw 2 of 2,10,7
29,1,8:02.0,J. Ingles misses 3-pt jump shot from 25 ft,,10,7
30,1,7:59.0,,Defensive rebound by J. Hart,10,7
31,1,7:45.0,,B. Ingram makes 3-pt jump shot from 23 ft (assist by L. Ball),10,10
32,1,7:27.0,B. Bogdanović misses 2-pt layup from 2 ft (block by J. Hart),,10,10
33,1,7:22.0,,Defensive rebound by D. Favors,10,10
34,1,7:20.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by L. Ball),10,13
35,1,7:01.0,J. Ingles makes 2-pt jump shot from 7 ft (assist by R. Gobert),,12,13
36,1,6:39.0,,J. Hart misses 2-pt jump shot from 8 ft,12,13
37,1,6:37.0,Defensive rebound by R. Gobert,,12,13
38,1,6:26.0,R. Gobert makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,14,13
39,1,6:08.0,,L. Ball misses 2-pt jump shot from 8 ft,14,13
40,1,6:05.0,Defensive rebound by R. Gobert,,14,13
41,1,6:02.0,B. Bogdanović makes 2-pt dunk at rim (assist by R. O'Neale),,16,13
42,1,5:50.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by D. Favors),16,16
43,1,5:33.0,J. Ingles makes 2-pt layup from 2 ft (assist by R. Gobert),,18,16
44,1,5:33.0,Shooting foul by L. Ball (drawn by J. Ingles),,18,16
45,1,5:33.0,,New Orleans full timeout,18,16
46,1,5:33.0,J. Clarkson enters the game for D. Mitchell,,18,16
47,1,5:33.0,J. Ingles misses free throw 1 of 1,,18,16
48,1,5:29.0,,Defensive rebound by L. Ball,18,16
49,1,5:20.0,,B. Ingram misses 2-pt jump shot from 17 ft,18,16
50,1,5:18.0,,Offensive rebound by B. Ingram,18,16
51,1,5:16.0,,Turnover by J. Hart (bad pass),18,16
52,1,4:53.0,J. Clarkson makes 2-pt jump shot from 18 ft,,20,16
53,1,4:41.0,,L. Ball misses 2-pt jump shot from 19 ft,20,16
54,1,4:39.0,Defensive rebound by R. O'Neale,,20,16
55,1,4:27.0,Turnover by J. Clarkson (out of bounds lost ball),,20,16
56,1,4:27.0,E. Mudiay enters the game for J. Ingles,,20,16
57,1,4:12.0,,B. Ingram misses 3-pt jump shot from 25 ft,20,16
58,1,4:09.0,Defensive rebound by R. Gobert,,20,16
59,1,4:03.0,Turnover by E. Mudiay (bad pass; steal by D. Favors),,20,16
60,1,3:57.0,,Turnover by B. Ingram (lost ball; steal by E. Mudiay),20,16
61,1,3:51.0,Turnover by E. Mudiay (bad pass; steal by J. Hart),,20,16
62,1,3:48.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by L. Ball),20,18
63,1,3:19.0,E. Mudiay misses 2-pt jump shot from 13 ft,,20,18
64,1,3:16.0,,Defensive rebound by J. Hart,20,18
65,1,3:04.0,,N. Melli makes 2-pt layup from 2 ft (assist by D. Favors),20,20
66,1,3:04.0,Utah full timeout,,20,20
67,1,3:04.0,T. Bradley enters the game for B. Bogdanović,,20,20
68,1,3:04.0,D. Mitchell enters the game for R. Gobert,,20,20
69,1,3:04.0,G. Niang enters the game for R. O'Neale,,20,20
70,1,3:04.0,,N. Alexander-Walker enters the game for L. Ball,20,20
71,1,3:04.0,,J. Hayes enters the game for D. Favors,20,20
72,1,3:04.0,,E. Moore enters the game for J. Hart,20,20
