,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW YORK_ACTION,BOSTON_SCORE,NEW YORK_SCORE
0,1,11:40.0,,J. Randle makes 2-pt jump shot from 19 ft,0,2
1,1,11:18.0,Turnover by J. Tatum (lost ball; steal by T. Gibson),,0,2
2,1,11:14.0,,F. Ntilikina misses 2-pt layup from 1 ft,0,2
3,1,11:10.0,Defensive rebound by J. Tatum,,0,2
4,1,11:06.0,J. Brown makes 2-pt layup from 2 ft (assist by K. Walker),,2,2
5,1,10:47.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by J. Randle),2,5
6,1,10:28.0,J. Brown misses 3-pt jump shot from 26 ft,,2,5
7,1,10:25.0,,Defensive rebound by T. Gibson,2,5
8,1,10:07.0,,T. Gibson makes 2-pt hook shot from 5 ft,2,7
9,1,9:56.0,Personal foul by T. Gibson (drawn by K. Walker),,2,7
10,1,9:51.0,Turnover by M. Smart (bad pass),,2,7
11,1,9:38.0,,Turnover by J. Randle (bad pass; steal by J. Tatum),2,7
12,1,9:32.0,K. Walker makes 2-pt layup from 2 ft (assist by J. Tatum),,4,7
13,1,9:32.0,Violation by Team (delay of game),,4,7
14,1,9:19.0,,T. Gibson misses 2-pt hook shot from 6 ft,4,7
15,1,9:16.0,Defensive rebound by D. Theis,,4,7
16,1,9:13.0,Turnover by K. Walker (bad pass),,4,7
17,1,9:05.0,,Turnover by F. Ntilikina (bad pass; steal by K. Walker),4,7
18,1,9:00.0,J. Tatum makes 2-pt layup from 2 ft (assist by K. Walker),,6,7
19,1,8:50.0,,R. Barrett misses 2-pt layup from 2 ft (block by J. Tatum),6,7
20,1,8:50.0,,Offensive rebound by Team,6,7
21,1,8:43.0,,J. Randle makes 2-pt jump shot from 12 ft,6,9
22,1,8:29.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. Theis),,9,9
23,1,8:08.0,,J. Randle makes 2-pt hook shot from 3 ft,9,11
24,1,7:55.0,K. Walker misses 2-pt jump shot from 7 ft (block by K. Knox),,9,11
25,1,7:53.0,,Defensive rebound by K. Knox,9,11
26,1,7:51.0,,Shooting foul by D. Theis (drawn by R. Barrett),9,11
27,1,7:51.0,,R. Barrett makes free throw 1 of 2,9,12
28,1,7:51.0,,R. Barrett misses free throw 2 of 2,9,12
29,1,7:49.0,Defensive rebound by J. Tatum,,9,12
30,1,7:35.0,J. Brown misses 3-pt jump shot from 28 ft,,9,12
31,1,7:32.0,,Defensive rebound by R. Barrett,9,12
32,1,7:24.0,,T. Gibson misses 2-pt layup from 2 ft,9,12
33,1,7:22.0,Defensive rebound by D. Theis,,9,12
34,1,7:20.0,Shooting foul by J. Randle (drawn by J. Brown),,9,12
35,1,7:20.0,J. Brown misses free throw 1 of 2,,9,12
36,1,7:20.0,Offensive rebound by Team,,9,12
37,1,7:20.0,J. Brown makes free throw 2 of 2,,10,12
38,1,7:19.0,,Personal foul by M. Smart (drawn by J. Randle),10,12
39,1,7:13.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,10,12
40,1,7:10.0,Defensive rebound by J. Tatum,,10,12
41,1,7:00.0,J. Tatum misses 3-pt jump shot from 26 ft,,10,12
42,1,6:59.0,Offensive rebound by Team,,10,12
43,1,6:59.0,,Loose ball foul by K. Knox (drawn by D. Theis),10,12
44,1,6:59.0,,New York full timeout,10,12
45,1,6:59.0,,M. Robinson enters the game for T. Gibson,10,12
46,1,6:49.0,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Tatum),,13,12
47,1,6:32.0,,R. Barrett makes 2-pt jump shot from 4 ft,13,14
48,1,6:21.0,Personal foul by R. Barrett (drawn by K. Walker),,13,14
49,1,6:21.0,E. Freedom enters the game for J. Tatum,,13,14
50,1,6:21.0,G. Williams enters the game for D. Theis,,13,14
51,1,6:12.0,Shooting foul by K. Knox (drawn by J. Brown),,13,14
52,1,6:12.0,J. Brown makes free throw 1 of 2,,14,14
53,1,6:12.0,,D. Dotson enters the game for K. Knox,14,14
54,1,6:12.0,J. Brown misses free throw 2 of 2,,14,14
55,1,6:09.0,,Defensive rebound by M. Robinson,14,14
