,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,K. Towns makes 3-pt jump shot from 23 ft (assist by R. Covington),,3,0
1,1,11:19.0,,S. Adams makes 2-pt hook shot from 5 ft,3,2
2,1,10:57.0,J. Okogie misses 2-pt jump shot from 6 ft,,3,2
3,1,10:55.0,Offensive rebound by R. Covington,,3,2
4,1,10:48.0,J. Culver makes 2-pt layup from 1 ft (assist by R. Covington),,5,2
5,1,10:27.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by K. Towns),5,2
6,1,10:18.0,K. Towns makes 2-pt layup from 3 ft (assist by J. Teague),,7,2
7,1,10:08.0,,Personal foul by J. Okogie (drawn by S. Gilgeous-Alexander),7,2
8,1,9:59.0,,S. Adams makes 2-pt dunk from 1 ft (assist by D. Gallinari),7,4
9,1,9:48.0,R. Covington misses 3-pt jump shot from 26 ft,,7,4
10,1,9:45.0,,Defensive rebound by S. Adams,7,4
11,1,9:38.0,,C. Paul misses 2-pt jump shot from 15 ft,7,4
12,1,9:35.0,,Offensive rebound by S. Gilgeous-Alexander,7,4
13,1,9:23.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by S. Adams),7,6
14,1,9:15.0,Shooting foul by S. Adams (drawn by K. Towns),,7,6
15,1,9:15.0,K. Towns makes free throw 1 of 2,,8,6
16,1,9:15.0,K. Towns makes free throw 2 of 2,,9,6
17,1,9:03.0,,Turnover by S. Adams (lost ball; steal by J. Culver),9,6
18,1,8:57.0,J. Culver makes 2-pt layup from 1 ft,,11,6
19,1,8:41.0,,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,11,8
20,1,8:28.0,J. Teague makes 3-pt jump shot from 28 ft,,14,8
21,1,8:15.0,,S. Adams makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),14,10
22,1,7:53.0,Turnover by J. Teague (bad pass; steal by D. Gallinari),,14,10
23,1,7:49.0,,D. Gallinari misses 2-pt jump shot from 18 ft,14,10
24,1,7:46.0,,Offensive rebound by Team,14,10
25,1,7:37.0,,D. Gallinari misses 3-pt jump shot from 24 ft,14,10
26,1,7:34.0,Defensive rebound by K. Towns,,14,10
27,1,7:27.0,K. Towns misses 2-pt layup from 5 ft,,14,10
28,1,7:26.0,,Defensive rebound by C. Paul,14,10
29,1,7:18.0,,C. Paul misses 2-pt jump shot from 12 ft,14,10
30,1,7:17.0,,Offensive rebound by C. Paul,14,10
31,1,7:16.0,,C. Paul makes 2-pt layup at rim,14,12
32,1,6:58.0,Personal foul by A. Nader (drawn by K. Towns),,14,12
33,1,6:58.0,,Oklahoma City full timeout,14,12
34,1,6:58.0,,N. Noel enters the game for S. Adams,14,12
35,1,6:41.0,R. Covington misses 2-pt jump shot from 20 ft,,14,12
36,1,6:39.0,,Defensive rebound by S. Gilgeous-Alexander,14,12
37,1,6:29.0,,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by N. Noel),14,14
38,1,6:16.0,J. Culver misses 2-pt layup from 1 ft,,14,14
39,1,6:15.0,Offensive rebound by K. Towns,,14,14
40,1,6:14.0,K. Towns makes 2-pt layup from 1 ft,,16,14
41,1,5:55.0,,D. Gallinari makes 2-pt jump shot from 14 ft (assist by C. Paul),16,16
42,1,5:37.0,K. Towns makes 2-pt hook shot from 2 ft,,18,16
43,1,5:19.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 20 ft,18,18
44,1,5:10.0,J. Teague makes 3-pt jump shot from 27 ft,,21,18
45,1,4:52.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by N. Noel),21,21
46,1,4:33.0,R. Covington makes 2-pt layup from 2 ft,,23,21
47,1,4:23.0,,C. Paul makes 2-pt jump shot from 13 ft,23,23
48,1,4:00.0,J. Culver misses 3-pt jump shot from 26 ft,,23,23
49,1,4:00.0,,Defensive rebound by A. Nader,23,23
50,1,3:47.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Towns),23,23
51,1,3:42.0,J. Okogie makes 2-pt layup from 1 ft (assist by K. Towns),,25,23
52,1,3:34.0,,Oklahoma City full timeout,25,23
53,1,3:34.0,K. Bates-Diop enters the game for R. Covington,,25,23
54,1,3:34.0,K. Martin enters the game for J. Culver,,25,23
55,1,3:34.0,S. Napier enters the game for J. Okogie,,25,23
56,1,3:34.0,,D. Bazley enters the game for D. Gallinari,25,23
57,1,3:34.0,,D. Hall enters the game for A. Nader,25,23
58,1,3:34.0,,D. Schröder enters the game for C. Paul,25,23
59,1,3:20.0,,D. Bazley misses 2-pt jump shot from 8 ft,25,23
60,1,3:17.0,Defensive rebound by K. Martin,,25,23
61,1,3:08.0,K. Towns misses 3-pt jump shot from 24 ft,,25,23
62,1,3:05.0,,Defensive rebound by N. Noel,25,23
63,1,2:50.0,,D. Schröder makes 2-pt layup from 2 ft (assist by N. Noel),25,25
64,1,2:33.0,Personal foul by N. Noel (drawn by K. Towns),,25,25
65,1,2:33.0,G. Dieng enters the game for J. Teague,,25,25
66,1,2:33.0,T. Graham enters the game for K. Towns,,25,25
67,1,2:16.0,Turnover by T. Graham (lost ball; steal by S. Gilgeous-Alexander),,25,25
68,1,2:04.0,,D. Hall misses 2-pt layup from 2 ft,25,25
69,1,2:04.0,,Offensive rebound by Team,25,25
70,1,2:04.0,Loose ball foul by K. Bates-Diop (drawn by D. Hall),,25,25
71,1,2:04.0,,S. Adams enters the game for N. Noel,25,25
72,1,1:55.0,,D. Schröder makes 3-pt jump shot from 23 ft,25,28
73,1,1:37.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,25,28
74,1,1:34.0,Offensive rebound by T. Graham,,25,28
75,1,1:28.0,G. Dieng misses 2-pt dunk from 3 ft (block by S. Adams),,25,28
76,1,1:26.0,,Defensive rebound by D. Bazley,25,28
77,1,1:23.0,,D. Schröder misses 3-pt jump shot from 26 ft,25,28
78,1,1:20.0,Defensive rebound by G. Dieng,,25,28
79,1,1:12.0,Turnover by G. Dieng (palming),,25,28
80,1,1:12.0,,C. Paul enters the game for S. Gilgeous-Alexander,25,28
81,1,1:02.0,,Turnover by D. Schröder (bad pass; steal by T. Graham),25,28
82,1,1:00.0,Turnover by K. Martin (out of bounds lost ball),,25,28
83,1,0:40.0,,Personal foul by K. Martin (drawn by D. Bazley),25,28
84,1,0:28.0,,C. Paul makes 2-pt jump shot from 12 ft,25,30
85,1,0:03.0,S. Napier makes 2-pt jump shot from 14 ft (assist by K. Martin),,27,30
86,2,11:44.0,,S. Adams misses 2-pt jump shot from 9 ft,27,30
87,2,11:41.0,Defensive rebound by G. Dieng,,27,30
88,2,11:36.0,K. Bates-Diop misses 2-pt jump shot from 10 ft (block by S. Adams),,27,30
89,2,11:36.0,Offensive rebound by Team,,27,30
90,2,11:29.0,K. Bates-Diop misses 2-pt layup from 6 ft (block by S. Adams),,27,30
91,2,11:26.0,,Defensive rebound by S. Adams,27,30
92,2,11:25.0,,Shooting foul by S. Napier (drawn by S. Adams),27,30
93,2,11:25.0,,S. Adams misses free throw 1 of 2,27,30
94,2,11:25.0,,Offensive rebound by Team,27,30
95,2,11:25.0,,S. Adams misses free throw 2 of 2,27,30
96,2,11:22.0,Defensive rebound by K. Bates-Diop,,27,30
97,2,11:12.0,S. Napier makes 2-pt jump shot from 13 ft,,29,30
98,2,10:55.0,,S. Adams misses 3-pt jump shot from 24 ft,29,30
99,2,10:52.0,Defensive rebound by S. Napier,,29,30
100,2,10:47.0,G. Dieng misses 2-pt layup from 3 ft (block by C. Paul),,29,30
101,2,10:44.0,,Defensive rebound by Team,29,30
102,2,10:27.0,,S. Adams makes 2-pt hook shot from 4 ft (assist by C. Paul),29,32
103,2,10:16.0,S. Napier makes 3-pt jump shot from 26 ft (assist by K. Bates-Diop),,32,32
104,2,9:57.0,,D. Schröder makes 2-pt layup from 2 ft,32,34
105,2,9:46.0,Turnover by S. Napier (bad pass; steal by D. Bazley),,32,34
106,2,9:42.0,,D. Bazley makes 2-pt dunk from 1 ft,32,36
107,2,9:34.0,Personal foul by C. Paul (drawn by T. Graham),,32,36
108,2,9:34.0,J. Culver enters the game for K. Martin,,32,36
109,2,9:34.0,,A. Nader enters the game for C. Paul,32,36
110,2,9:23.0,S. Napier makes 2-pt layup from 2 ft,,34,36
111,2,9:07.0,,L. Dort misses 2-pt layup from 3 ft,34,36
