,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:37.0,E. Bledsoe makes 2-pt layup from 2 ft,,2,0
1,1,11:25.0,,L. Markkanen misses 3-pt jump shot from 23 ft,2,0
2,1,11:23.0,Defensive rebound by D. DiVincenzo,,2,0
3,1,11:19.0,Offensive foul by E. Bledsoe (drawn by Z. LaVine),,2,0
4,1,11:19.0,Turnover by E. Bledsoe (offensive foul),,2,0
5,1,11:08.0,,Turnover by Z. LaVine (bad pass; steal by K. Middleton),2,0
6,1,11:04.0,K. Middleton makes 2-pt jump shot from 16 ft,,4,0
7,1,10:49.0,,T. Satoranský misses 3-pt jump shot from 25 ft,4,0
8,1,10:43.0,,Offensive rebound by W. Carter,4,0
9,1,10:33.0,,L. Markkanen misses 3-pt jump shot from 27 ft,4,0
10,1,10:31.0,,Offensive rebound by T. Satoranský,4,0
11,1,10:23.0,,Turnover by K. Dunn (traveling),4,0
12,1,10:18.0,K. Middleton misses 2-pt jump shot from 9 ft,,4,0
13,1,10:16.0,,Defensive rebound by L. Markkanen,4,0
14,1,10:01.0,,T. Satoranský misses 2-pt jump shot from 7 ft,4,0
15,1,10:00.0,Defensive rebound by K. Middleton,,4,0
16,1,9:56.0,Shooting foul by L. Markkanen (drawn by G. Antetokounmpo),,4,0
17,1,9:56.0,G. Antetokounmpo makes free throw 1 of 2,,5,0
18,1,9:56.0,,D. Gafford enters the game for W. Carter,5,0
19,1,9:56.0,G. Antetokounmpo makes free throw 2 of 2,,6,0
20,1,9:46.0,,T. Satoranský misses 3-pt jump shot from 23 ft,6,0
21,1,9:45.0,,Offensive rebound by Team,6,0
22,1,9:45.0,Loose ball foul by B. Lopez (drawn by D. Gafford),,6,0
23,1,9:34.0,,T. Satoranský misses 2-pt layup from 2 ft,6,0
24,1,9:31.0,Defensive rebound by E. Bledsoe,,6,0
25,1,9:28.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,8,0
26,1,9:22.0,,Chicago full timeout,8,0
27,1,9:13.0,,T. Satoranský makes 2-pt layup from 3 ft,8,2
28,1,9:00.0,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,10,2
29,1,8:47.0,,K. Dunn makes 2-pt layup from 2 ft,10,4
30,1,8:33.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by D. DiVincenzo),,12,4
31,1,8:13.0,,Z. LaVine misses 2-pt jump shot from 14 ft,12,4
32,1,8:11.0,Defensive rebound by G. Antetokounmpo,,12,4
33,1,8:04.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Gafford),,12,4
34,1,8:00.0,,Personal foul by G. Antetokounmpo (drawn by Z. LaVine),12,4
35,1,8:00.0,P. Connaughton enters the game for E. Bledsoe,,12,4
36,1,7:54.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by Z. LaVine),12,6
37,1,7:35.0,Shooting foul by K. Dunn (drawn by K. Middleton),,12,6
38,1,7:35.0,K. Middleton makes free throw 1 of 3,,13,6
39,1,7:35.0,K. Middleton makes free throw 2 of 3,,14,6
