,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
0,1,11:46.0,,H. Barnes makes 2-pt dunk at rim,0,2
1,1,11:25.0,L. Markkanen misses 3-pt jump shot from 25 ft,,0,2
2,1,11:24.0,,Defensive rebound by Team,0,2
3,1,11:09.0,,N. Bjelica misses 3-pt jump shot from 26 ft,0,2
4,1,11:05.0,Defensive rebound by K. Dunn,,0,2
5,1,10:54.0,T. Satoranský makes 2-pt layup from 4 ft,,2,2
6,1,10:42.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by C. Joseph),2,4
7,1,10:27.0,Turnover by L. Markkanen (lost ball; steal by R. Holmes),,2,4
8,1,10:21.0,,B. Hield misses 2-pt jump shot from 15 ft,2,4
9,1,10:17.0,Defensive rebound by W. Carter,,2,4
10,1,10:06.0,K. Dunn misses 3-pt jump shot from 23 ft,,2,4
11,1,10:03.0,,Defensive rebound by N. Bjelica,2,4
12,1,9:48.0,,B. Hield misses 2-pt jump shot from 18 ft,2,4
13,1,9:45.0,Defensive rebound by L. Markkanen,,2,4
14,1,9:33.0,Turnover by K. Dunn (traveling),,2,4
15,1,9:17.0,,Turnover by N. Bjelica (lost ball; steal by K. Dunn),2,4
16,1,9:15.0,Turnover by Z. LaVine (out of bounds lost ball),,2,4
17,1,9:03.0,,R. Holmes makes 2-pt dunk from 2 ft (assist by B. Hield),2,6
18,1,8:54.0,T. Satoranský misses 3-pt jump shot from 25 ft,,2,6
19,1,8:54.0,,Defensive rebound by B. Hield,2,6
20,1,8:42.0,,Turnover by B. Hield (lost ball; steal by K. Dunn),2,6
21,1,8:39.0,K. Dunn makes 2-pt dunk from 2 ft,,4,6
22,1,8:18.0,,N. Bjelica misses 2-pt layup from 2 ft,4,6
23,1,8:17.0,,Offensive rebound by N. Bjelica,4,6
24,1,8:17.0,,N. Bjelica makes 2-pt layup at rim,4,8
25,1,8:05.0,W. Carter misses 3-pt jump shot from 25 ft,,4,8
26,1,8:00.0,,Defensive rebound by C. Joseph,4,8
27,1,7:55.0,,B. Hield makes 2-pt layup from 1 ft (assist by N. Bjelica),4,10
28,1,7:55.0,Violation by Team (def goaltending),,4,10
29,1,7:55.0,,Shooting foul by K. Dunn (drawn by B. Hield),4,10
30,1,7:55.0,,B. Hield misses free throw 1 of 1,4,10
31,1,7:54.0,Defensive rebound by L. Markkanen,,4,10
32,1,7:45.0,Z. LaVine misses 2-pt layup from 2 ft,,4,10
33,1,7:43.0,,Defensive rebound by C. Joseph,4,10
34,1,7:23.0,,N. Bjelica makes 2-pt jump shot from 3 ft,4,12
35,1,7:23.0,Chicago full timeout,,4,12
36,1,7:04.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),,7,12
37,1,6:50.0,,Turnover by C. Joseph (lost ball),7,12
38,1,6:50.0,,Loose ball foul by C. Joseph (drawn by T. Satoranský),7,12
39,1,6:33.0,K. Dunn misses 2-pt layup from 4 ft,,7,12
40,1,6:30.0,,Defensive rebound by R. Holmes,7,12
41,1,6:16.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by B. Hield),7,15
42,1,5:55.0,T. Satoranský misses 3-pt jump shot from 25 ft,,7,15
43,1,5:51.0,,Defensive rebound by N. Bjelica,7,15
44,1,5:43.0,,H. Barnes misses 2-pt jump shot from 8 ft,7,15
45,1,5:40.0,Defensive rebound by L. Markkanen,,7,15
46,1,5:40.0,C. White enters the game for K. Dunn,,7,15
47,1,5:40.0,,B. Bogdanović enters the game for H. Barnes,7,15
48,1,5:32.0,L. Markkanen misses 2-pt jump shot from 18 ft,,7,15
49,1,5:28.0,,Defensive rebound by B. Hield,7,15
