,QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,0,0
1,1,11:43.0,,Defensive rebound by Team,0,0
2,1,11:43.0,Loose ball foul by D. Powell (drawn by W. Cauley-Stein),,0,0
3,1,11:30.0,,D. Russell makes 2-pt jump shot from 9 ft,0,2
4,1,11:21.0,T. Hardaway misses 2-pt layup from 4 ft,,0,2
5,1,11:20.0,Offensive rebound by D. Powell,,0,2
6,1,11:20.0,D. Powell misses 2-pt layup at rim,,0,2
7,1,11:19.0,,Defensive rebound by W. Cauley-Stein,0,2
8,1,11:11.0,,D. Russell makes 2-pt jump shot from 10 ft,0,4
9,1,10:58.0,L. Dončić makes 3-pt jump shot from 26 ft,,3,4
10,1,10:44.0,,D. Russell makes 2-pt jump shot from 19 ft,3,6
11,1,10:36.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,3,6
12,1,10:34.0,,Defensive rebound by D. Russell,3,6
13,1,10:29.0,,D. Russell makes 3-pt jump shot from 28 ft,3,9
14,1,10:11.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by T. Hardaway),,6,9
15,1,10:05.0,,D. Russell makes 3-pt jump shot from 34 ft,6,12
16,1,10:03.0,Dallas full timeout,,6,12
17,1,9:46.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),,9,12
18,1,9:24.0,,D. Russell makes 3-pt jump shot from 33 ft (assist by D. Green),9,15
19,1,9:09.0,K. Porziņģis misses 2-pt jump shot from 13 ft,,9,15
20,1,9:04.0,,Defensive rebound by D. Lee,9,15
21,1,8:57.0,,D. Lee makes 3-pt jump shot from 28 ft (assist by D. Green),9,18
22,1,8:39.0,L. Dončić makes 3-pt jump shot from 29 ft,,12,18
23,1,8:25.0,,G. Robinson misses 3-pt jump shot from 24 ft,12,18
24,1,8:22.0,Defensive rebound by D. Powell,,12,18
25,1,8:07.0,L. Dončić misses 2-pt jump shot from 5 ft,,12,18
26,1,8:06.0,,Defensive rebound by D. Lee,12,18
27,1,7:53.0,,G. Robinson misses 3-pt jump shot from 23 ft,12,18
28,1,7:51.0,Defensive rebound by L. Dončić,,12,18
29,1,7:43.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by L. Dončić),,15,18
30,1,7:35.0,,Turnover by W. Cauley-Stein (bad pass; steal by L. Dončić),15,18
31,1,7:26.0,T. Hardaway makes 2-pt dunk from 2 ft (assist by L. Dončić),,17,18
32,1,7:26.0,,Golden State full timeout,17,18
33,1,7:13.0,,D. Lee makes 3-pt jump shot from 24 ft (assist by D. Green),17,21
34,1,6:56.0,Shooting foul by G. Robinson (drawn by L. Dončić),,17,21
35,1,6:56.0,L. Dončić makes free throw 1 of 2,,18,21
36,1,6:56.0,L. Dončić makes free throw 2 of 2,,19,21
37,1,6:43.0,,G. Robinson makes 3-pt jump shot from 24 ft (assist by D. Green),19,24
38,1,6:18.0,D. Finney-Smith misses 2-pt layup from 3 ft,,19,24
39,1,6:16.0,Offensive rebound by D. Powell,,19,24
40,1,6:14.0,K. Porziņģis makes 3-pt jump shot from 23 ft (assist by D. Powell),,22,24
41,1,6:07.0,,D. Russell makes 3-pt jump shot from 30 ft (assist by D. Green),22,27
42,1,5:53.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by K. Porziņģis),,25,27
43,1,5:53.0,Shooting foul by D. Green (drawn by T. Hardaway),,25,27
44,1,5:53.0,T. Hardaway makes free throw 1 of 1,,26,27
45,1,5:36.0,,D. Russell misses 2-pt jump shot from 13 ft,26,27
46,1,5:34.0,Defensive rebound by L. Dončić,,26,27
47,1,5:29.0,T. Hardaway misses 3-pt jump shot from 23 ft,,26,27
