,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DALLAS_ACTION,NEW YORK_SCORE,DALLAS_SCORE
0,1,11:47.0,,L. Dončić makes 2-pt layup from 3 ft,0,2
1,1,11:30.0,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by M. Morris),,3,2
2,1,11:13.0,,Turnover by L. Dončić (bad pass; steal by T. Gibson),3,2
3,1,11:01.0,J. Randle misses 2-pt jump shot from 18 ft,,3,2
4,1,10:57.0,,Defensive rebound by K. Porziņģis,3,2
5,1,10:53.0,,C. Lee misses 2-pt jump shot from 20 ft,3,2
6,1,10:51.0,Defensive rebound by F. Ntilikina,,3,2
7,1,10:44.0,T. Gibson makes 2-pt jump shot from 14 ft (assist by F. Ntilikina),,5,2
8,1,10:28.0,,L. Dončić misses 2-pt layup from 2 ft,5,2
9,1,10:27.0,Defensive rebound by T. Gibson,,5,2
10,1,10:27.0,Turnover by T. Gibson (out of bounds lost ball),,5,2
11,1,10:25.0,,C. Lee makes 2-pt layup from 1 ft (assist by L. Dončić),5,4
12,1,10:11.0,R. Barrett makes 2-pt jump shot from 20 ft (assist by T. Gibson),,7,4
13,1,9:59.0,,L. Dončić makes 2-pt jump shot from 7 ft,7,6
14,1,9:44.0,J. Randle makes 2-pt hook shot from 6 ft,,9,6
15,1,9:31.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by L. Dončić),9,9
16,1,9:14.0,Offensive foul by J. Randle (drawn by D. Powell),,9,9
17,1,9:14.0,Turnover by J. Randle (offensive foul),,9,9
18,1,9:05.0,,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by L. Dončić),9,12
19,1,8:44.0,M. Morris makes 2-pt jump shot from 15 ft,,11,12
20,1,8:32.0,,L. Dončić misses 2-pt jump shot from 9 ft,11,12
21,1,8:30.0,,Offensive rebound by L. Dončić,11,12
22,1,8:28.0,,L. Dončić makes 2-pt layup from 2 ft,11,14
23,1,8:12.0,M. Morris misses 2-pt jump shot from 14 ft,,11,14
24,1,8:10.0,Offensive rebound by M. Morris,,11,14
25,1,8:08.0,Turnover by M. Morris (back court),,11,14
26,1,7:56.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,11,14
27,1,7:54.0,Defensive rebound by R. Barrett,,11,14
28,1,7:43.0,J. Randle makes 2-pt hook shot from 8 ft,,13,14
29,1,7:28.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Dončić),13,17
30,1,7:21.0,New York full timeout,,13,17
31,1,7:21.0,,T. Hardaway enters the game for C. Lee,13,17
32,1,7:12.0,R. Barrett misses 3-pt jump shot from 25 ft,,13,17
33,1,7:08.0,,Defensive rebound by L. Dončić,13,17
34,1,6:59.0,,Personal foul by F. Ntilikina (drawn by L. Dončić),13,17
35,1,6:53.0,,L. Dončić misses 2-pt jump shot from 7 ft,13,17
36,1,6:51.0,,Offensive rebound by D. Powell,13,17
37,1,6:43.0,,K. Porziņģis misses 2-pt jump shot from 7 ft,13,17
38,1,6:40.0,Defensive rebound by F. Ntilikina,,13,17
39,1,6:34.0,J. Randle makes 2-pt layup from 2 ft,,15,17
40,1,6:24.0,,L. Dončić misses 3-pt jump shot from 25 ft,15,17
41,1,6:22.0,Defensive rebound by R. Barrett,,15,17
42,1,6:11.0,R. Barrett misses 2-pt jump shot from 20 ft,,15,17
43,1,6:07.0,Offensive rebound by F. Ntilikina,,15,17
44,1,6:00.0,F. Ntilikina misses 2-pt jump shot from 9 ft,,15,17
45,1,5:59.0,,Defensive rebound by K. Porziņģis,15,17
46,1,5:56.0,,Shooting foul by T. Gibson (drawn by L. Dončić),15,17
47,1,5:56.0,,L. Dončić makes free throw 1 of 2,15,18
48,1,5:56.0,K. Knox enters the game for T. Gibson,,15,18
49,1,5:56.0,B. Portis enters the game for M. Morris,,15,18
50,1,5:56.0,,J. Jackson enters the game for D. Finney-Smith,15,18
51,1,5:56.0,,L. Dončić makes free throw 2 of 2,15,19
52,1,5:45.0,Shooting foul by K. Porziņģis (drawn by R. Barrett),,15,19
53,1,5:45.0,R. Barrett misses free throw 1 of 2,,15,19
54,1,5:45.0,Offensive rebound by Team,,15,19
55,1,5:45.0,,M. Kleber enters the game for K. Porziņģis,15,19
56,1,5:45.0,R. Barrett misses free throw 2 of 2,,15,19
57,1,5:42.0,,Defensive rebound by D. Powell,15,19
58,1,5:37.0,,T. Hardaway misses 3-pt jump shot from 25 ft,15,19
59,1,5:36.0,,Offensive rebound by J. Jackson,15,19
60,1,5:34.0,,J. Jackson misses 2-pt layup from 3 ft,15,19
61,1,5:32.0,,Offensive rebound by D. Powell,15,19
62,1,5:31.0,,J. Jackson misses 3-pt jump shot from 23 ft,15,19
63,1,5:27.0,Defensive rebound by R. Barrett,,15,19
64,1,5:23.0,Shooting foul by D. Powell (drawn by J. Randle),,15,19
65,1,5:23.0,J. Randle makes free throw 1 of 2,,16,19
66,1,5:23.0,J. Randle makes free throw 2 of 2,,17,19
67,1,5:11.0,,T. Hardaway misses 2-pt jump shot from 19 ft,17,19
68,1,5:07.0,Defensive rebound by K. Knox,,17,19
69,1,5:00.0,K. Knox makes 3-pt jump shot from 26 ft (assist by J. Randle),,20,19
70,1,4:41.0,,L. Dončić misses 3-pt jump shot from 25 ft,20,19
71,1,4:39.0,Defensive rebound by K. Knox,,20,19
72,1,4:32.0,B. Portis makes 3-pt jump shot from 25 ft (assist by J. Randle),,23,19
73,1,4:31.0,,Dallas full timeout,23,19
74,1,4:13.0,,Turnover by L. Dončić (bad pass; steal by F. Ntilikina),23,19
75,1,4:04.0,B. Portis makes 2-pt jump shot from 16 ft (assist by F. Ntilikina),,25,19
76,1,3:48.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),25,22
77,1,3:23.0,B. Portis misses 2-pt hook shot from 1 ft,,25,22
78,1,3:21.0,,Defensive rebound by M. Kleber,25,22
