,QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
0,1,11:43.0,B. Adebayo misses 2-pt jump shot from 11 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Mitchell,0,0
2,1,11:23.0,,Shooting foul by D. Jones (drawn by D. Mitchell),0,0
3,1,11:23.0,,D. Mitchell makes free throw 1 of 2,0,1
4,1,11:23.0,,D. Mitchell makes free throw 2 of 2,0,2
5,1,11:14.0,J. Butler makes 2-pt jump shot from 4 ft (assist by B. Adebayo),,2,2
6,1,10:50.0,,J. Ingles misses 3-pt jump shot from 22 ft,2,2
7,1,10:46.0,Defensive rebound by J. Butler,,2,2
8,1,10:39.0,K. Nunn misses 2-pt layup from 3 ft (block by R. Gobert),,2,2
9,1,10:39.0,Offensive rebound by Team,,2,2
10,1,10:30.0,B. Adebayo misses 2-pt jump shot from 8 ft,,2,2
11,1,10:26.0,Offensive rebound by J. Butler,,2,2
12,1,10:25.0,J. Butler misses 3-pt jump shot from 23 ft,,2,2
13,1,10:22.0,,Defensive rebound by R. Gobert,2,2
14,1,10:09.0,,D. Mitchell misses 3-pt jump shot from 26 ft,2,2
15,1,10:07.0,Defensive rebound by K. Nunn,,2,2
16,1,9:53.0,K. Nunn misses 2-pt jump shot from 19 ft,,2,2
17,1,9:51.0,,Defensive rebound by D. Mitchell,2,2
18,1,9:44.0,,Turnover by D. Mitchell (bad pass; steal by D. Robinson),2,2
19,1,9:41.0,K. Nunn makes 2-pt dunk from 1 ft (assist by D. Robinson),,4,2
20,1,9:26.0,,Turnover by B. Bogdanović (bad pass; steal by B. Adebayo),4,2
21,1,9:21.0,,Violation by Team (kicked ball),4,2
22,1,9:11.0,Turnover by B. Adebayo (bad pass; steal by D. Mitchell),,4,2
23,1,8:56.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),4,4
24,1,8:37.0,K. Nunn misses 3-pt jump shot from 29 ft,,4,4
25,1,8:34.0,,Defensive rebound by B. Bogdanović,4,4
26,1,8:15.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Ingles),4,6
27,1,8:00.0,J. Butler makes 2-pt layup from 3 ft,,6,6
28,1,7:48.0,,Personal foul by D. Robinson (drawn by R. Gobert),6,6
29,1,7:37.0,,J. Ingles misses 3-pt jump shot from 26 ft,6,6
30,1,7:35.0,Defensive rebound by B. Adebayo,,6,6
31,1,7:27.0,D. Robinson misses 3-pt jump shot from 24 ft,,6,6
32,1,7:24.0,,Defensive rebound by J. Ingles,6,6
33,1,7:09.0,,Turnover by R. O'Neale (lost ball; steal by K. Nunn),6,6
34,1,7:02.0,K. Nunn makes 2-pt jump shot from 14 ft,,8,6
35,1,6:37.0,,B. Bogdanović makes 2-pt layup from 2 ft,8,8
36,1,6:26.0,Shooting foul by R. Gobert (drawn by J. Butler),,8,8
37,1,6:26.0,,Utah full timeout,8,8
38,1,6:26.0,G. Dragić enters the game for D. Robinson,,8,8
39,1,6:26.0,,J. Clarkson enters the game for J. Ingles,8,8
40,1,6:26.0,J. Butler makes free throw 1 of 2,,9,8
41,1,6:26.0,J. Butler makes free throw 2 of 2,,10,8
42,1,6:03.0,,D. Mitchell makes 3-pt jump shot from 28 ft (assist by R. Gobert),10,11
43,1,5:37.0,J. Butler makes 2-pt jump shot from 9 ft,,12,11
44,1,5:22.0,,B. Bogdanović misses 2-pt jump shot from 9 ft (block by D. Jones),12,11
45,1,5:22.0,,Offensive rebound by Team,12,11
46,1,5:21.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Mitchell),12,14
47,1,5:05.0,G. Dragić misses 3-pt jump shot from 26 ft,,12,14
48,1,5:01.0,,Defensive rebound by B. Bogdanović,12,14
49,1,4:55.0,,J. Clarkson misses 3-pt jump shot from 25 ft,12,14
50,1,4:51.0,Defensive rebound by B. Adebayo,,12,14
51,1,4:48.0,Shooting foul by B. Bogdanović (drawn by B. Adebayo),,12,14
52,1,4:48.0,B. Adebayo makes free throw 1 of 2,,13,14
53,1,4:48.0,B. Adebayo misses free throw 2 of 2,,13,14
54,1,4:45.0,,Defensive rebound by D. Mitchell,13,14
55,1,4:38.0,,R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Mitchell),13,17
56,1,4:23.0,Personal foul by J. Clarkson (drawn by G. Dragić),,13,17
57,1,4:23.0,J. Crowder enters the game for D. Jones,,13,17
58,1,4:12.0,K. Nunn misses 2-pt jump shot from 14 ft,,13,17
59,1,4:10.0,,Defensive rebound by R. O'Neale,13,17
60,1,4:09.0,,Turnover by R. O'Neale (bad pass; steal by B. Adebayo),13,17
61,1,4:05.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,16,17
62,1,3:43.0,,D. Mitchell makes 2-pt jump shot from 10 ft,16,19
63,1,3:30.0,J. Crowder misses 2-pt jump shot from 19 ft,,16,19
64,1,3:27.0,,Defensive rebound by D. Mitchell,16,19
65,1,3:18.0,,Turnover by D. Mitchell (bad pass; steal by K. Nunn),16,19
66,1,3:13.0,J. Crowder makes 2-pt layup from 3 ft (assist by K. Nunn),,18,19
67,1,2:59.0,,J. Clarkson makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),18,21
68,1,2:52.0,Miami full timeout,,18,21
69,1,2:52.0,K. Olynyk enters the game for B. Adebayo,,18,21
70,1,2:52.0,,T. Bradley enters the game for B. Bogdanović,18,21
71,1,2:52.0,,E. Mudiay enters the game for R. Gobert,18,21
72,1,2:52.0,,G. Niang enters the game for D. Mitchell,18,21
73,1,2:40.0,J. Butler misses 2-pt jump shot from 8 ft,,18,21
74,1,2:36.0,,Defensive rebound by T. Bradley,18,21
75,1,2:27.0,,J. Clarkson misses 2-pt jump shot from 6 ft,18,21
76,1,2:26.0,,Offensive rebound by J. Clarkson,18,21
77,1,2:25.0,,J. Clarkson makes 2-pt layup from 2 ft,18,23
78,1,2:14.0,G. Dragić makes 2-pt jump shot from 14 ft,,20,23
79,1,2:14.0,A. Iguodala enters the game for J. Butler,,20,23
80,1,2:14.0,D. Robinson enters the game for K. Nunn,,20,23
81,1,1:48.0,,G. Niang misses 3-pt jump shot from 25 ft,20,23
82,1,1:44.0,Defensive rebound by G. Dragić,,20,23
83,1,1:32.0,A. Iguodala makes 3-pt jump shot from 23 ft (assist by J. Crowder),,23,23
84,1,1:22.0,,R. O'Neale misses 3-pt jump shot from 28 ft,23,23
85,1,1:18.0,Defensive rebound by K. Olynyk,,23,23
86,1,1:10.0,K. Olynyk misses 2-pt jump shot from 13 ft,,23,23
87,1,1:07.0,,Defensive rebound by T. Bradley,23,23
88,1,0:59.0,,J. Clarkson misses 3-pt jump shot from 26 ft,23,23
89,1,0:55.0,Defensive rebound by D. Robinson,,23,23
90,1,0:51.0,G. Dragić makes 2-pt jump shot from 9 ft (assist by D. Robinson),,25,23
91,1,0:35.0,,T. Bradley makes 2-pt layup from 2 ft (assist by J. Clarkson),25,25
