,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ATLANTA_ACTION,PHOENIX_SCORE,ATLANTA_SCORE
0,1,11:45.0,Shooting foul by C. Reddish (drawn by D. Booker),,0,0
1,1,11:45.0,D. Booker makes free throw 1 of 2,,1,0
2,1,11:45.0,D. Booker makes free throw 2 of 2,,2,0
3,1,11:30.0,,J. Collins misses 2-pt hook shot from 10 ft,2,0
4,1,11:27.0,,Offensive rebound by D. Hunter,2,0
5,1,11:22.0,,J. Collins misses 3-pt jump shot from 25 ft,2,0
6,1,11:19.0,Defensive rebound by E. Okobo,,2,0
7,1,11:13.0,A. Baynes misses 3-pt jump shot from 26 ft,,2,0
8,1,11:09.0,,Defensive rebound by D. Hunter,2,0
9,1,11:01.0,,Shooting foul by A. Baynes (drawn by C. Reddish),2,0
10,1,11:01.0,,C. Reddish makes free throw 1 of 2,2,1
11,1,11:01.0,,C. Reddish makes free throw 2 of 2,2,2
12,1,10:48.0,D. Booker makes 3-pt jump shot from 26 ft,,5,2
13,1,10:36.0,,T. Young misses 2-pt jump shot from 13 ft,5,2
14,1,10:33.0,Defensive rebound by A. Baynes,,5,2
15,1,10:25.0,D. Booker makes 2-pt jump shot from 11 ft,,7,2
16,1,10:08.0,,C. Reddish misses 2-pt jump shot from 5 ft,7,2
17,1,10:04.0,,Offensive rebound by K. Huerter,7,2
18,1,10:02.0,,D. Hunter makes 3-pt jump shot from 26 ft (assist by K. Huerter),7,5
19,1,9:46.0,Shooting foul by C. Reddish (drawn by A. Baynes),,7,5
20,1,9:46.0,A. Baynes makes free throw 1 of 2,,8,5
21,1,9:46.0,,D. Jones enters the game for C. Reddish,8,5
22,1,9:46.0,A. Baynes makes free throw 2 of 2,,9,5
23,1,9:24.0,,D. Jones misses 2-pt layup from 1 ft,9,5
24,1,9:24.0,,Offensive rebound by Team,9,5
25,1,9:10.0,,T. Young makes 2-pt jump shot from 6 ft,9,7
26,1,8:57.0,D. Šarić makes 2-pt jump shot from 19 ft (assist by A. Baynes),,11,7
27,1,8:40.0,,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),11,9
28,1,8:22.0,D. Šarić misses 2-pt layup from 3 ft (block by J. Collins),,11,9
29,1,8:17.0,,Defensive rebound by K. Huerter,11,9
30,1,8:15.0,,D. Hunter misses 3-pt jump shot from 24 ft,11,9
31,1,8:13.0,Defensive rebound by E. Okobo,,11,9
32,1,8:08.0,K. Oubre misses 3-pt jump shot from 23 ft,,11,9
33,1,8:08.0,,Defensive rebound by Team,11,9
34,1,8:08.0,Loose ball foul by D. Booker (drawn by T. Young),,11,9
35,1,7:58.0,,T. Young misses 3-pt jump shot from 28 ft,11,9
36,1,7:56.0,Defensive rebound by D. Booker,,11,9
37,1,7:44.0,D. Booker misses 2-pt jump shot from 12 ft,,11,9
38,1,7:39.0,,Defensive rebound by D. Jones,11,9
39,1,7:31.0,,D. Hunter misses 2-pt layup from 1 ft,11,9
40,1,7:30.0,Defensive rebound by Team,,11,9
41,1,7:21.0,Personal foul by D. Hunter (drawn by A. Baynes),,11,9
42,1,7:21.0,D. Ayton enters the game for A. Baynes,,11,9
43,1,7:16.0,D. Šarić misses 3-pt jump shot from 26 ft,,11,9
44,1,7:11.0,Offensive rebound by D. Booker,,11,9
45,1,7:08.0,K. Oubre misses 3-pt jump shot from 26 ft,,11,9
46,1,7:06.0,Offensive rebound by E. Okobo,,11,9
47,1,7:00.0,E. Okobo misses 2-pt layup from 2 ft,,11,9
48,1,6:56.0,Offensive rebound by D. Ayton,,11,9
49,1,6:56.0,D. Ayton misses 2-pt layup from 1 ft,,11,9
50,1,6:55.0,,Defensive rebound by K. Huerter,11,9
