,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:39.0,J. Brown misses 2-pt layup from 5 ft (block by I. Mahinmi),,0,0
1,1,11:35.0,,Defensive rebound by I. Mahinmi,0,0
2,1,11:25.0,,I. Mahinmi makes 2-pt layup from 2 ft,0,2
3,1,11:05.0,J. Brown misses 2-pt layup from 1 ft,,0,2
4,1,11:03.0,Offensive rebound by J. Brown,,0,2
5,1,11:03.0,J. Brown makes 2-pt layup from 1 ft,,2,2
6,1,10:49.0,,I. Thomas misses 2-pt layup from 10 ft (block by M. Smart),2,2
7,1,10:49.0,,Offensive rebound by Team,2,2
8,1,10:47.0,,J. McRae makes 2-pt jump shot from 15 ft (assist by G. Payton),2,4
9,1,10:27.0,Turnover by D. Theis (lost ball; steal by J. McRae),,2,4
10,1,10:07.0,,I. Thomas makes 3-pt jump shot from 29 ft (assist by G. Payton),2,7
11,1,9:44.0,J. Brown makes 3-pt jump shot from 27 ft (assist by D. Theis),,5,7
12,1,9:19.0,,I. Thomas misses 3-pt jump shot from 25 ft,5,7
13,1,9:17.0,Defensive rebound by G. Hayward,,5,7
14,1,9:13.0,J. Brown misses 2-pt layup from 1 ft (block by G. Payton),,5,7
15,1,9:13.0,Offensive rebound by Team,,5,7
16,1,9:05.0,J. Tatum misses 2-pt layup from 6 ft,,5,7
17,1,9:01.0,,Defensive rebound by J. McRae,5,7
18,1,8:58.0,,J. McRae misses 2-pt layup from 7 ft (block by D. Theis),5,7
19,1,8:56.0,Defensive rebound by G. Hayward,,5,7
20,1,8:52.0,D. Theis misses 2-pt layup from 2 ft (block by I. Mahinmi),,5,7
21,1,8:52.0,Offensive rebound by Team,,5,7
22,1,8:41.0,M. Smart misses 3-pt jump shot from 25 ft,,5,7
23,1,8:38.0,,Defensive rebound by I. Thomas,5,7
24,1,8:23.0,,J. McRae misses 2-pt jump shot from 17 ft (block by J. Tatum),5,7
25,1,8:19.0,Defensive rebound by J. Brown,,5,7
26,1,8:12.0,Shooting foul by I. Bonga (drawn by G. Hayward),,5,7
27,1,8:12.0,G. Hayward misses free throw 1 of 2,,5,7
28,1,8:12.0,Offensive rebound by Team,,5,7
29,1,8:12.0,E. Freedom enters the game for D. Theis,,5,7
30,1,8:12.0,G. Hayward makes free throw 2 of 2,,6,7
31,1,7:54.0,,I. Thomas makes 2-pt layup from 3 ft (assist by J. McRae),6,9
