,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
0,1,11:47.0,J. Richardson misses 2-pt jump shot from 16 ft,,0,0
1,1,11:44.0,,Defensive rebound by M. Hezonja,0,0
2,1,11:26.0,,D. Lillard misses 3-pt jump shot from 26 ft,0,0
3,1,11:23.0,,Offensive rebound by M. Hezonja,0,0
4,1,11:22.0,,Turnover by D. Lillard (step out of bounds),0,0
5,1,11:13.0,Turnover by A. Horford (bad pass; steal by M. Hezonja),,0,0
6,1,11:06.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by R. Hood),0,3
7,1,10:52.0,Offensive foul by B. Simmons (drawn by M. Hezonja),,0,3
8,1,10:52.0,Turnover by B. Simmons (offensive foul),,0,3
9,1,10:37.0,,A. Tolliver misses 3-pt jump shot from 25 ft (block by A. Horford),0,3
10,1,10:33.0,Defensive rebound by T. Harris,,0,3
11,1,10:26.0,T. Harris makes 3-pt jump shot from 25 ft (assist by J. Richardson),,3,3
12,1,10:09.0,,C. McCollum misses 2-pt jump shot from 15 ft,3,3
13,1,10:07.0,Defensive rebound by T. Harris,,3,3
14,1,10:01.0,Turnover by B. Simmons (bad pass; steal by D. Lillard),,3,3
15,1,9:58.0,,D. Lillard makes 2-pt layup from 1 ft,3,5
16,1,9:49.0,M. Thybulle misses 3-pt jump shot from 23 ft,,3,5
17,1,9:47.0,,Defensive rebound by C. McCollum,3,5
18,1,9:37.0,,A. Tolliver misses 2-pt layup from 3 ft (block by T. Harris),3,5
19,1,9:35.0,,Offensive rebound by A. Tolliver,3,5
20,1,9:33.0,,M. Hezonja makes 3-pt jump shot from 29 ft (assist by D. Lillard),3,8
21,1,9:12.0,A. Horford misses 2-pt jump shot from 6 ft,,3,8
22,1,9:10.0,,Defensive rebound by M. Hezonja,3,8
23,1,8:59.0,,Shooting foul by T. Harris (drawn by A. Tolliver),3,8
24,1,8:59.0,,A. Tolliver makes free throw 1 of 2,3,9
25,1,8:59.0,,A. Tolliver makes free throw 2 of 2,3,10
26,1,8:46.0,A. Horford makes 2-pt hook shot from 5 ft (assist by M. Thybulle),,5,10
27,1,8:36.0,,D. Lillard makes 3-pt jump shot from 25 ft,5,13
28,1,8:26.0,Personal foul by C. McCollum (drawn by J. Richardson),,5,13
29,1,8:19.0,J. Richardson misses 2-pt jump shot from 9 ft,,5,13
30,1,8:17.0,Offensive rebound by A. Horford,,5,13
31,1,8:07.0,T. Harris makes 2-pt layup from 1 ft (assist by A. Horford),,7,13
32,1,7:58.0,,C. McCollum misses 3-pt jump shot from 24 ft,7,13
33,1,7:56.0,Defensive rebound by B. Simmons,,7,13
34,1,7:49.0,A. Horford misses 3-pt jump shot from 26 ft,,7,13
35,1,7:47.0,,Defensive rebound by C. McCollum,7,13
36,1,7:41.0,,C. McCollum misses 2-pt layup from 2 ft (block by T. Harris),7,13
37,1,7:40.0,Defensive rebound by B. Simmons,,7,13
38,1,7:35.0,B. Simmons makes 2-pt layup from 2 ft,,9,13
39,1,7:09.0,,R. Hood misses 3-pt jump shot from 25 ft (block by M. Thybulle),9,13
40,1,7:06.0,Defensive rebound by B. Simmons,,9,13
41,1,7:04.0,B. Simmons makes 2-pt layup from 2 ft,,11,13
42,1,6:55.0,,Portland full timeout,11,13
43,1,6:55.0,J. Ennis enters the game for A. Horford,,11,13
44,1,6:55.0,K. O'Quinn enters the game for J. Richardson,,11,13
45,1,6:50.0,,Shooting foul by K. O'Quinn (drawn by A. Tolliver),11,13
46,1,6:50.0,,A. Tolliver makes free throw 1 of 2,11,14
47,1,6:50.0,,A. Tolliver misses free throw 2 of 2,11,14
48,1,6:47.0,Defensive rebound by B. Simmons,,11,14
49,1,6:42.0,M. Thybulle misses 3-pt jump shot from 23 ft,,11,14
50,1,6:38.0,Offensive rebound by J. Ennis,,11,14
51,1,6:34.0,B. Simmons makes 2-pt hook shot from 4 ft,,13,14
52,1,6:13.0,,M. Hezonja misses 3-pt jump shot from 26 ft,13,14
53,1,6:09.0,,Offensive rebound by M. Hezonja,13,14
54,1,6:08.0,,M. Hezonja makes 2-pt jump shot from 4 ft,13,16
55,1,5:57.0,Turnover by B. Simmons (lost ball; steal by M. Hezonja),,13,16
56,1,5:51.0,,M. Hezonja makes 2-pt layup from 1 ft,13,18
57,1,5:30.0,B. Simmons misses 2-pt layup from 2 ft,,13,18
58,1,5:28.0,,Defensive rebound by D. Lillard,13,18
59,1,5:21.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by M. Hezonja),13,21
60,1,5:20.0,Philadelphia full timeout,,13,21
61,1,5:20.0,,S. Labissière enters the game for A. Tolliver,13,21
62,1,5:06.0,B. Simmons makes 2-pt layup from 1 ft (assist by T. Harris),,15,21
63,1,5:06.0,Shooting foul by S. Labissière (drawn by B. Simmons),,15,21
64,1,5:06.0,B. Simmons makes free throw 1 of 1,,16,21
65,1,4:53.0,,Personal foul by M. Thybulle (drawn by R. Hood),16,21
66,1,4:53.0,,K. Bazemore enters the game for R. Hood,16,21
67,1,4:45.0,,C. McCollum makes 2-pt jump shot from 17 ft,16,23
68,1,4:29.0,B. Simmons makes 2-pt layup from 2 ft (assist by K. O'Quinn),,18,23
