,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,D. Favors makes 2-pt layup from 1 ft (assist by L. Ball),0,2
1,1,11:24.0,L. Aldridge makes 2-pt hook shot from 8 ft,,2,2
2,1,11:13.0,,J. Holiday misses 3-pt jump shot from 25 ft,2,2
3,1,11:13.0,Defensive rebound by L. Aldridge,,2,2
4,1,11:04.0,T. Lyles misses 3-pt jump shot from 23 ft,,2,2
5,1,11:00.0,,Defensive rebound by D. Favors,2,2
6,1,10:46.0,,L. Ball misses 3-pt jump shot from 25 ft,2,2
7,1,10:43.0,Defensive rebound by T. Lyles,,2,2
8,1,10:37.0,B. Forbes misses 2-pt jump shot from 23 ft,,2,2
9,1,10:33.0,,Defensive rebound by D. Favors,2,2
10,1,10:26.0,,B. Ingram misses 2-pt jump shot from 15 ft,2,2
11,1,10:23.0,Defensive rebound by L. Aldridge,,2,2
12,1,10:13.0,D. DeRozan misses 2-pt jump shot from 13 ft,,2,2
13,1,10:10.0,,Defensive rebound by D. Favors,2,2
14,1,10:04.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by L. Ball),2,4
15,1,9:39.0,L. Aldridge makes 3-pt jump shot from 26 ft (assist by D. Murray),,5,4
16,1,9:28.0,,Turnover by Z. Williamson (bad pass),5,4
17,1,9:08.0,L. Aldridge misses 3-pt jump shot from 25 ft,,5,4
18,1,9:05.0,,Defensive rebound by L. Ball,5,4
19,1,8:58.0,,B. Ingram makes 2-pt dunk from 2 ft (assist by Z. Williamson),5,6
20,1,8:57.0,San Antonio full timeout,,5,6
21,1,8:45.0,L. Aldridge misses 2-pt jump shot from 13 ft,,5,6
22,1,8:44.0,,Defensive rebound by Team,5,6
23,1,8:32.0,,Z. Williamson misses 2-pt layup from 1 ft,5,6
24,1,8:30.0,Defensive rebound by L. Aldridge,,5,6
25,1,8:18.0,D. DeRozan misses 2-pt jump shot from 7 ft,,5,6
26,1,8:17.0,,Defensive rebound by D. Favors,5,6
27,1,8:09.0,,D. Favors makes 2-pt layup from 1 ft (assist by B. Ingram),5,8
28,1,8:09.0,,Shooting foul by L. Aldridge (drawn by D. Favors),5,8
29,1,8:09.0,,J. Redick enters the game for Z. Williamson,5,8
30,1,8:09.0,,D. Favors makes free throw 1 of 1,5,9
31,1,7:58.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,8,9
32,1,7:45.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,9
33,1,7:43.0,Defensive rebound by D. DeRozan,,8,9
34,1,7:33.0,D. DeRozan misses 2-pt jump shot from 6 ft,,8,9
35,1,7:29.0,,Defensive rebound by L. Ball,8,9
36,1,7:23.0,,Shooting foul by T. Lyles (drawn by B. Ingram),8,9
37,1,7:23.0,,B. Ingram makes free throw 1 of 3,8,10
38,1,7:23.0,,B. Ingram makes free throw 2 of 3,8,11
39,1,7:23.0,,B. Ingram makes free throw 3 of 3,8,12
40,1,7:08.0,Shooting foul by D. Favors (drawn by L. Aldridge),,8,12
41,1,7:08.0,L. Aldridge makes free throw 1 of 2,,9,12
42,1,7:08.0,L. Aldridge makes free throw 2 of 2,,10,12
43,1,6:57.0,,J. Redick makes 2-pt layup from 2 ft,10,14
44,1,6:43.0,D. Murray makes 2-pt jump shot from 18 ft,,12,14
45,1,6:33.0,,B. Ingram misses 3-pt jump shot from 24 ft,12,14
46,1,6:33.0,,Offensive rebound by J. Holiday,12,14
47,1,6:27.0,,L. Ball misses 3-pt jump shot from 26 ft,12,14
48,1,6:24.0,Defensive rebound by T. Lyles,,12,14
49,1,6:06.0,B. Forbes makes 2-pt layup from 1 ft,,14,14
50,1,5:54.0,,J. Holiday misses 2-pt layup from 2 ft,14,14
51,1,5:51.0,Defensive rebound by L. Aldridge,,14,14
52,1,5:36.0,D. DeRozan makes 2-pt jump shot from 14 ft,,16,14
53,1,5:16.0,,D. Favors misses 2-pt jump shot from 16 ft,16,14
54,1,5:12.0,Defensive rebound by L. Aldridge,,16,14
55,1,5:03.0,D. Murray misses 2-pt jump shot from 12 ft,,16,14
56,1,5:01.0,,Defensive rebound by B. Ingram,16,14
57,1,4:51.0,,Shooting foul by D. DeRozan (drawn by J. Holiday),16,14
58,1,4:51.0,,J. Holiday makes free throw 1 of 2,16,15
59,1,4:51.0,R. Gay enters the game for B. Forbes,,16,15
60,1,4:51.0,P. Mills enters the game for T. Lyles,,16,15
61,1,4:51.0,D. White enters the game for D. Murray,,16,15
62,1,4:51.0,,J. Holiday makes free throw 2 of 2,16,16
63,1,4:35.0,Shooting foul by D. Favors (drawn by D. White),,16,16
64,1,4:35.0,D. White makes free throw 1 of 2,,17,16
65,1,4:35.0,J. Poeltl enters the game for L. Aldridge,,17,16
66,1,4:35.0,,N. Melli enters the game for D. Favors,17,16
67,1,4:35.0,D. White makes free throw 2 of 2,,18,16
68,1,4:25.0,,J. Redick misses 3-pt jump shot from 25 ft,18,16
69,1,4:22.0,,Offensive rebound by N. Melli,18,16
70,1,4:16.0,,L. Ball makes 2-pt layup from 1 ft,18,18
71,1,4:02.0,R. Gay misses 2-pt jump shot from 5 ft,,18,18
72,1,4:02.0,Offensive rebound by R. Gay,,18,18
73,1,3:57.0,Turnover by R. Gay (lost ball; steal by L. Ball),,18,18
