,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
0,1,11:46.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,,Defensive rebound by Team,0,0
2,1,11:31.0,,Turnover by D. Mitchell (bad pass),0,0
3,1,11:16.0,K. Middleton misses 2-pt jump shot from 21 ft,,0,0
4,1,11:14.0,,Defensive rebound by D. Mitchell,0,0
5,1,11:09.0,,D. Mitchell misses 3-pt jump shot from 25 ft,0,0
6,1,11:04.0,Defensive rebound by E. Bledsoe,,0,0
7,1,10:58.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,0,0
8,1,10:55.0,,Defensive rebound by R. Gobert,0,0
9,1,10:47.0,,Shooting foul by G. Antetokounmpo (drawn by B. Bogdanović),0,0
10,1,10:47.0,,B. Bogdanović makes free throw 1 of 2,0,1
11,1,10:47.0,,B. Bogdanović makes free throw 2 of 2,0,2
12,1,10:36.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,0,2
13,1,10:33.0,,Defensive rebound by R. Gobert,0,2
14,1,10:12.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by D. Mitchell),0,5
15,1,9:54.0,K. Middleton misses 3-pt jump shot from 25 ft,,0,5
16,1,9:51.0,,Defensive rebound by R. O'Neale,0,5
17,1,9:48.0,,M. Conley makes 2-pt layup from 2 ft (assist by R. O'Neale),0,7
18,1,9:48.0,Milwaukee full timeout,,0,7
19,1,9:31.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,3,7
20,1,9:16.0,,M. Conley misses 3-pt jump shot from 25 ft,3,7
21,1,9:13.0,Defensive rebound by K. Middleton,,3,7
22,1,9:09.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,6,7
23,1,8:55.0,,Personal foul by W. Matthews (drawn by D. Mitchell),6,7
24,1,8:50.0,,Turnover by B. Bogdanović (traveling),6,7
25,1,8:37.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Mitchell),,6,7
26,1,8:32.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),6,10
27,1,8:14.0,B. Lopez misses 3-pt jump shot from 26 ft,,6,10
28,1,8:11.0,,Defensive rebound by R. O'Neale,6,10
29,1,7:59.0,,Turnover by D. Mitchell (bad pass),6,10
30,1,7:41.0,K. Middleton misses 2-pt jump shot from 16 ft,,6,10
31,1,7:38.0,,Defensive rebound by R. O'Neale,6,10
32,1,7:32.0,,D. Mitchell misses 2-pt jump shot from 17 ft,6,10
33,1,7:28.0,Defensive rebound by B. Lopez,,6,10
34,1,7:20.0,B. Lopez misses 3-pt jump shot from 28 ft,,6,10
35,1,7:17.0,,Defensive rebound by R. O'Neale,6,10
36,1,7:06.0,,Shooting foul by B. Lopez (drawn by R. Gobert),6,10
37,1,7:06.0,,R. Gobert misses free throw 1 of 2,6,10
38,1,7:06.0,,Offensive rebound by Team,6,10
39,1,7:06.0,,R. Gobert makes free throw 2 of 2,6,11
40,1,6:58.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,6,11
41,1,6:54.0,Offensive rebound by B. Lopez,,6,11
42,1,6:50.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,9,11
43,1,6:32.0,,D. Mitchell misses 2-pt jump shot from 9 ft,9,11
44,1,6:30.0,Defensive rebound by Team,,9,11
45,1,6:30.0,S. Brown enters the game for G. Antetokounmpo,,9,11
