,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,TORONTO_ACTION,OKLAHOMA CITY_SCORE,TORONTO_SCORE
0,1,11:43.0,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,,2,0
1,1,11:29.0,,Shooting foul by T. Ferguson (drawn by K. Lowry),2,0
2,1,11:29.0,,K. Lowry makes free throw 1 of 3,2,1
3,1,11:29.0,,K. Lowry makes free throw 2 of 3,2,2
4,1,11:29.0,,K. Lowry makes free throw 3 of 3,2,3
5,1,11:12.0,Turnover by D. Bazley (traveling),,2,3
6,1,11:01.0,,P. McCaw misses 3-pt jump shot from 27 ft,2,3
7,1,10:58.0,,Offensive rebound by O. Anunoby,2,3
8,1,10:49.0,,F. VanVleet misses 2-pt jump shot from 17 ft,2,3
9,1,10:46.0,Defensive rebound by D. Bazley,,2,3
10,1,10:41.0,T. Ferguson misses 3-pt jump shot from 23 ft,,2,3
11,1,10:39.0,Offensive rebound by S. Adams,,2,3
12,1,10:36.0,S. Adams misses 2-pt hook shot from 2 ft,,2,3
13,1,10:33.0,Offensive rebound by S. Adams,,2,3
14,1,10:33.0,S. Adams makes 2-pt layup at rim,,4,3
15,1,10:12.0,,F. VanVleet makes 2-pt layup from 5 ft,4,5
16,1,9:47.0,S. Adams misses 2-pt layup from 5 ft,,4,5
17,1,9:46.0,,Defensive rebound by S. Ibaka,4,5
18,1,9:40.0,,O. Anunoby misses 3-pt jump shot from 27 ft,4,5
19,1,9:36.0,Defensive rebound by C. Paul,,4,5
20,1,9:21.0,T. Ferguson misses 3-pt jump shot from 23 ft,,4,5
21,1,9:19.0,,Defensive rebound by S. Ibaka,4,5
22,1,9:09.0,,S. Ibaka makes 3-pt jump shot from 28 ft (assist by F. VanVleet),4,8
23,1,8:47.0,S. Adams misses 2-pt hook shot from 4 ft,,4,8
24,1,8:45.0,,Defensive rebound by S. Ibaka,4,8
25,1,8:36.0,,O. Anunoby misses 3-pt jump shot from 23 ft,4,8
26,1,8:33.0,Defensive rebound by C. Paul,,4,8
27,1,8:29.0,T. Ferguson misses 3-pt jump shot from 26 ft,,4,8
28,1,8:26.0,,Defensive rebound by K. Lowry,4,8
29,1,8:21.0,,K. Lowry misses 2-pt layup from 2 ft (block by D. Bazley),4,8
30,1,8:18.0,Defensive rebound by C. Paul,,4,8
31,1,8:15.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by C. Paul),,6,8
32,1,7:49.0,,P. McCaw makes 3-pt jump shot from 23 ft (assist by S. Ibaka),6,11
33,1,7:48.0,Oklahoma City full timeout,,6,11
34,1,7:36.0,Shooting foul by S. Ibaka (drawn by S. Adams),,6,11
35,1,7:36.0,S. Adams makes free throw 1 of 2,,7,11
36,1,7:36.0,S. Adams makes free throw 2 of 2,,8,11
37,1,7:12.0,,K. Lowry misses 2-pt jump shot from 11 ft,8,11
38,1,7:10.0,,Offensive rebound by Team,8,11
39,1,7:10.0,N. Noel enters the game for S. Adams,,8,11
40,1,7:10.0,,C. Boucher enters the game for S. Ibaka,8,11
41,1,7:01.0,,Turnover by C. Boucher (lost ball; steal by N. Noel),8,11
42,1,6:41.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,,10,11
43,1,6:26.0,,C. Boucher makes 2-pt dunk from 1 ft (assist by F. VanVleet),10,13
44,1,6:09.0,Turnover by N. Noel (off goaltending),,10,13
45,1,6:09.0,L. Dort enters the game for C. Paul,,10,13
46,1,5:55.0,,O. Anunoby misses 3-pt jump shot from 24 ft,10,13
47,1,5:52.0,Defensive rebound by N. Noel,,10,13
48,1,5:44.0,D. Bazley misses 3-pt jump shot from 26 ft,,10,13
49,1,5:40.0,,Defensive rebound by C. Boucher,10,13
50,1,5:26.0,,C. Boucher misses 2-pt layup from 4 ft (block by N. Noel),10,13
51,1,5:24.0,Defensive rebound by S. Gilgeous-Alexander,,10,13
52,1,5:20.0,Turnover by L. Dort (bad pass),,10,13
53,1,5:12.0,,P. McCaw misses 2-pt layup from 2 ft,10,13
54,1,5:10.0,Defensive rebound by D. Bazley,,10,13
55,1,5:04.0,L. Dort misses 3-pt jump shot from 26 ft,,10,13
56,1,5:01.0,,Defensive rebound by C. Boucher,10,13
57,1,4:58.0,,K. Lowry misses 3-pt jump shot from 32 ft,10,13
58,1,4:55.0,Defensive rebound by Team,,10,13
59,1,4:43.0,Turnover by N. Noel (bad pass),,10,13
60,1,4:43.0,A. Nader enters the game for T. Ferguson,,10,13
61,1,4:43.0,,T. Davis enters the game for K. Lowry,10,13
62,1,4:18.0,,Turnover by F. VanVleet (lost ball; steal by S. Gilgeous-Alexander),10,13
63,1,4:07.0,N. Noel makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,12,13
64,1,3:42.0,,O. Anunoby makes 2-pt jump shot from 3 ft (assist by T. Davis),12,15
65,1,3:29.0,Turnover by D. Bazley (traveling),,12,15
66,1,3:29.0,D. Burton enters the game for D. Bazley,,12,15
67,1,3:29.0,,R. Hollis-Jefferson enters the game for O. Anunoby,12,15
68,1,3:16.0,,F. VanVleet misses 2-pt jump shot from 19 ft,12,15
69,1,3:13.0,,Offensive rebound by R. Hollis-Jefferson,12,15
70,1,3:13.0,,R. Hollis-Jefferson misses 2-pt jump shot from 4 ft,12,15
71,1,3:13.0,,Offensive rebound by Team,12,15
72,1,3:13.0,Loose ball foul by D. Burton (drawn by R. Hollis-Jefferson),,12,15
73,1,3:10.0,,Offensive foul by R. Hollis-Jefferson (drawn by L. Dort),12,15
74,1,3:10.0,,Turnover by R. Hollis-Jefferson (offensive foul),12,15
75,1,2:48.0,N. Noel makes 2-pt hook shot from 7 ft,,14,15
76,1,2:38.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Noel),14,15
77,1,2:27.0,L. Dort misses 3-pt jump shot from 26 ft,,14,15
78,1,2:23.0,,Defensive rebound by R. Hollis-Jefferson,14,15
79,1,2:21.0,,F. VanVleet misses 2-pt layup from 3 ft (block by N. Noel),14,15
80,1,2:21.0,,Offensive rebound by Team,14,15
81,1,2:21.0,,Toronto full timeout,14,15
82,1,2:21.0,S. Adams enters the game for N. Noel,,14,15
83,1,2:21.0,,S. Ibaka enters the game for C. Boucher,14,15
84,1,2:21.0,,K. Lowry enters the game for F. VanVleet,14,15
