,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
0,1,11:46.0,,R. Hood makes 2-pt dunk at rim (assist by H. Whiteside),0,2
1,1,11:29.0,W. Carter makes 2-pt dunk from 1 ft (assist by L. Markkanen),,2,2
2,1,11:09.0,,C. Anthony misses 3-pt jump shot from 25 ft,2,2
3,1,11:06.0,Defensive rebound by K. Dunn,,2,2
4,1,10:52.0,Z. LaVine misses 2-pt jump shot from 6 ft (block by H. Whiteside),,2,2
5,1,10:50.0,,Defensive rebound by R. Hood,2,2
6,1,10:46.0,,D. Lillard misses 3-pt jump shot from 32 ft,2,2
7,1,10:43.0,Defensive rebound by K. Dunn,,2,2
8,1,10:37.0,K. Dunn misses 2-pt jump shot from 12 ft,,2,2
9,1,10:35.0,Offensive rebound by W. Carter,,2,2
10,1,10:34.0,W. Carter makes 2-pt dunk from 2 ft,,4,2
11,1,10:24.0,,C. McCollum misses 2-pt jump shot from 15 ft,4,2
12,1,10:22.0,Defensive rebound by K. Dunn,,4,2
13,1,10:08.0,W. Carter misses 2-pt jump shot from 8 ft,,4,2
14,1,10:06.0,,Defensive rebound by H. Whiteside,4,2
15,1,9:57.0,,C. McCollum misses 3-pt jump shot from 23 ft,4,2
16,1,9:52.0,Defensive rebound by W. Carter,,4,2
17,1,9:49.0,Turnover by K. Dunn (bad pass; steal by C. Anthony),,4,2
18,1,9:47.0,Violation by Team (kicked ball),,4,2
19,1,9:33.0,,H. Whiteside misses 2-pt layup from 1 ft,4,2
20,1,9:30.0,Defensive rebound by W. Carter,,4,2
21,1,9:21.0,T. Satoranský misses 2-pt jump shot from 21 ft,,4,2
22,1,9:20.0,,Defensive rebound by C. Anthony,4,2
23,1,9:10.0,,D. Lillard makes 2-pt layup from 2 ft,4,4
24,1,8:57.0,Personal foul by R. Hood (drawn by T. Satoranský),,4,4
25,1,8:46.0,T. Satoranský makes 3-pt jump shot from 26 ft (assist by W. Carter),,7,4
26,1,8:19.0,,R. Hood misses 3-pt jump shot from 23 ft,7,4
27,1,8:17.0,Defensive rebound by L. Markkanen,,7,4
28,1,8:12.0,T. Satoranský makes 2-pt layup from 1 ft (assist by L. Markkanen),,9,4
29,1,8:00.0,,H. Whiteside misses 2-pt jump shot from 18 ft,9,4
30,1,7:57.0,,Offensive rebound by C. McCollum,9,4
31,1,7:54.0,,C. McCollum misses 3-pt jump shot from 23 ft,9,4
32,1,7:50.0,Defensive rebound by T. Satoranský,,9,4
33,1,7:45.0,L. Markkanen misses 2-pt layup from 1 ft (block by H. Whiteside),,9,4
34,1,7:43.0,,Defensive rebound by H. Whiteside,9,4
35,1,7:37.0,,Turnover by C. McCollum (bad pass; steal by T. Satoranský),9,4
36,1,7:32.0,K. Dunn makes 2-pt layup from 1 ft (assist by T. Satoranský),,11,4
37,1,7:32.0,,Portland full timeout,11,4
38,1,7:13.0,,C. Anthony makes 2-pt jump shot from 9 ft,11,6
39,1,6:58.0,K. Dunn misses 3-pt jump shot from 25 ft,,11,6
40,1,6:56.0,,Defensive rebound by H. Whiteside,11,6
41,1,6:48.0,,R. Hood makes 2-pt dunk at rim (assist by D. Lillard),11,8
42,1,6:35.0,L. Markkanen misses 3-pt jump shot from 26 ft,,11,8
43,1,6:31.0,,Defensive rebound by H. Whiteside,11,8
44,1,6:19.0,,C. Anthony misses 2-pt layup from 2 ft,11,8
45,1,6:17.0,,Offensive rebound by H. Whiteside,11,8
46,1,6:17.0,,H. Whiteside misses 2-pt layup from 1 ft,11,8
47,1,6:17.0,,Offensive rebound by H. Whiteside,11,8
48,1,6:17.0,,H. Whiteside misses 2-pt layup from 6 ft,11,8
49,1,6:17.0,,Offensive rebound by C. Anthony,11,8
50,1,6:13.0,,C. Anthony makes 2-pt layup from 1 ft,11,10
51,1,6:04.0,Z. LaVine makes 3-pt jump shot from 26 ft,,14,10
52,1,5:52.0,,D. Lillard makes 2-pt jump shot from 9 ft,14,12
53,1,5:40.0,Shooting foul by H. Whiteside (drawn by W. Carter),,14,12
54,1,5:40.0,W. Carter misses free throw 1 of 2,,14,12
55,1,5:40.0,Offensive rebound by Team,,14,12
56,1,5:40.0,C. White enters the game for K. Dunn,,14,12
57,1,5:40.0,W. Carter misses free throw 2 of 2,,14,12
58,1,5:37.0,,Defensive rebound by C. Anthony,14,12
59,1,5:31.0,,D. Lillard makes 2-pt layup from 1 ft,14,14
60,1,5:13.0,T. Satoranský misses 2-pt layup from 2 ft (block by H. Whiteside),,14,14
61,1,5:13.0,,Defensive rebound by Team,14,14
62,1,5:13.0,R. Arcidiacono enters the game for T. Satoranský,,14,14
63,1,5:13.0,,N. Little enters the game for C. Anthony,14,14
64,1,5:13.0,,A. Simons enters the game for C. McCollum,14,14
65,1,4:54.0,,R. Hood misses 2-pt jump shot from 17 ft,14,14
66,1,4:52.0,Defensive rebound by Team,,14,14
67,1,4:40.0,W. Carter misses 2-pt jump shot from 4 ft,,14,14
68,1,4:39.0,,Defensive rebound by N. Little,14,14
69,1,4:27.0,,R. Hood misses 2-pt jump shot from 13 ft,14,14
70,1,4:23.0,Defensive rebound by C. White,,14,14
71,1,4:16.0,Z. LaVine makes 2-pt layup from 2 ft,,16,14
72,1,4:01.0,,H. Whiteside makes 2-pt jump shot from 13 ft (assist by D. Lillard),16,16
73,1,3:52.0,Z. LaVine makes 3-pt jump shot from 24 ft,,19,16
74,1,3:38.0,,N. Little makes 2-pt hook shot from 5 ft (assist by R. Hood),19,18
75,1,3:27.0,Turnover by R. Arcidiacono (lost ball; steal by R. Hood),,19,18
76,1,3:14.0,,Turnover by D. Lillard (bad pass; steal by W. Carter),19,18
77,1,3:08.0,W. Carter makes 2-pt dunk from 2 ft (assist by Z. LaVine),,21,18
78,1,2:48.0,,R. Hood misses 2-pt jump shot from 13 ft,21,18
79,1,2:45.0,Defensive rebound by C. White,,21,18
80,1,2:40.0,C. White misses 2-pt layup from 3 ft (block by H. Whiteside),,21,18
81,1,2:40.0,Offensive rebound by Team,,21,18
82,1,2:40.0,Chicago full timeout,,21,18
83,1,2:40.0,D. Gafford enters the game for W. Carter,,21,18
84,1,2:40.0,T. Young enters the game for L. Markkanen,,21,18
85,1,2:40.0,,K. Bazemore enters the game for R. Hood,21,18
86,1,2:40.0,,S. Labissière enters the game for H. Whiteside,21,18
87,1,2:32.0,Z. LaVine misses 3-pt jump shot from 25 ft,,21,18
88,1,2:30.0,,Defensive rebound by N. Little,21,18
89,1,2:25.0,,Personal foul by R. Arcidiacono (drawn by D. Lillard),21,18
90,1,2:25.0,D. Valentine enters the game for Z. LaVine,,21,18
91,1,2:09.0,,D. Lillard misses 3-pt jump shot from 25 ft,21,18
92,1,2:07.0,Defensive rebound by Team,,21,18
93,1,1:59.0,Turnover by R. Arcidiacono (bad pass; steal by S. Labissière),,21,18
94,1,1:47.0,,Turnover by S. Labissière (3 sec),21,18
95,1,1:47.0,,C. Anthony enters the game for D. Lillard,21,18
96,1,1:47.0,,C. McCollum enters the game for N. Little,21,18
97,1,1:34.0,C. White makes 2-pt jump shot from 22 ft,,23,18
98,1,1:13.0,,C. McCollum makes 2-pt jump shot from 20 ft,23,20
99,1,0:59.0,R. Arcidiacono misses 2-pt jump shot from 11 ft,,23,20
100,1,0:59.0,Offensive rebound by Team,,23,20
101,1,0:59.0,,Loose ball foul by C. McCollum (drawn by D. Gafford),23,20
102,1,0:54.0,T. Young makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),,26,20
103,1,0:34.0,,C. McCollum makes 2-pt layup from 1 ft,26,22
104,1,0:15.0,C. White makes 2-pt layup from 2 ft,,28,22
105,1,0:03.0,,Personal take foul by T. Young (drawn by C. Anthony),28,22
106,1,0:00.0,,Shooting foul by R. Arcidiacono (drawn by C. McCollum),28,22
107,1,0:00.0,,C. McCollum makes free throw 1 of 3,28,23
108,1,0:00.0,,C. McCollum makes free throw 2 of 3,28,24
109,1,0:00.0,,C. McCollum makes free throw 3 of 3,28,25
110,2,11:35.0,T. Young misses 3-pt jump shot from 23 ft,,28,25
111,2,11:33.0,,Defensive rebound by A. Simons,28,25
112,2,11:25.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by A. Simons),28,28
113,2,11:13.0,R. Arcidiacono misses 2-pt jump shot from 11 ft,,28,28
114,2,11:11.0,,Defensive rebound by A. Simons,28,28
115,2,11:01.0,,C. McCollum makes 2-pt jump shot from 19 ft,28,30
116,2,10:53.0,C. White misses 3-pt jump shot from 24 ft,,28,30
117,2,10:48.0,,Defensive rebound by S. Labissière,28,30
118,2,10:45.0,,A. Simons misses 2-pt layup from 2 ft (block by D. Gafford),28,30
119,2,10:45.0,,Offensive rebound by Team,28,30
120,2,10:45.0,M. Strus enters the game for C. White,,28,30
