,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
0,1,11:43.0,,M. Leonard misses 3-pt jump shot from 25 ft,0,0
1,1,11:39.0,Defensive rebound by F. Jackson,,0,0
2,1,11:30.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. Favors),,3,0
3,1,11:19.0,,K. Nunn makes 2-pt jump shot from 10 ft,3,2
4,1,11:09.0,E. Moore makes 2-pt layup from 2 ft (assist by D. Favors),,5,2
5,1,10:52.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),5,5
6,1,10:36.0,E. Moore makes 2-pt jump shot from 5 ft,,7,5
7,1,10:23.0,,Shooting foul by D. Favors (drawn by J. Butler),7,5
8,1,10:23.0,,J. Butler makes free throw 1 of 2,7,6
9,1,10:23.0,,J. Butler makes free throw 2 of 2,7,7
10,1,10:13.0,E. Moore misses 3-pt jump shot from 23 ft,,7,7
11,1,10:11.0,,Defensive rebound by B. Adebayo,7,7
12,1,9:58.0,,D. Robinson makes 2-pt layup from 1 ft (assist by M. Leonard),7,9
13,1,9:46.0,F. Jackson misses 3-pt jump shot from 24 ft,,7,9
14,1,9:44.0,,Defensive rebound by M. Leonard,7,9
15,1,9:39.0,,K. Nunn makes 2-pt layup from 2 ft,7,11
16,1,9:18.0,D. Favors makes 2-pt layup from 1 ft (assist by E. Moore),,9,11
17,1,8:55.0,,D. Robinson misses 3-pt jump shot from 24 ft,9,11
18,1,8:53.0,Defensive rebound by D. Favors,,9,11
19,1,8:46.0,K. Williams makes 3-pt jump shot from 24 ft (assist by F. Jackson),,12,11
20,1,8:28.0,,K. Nunn makes 2-pt jump shot from 6 ft (assist by B. Adebayo),12,13
21,1,8:11.0,F. Jackson misses 2-pt layup from 3 ft,,12,13
22,1,8:09.0,,Defensive rebound by M. Leonard,12,13
23,1,8:03.0,,B. Adebayo makes 2-pt jump shot from 14 ft (assist by J. Butler),12,15
24,1,7:54.0,J. Holiday misses 2-pt layup from 2 ft,,12,15
25,1,7:54.0,,Defensive rebound by D. Robinson,12,15
26,1,7:46.0,,B. Adebayo makes 2-pt hook shot from 8 ft,12,17
27,1,7:37.0,F. Jackson misses 3-pt jump shot from 25 ft,,12,17
28,1,7:32.0,,Defensive rebound by B. Adebayo,12,17
29,1,7:18.0,,J. Butler misses 2-pt jump shot from 13 ft,12,17
30,1,7:16.0,Defensive rebound by D. Favors,,12,17
31,1,6:59.0,K. Williams makes 2-pt hook shot from 7 ft (assist by J. Holiday),,14,17
32,1,6:42.0,,K. Nunn misses 3-pt jump shot from 26 ft,14,17
33,1,6:39.0,Defensive rebound by D. Favors,,14,17
34,1,6:38.0,New Orleans full timeout,,14,17
35,1,6:38.0,N. Melli enters the game for F. Jackson,,14,17
36,1,6:29.0,E. Moore misses 3-pt jump shot from 24 ft,,14,17
37,1,6:26.0,Offensive rebound by K. Williams,,14,17
38,1,6:16.0,J. Holiday misses 2-pt jump shot from 8 ft,,14,17
39,1,6:12.0,,Defensive rebound by B. Adebayo,14,17
40,1,5:59.0,,K. Nunn misses 2-pt layup from 1 ft,14,17
41,1,5:59.0,,Offensive rebound by Team,14,17
42,1,5:55.0,,D. Robinson misses 2-pt jump shot from 17 ft,14,17
43,1,5:53.0,,Offensive rebound by J. Butler,14,17
44,1,5:52.0,,J. Butler misses 2-pt jump shot from 6 ft,14,17
45,1,5:52.0,,Offensive rebound by Team,14,17
46,1,5:45.0,,Def 3 sec tech foul by Team,14,17
47,1,5:45.0,,J. Butler makes technical free throw,14,18
48,1,5:33.0,,B. Adebayo misses 2-pt dunk from 2 ft,14,18
49,1,5:31.0,,Offensive rebound by J. Butler,14,18
50,1,5:25.0,,M. Leonard makes 2-pt jump shot from 5 ft (assist by J. Butler),14,20
51,1,5:00.0,J. Holiday makes 3-pt jump shot from 25 ft,,17,20
52,1,4:33.0,,J. Butler misses 2-pt jump shot from 8 ft,17,20
53,1,4:30.0,Defensive rebound by D. Favors,,17,20
54,1,4:26.0,N. Melli misses 3-pt jump shot from 28 ft,,17,20
55,1,4:23.0,,Defensive rebound by K. Nunn,17,20
56,1,4:20.0,,K. Nunn makes 3-pt jump shot from 26 ft,17,23
57,1,4:02.0,E. Moore misses 3-pt jump shot from 25 ft,,17,23
58,1,3:58.0,Offensive rebound by N. Melli,,17,23
59,1,3:52.0,J. Holiday misses 2-pt jump shot from 22 ft,,17,23
60,1,3:49.0,,Defensive rebound by B. Adebayo,17,23
61,1,3:46.0,,Miami full timeout,17,23
62,1,3:46.0,N. Alexander-Walker enters the game for D. Favors,,17,23
63,1,3:46.0,J. Hayes enters the game for E. Moore,,17,23
64,1,3:46.0,,T. Herro enters the game for B. Adebayo,17,23
65,1,3:46.0,,C. Silva enters the game for D. Robinson,17,23
66,1,3:36.0,,Turnover by C. Silva (lost ball; steal by N. Melli),17,23
67,1,3:33.0,Shooting foul by C. Silva (drawn by N. Melli),,17,23
68,1,3:33.0,N. Melli makes free throw 1 of 2,,18,23
69,1,3:33.0,N. Melli misses free throw 2 of 2,,18,23
70,1,3:29.0,,Defensive rebound by J. Butler,18,23
71,1,3:14.0,,K. Nunn misses 3-pt jump shot from 26 ft,18,23
72,1,3:10.0,Defensive rebound by N. Alexander-Walker,,18,23
73,1,3:02.0,N. Melli misses 2-pt layup from 1 ft,,18,23
74,1,2:58.0,Offensive rebound by J. Hayes,,18,23
75,1,2:58.0,J. Hayes makes 2-pt dunk from 1 ft,,20,23
76,1,2:39.0,,C. Silva makes 2-pt hook shot from 8 ft (assist by J. Butler),20,25
77,1,2:24.0,N. Melli misses 3-pt jump shot from 25 ft,,20,25
78,1,2:22.0,,Defensive rebound by T. Herro,20,25
79,1,2:12.0,,C. Silva makes 2-pt layup from 2 ft (assist by T. Herro),20,27
80,1,2:12.0,,D. Macon enters the game for M. Leonard,20,27
81,1,2:12.0,,K. Olynyk enters the game for K. Nunn,20,27
82,1,1:53.0,Turnover by N. Alexander-Walker (bad pass),,20,27
83,1,1:37.0,,Turnover by D. Macon (traveling),20,27
84,1,1:30.0,New Orleans full timeout,,20,27
85,1,1:19.0,K. Williams misses 3-pt jump shot from 26 ft,,20,27
86,1,1:17.0,,Defensive rebound by C. Silva,20,27
