,QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
0,1,11:45.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by H. Whiteside),0,2
1,1,11:26.0,Turnover by G. Hayward (bad pass; steal by C. Anthony),,0,2
2,1,11:22.0,,G. Trent makes 2-pt dunk from 1 ft (assist by C. Anthony),0,4
3,1,11:04.0,M. Smart misses 2-pt jump shot from 9 ft,,0,4
4,1,11:02.0,,Defensive rebound by H. Whiteside,0,4
5,1,10:55.0,,Turnover by H. Whiteside (bad pass),0,4
6,1,10:46.0,Personal foul by T. Ariza (drawn by J. Tatum),,0,4
7,1,10:37.0,M. Smart misses 3-pt jump shot from 25 ft,,0,4
8,1,10:35.0,,Defensive rebound by T. Ariza,0,4
9,1,10:29.0,,C. McCollum makes 3-pt jump shot from 24 ft,0,7
10,1,10:01.0,J. Tatum misses 2-pt layup at rim,,0,7
11,1,9:59.0,Offensive rebound by M. Smart,,0,7
12,1,9:58.0,M. Smart misses 2-pt jump shot from 4 ft,,0,7
13,1,9:57.0,,Defensive rebound by T. Ariza,0,7
14,1,9:53.0,,G. Trent misses 3-pt jump shot from 22 ft,0,7
15,1,9:51.0,Defensive rebound by M. Smart,,0,7
16,1,9:45.0,M. Smart misses 2-pt jump shot from 5 ft,,0,7
17,1,9:43.0,,Defensive rebound by H. Whiteside,0,7
18,1,9:38.0,,C. Anthony misses 3-pt jump shot from 26 ft,0,7
19,1,9:37.0,,Offensive rebound by H. Whiteside,0,7
20,1,9:33.0,,C. Anthony misses 3-pt jump shot from 25 ft,0,7
21,1,9:28.0,Defensive rebound by J. Brown,,0,7
22,1,9:18.0,J. Brown makes 3-pt jump shot from 24 ft (assist by D. Theis),,3,7
23,1,8:53.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by C. McCollum),3,10
24,1,8:39.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by D. Theis),,6,10
25,1,8:23.0,,C. McCollum makes 2-pt jump shot from 3 ft,6,12
26,1,8:13.0,Turnover by G. Hayward (lost ball; steal by G. Trent),,6,12
27,1,8:06.0,,Turnover by C. McCollum (bad pass; steal by M. Smart),6,12
28,1,7:59.0,D. Theis makes 2-pt dunk at rim,,8,12
29,1,7:43.0,,C. McCollum misses 2-pt layup from 3 ft,8,12
30,1,7:41.0,Defensive rebound by J. Brown,,8,12
31,1,7:38.0,J. Brown misses 3-pt jump shot from 26 ft,,8,12
32,1,7:38.0,,Defensive rebound by H. Whiteside,8,12
33,1,7:30.0,,G. Trent misses 3-pt jump shot from 25 ft,8,12
34,1,7:26.0,Defensive rebound by D. Theis,,8,12
35,1,7:14.0,G. Hayward makes 2-pt jump shot from 9 ft,,10,12
36,1,7:01.0,,H. Whiteside makes 2-pt jump shot from 12 ft (assist by C. McCollum),10,14
37,1,6:39.0,J. Tatum makes 2-pt dunk from 1 ft,,12,14
38,1,6:27.0,,Turnover by T. Ariza (out of bounds lost ball),12,14
39,1,6:27.0,,Portland full timeout,12,14
40,1,6:14.0,J. Brown misses 2-pt layup from 2 ft,,12,14
41,1,6:13.0,,Defensive rebound by T. Ariza,12,14
