,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHARLOTTE_ACTION,SAN ANTONIO_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,,M. Bridges makes 3-pt jump shot from 24 ft (assist by C. Martin),0,3
1,1,11:12.0,D. DeRozan misses 2-pt jump shot from 10 ft,,0,3
2,1,11:10.0,,Defensive rebound by C. Martin,0,3
3,1,10:59.0,,M. Bridges misses 2-pt layup from 3 ft,0,3
4,1,10:57.0,,Offensive rebound by C. Zeller,0,3
5,1,10:57.0,,C. Zeller makes 2-pt layup from 2 ft,0,5
6,1,10:57.0,,Shooting foul by T. Lyles (drawn by C. Zeller),0,5
7,1,10:57.0,,C. Zeller misses free throw 1 of 1,0,5
8,1,10:53.0,Defensive rebound by D. Eubanks,,0,5
9,1,10:41.0,T. Lyles misses 3-pt jump shot from 26 ft,,0,5
10,1,10:38.0,,Defensive rebound by C. Martin,0,5
11,1,10:33.0,,C. Martin makes 2-pt dunk from 2 ft,0,7
12,1,10:21.0,B. Forbes makes 2-pt layup from 1 ft (assist by D. DeRozan),,2,7
13,1,9:59.0,,P. Washington misses 2-pt layup from 3 ft,2,7
14,1,9:58.0,Defensive rebound by Team,,2,7
15,1,9:58.0,,Loose ball foul by C. Zeller (drawn by D. DeRozan),2,7
16,1,9:42.0,B. Forbes misses 3-pt jump shot from 26 ft,,2,7
17,1,9:39.0,,Defensive rebound by T. Rozier,2,7
18,1,9:36.0,,Personal foul by D. Eubanks (drawn by C. Zeller),2,7
19,1,9:29.0,,T. Rozier makes 2-pt layup from 2 ft,2,9
20,1,9:20.0,Turnover by D. Murray (out of bounds lost ball),,2,9
21,1,9:00.0,,T. Rozier makes 3-pt jump shot from 26 ft,2,12
22,1,8:57.0,San Antonio full timeout,,2,12
23,1,8:42.0,Turnover by D. DeRozan (step out of bounds),,2,12
24,1,8:31.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by T. Rozier),2,14
25,1,8:17.0,D. Murray misses 2-pt jump shot from 18 ft,,2,14
26,1,8:14.0,,Defensive rebound by Team,2,14
27,1,7:59.0,,C. Zeller makes 2-pt jump shot from 3 ft (assist by T. Rozier),2,16
28,1,7:38.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. Murray),,5,16
29,1,7:21.0,,P. Washington misses 3-pt jump shot from 25 ft,5,16
30,1,7:18.0,Defensive rebound by D. Murray,,5,16
31,1,7:14.0,T. Lyles makes 2-pt layup from 9 ft (assist by D. Murray),,7,16
32,1,7:14.0,Shooting foul by P. Washington (drawn by T. Lyles),,7,16
33,1,7:14.0,,J. McDaniels enters the game for P. Washington,7,16
34,1,7:14.0,T. Lyles makes free throw 1 of 1,,8,16
35,1,6:53.0,,C. Martin makes 2-pt layup from 1 ft (assist by M. Bridges),8,18
36,1,6:38.0,T. Lyles misses 3-pt jump shot from 25 ft,,8,18
37,1,6:36.0,Offensive rebound by D. Murray,,8,18
38,1,6:36.0,Shooting foul by C. Martin (drawn by D. Eubanks),,8,18
39,1,6:36.0,D. Eubanks makes free throw 1 of 2,,9,18
40,1,6:36.0,D. White enters the game for D. Murray,,9,18
41,1,6:36.0,,C. Martin enters the game for C. Martin,9,18
42,1,6:36.0,D. Eubanks misses free throw 2 of 2,,9,18
43,1,6:34.0,,Defensive rebound by M. Bridges,9,18
44,1,6:19.0,,T. Rozier misses 3-pt jump shot from 27 ft,9,18
45,1,6:15.0,Defensive rebound by D. DeRozan,,9,18
46,1,6:08.0,D. DeRozan misses 2-pt jump shot from 12 ft,,9,18
47,1,6:07.0,Offensive rebound by D. DeRozan,,9,18
48,1,6:05.0,B. Forbes misses 3-pt jump shot from 25 ft,,9,18
49,1,6:02.0,,Defensive rebound by T. Rozier,9,18
50,1,5:54.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by J. McDaniels),9,21
51,1,5:40.0,D. White misses 2-pt layup from 2 ft,,9,21
52,1,5:38.0,,Defensive rebound by C. Zeller,9,21
53,1,5:35.0,,Turnover by C. Zeller (traveling),9,21
54,1,5:35.0,R. Gay enters the game for D. Eubanks,,9,21
55,1,5:35.0,P. Mills enters the game for B. Forbes,,9,21
56,1,5:35.0,,W. Hernangómez enters the game for C. Zeller,9,21
57,1,5:17.0,D. DeRozan makes 2-pt layup from 2 ft,,11,21
58,1,5:03.0,,C. Martin makes 3-pt jump shot from 25 ft (assist by W. Hernangómez),11,24
59,1,4:52.0,Personal foul by J. McDaniels (drawn by D. DeRozan),,11,24
60,1,4:48.0,Personal foul by J. McDaniels (drawn by P. Mills),,11,24
61,1,4:48.0,P. Mills makes free throw 1 of 2,,12,24
62,1,4:48.0,P. Mills makes free throw 2 of 2,,13,24
63,1,4:30.0,,Turnover by M. Bridges (bad pass; steal by D. White),13,24
64,1,4:27.0,Personal foul by C. Martin (drawn by P. Mills),,13,24
65,1,4:27.0,P. Mills makes free throw 1 of 2,,14,24
66,1,4:27.0,P. Mills makes free throw 2 of 2,,15,24
67,1,4:10.0,,Shooting foul by D. White (drawn by M. Bridges),15,24
68,1,4:10.0,,M. Bridges makes free throw 1 of 3,15,25
69,1,4:10.0,,M. Bridges makes free throw 2 of 3,15,26
70,1,4:10.0,L. Walker enters the game for T. Lyles,,15,26
71,1,4:10.0,,M. Bridges makes free throw 3 of 3,15,27
72,1,3:58.0,D. White makes 2-pt jump shot from 9 ft (assist by D. DeRozan),,17,27
73,1,3:38.0,,W. Hernangómez misses 2-pt layup from 2 ft,17,27
74,1,3:35.0,,Offensive rebound by J. McDaniels,17,27
75,1,3:35.0,,J. McDaniels makes 2-pt layup from 1 ft,17,29
76,1,3:28.0,Def 3 sec tech foul by Team,,17,29
77,1,3:28.0,D. DeRozan misses technical free throw,,17,29
78,1,3:28.0,Offensive rebound by Team,,17,29
79,1,3:28.0,,P. Washington enters the game for M. Bridges,17,29
80,1,3:21.0,P. Mills misses 3-pt jump shot from 26 ft,,17,29
81,1,3:17.0,,Defensive rebound by W. Hernangómez,17,29
82,1,3:13.0,,P. Washington misses 2-pt layup from 5 ft (block by L. Walker),17,29
83,1,3:13.0,,Offensive rebound by Team,17,29
84,1,3:13.0,,Charlotte full timeout,17,29
85,1,2:58.0,,J. McDaniels misses 3-pt jump shot from 26 ft,17,29
86,1,2:54.0,Defensive rebound by R. Gay,,17,29
87,1,2:48.0,P. Mills makes 2-pt jump shot from 18 ft (assist by R. Gay),,19,29
88,1,2:28.0,,J. McDaniels misses 2-pt jump shot from 8 ft,19,29
89,1,2:27.0,,Offensive rebound by Team,19,29
90,1,2:27.0,K. Johnson enters the game for D. DeRozan,,19,29
91,1,2:27.0,,J. Chealey enters the game for T. Rozier,19,29
92,1,2:20.0,,J. Chealey misses 3-pt jump shot from 23 ft,19,29
93,1,2:17.0,,Offensive rebound by W. Hernangómez,19,29
94,1,2:14.0,,P. Washington misses 3-pt jump shot from 27 ft,19,29
95,1,2:11.0,Defensive rebound by L. Walker,,19,29
96,1,2:02.0,R. Gay misses 2-pt layup from 3 ft (block by W. Hernangómez),,19,29
97,1,1:59.0,,Defensive rebound by J. McDaniels,19,29
98,1,1:50.0,,J. McDaniels makes 2-pt dunk from 2 ft (assist by P. Washington),19,31
99,1,1:35.0,Turnover by D. White (bad pass; steal by C. Martin),,19,31
100,1,1:35.0,,Personal take foul by P. Mills (drawn by C. Martin),19,31
101,1,1:35.0,,Instant Replay (Request: Ruling Stands),19,31
102,1,1:15.0,,Turnover by P. Washington (bad pass; steal by D. White),19,31
103,1,1:10.0,L. Walker misses 2-pt dunk from 1 ft,,19,31
104,1,1:08.0,Offensive rebound by P. Mills,,19,31
105,1,1:05.0,R. Gay misses 2-pt jump shot from 5 ft,,19,31
106,1,1:02.0,,Defensive rebound by P. Washington,19,31
107,1,0:44.0,,C. Martin makes 3-pt jump shot from 23 ft (assist by W. Hernangómez),19,34
108,1,0:32.0,P. Mills misses 3-pt jump shot from 26 ft,,19,34
109,1,0:29.0,,Defensive rebound by C. Martin,19,34
110,1,0:12.0,,Shooting foul by R. Gay (drawn by J. Chealey),19,34
111,1,0:12.0,,J. Chealey makes free throw 1 of 2,19,35
112,1,0:12.0,,C. Martin enters the game for W. Hernangómez,19,35
113,1,0:12.0,,J. Chealey makes free throw 2 of 2,19,36
114,1,0:00.0,D. White misses 2-pt jump shot from 9 ft,,19,36
115,1,0:00.0,Offensive rebound by R. Gay,,19,36
116,2,11:38.0,R. Gay makes 2-pt jump shot from 8 ft (assist by D. Murray),,21,36
117,2,11:20.0,,C. Martin misses 3-pt jump shot from 26 ft,21,36
118,2,11:20.0,Defensive rebound by R. Gay,,21,36
119,2,11:10.0,K. Johnson makes 3-pt jump shot from 24 ft (assist by L. Walker),,24,36
120,2,10:53.0,,Turnover by J. Chealey (bad pass; steal by L. Walker),24,36
121,2,10:43.0,L. Walker misses 3-pt jump shot from 26 ft,,24,36
122,2,10:39.0,,Defensive rebound by W. Hernangómez,24,36
123,2,10:25.0,,Shooting foul by R. Gay (drawn by W. Hernangómez),24,36
124,2,10:25.0,,W. Hernangómez makes free throw 1 of 2,24,37
125,2,10:25.0,T. Lyles enters the game for R. Gay,,24,37
126,2,10:25.0,,W. Hernangómez makes free throw 2 of 2,24,38
127,2,10:09.0,K. Johnson makes 2-pt layup from 1 ft (assist by T. Lyles),,26,38
128,2,9:52.0,,W. Hernangómez makes 2-pt layup from 2 ft (assist by P. Washington),26,40
129,2,9:47.0,Offensive foul by L. Walker (drawn by C. Martin),,26,40
130,2,9:47.0,Turnover by L. Walker (offensive foul),,26,40
131,2,9:47.0,,J. McDaniels enters the game for C. Martin,26,40
132,2,9:35.0,,C. Martin makes 2-pt dunk from 2 ft (assist by W. Hernangómez),26,42
133,2,9:15.0,L. Walker misses 2-pt jump shot from 16 ft,,26,42
134,2,9:11.0,,Defensive rebound by W. Hernangómez,26,42
135,2,8:59.0,,Turnover by W. Hernangómez (bad pass; steal by L. Walker),26,42
136,2,8:44.0,D. Murray makes 2-pt jump shot from 18 ft,,28,42
137,2,8:23.0,,W. Hernangómez makes 2-pt hook shot from 6 ft,28,44
138,2,8:13.0,D. Murray makes 2-pt jump shot from 12 ft,,30,44
139,2,7:45.0,,J. Chealey misses 2-pt jump shot from 8 ft,30,44
140,2,7:42.0,Defensive rebound by L. Walker,,30,44
141,2,7:37.0,L. Walker misses 2-pt layup from 2 ft,,30,44
142,2,7:35.0,,Defensive rebound by J. McDaniels,30,44
143,2,7:29.0,,J. Chealey misses 3-pt jump shot from 24 ft,30,44
144,2,7:27.0,Defensive rebound by L. Walker,,30,44
145,2,7:23.0,K. Johnson makes 2-pt layup from 1 ft (assist by L. Walker),,32,44
146,2,7:23.0,,Charlotte full timeout,32,44
147,2,7:23.0,D. DeRozan enters the game for P. Mills,,32,44
148,2,7:23.0,B. Forbes enters the game for L. Walker,,32,44
149,2,7:23.0,,M. Bridges enters the game for J. Chealey,32,44
150,2,7:23.0,,T. Rozier enters the game for W. Hernangómez,32,44
151,2,7:23.0,,C. Zeller enters the game for P. Washington,32,44
152,2,7:01.0,,Turnover by C. Martin (bad pass; steal by T. Lyles),32,44
153,2,6:54.0,T. Lyles misses 3-pt jump shot from 26 ft,,32,44
154,2,6:51.0,,Defensive rebound by T. Rozier,32,44
155,2,6:42.0,,J. McDaniels misses 2-pt layup from 2 ft,32,44
156,2,6:42.0,,Offensive rebound by J. McDaniels,32,44
157,2,6:42.0,,J. McDaniels misses 2-pt layup from 1 ft,32,44
158,2,6:42.0,,Offensive rebound by J. McDaniels,32,44
159,2,6:42.0,,J. McDaniels makes 2-pt layup from 1 ft,32,46
160,2,6:42.0,,Violation by Team (delay of game),32,46
161,2,6:25.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,35,46
162,2,6:07.0,,T. Rozier misses 2-pt layup from 3 ft,35,46
163,2,6:04.0,Defensive rebound by D. DeRozan,,35,46
164,2,5:57.0,Turnover by K. Johnson (bad pass; steal by C. Martin),,35,46
165,2,5:49.0,,M. Bridges misses 3-pt jump shot from 23 ft,35,46
166,2,5:46.0,,Offensive rebound by J. McDaniels,35,46
167,2,5:43.0,,C. Martin makes 3-pt jump shot from 26 ft (assist by J. McDaniels),35,49
168,2,5:28.0,T. Lyles misses 3-pt jump shot from 25 ft,,35,49
169,2,5:24.0,,Defensive rebound by M. Bridges,35,49
170,2,5:04.0,,M. Bridges misses 3-pt jump shot from 26 ft,35,49
171,2,5:02.0,Defensive rebound by T. Lyles,,35,49
172,2,4:55.0,D. Murray makes 3-pt jump shot from 26 ft (assist by K. Johnson),,38,49
173,2,4:32.0,,M. Bridges misses 2-pt layup from 3 ft (block by K. Johnson),38,49
174,2,4:32.0,,Offensive rebound by M. Bridges,38,49
175,2,4:32.0,R. Gay enters the game for K. Johnson,,38,49
176,2,4:32.0,D. White enters the game for D. Murray,,38,49
177,2,4:26.0,,M. Bridges misses 3-pt jump shot from 26 ft,38,49
178,2,4:24.0,Defensive rebound by R. Gay,,38,49
179,2,4:16.0,D. White makes 2-pt layup from 1 ft (assist by B. Forbes),,40,49
180,2,3:57.0,,Personal foul by D. DeRozan (drawn by C. Zeller),40,49
181,2,3:50.0,,C. Martin makes 2-pt jump shot from 22 ft (assist by J. McDaniels),40,51
182,2,3:36.0,T. Lyles misses 2-pt layup from 2 ft,,40,51
183,2,3:33.0,,Defensive rebound by J. McDaniels,40,51
184,2,3:28.0,,T. Rozier misses 3-pt jump shot from 26 ft,40,51
185,2,3:25.0,Defensive rebound by B. Forbes,,40,51
186,2,3:18.0,Turnover by B. Forbes (traveling),,40,51
187,2,3:08.0,,Offensive foul by C. Zeller (drawn by R. Gay),40,51
188,2,3:08.0,,Turnover by C. Zeller (offensive foul),40,51
189,2,3:08.0,P. Mills enters the game for B. Forbes,,40,51
190,2,3:08.0,L. Walker enters the game for T. Lyles,,40,51
191,2,3:08.0,,P. Washington enters the game for C. Zeller,40,51
192,2,2:45.0,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,43,51
193,2,2:29.0,,P. Washington makes 3-pt jump shot from 26 ft (assist by T. Rozier),43,54
194,2,1:59.0,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,46,54
195,2,1:38.0,,P. Washington misses 2-pt layup from 2 ft (block by D. White),46,54
196,2,1:34.0,,Offensive rebound by P. Washington,46,54
197,2,1:31.0,,T. Rozier makes 2-pt jump shot from 14 ft (assist by C. Martin),46,56
198,2,1:17.0,D. White misses 3-pt jump shot from 27 ft,,46,56
199,2,1:15.0,Offensive rebound by Team,,46,56
200,2,1:15.0,San Antonio full timeout,,46,56
201,2,1:15.0,,C. Martin enters the game for M. Bridges,46,56
202,2,1:09.0,P. Mills misses 3-pt jump shot from 24 ft,,46,56
203,2,1:06.0,,Defensive rebound by J. McDaniels,46,56
204,2,0:52.0,,Turnover by P. Washington (lost ball; steal by D. DeRozan),46,56
205,2,0:50.0,Personal take foul by C. Martin (drawn by D. DeRozan),,46,56
206,2,0:44.0,D. White misses 3-pt jump shot from 25 ft,,46,56
207,2,0:41.0,,Defensive rebound by C. Martin,46,56
208,2,0:30.0,,Personal foul by D. DeRozan (drawn by T. Rozier),46,56
209,2,0:23.0,,T. Rozier misses 2-pt jump shot from 10 ft,46,56
210,2,0:21.0,,Offensive rebound by C. Martin,46,56
211,2,0:21.0,,C. Martin makes 2-pt layup from 1 ft,46,58
212,2,0:05.0,P. Mills makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,49,58
213,2,0:00.0,,T. Rozier misses 3-pt jump shot from 35 ft,49,58
214,2,0:00.0,,Offensive rebound by Team,49,58
215,3,11:42.0,B. Forbes misses 3-pt jump shot from 29 ft,,49,58
216,3,11:39.0,,Defensive rebound by C. Zeller,49,58
217,3,11:26.0,,C. Martin misses 2-pt layup from 2 ft,49,58
218,3,11:26.0,,Offensive rebound by C. Zeller,49,58
219,3,11:26.0,,Shooting foul by D. Eubanks (drawn by C. Zeller),49,58
220,3,11:26.0,,C. Zeller misses free throw 1 of 2,49,58
221,3,11:26.0,,Offensive rebound by Team,49,58
222,3,11:26.0,,C. Zeller misses free throw 2 of 2,49,58
223,3,11:23.0,Defensive rebound by D. DeRozan,,49,58
224,3,11:14.0,D. DeRozan makes 2-pt jump shot from 7 ft,,51,58
225,3,11:03.0,,T. Rozier misses 3-pt jump shot from 25 ft,51,58
226,3,10:58.0,Defensive rebound by D. DeRozan,,51,58
227,3,10:44.0,B. Forbes makes 2-pt jump shot from 3 ft (assist by T. Lyles),,53,58
228,3,10:25.0,,Turnover by C. Martin (lost ball; steal by D. Murray),53,58
229,3,10:17.0,D. DeRozan misses 2-pt jump shot from 7 ft,,53,58
230,3,10:14.0,,Defensive rebound by C. Zeller,53,58
231,3,10:10.0,,C. Martin misses 2-pt jump shot from 22 ft,53,58
232,3,10:07.0,,Offensive rebound by T. Rozier,53,58
233,3,9:55.0,,P. Washington makes 3-pt jump shot from 25 ft (assist by C. Zeller),53,61
234,3,9:39.0,D. Murray makes 2-pt jump shot from 16 ft,,55,61
235,3,9:28.0,,P. Washington misses 3-pt jump shot from 25 ft,55,61
236,3,9:23.0,Defensive rebound by B. Forbes,,55,61
237,3,9:15.0,D. Murray makes 2-pt jump shot from 12 ft,,57,61
238,3,8:55.0,,M. Bridges makes 2-pt jump shot from 8 ft,57,63
239,3,8:37.0,Turnover by D. Murray (lost ball; steal by C. Martin),,57,63
