,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
0,1,11:42.0,Turnover by Team (shot clock),,0,0
1,1,11:34.0,,Turnover by (8 sec),0,0
2,1,11:20.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by L. Shamet),,3,0
3,1,10:55.0,,N. Vučević misses 2-pt hook shot from 5 ft (block by K. Leonard),3,0
4,1,10:53.0,Defensive rebound by K. Leonard,,3,0
5,1,10:41.0,L. Shamet misses 3-pt jump shot from 26 ft,,3,0
6,1,10:38.0,,Defensive rebound by A. Gordon,3,0
7,1,10:30.0,,A. Gordon misses 2-pt jump shot from 6 ft,3,0
8,1,10:30.0,,Offensive rebound by Team,3,0
9,1,10:27.0,,K. Birch misses 2-pt layup from 4 ft,3,0
10,1,10:25.0,Defensive rebound by K. Leonard,,3,0
11,1,10:21.0,Turnover by I. Zubac (lost ball; steal by E. Fournier),,3,0
12,1,10:03.0,,Shooting foul by I. Zubac (drawn by N. Vučević),3,0
13,1,10:03.0,,N. Vučević makes free throw 1 of 2,3,1
14,1,10:03.0,,N. Vučević makes free throw 2 of 2,3,2
15,1,9:51.0,L. Shamet misses 3-pt jump shot from 25 ft,,3,2
16,1,9:48.0,Offensive rebound by M. Harkless,,3,2
17,1,9:46.0,Turnover by M. Harkless (bad pass; steal by A. Gordon),,3,2
18,1,9:45.0,,Personal foul by K. Leonard (drawn by A. Gordon),3,2
19,1,9:34.0,,A. Gordon misses 2-pt jump shot from 6 ft,3,2
20,1,9:31.0,Defensive rebound by P. Patterson,,3,2
21,1,9:16.0,M. Harkless makes 2-pt layup from 2 ft,,5,2
22,1,9:06.0,,E. Fournier misses 2-pt jump shot from 11 ft,5,2
23,1,9:02.0,,Offensive rebound by E. Fournier,5,2
24,1,9:02.0,,E. Fournier misses 2-pt jump shot from 6 ft,5,2
25,1,9:01.0,Defensive rebound by M. Harkless,,5,2
26,1,8:55.0,K. Leonard misses 3-pt jump shot from 26 ft,,5,2
27,1,8:51.0,,Defensive rebound by A. Gordon,5,2
28,1,8:41.0,,M. Fultz misses 2-pt jump shot from 23 ft,5,2
29,1,8:41.0,Defensive rebound by L. Shamet,,5,2
30,1,8:26.0,Shooting foul by K. Birch (drawn by P. Patterson),,5,2
31,1,8:26.0,P. Patterson makes free throw 1 of 2,,6,2
32,1,8:26.0,P. Patterson makes free throw 2 of 2,,7,2
33,1,8:04.0,,N. Vučević makes 2-pt jump shot from 13 ft (assist by E. Fournier),7,4
34,1,7:49.0,Shooting foul by N. Vučević (drawn by K. Leonard),,7,4
35,1,7:49.0,K. Leonard misses free throw 1 of 2,,7,4
36,1,7:49.0,Offensive rebound by Team,,7,4
37,1,7:49.0,K. Leonard makes free throw 2 of 2,,8,4
38,1,7:33.0,,A. Gordon makes 2-pt hook shot from 8 ft (assist by N. Vučević),8,6
39,1,7:24.0,Personal foul by A. Gordon (drawn by K. Leonard),,8,6
40,1,7:14.0,Turnover by K. Leonard (bad pass; steal by M. Fultz),,8,6
41,1,7:13.0,,Clear path foul by L. Shamet,8,6
42,1,7:13.0,,Instant Replay (Request: Ruling Stands),8,6
43,1,7:13.0,,M. Fultz makes clear path free throw 1 of 2,8,7
44,1,7:13.0,,M. Fultz misses clear path free throw 2 of 2,8,7
45,1,7:13.0,,Offensive rebound by Team,8,7
46,1,7:08.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),8,10
47,1,6:52.0,K. Leonard misses 2-pt jump shot from 7 ft,,8,10
48,1,6:52.0,Offensive rebound by I. Zubac,,8,10
49,1,6:50.0,I. Zubac makes 2-pt layup from 1 ft,,10,10
50,1,6:33.0,,Shooting foul by P. Patterson (drawn by A. Gordon),10,10
51,1,6:33.0,,Orlando full timeout,10,10
52,1,6:33.0,,A. Gordon misses free throw 1 of 3,10,10
53,1,6:33.0,,Offensive rebound by Team,10,10
54,1,6:33.0,,A. Gordon makes free throw 2 of 3,10,11
55,1,6:33.0,,A. Gordon misses free throw 3 of 3,10,11
56,1,6:31.0,Defensive rebound by I. Zubac,,10,11
57,1,6:21.0,P. Patterson makes 3-pt jump shot from 26 ft (assist by K. Leonard),,13,11
58,1,5:58.0,,M. Fultz makes 2-pt jump shot from 4 ft (assist by N. Vučević),13,13
59,1,5:58.0,,Shooting foul by M. Harkless (drawn by M. Fultz),13,13
60,1,5:58.0,,M. Fultz misses free throw 1 of 1,13,13
61,1,5:52.0,Defensive rebound by I. Zubac,,13,13
62,1,5:47.0,Turnover by K. Leonard (traveling),,13,13
63,1,5:32.0,,E. Fournier makes 2-pt jump shot from 6 ft (assist by N. Vučević),13,15
64,1,5:17.0,Personal foul by A. Gordon (drawn by K. Leonard),,13,15
65,1,5:17.0,M. Harrell enters the game for P. Patterson,,13,15
66,1,5:17.0,L. Williams enters the game for I. Zubac,,13,15
67,1,5:17.0,,T. Ross enters the game for K. Birch,13,15
68,1,5:13.0,L. Shamet misses 2-pt jump shot from 14 ft,,13,15
69,1,5:11.0,Offensive rebound by L. Shamet,,13,15
70,1,5:09.0,L. Shamet makes 2-pt layup from 1 ft,,15,15
71,1,4:50.0,,E. Fournier misses 2-pt jump shot from 14 ft,15,15
72,1,4:47.0,Defensive rebound by M. Harrell,,15,15
73,1,4:41.0,M. Harrell misses 2-pt layup from 4 ft,,15,15
74,1,4:39.0,,Defensive rebound by E. Fournier,15,15
75,1,4:34.0,,E. Fournier makes 2-pt layup from 1 ft,15,17
76,1,4:21.0,K. Leonard misses 3-pt jump shot from 25 ft,,15,17
77,1,4:21.0,,Defensive rebound by M. Fultz,15,17
78,1,4:07.0,,N. Vučević misses 3-pt jump shot from 27 ft,15,17
79,1,4:07.0,Defensive rebound by L. Williams,,15,17
80,1,3:52.0,K. Leonard makes 2-pt layup from 3 ft (assist by M. Harrell),,17,17
81,1,3:41.0,,N. Vučević makes 2-pt layup from 2 ft (assist by M. Fultz),17,19
82,1,3:22.0,L. Shamet misses 3-pt jump shot from 26 ft,,17,19
83,1,3:22.0,Offensive rebound by M. Harrell,,17,19
84,1,3:14.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by M. Harrell),,20,19
85,1,2:59.0,,A. Gordon misses 2-pt jump shot from 19 ft,20,19
86,1,2:56.0,,Offensive rebound by N. Vučević,20,19
87,1,2:55.0,,T. Ross misses 3-pt jump shot from 25 ft,20,19
88,1,2:55.0,Defensive rebound by M. Harrell,,20,19
89,1,2:44.0,M. Harrell misses 2-pt jump shot from 13 ft,,20,19
90,1,2:40.0,,Defensive rebound by A. Gordon,20,19
91,1,2:36.0,,Shooting foul by M. Harrell (drawn by A. Gordon),20,19
92,1,2:36.0,LA Clippers full timeout,,20,19
93,1,2:36.0,J. Green enters the game for K. Leonard,,20,19
94,1,2:36.0,,M. Bamba enters the game for E. Fournier,20,19
95,1,2:36.0,,M. Carter-Williams enters the game for M. Fultz,20,19
96,1,2:36.0,,W. Iwundu enters the game for N. Vučević,20,19
97,1,2:36.0,,A. Gordon makes free throw 1 of 2,20,20
98,1,2:36.0,,A. Gordon misses free throw 2 of 2,20,20
99,1,2:33.0,Defensive rebound by J. Green,,20,20
100,1,2:23.0,L. Williams misses 3-pt jump shot from 25 ft,,20,20
101,1,2:20.0,,Defensive rebound by T. Ross,20,20
102,1,2:10.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),20,22
103,1,1:56.0,L. Shamet misses 3-pt jump shot from 26 ft,,20,22
104,1,1:53.0,,Defensive rebound by M. Bamba,20,22
105,1,1:44.0,,Shooting foul by M. Harkless (drawn by T. Ross),20,22
106,1,1:44.0,,T. Ross makes free throw 1 of 3,20,23
107,1,1:44.0,,T. Ross misses free throw 2 of 3,20,23
108,1,1:44.0,,Offensive rebound by Team,20,23
109,1,1:44.0,R. McGruder enters the game for M. Harkless,,20,23
