,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
0,1,11:41.0,Turnover by D. Fox (bad pass; steal by T. Satoranský),,0,0
1,1,11:31.0,,Personal foul by D. Dedmon (drawn by L. Kornet),0,0
2,1,11:26.0,,Turnover by T. Young (bad pass),0,0
3,1,11:09.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Fox),,2,0
4,1,10:51.0,,Z. LaVine misses 2-pt layup from 3 ft,2,0
5,1,10:50.0,Defensive rebound by D. Dedmon,,2,0
6,1,10:38.0,H. Barnes misses 2-pt layup from 1 ft,,2,0
7,1,10:36.0,Offensive rebound by N. Bjelica,,2,0
8,1,10:36.0,N. Bjelica makes 2-pt layup from 1 ft,,4,0
9,1,10:18.0,,Z. LaVine misses 3-pt jump shot from 23 ft,4,0
10,1,10:15.0,Defensive rebound by B. Bogdanović,,4,0
11,1,9:52.0,N. Bjelica misses 2-pt jump shot from 13 ft,,4,0
12,1,9:49.0,,Defensive rebound by K. Dunn,4,0
13,1,9:37.0,,L. Kornet misses 3-pt jump shot from 25 ft,4,0
14,1,9:34.0,Defensive rebound by H. Barnes,,4,0
15,1,9:30.0,D. Fox makes 2-pt layup from 1 ft,,6,0
16,1,9:30.0,Shooting foul by Z. LaVine (drawn by D. Fox),,6,0
17,1,9:30.0,D. Fox makes free throw 1 of 1,,7,0
18,1,9:18.0,,Offensive foul by L. Kornet (drawn by D. Fox),7,0
19,1,9:18.0,,Turnover by L. Kornet (offensive foul),7,0
20,1,9:01.0,H. Barnes misses 2-pt hook shot from 6 ft,,7,0
21,1,8:59.0,,Defensive rebound by T. Satoranský,7,0
22,1,8:56.0,,T. Young misses 3-pt jump shot from 24 ft,7,0
23,1,8:53.0,,Offensive rebound by K. Dunn,7,0
24,1,8:50.0,,T. Satoranský misses 3-pt jump shot from 26 ft,7,0
25,1,8:45.0,Defensive rebound by N. Bjelica,,7,0
26,1,8:40.0,D. Fox makes 2-pt layup from 2 ft,,9,0
27,1,8:19.0,,K. Dunn makes 2-pt layup from 1 ft (assist by Z. LaVine),9,2
28,1,7:57.0,N. Bjelica makes 2-pt layup from 2 ft,,11,2
29,1,7:42.0,,Shooting foul by B. Bogdanović (drawn by K. Dunn),11,2
30,1,7:42.0,,K. Dunn makes free throw 1 of 2,11,3
31,1,7:42.0,,K. Dunn misses free throw 2 of 2,11,3
32,1,7:39.0,Defensive rebound by D. Dedmon,,11,3
33,1,7:22.0,D. Dedmon makes 2-pt dunk at rim (assist by B. Bogdanović),,13,3
34,1,7:13.0,,Z. LaVine misses 3-pt jump shot from 25 ft,13,3
35,1,7:11.0,Defensive rebound by B. Bogdanović,,13,3
36,1,7:00.0,N. Bjelica misses 3-pt jump shot from 29 ft,,13,3
37,1,6:57.0,,Defensive rebound by K. Dunn,13,3
38,1,6:51.0,,K. Dunn makes 2-pt layup from 2 ft,13,5
39,1,6:51.0,Violation by Team (def goaltending),,13,5
40,1,6:40.0,Personal foul by T. Satoranský (drawn by D. Fox),,13,5
41,1,6:40.0,,Chicago full timeout,13,5
42,1,6:40.0,,C. Felício enters the game for L. Kornet,13,5
43,1,6:37.0,D. Fox misses 2-pt layup from 1 ft,,13,5
44,1,6:35.0,,Defensive rebound by C. Felício,13,5
45,1,6:21.0,,K. Dunn misses 2-pt layup from 2 ft,13,5
46,1,6:20.0,Defensive rebound by D. Fox,,13,5
47,1,6:16.0,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),,15,5
48,1,6:01.0,,Shooting foul by H. Barnes (drawn by T. Satoranský),15,5
49,1,6:01.0,,T. Satoranský makes free throw 1 of 2,15,6
50,1,6:01.0,,T. Satoranský makes free throw 2 of 2,15,7
51,1,5:51.0,D. Fox misses 2-pt layup from 1 ft (block by K. Dunn),,15,7
52,1,5:51.0,,Defensive rebound by Team,15,7
53,1,5:51.0,,C. White enters the game for T. Satoranský,15,7
54,1,5:31.0,,Z. LaVine misses 2-pt jump shot from 8 ft (block by D. Dedmon),15,7
55,1,5:28.0,Defensive rebound by D. Fox,,15,7
56,1,5:22.0,N. Bjelica makes 2-pt layup from 1 ft (assist by D. Fox),,17,7
57,1,5:00.0,,C. White misses 2-pt layup from 2 ft (block by D. Dedmon),17,7
58,1,5:00.0,,Offensive rebound by Team,17,7
59,1,5:00.0,B. Hield enters the game for B. Bogdanović,,17,7
60,1,5:00.0,,Personal foul by D. Fox (drawn by Z. LaVine),17,7
61,1,4:48.0,,T. Young misses 3-pt jump shot from 26 ft,17,7
62,1,4:46.0,Defensive rebound by D. Fox,,17,7
63,1,4:40.0,N. Bjelica misses 2-pt jump shot from 17 ft,,17,7
64,1,4:39.0,,Defensive rebound by K. Dunn,17,7
65,1,4:33.0,,T. Young makes 2-pt layup from 1 ft (assist by K. Dunn),17,9
66,1,4:25.0,B. Hield misses 3-pt jump shot from 27 ft,,17,9
67,1,4:22.0,,Defensive rebound by Z. LaVine,17,9
68,1,4:10.0,,T. Young makes 2-pt layup from 2 ft (assist by Z. LaVine),17,11
69,1,4:04.0,Sacramento full timeout,,17,11
70,1,4:04.0,C. Joseph enters the game for N. Bjelica,,17,11
71,1,4:04.0,A. Tolliver enters the game for D. Fox,,17,11
72,1,3:53.0,H. Barnes makes 2-pt layup from 1 ft (assist by A. Tolliver),,19,11
73,1,3:43.0,,Z. LaVine misses 2-pt jump shot from 21 ft,19,11
74,1,3:42.0,Defensive rebound by B. Hield,,19,11
75,1,3:29.0,A. Tolliver misses 3-pt jump shot from 26 ft,,19,11
76,1,3:29.0,,Defensive rebound by C. Felício,19,11
77,1,3:14.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by T. Young),19,14
78,1,2:52.0,H. Barnes misses 2-pt layup from 4 ft (block by Z. LaVine),,19,14
79,1,2:50.0,,Defensive rebound by T. Young,19,14
80,1,2:48.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by T. Young),19,16
81,1,2:25.0,Turnover by B. Hield (bad pass; steal by T. Young),,19,16
82,1,2:22.0,,Shooting foul by B. Hield (drawn by T. Young),19,16
83,1,2:22.0,,T. Young makes free throw 1 of 2,19,17
84,1,2:22.0,K. Bazemore enters the game for H. Barnes,,19,17
85,1,2:22.0,H. Giles enters the game for D. Dedmon,,19,17
86,1,2:22.0,,R. Arcidiacono enters the game for K. Dunn,19,17
87,1,2:22.0,,S. Harrison enters the game for Z. LaVine,19,17
88,1,2:22.0,,T. Young makes free throw 2 of 2,19,18
89,1,2:09.0,B. Hield makes 2-pt layup from 1 ft (assist by H. Giles),,21,18
90,1,2:00.0,,Turnover by C. Felício (bad pass),21,18
91,1,2:00.0,,C. Hutchison enters the game for T. Young,21,18
92,1,1:54.0,Personal foul by C. Felício (drawn by H. Giles),,21,18
93,1,1:45.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by H. Giles),,24,18
94,1,1:22.0,,C. White makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),24,21
95,1,1:09.0,Shooting foul by C. Hutchison (drawn by B. Hield),,24,21
96,1,1:09.0,B. Hield makes free throw 1 of 2,,25,21
97,1,1:09.0,B. Hield makes free throw 2 of 2,,26,21
98,1,0:45.0,,C. White misses 2-pt layup from 3 ft,26,21
99,1,0:45.0,,Offensive rebound by Team,26,21
100,1,0:45.0,,Turnover by Team (shot clock),26,21
101,1,0:33.0,B. Hield makes 3-pt jump shot from 23 ft (assist by H. Giles),,29,21
102,1,0:17.0,,Offensive foul by S. Harrison (drawn by K. Bazemore),29,21
103,1,0:17.0,,Turnover by S. Harrison (offensive foul),29,21
