,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,N. Jokić makes 2-pt hook shot from 3 ft,,2,0
1,1,11:20.0,,D. Gallinari misses 3-pt jump shot from 27 ft,2,0
2,1,11:18.0,Defensive rebound by J. Murray,,2,0
3,1,11:18.0,Turnover by J. Murray (out of bounds lost ball),,2,0
4,1,11:06.0,,S. Adams makes 2-pt hook shot from 10 ft (assist by D. Gallinari),2,2
5,1,10:48.0,N. Jokić makes 2-pt jump shot from 9 ft (assist by J. Murray),,4,2
6,1,10:33.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by S. Adams),4,4
7,1,10:17.0,J. Murray misses 3-pt jump shot from 22 ft,,4,4
8,1,10:14.0,Offensive rebound by G. Harris,,4,4
9,1,10:08.0,G. Harris misses 2-pt jump shot from 6 ft,,4,4
10,1,10:05.0,,Defensive rebound by S. Adams,4,4
11,1,9:49.0,,C. Paul misses 2-pt jump shot from 16 ft,4,4
12,1,9:46.0,,Offensive rebound by S. Adams,4,4
13,1,9:46.0,,S. Adams misses 2-pt layup at rim,4,4
14,1,9:43.0,Defensive rebound by W. Barton,,4,4
15,1,9:38.0,W. Barton misses 3-pt jump shot from 25 ft,,4,4
16,1,9:36.0,,Defensive rebound by S. Adams,4,4
17,1,9:29.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,4,4
18,1,9:25.0,Defensive rebound by W. Barton,,4,4
19,1,9:20.0,G. Harris misses 3-pt jump shot from 25 ft,,4,4
20,1,9:17.0,,Defensive rebound by S. Gilgeous-Alexander,4,4
21,1,9:01.0,,D. Gallinari misses 2-pt jump shot from 19 ft,4,4
22,1,8:59.0,Defensive rebound by P. Millsap,,4,4
23,1,8:39.0,N. Jokić misses 3-pt jump shot from 23 ft,,4,4
24,1,8:36.0,,Defensive rebound by D. Gallinari,4,4
