,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
0,1,11:45.0,E. Bledsoe makes 2-pt jump shot from 21 ft (assist by G. Antetokounmpo),,2,0
1,1,11:26.0,,G. Dieng misses 3-pt jump shot from 26 ft,2,0
2,1,11:23.0,Defensive rebound by G. Antetokounmpo,,2,0
3,1,11:18.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,5,0
4,1,11:06.0,,Shooting foul by B. Lopez (drawn by G. Dieng),5,0
5,1,11:06.0,,G. Dieng makes free throw 1 of 2,5,1
6,1,11:06.0,,G. Dieng makes free throw 2 of 2,5,2
7,1,10:51.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,5,2
8,1,10:48.0,,Defensive rebound by G. Dieng,5,2
9,1,10:31.0,,G. Dieng makes 2-pt layup from 2 ft (assist by J. Teague),5,4
10,1,10:23.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,8,4
11,1,10:10.0,,Turnover by R. Covington (bad pass),8,4
12,1,10:03.0,K. Middleton makes 2-pt layup from 1 ft (assist by E. Bledsoe),,10,4
13,1,9:47.0,,Personal foul by E. Bledsoe (drawn by R. Covington),10,4
14,1,9:42.0,,Turnover by R. Covington (bad pass; steal by E. Bledsoe),10,4
15,1,9:40.0,E. Bledsoe makes 2-pt layup at rim,,12,4
16,1,9:22.0,,A. Wiggins makes 2-pt jump shot from 7 ft,12,6
17,1,9:13.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by A. Wiggins),,12,6
18,1,9:09.0,,Defensive rebound by G. Dieng,12,6
19,1,9:07.0,,Turnover by J. Teague (lost ball; steal by W. Matthews),12,6
20,1,9:05.0,Personal foul by J. Teague (drawn by W. Matthews),,12,6
21,1,8:58.0,B. Lopez misses 3-pt jump shot from 26 ft,,12,6
22,1,8:55.0,,Defensive rebound by R. Covington,12,6
23,1,8:39.0,,J. Teague misses 2-pt jump shot from 12 ft,12,6
24,1,8:36.0,,Offensive rebound by T. Graham,12,6
25,1,8:28.0,,G. Dieng misses 3-pt jump shot from 23 ft,12,6
26,1,8:25.0,Defensive rebound by E. Bledsoe,,12,6
27,1,8:16.0,Turnover by E. Bledsoe (bad pass; steal by T. Graham),,12,6
28,1,8:13.0,,R. Covington makes 2-pt dunk from 1 ft (assist by G. Dieng),12,8
29,1,7:59.0,K. Middleton makes 3-pt jump shot from 26 ft,,15,8
30,1,7:36.0,,A. Wiggins misses 2-pt jump shot from 10 ft,15,8
31,1,7:33.0,Defensive rebound by G. Antetokounmpo,,15,8
32,1,7:28.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,17,8
33,1,7:28.0,,Minnesota full timeout,17,8
34,1,7:12.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by G. Dieng),17,11
35,1,7:00.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by B. Lopez),,19,11
36,1,6:48.0,,Turnover by A. Wiggins (bad pass; steal by W. Matthews),19,11
37,1,6:44.0,E. Bledsoe misses 2-pt layup from 1 ft (block by J. Teague),,19,11
38,1,6:41.0,,Defensive rebound by R. Covington,19,11
39,1,6:39.0,,T. Graham misses 3-pt jump shot from 26 ft,19,11
40,1,6:35.0,Defensive rebound by G. Antetokounmpo,,19,11
41,1,6:31.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),,21,11
42,1,6:31.0,,Violation by Team (def goaltending),21,11
43,1,6:21.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by G. Dieng),21,14
44,1,6:04.0,Shooting foul by J. Teague (drawn by K. Middleton),,21,14
45,1,6:04.0,K. Middleton makes free throw 1 of 2,,22,14
46,1,6:04.0,P. Connaughton enters the game for G. Antetokounmpo,,22,14
47,1,6:04.0,E. İlyasova enters the game for W. Matthews,,22,14
48,1,6:04.0,,S. Napier enters the game for G. Dieng,22,14
49,1,6:04.0,,J. Okogie enters the game for T. Graham,22,14
50,1,6:04.0,,N. Vonleh enters the game for J. Teague,22,14
51,1,6:04.0,K. Middleton makes free throw 2 of 2,,23,14
52,1,5:50.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by N. Vonleh),23,17
53,1,5:34.0,K. Middleton misses 2-pt jump shot from 19 ft,,23,17
54,1,5:31.0,,Defensive rebound by R. Covington,23,17
55,1,5:17.0,,S. Napier misses 3-pt jump shot from 26 ft,23,17
