,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
0,1,11:46.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Mitchell),,2,0
1,1,11:46.0,Shooting foul by D. Hunter (drawn by B. Bogdanović),,2,0
2,1,11:46.0,B. Bogdanović makes free throw 1 of 1,,3,0
3,1,11:28.0,,C. Reddish misses 3-pt jump shot from 26 ft,3,0
4,1,11:27.0,Defensive rebound by Team,,3,0
5,1,11:18.0,Personal foul by D. Hunter (drawn by R. Gobert),,3,0
6,1,11:18.0,,D. Bembry enters the game for D. Hunter,3,0
7,1,11:11.0,B. Bogdanović misses 2-pt layup from 2 ft,,3,0
8,1,11:08.0,,Defensive rebound by K. Huerter,3,0
9,1,11:03.0,,B. Fernando makes 2-pt dunk from 1 ft (assist by K. Huerter),3,2
10,1,10:47.0,D. Mitchell makes 2-pt jump shot from 21 ft,,5,2
11,1,10:34.0,,Shooting foul by B. Bogdanović (drawn by C. Reddish),5,2
12,1,10:34.0,,C. Reddish makes free throw 1 of 2,5,3
13,1,10:34.0,,C. Reddish makes free throw 2 of 2,5,4
14,1,10:21.0,D. Mitchell misses 3-pt jump shot from 25 ft,,5,4
15,1,10:17.0,,Defensive rebound by B. Fernando,5,4
16,1,10:09.0,,D. Bembry misses 2-pt jump shot from 1 ft,5,4
17,1,10:05.0,,Offensive rebound by B. Fernando,5,4
18,1,10:05.0,,B. Fernando misses 2-pt layup at rim,5,4
19,1,10:05.0,,Offensive rebound by B. Fernando,5,4
20,1,10:00.0,,B. Fernando misses 2-pt jump shot from 7 ft (block by R. Gobert),5,4
21,1,9:57.0,Defensive rebound by B. Bogdanović,,5,4
22,1,9:54.0,Turnover by R. Gobert (traveling),,5,4
23,1,9:43.0,,T. Young misses 2-pt jump shot from 17 ft,5,4
24,1,9:39.0,Defensive rebound by R. O'Neale,,5,4
25,1,9:33.0,J. Ingles makes 2-pt layup from 2 ft (assist by R. O'Neale),,7,4
26,1,9:22.0,,Turnover by B. Fernando (bad pass),7,4
27,1,9:11.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,7,4
28,1,9:09.0,,Defensive rebound by T. Young,7,4
29,1,9:04.0,,T. Young makes 2-pt jump shot from 20 ft,7,6
30,1,8:39.0,R. Gobert misses 2-pt layup from 4 ft,,7,6
31,1,8:37.0,Offensive rebound by R. Gobert,,7,6
32,1,8:36.0,Turnover by R. Gobert (3 sec),,7,6
33,1,8:22.0,,T. Young misses 3-pt jump shot from 26 ft,7,6
34,1,8:19.0,Defensive rebound by J. Ingles,,7,6
35,1,8:11.0,Turnover by J. Ingles (bad pass; steal by C. Reddish),,7,6
36,1,8:07.0,,Shooting foul by R. O'Neale (drawn by C. Reddish),7,6
37,1,8:07.0,,C. Reddish makes free throw 1 of 2,7,7
38,1,8:07.0,,A. Len enters the game for B. Fernando,7,7
39,1,8:07.0,,C. Reddish makes free throw 2 of 2,7,8
40,1,7:49.0,D. Mitchell misses 2-pt layup from 2 ft,,7,8
41,1,7:44.0,,Defensive rebound by D. Bembry,7,8
42,1,7:42.0,,C. Reddish makes 3-pt jump shot from 26 ft (assist by D. Bembry),7,11
43,1,7:26.0,J. Ingles misses 2-pt jump shot from 7 ft,,7,11
44,1,7:21.0,Offensive rebound by J. Ingles,,7,11
45,1,7:15.0,D. Mitchell makes 2-pt jump shot from 8 ft,,9,11
46,1,7:00.0,,K. Huerter makes 2-pt layup from 2 ft,9,13
47,1,7:00.0,Violation by Team (def goaltending),,9,13
48,1,6:48.0,,Atlanta full timeout,9,13
49,1,6:48.0,,J. Parker enters the game for K. Huerter,9,13
50,1,6:36.0,Turnover by Team (shot clock),,9,13
51,1,6:25.0,,T. Young misses 2-pt layup from 6 ft,9,13
52,1,6:22.0,Defensive rebound by R. O'Neale,,9,13
53,1,6:21.0,R. O'Neale makes 2-pt layup from 7 ft (assist by D. Mitchell),,11,13
54,1,6:21.0,Shooting foul by D. Bembry (drawn by J. Ingles),,11,13
55,1,6:21.0,E. Mudiay enters the game for D. Mitchell,,11,13
56,1,6:21.0,,E. Turner enters the game for C. Reddish,11,13
57,1,6:21.0,R. O'Neale makes free throw 1 of 1,,12,13
58,1,6:13.0,,Offensive foul by A. Len (drawn by R. Gobert),12,13
59,1,6:13.0,,Turnover by A. Len (offensive foul),12,13
60,1,5:59.0,Shooting foul by A. Len (drawn by R. Gobert),,12,13
61,1,5:59.0,R. Gobert makes free throw 1 of 2,,13,13
62,1,5:59.0,,A. Crabbe enters the game for A. Len,13,13
63,1,5:59.0,R. Gobert misses free throw 2 of 2,,13,13
64,1,5:57.0,,Defensive rebound by E. Turner,13,13
65,1,5:47.0,,J. Parker makes 3-pt jump shot from 25 ft (assist by D. Bembry),13,16
66,1,5:25.0,Turnover by B. Bogdanović (lost ball; steal by J. Parker),,13,16
67,1,5:17.0,,J. Parker makes 2-pt dunk from 2 ft (assist by D. Bembry),13,18
68,1,4:56.0,E. Mudiay makes 3-pt jump shot from 26 ft,,16,18
69,1,4:43.0,,D. Bembry misses 2-pt layup from 2 ft,16,18
70,1,4:40.0,Defensive rebound by R. O'Neale,,16,18
71,1,4:37.0,J. Ingles misses 3-pt jump shot from 26 ft,,16,18
72,1,4:33.0,Offensive rebound by B. Bogdanović,,16,18
73,1,4:32.0,Personal foul by E. Turner (drawn by B. Bogdanović),,16,18
74,1,4:32.0,B. Bogdanović misses free throw 1 of 2,,16,18
75,1,4:32.0,Offensive rebound by Team,,16,18
76,1,4:32.0,B. Bogdanović makes free throw 2 of 2,,17,18
77,1,4:22.0,,T. Young misses 3-pt jump shot from 26 ft,17,18
78,1,4:19.0,Defensive rebound by B. Bogdanović,,17,18
79,1,4:11.0,B. Bogdanović makes 2-pt layup from 4 ft,,19,18
80,1,4:06.0,,Shooting foul by R. O'Neale (drawn by T. Young),19,18
81,1,4:06.0,,T. Young makes free throw 1 of 2,19,19
82,1,4:06.0,J. Green enters the game for R. O'Neale,,19,19
83,1,4:06.0,,B. Fernando enters the game for D. Bembry,19,19
84,1,4:06.0,,T. Young makes free throw 2 of 2,19,20
