,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:37.0,,A. Drummond misses 2-pt dunk from 4 ft (block by B. Lopez),0,0
1,1,11:31.0,Defensive rebound by K. Middleton,,0,0
2,1,11:26.0,W. Matthews misses 3-pt jump shot from 25 ft,,0,0
3,1,11:22.0,,Defensive rebound by B. Griffin,0,0
4,1,11:21.0,,B. Brown misses 2-pt layup from 4 ft,0,0
5,1,11:21.0,Defensive rebound by B. Lopez,,0,0
6,1,11:06.0,Personal foul by S. Mykhailiuk (drawn by W. Matthews),,0,0
7,1,10:58.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,0,0
8,1,10:55.0,,Defensive rebound by B. Griffin,0,0
9,1,10:47.0,,S. Mykhailiuk misses 2-pt layup from 4 ft (block by B. Lopez),0,0
10,1,10:42.0,,Offensive rebound by B. Brown,0,0
11,1,10:40.0,,A. Drummond misses 2-pt jump shot from 6 ft,0,0
12,1,10:38.0,Defensive rebound by E. Bledsoe,,0,0
13,1,10:33.0,K. Middleton misses 3-pt jump shot from 28 ft,,0,0
14,1,10:31.0,,Defensive rebound by A. Drummond,0,0
15,1,10:18.0,,B. Griffin makes 2-pt layup from 3 ft,0,2
16,1,10:04.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,0,2
17,1,10:01.0,Offensive rebound by G. Antetokounmpo,,0,2
18,1,10:01.0,G. Antetokounmpo makes 2-pt layup at rim,,2,2
19,1,9:53.0,,B. Griffin misses 3-pt jump shot from 24 ft,2,2
20,1,9:51.0,Defensive rebound by E. Bledsoe,,2,2
21,1,9:42.0,W. Matthews misses 3-pt jump shot from 24 ft,,2,2
22,1,9:41.0,Offensive rebound by Team,,2,2
23,1,9:41.0,,Loose ball foul by B. Brown (drawn by E. Bledsoe),2,2
24,1,9:37.0,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton),,4,2
25,1,9:14.0,,B. Griffin misses 2-pt layup from 2 ft,4,2
26,1,9:11.0,Defensive rebound by E. Bledsoe,,4,2
27,1,9:08.0,K. Middleton makes 2-pt layup from 3 ft (assist by E. Bledsoe),,6,2
28,1,8:43.0,,Turnover by B. Griffin (bad pass; steal by K. Middleton),6,2
29,1,8:38.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,6,2
30,1,8:34.0,Offensive rebound by G. Antetokounmpo,,6,2
31,1,8:34.0,G. Antetokounmpo misses 2-pt layup at rim,,6,2
32,1,8:33.0,,Defensive rebound by T. Snell,6,2
33,1,8:30.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by S. Mykhailiuk),6,5
34,1,8:17.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,6,5
35,1,8:14.0,,Defensive rebound by A. Drummond,6,5
36,1,8:12.0,,Turnover by A. Drummond (bad pass; steal by W. Matthews),6,5
37,1,8:08.0,Shooting foul by T. Snell (drawn by K. Middleton),,6,5
38,1,8:08.0,K. Middleton makes free throw 1 of 2,,7,5
39,1,8:08.0,K. Middleton makes free throw 2 of 2,,8,5
40,1,7:53.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,8,5
41,1,7:51.0,Defensive rebound by G. Antetokounmpo,,8,5
42,1,7:42.0,W. Matthews misses 3-pt jump shot from 27 ft,,8,5
43,1,7:38.0,,Defensive rebound by B. Griffin,8,5
44,1,7:18.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),8,7
45,1,7:05.0,K. Middleton makes 3-pt jump shot from 26 ft,,11,7
46,1,6:46.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,11,7
47,1,6:46.0,Defensive rebound by Team,,11,7
48,1,6:46.0,,Detroit full timeout,11,7
49,1,6:46.0,R. Lopez enters the game for B. Lopez,,11,7
50,1,6:46.0,,L. Galloway enters the game for S. Mykhailiuk,11,7
51,1,6:23.0,Turnover by R. Lopez (step out of bounds),,11,7
52,1,6:06.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by T. Snell),11,9
53,1,5:41.0,G. Antetokounmpo makes 3-pt jump shot from 28 ft,,14,9
54,1,5:28.0,,B. Griffin misses 2-pt layup from 2 ft (block by R. Lopez),14,9
55,1,5:28.0,,Offensive rebound by Team,14,9
56,1,5:28.0,P. Connaughton enters the game for W. Matthews,,14,9
57,1,5:28.0,D. DiVincenzo enters the game for K. Middleton,,14,9
58,1,5:28.0,,D. Rose enters the game for B. Brown,14,9
59,1,5:17.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by A. Drummond),14,12
