,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:45.0,M. Thybulle misses 3-pt jump shot from 24 ft,,0,0
1,1,11:42.0,,Defensive rebound by P. Siakam,0,0
2,1,11:34.0,,P. Siakam misses 2-pt jump shot from 10 ft,0,0
3,1,11:32.0,Defensive rebound by B. Simmons,,0,0
4,1,11:27.0,A. Horford makes 3-pt jump shot from 26 ft (assist by B. Simmons),,3,0
5,1,11:03.0,,Turnover by F. VanVleet (bad pass; steal by A. Horford),3,0
6,1,10:56.0,Turnover by T. Harris (bad pass),,3,0
7,1,10:45.0,,O. Anunoby misses 3-pt jump shot from 26 ft,3,0
8,1,10:42.0,Defensive rebound by B. Simmons,,3,0
9,1,10:37.0,Turnover by B. Simmons (bad pass; steal by O. Anunoby),,3,0
10,1,10:29.0,,K. Lowry misses 3-pt jump shot from 26 ft,3,0
11,1,10:26.0,,Offensive rebound by O. Anunoby,3,0
12,1,10:20.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by M. Gasol),3,3
13,1,10:03.0,A. Horford misses 3-pt jump shot from 23 ft,,3,3
14,1,10:01.0,Offensive rebound by A. Horford,,3,3
15,1,9:58.0,B. Simmons misses 2-pt layup from 2 ft,,3,3
16,1,9:55.0,Offensive rebound by B. Simmons,,3,3
17,1,9:54.0,B. Simmons makes 2-pt layup from 2 ft,,5,3
18,1,9:49.0,,Personal foul by M. Thybulle (drawn by F. VanVleet),5,3
19,1,9:32.0,,M. Gasol makes 2-pt layup from 1 ft (assist by K. Lowry),5,5
20,1,9:05.0,M. Thybulle makes 2-pt jump shot from 12 ft (assist by B. Simmons),,7,5
21,1,9:00.0,,Shooting foul by M. Thybulle (drawn by K. Lowry),7,5
22,1,9:00.0,,K. Lowry misses free throw 1 of 2,7,5
23,1,9:00.0,,Offensive rebound by Team,7,5
24,1,9:00.0,F. Korkmaz enters the game for M. Thybulle,,7,5
25,1,9:00.0,,K. Lowry makes free throw 2 of 2,7,6
