,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
0,1,11:47.0,,Turnover by (8 sec),0,0
1,1,11:25.0,Turnover by Team (shot clock),,0,0
2,1,11:03.0,,T. Young makes 2-pt hook shot from 5 ft (assist by L. Kornet),0,2
3,1,10:50.0,D. DeRozan misses 2-pt jump shot from 14 ft,,0,2
4,1,10:46.0,Offensive rebound by T. Lyles,,0,2
5,1,10:38.0,D. DeRozan misses 2-pt jump shot from 4 ft,,0,2
6,1,10:36.0,,Defensive rebound by K. Dunn,0,2
7,1,10:24.0,,K. Dunn misses 3-pt jump shot from 25 ft,0,2
8,1,10:20.0,Defensive rebound by J. Poeltl,,0,2
9,1,10:03.0,B. Forbes misses 3-pt jump shot from 29 ft,,0,2
10,1,9:59.0,,Defensive rebound by T. Young,0,2
11,1,9:46.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by K. Dunn),0,4
12,1,9:24.0,J. Poeltl makes 2-pt hook shot from 6 ft,,2,4
13,1,9:09.0,,T. Satoranský misses 3-pt jump shot from 26 ft,2,4
14,1,9:07.0,Defensive rebound by J. Poeltl,,2,4
15,1,8:47.0,B. Forbes misses 3-pt jump shot from 24 ft,,2,4
16,1,8:43.0,,Defensive rebound by Z. LaVine,2,4
17,1,8:32.0,,T. Young misses 2-pt layup from 2 ft,2,4
18,1,8:30.0,Defensive rebound by J. Poeltl,,2,4
19,1,8:24.0,D. Murray misses 2-pt jump shot from 15 ft,,2,4
20,1,8:20.0,,Defensive rebound by K. Dunn,2,4
21,1,8:20.0,,Turnover by K. Dunn (bad pass),2,4
22,1,8:02.0,T. Lyles makes 3-pt jump shot from 27 ft (assist by B. Forbes),,5,4
23,1,7:47.0,,Z. LaVine misses 2-pt jump shot from 16 ft,5,4
24,1,7:44.0,Defensive rebound by D. DeRozan,,5,4
25,1,7:38.0,Shooting foul by K. Dunn (drawn by D. DeRozan),,5,4
26,1,7:38.0,D. DeRozan makes free throw 1 of 2,,6,4
27,1,7:38.0,D. DeRozan makes free throw 2 of 2,,7,4
28,1,7:29.0,,T. Young misses 3-pt jump shot from 26 ft,7,4
29,1,7:25.0,Defensive rebound by D. DeRozan,,7,4
30,1,7:19.0,Turnover by D. DeRozan (bad pass; steal by K. Dunn),,7,4
31,1,7:14.0,,K. Dunn makes 2-pt layup from 2 ft (assist by T. Satoranský),7,6
32,1,7:02.0,B. Forbes makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,9,6
33,1,6:42.0,,Shooting foul by T. Lyles (drawn by T. Young),9,6
34,1,6:42.0,,Chicago full timeout,9,6
35,1,6:42.0,,T. Young makes free throw 1 of 2,9,7
36,1,6:42.0,,T. Young misses free throw 2 of 2,9,7
37,1,6:39.0,Defensive rebound by D. DeRozan,,9,7
38,1,6:20.0,D. DeRozan misses 2-pt jump shot from 10 ft,,9,7
39,1,6:17.0,,Defensive rebound by L. Kornet,9,7
40,1,6:12.0,,Z. LaVine misses 3-pt jump shot from 25 ft,9,7
41,1,6:08.0,,Offensive rebound by L. Kornet,9,7
42,1,6:07.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by L. Kornet),9,9
43,1,5:54.0,J. Poeltl makes 2-pt layup from 2 ft (assist by B. Forbes),,11,9
44,1,5:43.0,,Z. LaVine misses 2-pt layup from 2 ft,11,9
45,1,5:41.0,Defensive rebound by B. Forbes,,11,9
46,1,5:37.0,T. Lyles misses 3-pt jump shot from 25 ft,,11,9
47,1,5:34.0,,Defensive rebound by L. Kornet,11,9
48,1,5:23.0,,T. Young makes 3-pt jump shot from 23 ft (assist by L. Kornet),11,12
49,1,5:06.0,Turnover by J. Poeltl (bad pass; steal by Z. LaVine),,11,12
50,1,5:03.0,,Z. LaVine misses 2-pt layup from 2 ft,11,12
51,1,5:03.0,Defensive rebound by D. Murray,,11,12
52,1,5:03.0,Personal foul by Z. LaVine (drawn by D. Murray),,11,12
