,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:45.0,,R. Rubio makes 2-pt jump shot from 9 ft,0,2
1,1,11:23.0,J. Murray makes 2-pt jump shot from 17 ft (assist by N. Jokić),,2,2
2,1,11:03.0,,D. Ayton misses 2-pt jump shot from 15 ft,2,2
3,1,11:00.0,Defensive rebound by J. Murray,,2,2
4,1,10:50.0,T. Craig makes 3-pt jump shot from 26 ft (assist by J. Murray),,5,2
5,1,10:34.0,,D. Ayton makes 2-pt layup at rim (assist by D. Booker),5,4
6,1,10:18.0,J. Murray makes 3-pt jump shot from 25 ft (assist by J. Grant),,8,4
7,1,9:59.0,,Shooting foul by T. Craig (drawn by R. Rubio),8,4
8,1,9:59.0,,R. Rubio makes free throw 1 of 2,8,5
9,1,9:59.0,,R. Rubio makes free throw 2 of 2,8,6
10,1,9:44.0,N. Jokić makes 2-pt hook shot from 3 ft,,10,6
11,1,9:29.0,,D. Booker misses 3-pt jump shot from 26 ft,10,6
12,1,9:26.0,,Offensive rebound by R. Rubio,10,6
13,1,9:24.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Rubio),10,9
14,1,9:04.0,J. Grant makes 2-pt layup at rim (assist by N. Jokić),,12,9
15,1,8:52.0,,Shooting foul by J. Murray (drawn by D. Ayton),12,9
16,1,8:52.0,,D. Ayton makes free throw 1 of 2,12,10
17,1,8:52.0,,D. Ayton makes free throw 2 of 2,12,11
18,1,8:39.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,14,11
19,1,8:13.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by M. Bridges),14,14
20,1,7:49.0,J. Murray makes 3-pt jump shot from 25 ft,,17,14
21,1,7:28.0,,K. Oubre misses 3-pt jump shot from 25 ft,17,14
22,1,7:25.0,Defensive rebound by T. Craig,,17,14
23,1,7:20.0,J. Murray misses 3-pt jump shot from 26 ft,,17,14
24,1,7:20.0,,Defensive rebound by K. Oubre,17,14
25,1,7:09.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by R. Rubio),17,17
26,1,6:50.0,Turnover by N. Jokić (bad pass; steal by M. Bridges),,17,17
27,1,6:46.0,,Offensive foul by D. Ayton (drawn by N. Jokić),17,17
28,1,6:46.0,,Turnover by D. Ayton (offensive foul),17,17
29,1,6:46.0,,Phoenix full timeout,17,17
30,1,6:30.0,Turnover by N. Jokić (bad pass; steal by D. Booker),,17,17
31,1,6:23.0,,D. Booker misses 3-pt jump shot from 25 ft,17,17
32,1,6:21.0,Defensive rebound by G. Harris,,17,17
33,1,6:15.0,G. Harris misses 2-pt jump shot from 13 ft,,17,17
34,1,6:13.0,,Defensive rebound by R. Rubio,17,17
35,1,6:13.0,M. Morris enters the game for G. Harris,,17,17
36,1,5:59.0,,D. Ayton makes 2-pt dunk at rim (assist by R. Rubio),17,19
37,1,5:43.0,M. Morris misses 2-pt jump shot from 18 ft,,17,19
38,1,5:41.0,,Defensive rebound by R. Rubio,17,19
39,1,5:25.0,,M. Bridges makes 2-pt layup from 1 ft (assist by R. Rubio),17,21
40,1,5:15.0,N. Jokić misses 3-pt jump shot from 24 ft,,17,21
41,1,5:11.0,,Defensive rebound by D. Booker,17,21
42,1,5:02.0,,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),17,23
43,1,5:01.0,Denver full timeout,,17,23
44,1,5:01.0,,E. Okobo enters the game for R. Rubio,17,23
45,1,4:47.0,N. Jokić makes 2-pt jump shot from 14 ft (assist by T. Craig),,19,23
46,1,4:34.0,,Personal foul by J. Grant (drawn by K. Oubre),19,23
47,1,4:22.0,,K. Oubre misses 3-pt jump shot from 26 ft,19,23
