,QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
0,1,11:43.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by M. Conley),0,2
1,1,11:29.0,M. Fultz misses 2-pt jump shot from 11 ft,,0,2
2,1,11:26.0,,Defensive rebound by R. Gobert,0,2
3,1,11:20.0,,J. Ingles misses 2-pt layup from 3 ft,0,2
4,1,11:15.0,Defensive rebound by N. Vučević,,0,2
5,1,11:08.0,E. Fournier makes 2-pt jump shot from 19 ft,,2,2
6,1,10:45.0,,D. Mitchell makes 2-pt jump shot from 8 ft,2,4
7,1,10:34.0,Turnover by A. Gordon (lost ball; steal by M. Conley),,2,4
8,1,10:27.0,,D. Mitchell misses 2-pt jump shot from 17 ft,2,4
9,1,10:25.0,Defensive rebound by N. Vučević,,2,4
10,1,10:19.0,M. Fultz makes 2-pt layup from 3 ft,,4,4
11,1,10:06.0,,M. Conley makes 2-pt jump shot from 6 ft (assist by J. Ingles),4,6
12,1,9:52.0,N. Vučević misses 3-pt jump shot from 25 ft,,4,6
13,1,9:46.0,,Defensive rebound by R. Gobert,4,6
14,1,9:40.0,,R. Gobert misses 2-pt layup from 2 ft,4,6
15,1,9:39.0,Defensive rebound by N. Vučević,,4,6
16,1,9:28.0,J. Isaac misses 2-pt jump shot from 7 ft,,4,6
17,1,9:26.0,,Defensive rebound by R. Gobert,4,6
18,1,9:18.0,,R. Gobert misses 2-pt layup from 3 ft,4,6
19,1,9:18.0,,Offensive rebound by Team,4,6
20,1,9:11.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,4,6
21,1,9:09.0,,Offensive rebound by R. Gobert,4,6
22,1,9:08.0,,R. Gobert makes 2-pt layup from 2 ft,4,8
23,1,8:57.0,Shooting foul by R. Gobert (drawn by N. Vučević),,4,8
24,1,8:57.0,N. Vučević makes free throw 1 of 2,,5,8
25,1,8:57.0,N. Vučević makes free throw 2 of 2,,6,8
26,1,8:44.0,,D. Mitchell misses 3-pt jump shot from 24 ft,6,8
27,1,8:41.0,Defensive rebound by N. Vučević,,6,8
28,1,8:30.0,J. Isaac misses 2-pt jump shot from 17 ft,,6,8
29,1,8:27.0,,Defensive rebound by R. Gobert,6,8
30,1,8:11.0,,M. Conley misses 3-pt jump shot from 25 ft,6,8
31,1,8:09.0,Defensive rebound by A. Gordon,,6,8
32,1,8:02.0,A. Gordon makes 2-pt jump shot from 12 ft,,8,8
33,1,7:39.0,,Personal foul by E. Fournier (drawn by D. Mitchell),8,8
34,1,7:33.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by R. Gobert),8,11
35,1,7:16.0,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),,10,11
36,1,7:02.0,,Turnover by J. Ingles (traveling),10,11
37,1,7:02.0,,R. O'Neale enters the game for M. Conley,10,11
38,1,6:47.0,A. Gordon misses 3-pt jump shot from 25 ft,,10,11
39,1,6:44.0,Offensive rebound by N. Vučević,,10,11
40,1,6:43.0,A. Gordon misses 3-pt jump shot from 25 ft (block by J. Ingles),,10,11
41,1,6:38.0,,Defensive rebound by J. Ingles,10,11
42,1,6:23.0,,D. Mitchell misses 2-pt jump shot from 13 ft,10,11
43,1,6:19.0,,Offensive rebound by R. Gobert,10,11
44,1,6:19.0,,R. Gobert makes 2-pt layup from 1 ft,10,13
45,1,6:09.0,N. Vučević misses 3-pt jump shot from 24 ft,,10,13
46,1,6:06.0,,Defensive rebound by B. Bogdanović,10,13
47,1,5:58.0,,Turnover by R. Gobert (3 sec),10,13
48,1,5:58.0,,Utah full timeout,10,13
49,1,5:58.0,M. Carter-Williams enters the game for A. Gordon,,10,13
50,1,5:58.0,,E. Mudiay enters the game for J. Ingles,10,13
51,1,5:37.0,M. Fultz misses 3-pt jump shot from 24 ft,,10,13
52,1,5:34.0,,Defensive rebound by D. Mitchell,10,13
53,1,5:15.0,,B. Bogdanović misses 2-pt layup from 3 ft,10,13
54,1,5:12.0,Defensive rebound by M. Fultz,,10,13
55,1,5:09.0,M. Fultz makes 2-pt layup from 4 ft,,12,13
56,1,4:49.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,12,13
57,1,4:43.0,Defensive rebound by M. Carter-Williams,,12,13
58,1,4:32.0,E. Fournier misses 3-pt jump shot from 25 ft,,12,13
59,1,4:29.0,,Defensive rebound by R. Gobert,12,13
60,1,4:18.0,,Turnover by R. Gobert (lost ball; steal by M. Carter-Williams),12,13
61,1,4:11.0,M. Fultz makes 2-pt jump shot from 8 ft,,14,13
62,1,3:52.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by R. Gobert),14,16
63,1,3:35.0,E. Fournier misses 3-pt jump shot from 25 ft,,14,16
64,1,3:33.0,,Defensive rebound by R. Gobert,14,16
65,1,3:23.0,,E. Mudiay misses 2-pt layup from 4 ft,14,16
66,1,3:19.0,Defensive rebound by N. Vučević,,14,16
67,1,3:15.0,E. Fournier makes 2-pt jump shot from 17 ft,,16,16
68,1,2:59.0,,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by D. Mitchell),16,18
69,1,2:50.0,Orlando full timeout,,16,18
70,1,2:50.0,D. Augustin enters the game for E. Fournier,,16,18
71,1,2:50.0,M. Bamba enters the game for M. Fultz,,16,18
72,1,2:50.0,A. Gordon enters the game for J. Isaac,,16,18
73,1,2:50.0,T. Ross enters the game for N. Vučević,,16,18
74,1,2:50.0,,E. Davis enters the game for B. Bogdanović,16,18
75,1,2:50.0,,J. Green enters the game for R. Gobert,16,18
76,1,2:50.0,,J. Ingles enters the game for D. Mitchell,16,18
77,1,2:40.0,A. Gordon misses 2-pt jump shot from 15 ft,,16,18
78,1,2:37.0,,Defensive rebound by E. Davis,16,18
79,1,2:18.0,,Shooting foul by M. Bamba (drawn by E. Mudiay),16,18
80,1,2:18.0,,E. Mudiay misses free throw 1 of 2,16,18
81,1,2:18.0,,Offensive rebound by Team,16,18
82,1,2:18.0,,E. Mudiay misses free throw 2 of 2,16,18
83,1,2:16.0,Defensive rebound by M. Bamba,,16,18
84,1,2:06.0,D. Augustin misses 2-pt layup from 3 ft (block by R. O'Neale),,16,18
85,1,2:03.0,,Defensive rebound by E. Davis,16,18
86,1,1:59.0,,J. Ingles makes 2-pt layup from 3 ft (assist by E. Mudiay),16,20
87,1,1:36.0,M. Carter-Williams makes 2-pt jump shot from 5 ft,,18,20
88,1,1:22.0,,J. Green misses 3-pt jump shot from 25 ft,18,20
89,1,1:18.0,Defensive rebound by D. Augustin,,18,20
90,1,1:10.0,M. Bamba makes 2-pt hook shot from 9 ft (assist by D. Augustin),,20,20
91,1,0:53.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by E. Davis),20,23
92,1,0:42.0,M. Bamba misses 2-pt hook shot from 5 ft (block by J. Ingles),,20,23
93,1,0:40.0,,Defensive rebound by J. Ingles,20,23
94,1,0:28.0,,Turnover by E. Mudiay (step out of bounds),20,23
95,1,0:28.0,,M. Conley enters the game for E. Mudiay,20,23
96,1,0:05.0,T. Ross misses 3-pt jump shot from 25 ft,,20,23
97,1,0:01.0,,Defensive rebound by R. O'Neale,20,23
98,1,0:00.0,,Personal foul by M. Carter-Williams (drawn by R. O'Neale),20,23
99,1,0:00.0,,Instant Replay (Request: Ruling Stands),20,23
100,1,0:00.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by M. Conley),20,26
101,1,0:00.0,,Instant Replay (Request: Ruling Stands),20,26
102,2,11:46.0,Personal foul by R. O'Neale (drawn by T. Ross),,20,26
103,2,11:38.0,T. Ross misses 2-pt jump shot from 17 ft,,20,26
104,2,11:34.0,,Defensive rebound by J. Green,20,26
105,2,11:25.0,,E. Davis makes 2-pt dunk from 2 ft (assist by J. Green),20,28
106,2,11:10.0,D. Augustin makes 2-pt jump shot from 15 ft,,22,28
107,2,10:55.0,,R. O'Neale misses 2-pt layup from 3 ft,22,28
108,2,10:52.0,,Offensive rebound by E. Davis,22,28
109,2,10:52.0,,E. Davis misses 2-pt layup from 1 ft,22,28
110,2,10:52.0,,Offensive rebound by J. Green,22,28
111,2,10:50.0,,Shooting foul by M. Bamba (drawn by J. Green),22,28
112,2,10:50.0,,J. Green misses free throw 1 of 2,22,28
113,2,10:50.0,,Offensive rebound by Team,22,28
114,2,10:50.0,,J. Green misses free throw 2 of 2,22,28
115,2,10:48.0,Defensive rebound by A. Gordon,,22,28
116,2,10:37.0,T. Ross misses 3-pt jump shot from 25 ft,,22,28
117,2,10:34.0,,Defensive rebound by J. Green,22,28
118,2,10:23.0,,M. Conley makes 2-pt jump shot from 6 ft,22,30
119,2,10:23.0,,Shooting foul by M. Bamba (drawn by M. Conley),22,30
120,2,10:23.0,,M. Conley makes free throw 1 of 1,22,31
121,2,10:10.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,22,31
122,2,10:06.0,,Defensive rebound by E. Davis,22,31
123,2,10:01.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by M. Conley),22,34
124,2,9:53.0,Orlando full timeout,,22,34
125,2,9:47.0,M. Carter-Williams makes 2-pt layup from 4 ft,,24,34
126,2,9:29.0,,Turnover by M. Conley (out of bounds lost ball),24,34
127,2,9:14.0,M. Bamba misses 2-pt jump shot from 19 ft,,24,34
128,2,9:12.0,,Defensive rebound by J. Ingles,24,34
129,2,9:06.0,,Turnover by J. Ingles (lost ball; steal by M. Carter-Williams),24,34
130,2,9:02.0,M. Carter-Williams makes 2-pt layup from 2 ft,,26,34
131,2,8:54.0,,Technical foul by M. Carter-Williams,26,34
132,2,8:54.0,,M. Conley makes technical free throw,26,35
133,2,8:54.0,J. Isaac enters the game for A. Gordon,,26,35
134,2,8:54.0,,B. Bogdanović enters the game for E. Davis,26,35
135,2,8:54.0,,R. Gobert enters the game for J. Ingles,26,35
136,2,8:54.0,,D. Mitchell enters the game for R. O'Neale,26,35
137,2,8:54.0,,Technical foul by S. Clifford,26,35
138,2,8:54.0,,M. Conley makes technical free throw,26,36
139,2,8:35.0,,D. Mitchell makes 2-pt jump shot from 12 ft (assist by M. Conley),26,38
140,2,8:21.0,J. Isaac makes 2-pt layup from 2 ft (assist by M. Bamba),,28,38
141,2,8:21.0,Shooting foul by D. Mitchell (drawn by J. Isaac),,28,38
142,2,8:21.0,N. Vučević enters the game for M. Bamba,,28,38
143,2,8:21.0,J. Isaac misses free throw 1 of 1,,28,38
144,2,8:19.0,,Defensive rebound by J. Green,28,38
145,2,8:04.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by B. Bogdanović),28,40
146,2,7:43.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by N. Vučević),,31,40
147,2,7:33.0,,R. Gobert misses 2-pt dunk from 6 ft (block by J. Isaac),31,40
148,2,7:32.0,,Offensive rebound by D. Mitchell,31,40
149,2,7:32.0,,Personal foul by D. Augustin (drawn by D. Mitchell),31,40
