,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
0,1,11:44.0,D. Brooks makes 2-pt jump shot from 20 ft (assist by J. Jackson),,2,0
1,1,11:22.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by D. Sabonis),2,3
2,1,11:06.0,J. Jackson makes 3-pt jump shot from 28 ft (assist by J. Crowder),,5,3
3,1,10:48.0,,Turnover by T. Warren (step out of bounds),5,3
4,1,10:48.0,,Instant Replay (Request: Ruling Stands),5,3
5,1,10:33.0,Personal foul by J. Lamb (drawn by D. Brooks),,5,3
6,1,10:22.0,Shooting foul by M. Turner (drawn by J. Valančiūnas),,5,3
7,1,10:22.0,J. Valančiūnas misses free throw 1 of 2,,5,3
8,1,10:22.0,Offensive rebound by Team,,5,3
9,1,10:22.0,J. Valančiūnas misses free throw 2 of 2,,5,3
10,1,10:21.0,,Defensive rebound by D. Sabonis,5,3
11,1,10:10.0,,J. Lamb misses 2-pt jump shot from 5 ft,5,3
12,1,10:08.0,Defensive rebound by J. Jackson,,5,3
13,1,9:54.0,D. Brooks misses 3-pt jump shot from 27 ft,,5,3
14,1,9:52.0,,Defensive rebound by Team,5,3
15,1,9:52.0,Loose ball foul by J. Jackson (drawn by D. Sabonis),,5,3
16,1,9:46.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by M. Brogdon),5,5
17,1,9:29.0,J. Morant misses 2-pt jump shot from 13 ft,,5,5
18,1,9:24.0,Offensive rebound by D. Brooks,,5,5
19,1,9:21.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Morant),,8,5
20,1,9:05.0,,T. Warren misses 2-pt jump shot from 18 ft,8,5
21,1,9:02.0,Defensive rebound by D. Brooks,,8,5
22,1,8:49.0,J. Valančiūnas makes 2-pt layup at rim,,10,5
23,1,8:35.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by J. Lamb),10,7
24,1,8:17.0,J. Jackson makes 2-pt layup from 2 ft,,12,7
25,1,8:06.0,,M. Brogdon makes 2-pt jump shot from 12 ft,12,9
26,1,7:50.0,J. Morant misses 2-pt layup from 2 ft,,12,9
27,1,7:48.0,Offensive rebound by D. Brooks,,12,9
28,1,7:47.0,J. Jackson misses 3-pt jump shot from 27 ft,,12,9
29,1,7:44.0,,Defensive rebound by M. Brogdon,12,9
30,1,7:35.0,,Personal foul by J. Jackson (drawn by D. Sabonis),12,9
31,1,7:35.0,B. Clarke enters the game for J. Jackson,,12,9
