,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SAN ANTONIO_ACTION,CHARLOTTE_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,D. DeRozan makes 2-pt jump shot from 15 ft,0,2
1,1,11:47.0,,Shooting foul by M. Bridges (drawn by D. DeRozan),0,2
2,1,11:47.0,,D. DeRozan makes free throw 1 of 1,0,3
3,1,11:30.0,Turnover by T. Rozier (bad pass),,0,3
4,1,11:06.0,,D. DeRozan misses 2-pt jump shot from 24 ft,0,3
5,1,11:02.0,Defensive rebound by T. Rozier,,0,3
6,1,10:56.0,D. Graham misses 3-pt jump shot from 29 ft,,0,3
7,1,10:50.0,,Defensive rebound by D. Murray,0,3
8,1,10:45.0,,B. Forbes misses 2-pt jump shot from 6 ft (block by M. Williams),0,3
9,1,10:42.0,Defensive rebound by T. Rozier,,0,3
10,1,10:30.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by C. Zeller),,3,3
11,1,10:07.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by B. Forbes),3,5
12,1,9:46.0,T. Rozier misses 2-pt jump shot from 13 ft,,3,5
13,1,9:42.0,,Defensive rebound by T. Lyles,3,5
14,1,9:35.0,,D. DeRozan makes 2-pt layup from 2 ft,3,7
15,1,9:18.0,M. Bridges makes 2-pt dunk at rim (assist by D. Graham),,5,7
16,1,8:56.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by B. Forbes),5,10
17,1,8:40.0,M. Bridges makes 2-pt layup from 3 ft (assist by C. Zeller),,7,10
18,1,8:27.0,,B. Forbes misses 3-pt jump shot from 25 ft,7,10
19,1,8:24.0,Defensive rebound by M. Bridges,,7,10
20,1,8:14.0,M. Bridges misses 2-pt layup from 6 ft,,7,10
21,1,8:09.0,Offensive rebound by C. Zeller,,7,10
22,1,8:09.0,C. Zeller makes 2-pt layup at rim,,9,10
23,1,7:59.0,,T. Lyles makes 2-pt dunk at rim (assist by D. DeRozan),9,12
24,1,7:53.0,D. Graham misses 3-pt jump shot from 26 ft,,9,12
25,1,7:49.0,,Defensive rebound by T. Lyles,9,12
26,1,7:32.0,,D. DeRozan makes 2-pt jump shot from 9 ft,9,14
27,1,7:18.0,Turnover by C. Zeller (lost ball; steal by D. Murray),,9,14
28,1,7:02.0,,D. Murray misses 2-pt jump shot from 17 ft,9,14
29,1,6:59.0,Defensive rebound by C. Zeller,,9,14
30,1,6:51.0,Turnover by D. Graham (bad pass),,9,14
31,1,6:51.0,,San Antonio full timeout,9,14
32,1,6:51.0,C. Martin enters the game for M. Bridges,,9,14
33,1,6:30.0,,L. Aldridge misses 2-pt jump shot from 17 ft,9,14
34,1,6:27.0,Defensive rebound by C. Martin,,9,14
35,1,6:20.0,T. Rozier misses 2-pt jump shot from 13 ft,,9,14
36,1,6:20.0,Offensive rebound by C. Zeller,,9,14
37,1,6:13.0,C. Zeller makes 2-pt layup at rim,,11,14
38,1,6:01.0,,D. DeRozan misses 2-pt jump shot from 12 ft,11,14
39,1,5:56.0,Defensive rebound by M. Williams,,11,14
40,1,5:45.0,C. Martin makes 2-pt jump shot from 22 ft (assist by T. Rozier),,13,14
41,1,5:29.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by L. Aldridge),13,17
42,1,5:13.0,M. Williams misses 3-pt jump shot from 27 ft,,13,17
43,1,5:08.0,,Defensive rebound by L. Aldridge,13,17
44,1,5:08.0,W. Hernangómez enters the game for D. Graham,,13,17
45,1,5:08.0,M. Monk enters the game for C. Zeller,,13,17
46,1,5:08.0,,P. Mills enters the game for B. Forbes,13,17
47,1,5:08.0,,D. White enters the game for D. Murray,13,17
48,1,4:47.0,,Turnover by Team (shot clock),13,17
49,1,4:27.0,Shooting foul by D. DeRozan (drawn by C. Martin),,13,17
50,1,4:27.0,C. Martin makes free throw 1 of 2,,14,17
51,1,4:27.0,M. Bridges enters the game for M. Williams,,14,17
52,1,4:27.0,,R. Gay enters the game for D. DeRozan,14,17
53,1,4:27.0,,L. Walker enters the game for T. Lyles,14,17
54,1,4:27.0,C. Martin misses free throw 2 of 2,,14,17
55,1,4:19.0,,Defensive rebound by L. Walker,14,17
56,1,4:05.0,,R. Gay misses 2-pt jump shot from 21 ft,14,17
57,1,4:01.0,Defensive rebound by W. Hernangómez,,14,17
58,1,3:54.0,W. Hernangómez misses 2-pt jump shot from 16 ft,,14,17
59,1,3:53.0,Offensive rebound by Team,,14,17
60,1,3:44.0,Turnover by M. Monk (bad pass; steal by P. Mills),,14,17
61,1,3:42.0,,P. Mills misses 2-pt layup from 3 ft (block by M. Monk),14,17
62,1,3:41.0,,Offensive rebound by Team,14,17
63,1,3:39.0,,P. Mills misses 3-pt jump shot from 23 ft (block by M. Monk),14,17
64,1,3:38.0,,Offensive rebound by Team,14,17
65,1,3:28.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by L. Walker),14,20
66,1,3:19.0,Charlotte full timeout,,14,20
67,1,3:19.0,D. Graham enters the game for T. Rozier,,14,20
68,1,3:19.0,,J. Poeltl enters the game for L. Aldridge,14,20
69,1,3:14.0,W. Hernangómez makes 2-pt dunk from 1 ft (assist by M. Bridges),,16,20
70,1,3:00.0,,R. Gay makes 2-pt jump shot from 18 ft,16,22
71,1,2:46.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Graham),,19,22
72,1,2:33.0,,J. Poeltl makes 2-pt layup from 8 ft (assist by P. Mills),19,24
73,1,2:14.0,Shooting foul by J. Poeltl (drawn by W. Hernangómez),,19,24
74,1,2:14.0,W. Hernangómez makes free throw 1 of 2,,20,24
75,1,2:14.0,W. Hernangómez makes free throw 2 of 2,,21,24
76,1,2:05.0,,J. Poeltl makes 2-pt dunk at rim (assist by L. Walker),21,26
77,1,1:49.0,Personal foul by P. Mills (drawn by M. Monk),,21,26
78,1,1:40.0,W. Hernangómez makes 2-pt hook shot from 3 ft (assist by D. Graham),,23,26
79,1,1:19.0,,L. Walker makes 2-pt layup from 3 ft (assist by D. White),23,28
80,1,1:07.0,M. Bridges makes 2-pt layup from 4 ft (assist by D. Graham),,25,28
81,1,1:00.0,,Personal foul by C. Martin (drawn by P. Mills),25,28
82,1,0:50.0,,J. Poeltl makes 2-pt jump shot from 10 ft (assist by P. Mills),25,30
83,1,0:32.0,W. Hernangómez misses 3-pt jump shot from 26 ft,,25,30
84,1,0:28.0,,Defensive rebound by D. White,25,30
85,1,0:09.0,,P. Mills misses 3-pt jump shot from 26 ft,25,30
86,1,0:06.0,Defensive rebound by M. Bridges,,25,30
87,1,0:02.0,D. Graham makes 3-pt jump shot from 23 ft (assist by C. Martin),,28,30
88,1,0:00.0,,D. White misses 3-pt jump shot from 49 ft,28,30
89,1,0:00.0,,Offensive rebound by Team,28,30
90,2,11:46.0,C. Martin misses 3-pt jump shot from 25 ft,,28,30
91,2,11:40.0,,Defensive rebound by P. Mills,28,30
92,2,11:34.0,,Turnover by P. Mills (bad pass),28,30
93,2,11:20.0,M. Monk misses 2-pt jump shot from 12 ft,,28,30
94,2,11:17.0,,Defensive rebound by R. Gay,28,30
95,2,11:11.0,,Turnover by R. Gay (bad pass; steal by D. Graham),28,30
96,2,11:06.0,C. Martin makes 2-pt dunk from 1 ft (assist by M. Bridges),,30,30
97,2,10:55.0,,D. White makes 3-pt jump shot from 25 ft,30,33
98,2,10:46.0,D. Graham makes 2-pt jump shot from 7 ft (assist by M. Monk),,32,33
99,2,10:32.0,,Turnover by R. Gay (bad pass),32,33
100,2,10:32.0,M. Williams enters the game for C. Martin,,32,33
101,2,10:18.0,W. Hernangómez makes 2-pt layup from 1 ft,,34,33
102,2,10:07.0,,R. Gay misses 2-pt jump shot from 6 ft,34,33
103,2,10:05.0,Defensive rebound by Team,,34,33
104,2,10:05.0,,B. Forbes enters the game for R. Gay,34,33
105,2,10:05.0,,T. Lyles enters the game for P. Mills,34,33
106,2,10:05.0,,D. Murray enters the game for D. White,34,33
107,2,9:52.0,D. Graham misses 2-pt layup from 6 ft (block by J. Poeltl),,34,33
108,2,9:48.0,,Defensive rebound by J. Poeltl,34,33
109,2,9:38.0,,D. Murray misses 2-pt jump shot from 12 ft,34,33
