,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,Personal foul by C. Sexton (drawn by D. Brooks),0,0
1,1,11:35.0,,J. Morant makes 2-pt layup from 1 ft,0,2
2,1,11:10.0,K. Love misses 3-pt jump shot from 24 ft,,0,2
3,1,11:08.0,,Defensive rebound by J. Morant,0,2
4,1,10:55.0,,Turnover by D. Brooks (bad pass; steal by D. Garland),0,2
5,1,10:52.0,D. Garland makes 2-pt layup at rim,,2,2
6,1,10:52.0,,Violation by Team (def goaltending),2,2
7,1,10:41.0,,J. Valančiūnas misses 3-pt jump shot from 26 ft,2,2
8,1,10:38.0,Defensive rebound by T. Thompson,,2,2
9,1,10:33.0,D. Garland makes 3-pt jump shot from 25 ft (assist by K. Love),,5,2
10,1,10:18.0,,J. Morant makes 2-pt layup from 1 ft,5,4
11,1,10:06.0,Shooting foul by D. Brooks (drawn by K. Love),,5,4
12,1,10:06.0,K. Love makes free throw 1 of 2,,6,4
13,1,10:06.0,K. Love misses free throw 2 of 2,,6,4
14,1,10:04.0,,Defensive rebound by J. Crowder,6,4
15,1,9:51.0,,J. Valančiūnas misses 2-pt hook shot from 9 ft,6,4
16,1,9:47.0,,Offensive rebound by J. Valančiūnas,6,4
17,1,9:43.0,,J. Jackson misses 3-pt jump shot from 25 ft,6,4
18,1,9:40.0,Defensive rebound by C. Sexton,,6,4
19,1,9:34.0,Turnover by C. Sexton (bad pass; steal by J. Jackson),,6,4
20,1,9:30.0,,J. Jackson makes 2-pt dunk from 1 ft,6,6
21,1,9:17.0,C. Sexton misses 2-pt jump shot from 5 ft,,6,6
22,1,9:17.0,Offensive rebound by Team,,6,6
23,1,9:17.0,,Loose ball foul by J. Jackson (drawn by T. Thompson),6,6
24,1,9:10.0,C. Sexton makes 2-pt jump shot from 11 ft,,8,6
25,1,8:52.0,,D. Brooks misses 2-pt jump shot from 11 ft,8,6
26,1,8:48.0,Defensive rebound by K. Love,,8,6
27,1,8:36.0,Shooting foul by J. Jackson (drawn by K. Love),,8,6
28,1,8:36.0,K. Love makes free throw 1 of 2,,9,6
29,1,8:36.0,,B. Clarke enters the game for J. Jackson,9,6
30,1,8:36.0,K. Love makes free throw 2 of 2,,10,6
31,1,8:26.0,,J. Crowder misses 3-pt jump shot from 25 ft,10,6
32,1,8:23.0,Defensive rebound by K. Love,,10,6
33,1,8:16.0,C. Sexton misses 3-pt jump shot from 25 ft,,10,6
34,1,8:12.0,,Defensive rebound by J. Morant,10,6
35,1,8:02.0,,D. Brooks makes 2-pt layup from 1 ft (assist by J. Morant),10,8
36,1,7:50.0,C. Sexton misses 3-pt jump shot from 25 ft,,10,8
37,1,7:47.0,,Defensive rebound by J. Crowder,10,8
38,1,7:36.0,,Turnover by J. Morant (out of bounds lost ball),10,8
39,1,7:17.0,D. Garland makes 2-pt jump shot from 10 ft,,12,8
40,1,7:01.0,,B. Clarke makes 2-pt layup from 1 ft (assist by J. Morant),12,10
41,1,6:47.0,T. Thompson misses 2-pt layup from 2 ft,,12,10
42,1,6:45.0,,Defensive rebound by D. Brooks,12,10
43,1,6:42.0,,D. Brooks misses 2-pt jump shot from 8 ft,12,10
44,1,6:37.0,,Offensive rebound by J. Valančiūnas,12,10
45,1,6:37.0,,J. Valančiūnas makes 2-pt layup from 1 ft,12,12
46,1,6:25.0,C. Sexton makes 2-pt layup from 1 ft,,14,12
47,1,6:25.0,,Memphis full timeout,14,12
48,1,6:25.0,D. Exum enters the game for C. Sexton,,14,12
49,1,6:15.0,,J. Valančiūnas makes 2-pt hook shot from 10 ft (assist by J. Crowder),14,14
50,1,6:00.0,Shooting foul by B. Clarke (drawn by K. Love),,14,14
51,1,6:00.0,K. Love makes free throw 1 of 2,,15,14
52,1,6:00.0,K. Love makes free throw 2 of 2,,16,14
53,1,5:49.0,,D. Brooks makes 3-pt jump shot from 27 ft (assist by B. Clarke),16,17
54,1,5:33.0,K. Love misses 2-pt jump shot from 17 ft,,16,17
55,1,5:30.0,,Defensive rebound by J. Valančiūnas,16,17
56,1,5:24.0,,J. Morant misses 3-pt jump shot from 24 ft,16,17
57,1,5:20.0,,Offensive rebound by J. Valančiūnas,16,17
58,1,5:20.0,,J. Valančiūnas misses 2-pt layup at rim,16,17
59,1,5:20.0,,Offensive rebound by J. Valančiūnas,16,17
60,1,5:16.0,,J. Valančiūnas misses 2-pt layup from 1 ft,16,17
61,1,5:15.0,Defensive rebound by K. Love,,16,17
62,1,5:12.0,C. Osman misses 3-pt jump shot from 25 ft,,16,17
63,1,5:08.0,,Defensive rebound by J. Valančiūnas,16,17
64,1,4:54.0,,D. Brooks makes 3-pt jump shot from 23 ft (assist by J. Morant),16,20
65,1,4:32.0,K. Love misses 3-pt jump shot from 27 ft,,16,20
66,1,4:31.0,,Defensive rebound by J. Valančiūnas,16,20
67,1,4:23.0,,J. Morant misses 2-pt layup at rim,16,20
68,1,4:19.0,Defensive rebound by D. Exum,,16,20
69,1,4:17.0,D. Exum makes 2-pt layup from 2 ft,,18,20
70,1,4:06.0,,D. Brooks makes 2-pt layup from 1 ft,18,22
71,1,3:54.0,D. Garland misses 2-pt layup from 1 ft (block by J. Morant),,18,22
72,1,3:48.0,,Defensive rebound by J. Valančiūnas,18,22
73,1,3:46.0,,D. Brooks misses 3-pt jump shot from 26 ft,18,22
74,1,3:42.0,,Offensive rebound by B. Clarke,18,22
75,1,3:41.0,,J. Crowder misses 3-pt jump shot from 25 ft,18,22
76,1,3:38.0,Defensive rebound by K. Love,,18,22
77,1,3:31.0,C. Osman makes 2-pt jump shot from 8 ft,,20,22
78,1,3:13.0,,Shooting foul by T. Thompson (drawn by J. Crowder),20,22
79,1,3:13.0,,Instant Replay (Request: Stands),20,22
80,1,3:13.0,,J. Crowder misses free throw 1 of 2,20,22
81,1,3:13.0,,Offensive rebound by Team,20,22
82,1,3:13.0,A. McKinnie enters the game for D. Garland,,20,22
83,1,3:13.0,L. Nance enters the game for K. Love,,20,22
84,1,3:13.0,C. Sexton enters the game for C. Osman,,20,22
85,1,3:13.0,,T. Jones enters the game for D. Brooks,20,22
86,1,3:13.0,,D. Melton enters the game for J. Morant,20,22
87,1,3:13.0,,J. Crowder makes free throw 2 of 2,20,23
88,1,3:10.0,Technical foul by J. Crowder,,20,23
89,1,3:10.0,,Technical foul by T. Thompson,20,23
90,1,3:10.0,,K. Anderson enters the game for J. Crowder,20,23
91,1,2:57.0,D. Exum misses 3-pt jump shot from 25 ft,,20,23
92,1,2:54.0,,Defensive rebound by D. Melton,20,23
93,1,2:40.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,20,25
94,1,2:22.0,D. Exum misses 2-pt layup from 7 ft (block by J. Valančiūnas),,20,25
95,1,2:20.0,,Defensive rebound by J. Valančiūnas,20,25
96,1,2:16.0,,K. Anderson makes 2-pt jump shot from 7 ft (assist by T. Jones),20,27
97,1,2:16.0,Cleveland full timeout,,20,27
98,1,2:16.0,J. Henson enters the game for T. Thompson,,20,27
99,1,2:16.0,,S. Hill enters the game for J. Valančiūnas,20,27
100,1,2:04.0,C. Sexton misses 2-pt jump shot from 6 ft,,20,27
101,1,2:01.0,Offensive rebound by J. Henson,,20,27
102,1,2:00.0,J. Henson misses 2-pt hook shot from 2 ft,,20,27
103,1,1:57.0,,Defensive rebound by D. Melton,20,27
104,1,1:53.0,,T. Jones misses 3-pt jump shot from 23 ft,20,27
105,1,1:49.0,Defensive rebound by L. Nance,,20,27
106,1,1:41.0,Turnover by L. Nance (bad pass; steal by D. Melton),,20,27
107,1,1:36.0,,Personal foul by A. McKinnie (drawn by D. Melton),20,27
108,1,1:30.0,,S. Hill misses 3-pt jump shot from 29 ft,20,27
109,1,1:27.0,Defensive rebound by C. Sexton,,20,27
110,1,1:13.0,Turnover by J. Henson (back court),,20,27
111,1,1:04.0,,T. Jones misses 2-pt jump shot from 11 ft,20,27
112,1,1:02.0,Defensive rebound by J. Henson,,20,27
113,1,0:46.0,L. Nance makes 2-pt jump shot from 22 ft (assist by C. Sexton),,22,27
114,1,0:25.0,,B. Clarke misses 2-pt jump shot from 13 ft,22,27
115,1,0:22.0,Defensive rebound by L. Nance,,22,27
116,1,0:00.0,D. Exum makes 3-pt jump shot from 26 ft (assist by J. Henson),,25,27
117,2,11:48.0,C. Sexton makes 2-pt layup from 4 ft,,27,27
118,2,11:31.0,,D. Melton misses 2-pt layup from 1 ft,27,27
119,2,11:27.0,Defensive rebound by A. McKinnie,,27,27
120,2,11:20.0,C. Sexton misses 2-pt layup from 2 ft,,27,27
121,2,11:16.0,Offensive rebound by J. Henson,,27,27
122,2,11:16.0,J. Henson makes 2-pt layup at rim,,29,27
123,2,11:10.0,,J. Jackson misses 3-pt jump shot from 28 ft,29,27
124,2,11:07.0,Defensive rebound by A. McKinnie,,29,27
125,2,11:00.0,J. Henson makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,32,27
126,2,10:44.0,,Shooting foul by J. Henson (drawn by J. Jackson),32,27
127,2,10:44.0,,J. Jackson makes free throw 1 of 2,32,28
128,2,10:44.0,,J. Jackson makes free throw 2 of 2,32,29
129,2,10:34.0,C. Sexton makes 2-pt layup from 2 ft,,34,29
130,2,10:34.0,Shooting foul by J. Jackson (drawn by C. Sexton),,34,29
131,2,10:34.0,,J. Morant enters the game for J. Jackson,34,29
132,2,10:34.0,,J. Valančiūnas enters the game for T. Jones,34,29
133,2,10:34.0,C. Sexton makes free throw 1 of 1,,35,29
134,2,10:25.0,,Personal foul by A. McKinnie (drawn by K. Anderson),35,29
135,2,10:11.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,35,29
136,2,10:08.0,Defensive rebound by A. McKinnie,,35,29
137,2,9:59.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,35,29
138,2,9:56.0,,Defensive rebound by K. Anderson,35,29
139,2,9:49.0,,Turnover by K. Anderson (out of bounds lost ball),35,29
140,2,9:49.0,,G. Allen enters the game for K. Anderson,35,29
141,2,9:49.0,,D. Brooks enters the game for D. Melton,35,29
142,2,9:37.0,C. Sexton makes 3-pt jump shot from 25 ft,,38,29
143,2,9:36.0,,Memphis full timeout,38,29
144,2,9:15.0,,J. Morant misses 2-pt jump shot from 21 ft,38,29
145,2,9:11.0,Defensive rebound by J. Henson,,38,29
146,2,8:59.0,C. Sexton misses 2-pt jump shot from 14 ft,,38,29
147,2,8:55.0,,Defensive rebound by J. Morant,38,29
148,2,8:49.0,,G. Allen misses 3-pt jump shot from 26 ft,38,29
149,2,8:47.0,,Offensive rebound by J. Valančiūnas,38,29
150,2,8:45.0,,G. Allen makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),38,32
151,2,8:30.0,Personal foul by D. Brooks (drawn by J. Henson),,38,32
152,2,8:25.0,J. Henson misses 3-pt jump shot from 27 ft,,38,32
153,2,8:21.0,Offensive rebound by A. McKinnie,,38,32
154,2,8:17.0,Shooting foul by D. Brooks (drawn by J. Henson),,38,32
