,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:45.0,,K. Nunn misses 3-pt jump shot from 27 ft,0,0
1,1,11:44.0,Defensive rebound by Team,,0,0
2,1,11:27.0,D. Sabonis misses 2-pt hook shot from 7 ft,,0,0
3,1,11:21.0,,Defensive rebound by D. Robinson,0,0
4,1,11:10.0,,K. Nunn makes 2-pt jump shot from 16 ft (assist by J. Butler),0,2
5,1,10:54.0,D. Sabonis misses 2-pt jump shot from 21 ft,,0,2
6,1,10:52.0,,Defensive rebound by B. Adebayo,0,2
7,1,10:35.0,,D. Robinson misses 3-pt jump shot from 23 ft,0,2
8,1,10:33.0,Defensive rebound by D. Sabonis,,0,2
9,1,10:24.0,A. Holiday misses 2-pt jump shot from 11 ft,,0,2
10,1,10:19.0,,Defensive rebound by D. Robinson,0,2
11,1,10:10.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),0,5
12,1,9:53.0,M. Turner misses 2-pt jump shot from 11 ft,,0,5
13,1,9:48.0,,Defensive rebound by K. Nunn,0,5
14,1,9:42.0,,D. Robinson misses 3-pt jump shot from 26 ft,0,5
15,1,9:37.0,Defensive rebound by M. Turner,,0,5
16,1,9:30.0,J. Lamb makes 3-pt jump shot from 27 ft (assist by A. Holiday),,3,5
17,1,9:13.0,,M. Leonard misses 3-pt jump shot from 26 ft,3,5
18,1,9:09.0,Defensive rebound by J. Lamb,,3,5
19,1,9:03.0,J. Lamb makes 2-pt jump shot from 11 ft (assist by D. Sabonis),,5,5
20,1,9:03.0,Shooting foul by D. Robinson (drawn by J. Lamb),,5,5
21,1,9:03.0,J. Lamb makes free throw 1 of 1,,6,5
22,1,8:50.0,,J. Butler misses 2-pt layup from 4 ft (block by J. Lamb),6,5
23,1,8:43.0,Defensive rebound by M. Turner,,6,5
24,1,8:35.0,D. Sabonis misses 2-pt layup from 4 ft,,6,5
25,1,8:32.0,,Defensive rebound by M. Leonard,6,5
26,1,8:21.0,,B. Adebayo makes 2-pt dunk from 3 ft (assist by D. Robinson),6,7
27,1,7:59.0,A. Holiday misses 3-pt jump shot from 27 ft,,6,7
28,1,7:54.0,,Defensive rebound by B. Adebayo,6,7
29,1,7:45.0,,D. Robinson misses 2-pt hook shot from 9 ft,6,7
30,1,7:40.0,Defensive rebound by J. Lamb,,6,7
31,1,7:24.0,T. Warren misses 2-pt jump shot from 9 ft,,6,7
32,1,7:20.0,,Defensive rebound by B. Adebayo,6,7
33,1,7:08.0,,B. Adebayo makes 2-pt jump shot from 12 ft (assist by K. Nunn),6,9
34,1,6:53.0,J. Lamb makes 2-pt jump shot from 17 ft,,8,9
35,1,6:41.0,,Shooting foul by J. Lamb (drawn by J. Butler),8,9
36,1,6:41.0,,Miami full timeout,8,9
37,1,6:41.0,,J. Butler makes free throw 1 of 2,8,10
38,1,6:41.0,,J. Butler makes free throw 2 of 2,8,11
39,1,6:30.0,J. Lamb misses 3-pt jump shot from 27 ft,,8,11
40,1,6:26.0,,Defensive rebound by B. Adebayo,8,11
41,1,6:18.0,,M. Leonard misses 3-pt jump shot from 27 ft,8,11
42,1,6:14.0,Defensive rebound by M. Turner,,8,11
43,1,6:06.0,A. Holiday makes 2-pt jump shot from 9 ft,,10,11
44,1,5:41.0,,Turnover by J. Butler (bad pass),10,11
45,1,5:30.0,T. Warren makes 2-pt jump shot from 16 ft (assist by A. Holiday),,12,11
46,1,5:06.0,,K. Nunn makes 3-pt jump shot from 24 ft (assist by J. Butler),12,14
47,1,4:56.0,M. Turner makes 3-pt jump shot from 26 ft (assist by A. Holiday),,15,14
48,1,4:35.0,,Turnover by M. Leonard (bad pass),15,14
49,1,4:35.0,,D. Jones enters the game for B. Adebayo,15,14
50,1,4:23.0,A. Holiday makes 2-pt layup from 4 ft,,17,14
51,1,4:00.0,,Turnover by J. Butler (bad pass; steal by D. Sabonis),17,14
52,1,3:55.0,M. Turner makes 3-pt jump shot from 29 ft (assist by A. Holiday),,20,14
53,1,3:42.0,,Shooting foul by M. Turner (drawn by J. Butler),20,14
54,1,3:42.0,,J. Butler makes free throw 1 of 2,20,15
55,1,3:42.0,J. Holiday enters the game for J. Lamb,,20,15
56,1,3:42.0,T. McConnell enters the game for D. Sabonis,,20,15
57,1,3:42.0,,G. Dragić enters the game for K. Nunn,20,15
58,1,3:42.0,,T. Herro enters the game for D. Robinson,20,15
59,1,3:42.0,,J. Butler makes free throw 2 of 2,20,16
60,1,3:29.0,T. Warren misses 2-pt jump shot from 5 ft,,20,16
61,1,3:27.0,,Defensive rebound by T. Herro,20,16
62,1,3:20.0,,J. Butler makes 2-pt layup from 2 ft,20,18
63,1,3:20.0,,Shooting foul by M. Turner (drawn by J. Butler),20,18
64,1,3:20.0,G. Bitadze enters the game for M. Turner,,20,18
65,1,3:20.0,,J. Butler misses free throw 1 of 1,20,18
66,1,3:18.0,Defensive rebound by T. Warren,,20,18
67,1,3:15.0,Indiana full timeout,,20,18
