,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:44.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,3,0
1,1,11:23.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by M. Fultz),3,2
2,1,11:11.0,Shooting foul by E. Fournier (drawn by G. Antetokounmpo),,3,2
3,1,11:11.0,G. Antetokounmpo makes free throw 1 of 2,,4,2
4,1,11:11.0,G. Antetokounmpo misses free throw 2 of 2,,4,2
5,1,11:08.0,,Defensive rebound by N. Vučević,4,2
6,1,10:57.0,,M. Fultz misses 3-pt jump shot from 25 ft,4,2
7,1,10:54.0,Defensive rebound by W. Matthews,,4,2
8,1,10:47.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,7,2
9,1,10:31.0,,A. Gordon misses 2-pt jump shot from 18 ft (block by G. Antetokounmpo),7,2
10,1,10:28.0,Defensive rebound by W. Matthews,,7,2
11,1,10:22.0,Turnover by E. Bledsoe (bad pass; steal by M. Fultz),,7,2
12,1,10:22.0,Violation by Team (kicked ball),,7,2
13,1,10:06.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),7,5
14,1,9:53.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,10,5
15,1,9:36.0,,Turnover by E. Fournier (bad pass),10,5
16,1,9:21.0,G. Antetokounmpo misses 2-pt jump shot from 12 ft,,10,5
17,1,9:19.0,,Defensive rebound by M. Fultz,10,5
18,1,9:15.0,,N. Vučević misses 3-pt jump shot from 26 ft,10,5
19,1,9:12.0,Defensive rebound by B. Lopez,,10,5
20,1,9:02.0,Personal foul by A. Gordon (drawn by G. Antetokounmpo),,10,5
21,1,8:48.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,10,5
22,1,8:46.0,,Defensive rebound by Team,10,5
23,1,8:32.0,,M. Fultz makes 2-pt jump shot from 15 ft (assist by A. Gordon),10,7
24,1,8:20.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,12,7
25,1,8:00.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),12,10
