,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,S. Hill misses 2-pt layup from 5 ft,0,0
1,1,11:36.0,Defensive rebound by M. Brogdon,,0,0
2,1,11:18.0,D. Sabonis misses 2-pt layup from 2 ft,,0,0
3,1,11:13.0,Offensive rebound by D. Sabonis,,0,0
4,1,11:13.0,D. Sabonis misses 2-pt layup from 1 ft,,0,0
5,1,11:12.0,,Defensive rebound by J. Jackson,0,0
6,1,11:07.0,,J. Jackson makes 2-pt layup from 4 ft,0,2
7,1,10:52.0,M. Turner makes 2-pt jump shot from 8 ft (assist by T. Warren),,2,2
8,1,10:35.0,,S. Hill makes 2-pt jump shot from 6 ft,2,4
9,1,10:16.0,M. Turner makes 2-pt jump shot from 9 ft (assist by J. Lamb),,4,4
10,1,10:01.0,,S. Hill misses 3-pt jump shot from 24 ft,4,4
11,1,9:58.0,Defensive rebound by D. Sabonis,,4,4
12,1,9:42.0,J. Lamb misses 3-pt jump shot from 24 ft,,4,4
13,1,9:37.0,,Defensive rebound by J. Jackson,4,4
14,1,9:34.0,,T. Jones misses 2-pt layup from 4 ft,4,4
15,1,9:31.0,Defensive rebound by J. Lamb,,4,4
16,1,9:24.0,D. Sabonis misses 2-pt layup from 3 ft,,4,4
17,1,9:20.0,,Defensive rebound by S. Hill,4,4
18,1,9:16.0,,D. Brooks misses 2-pt layup from 4 ft,4,4
19,1,9:13.0,,Offensive rebound by D. Brooks,4,4
20,1,9:13.0,,D. Brooks misses 2-pt layup at rim,4,4
21,1,9:10.0,Defensive rebound by J. Lamb,,4,4
22,1,9:06.0,M. Turner misses 2-pt jump shot from 14 ft,,4,4
23,1,9:02.0,,Defensive rebound by T. Jones,4,4
24,1,8:56.0,,J. Crowder misses 3-pt jump shot from 27 ft,4,4
25,1,8:52.0,Defensive rebound by J. Lamb,,4,4
26,1,8:50.0,Indiana full timeout,,4,4
27,1,8:38.0,Turnover by T. Warren (bad pass),,4,4
28,1,8:28.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by T. Jones),4,7
