,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
81,1,3:05.0,R. Barrett makes free throw 2 of 2,,21,23
82,1,2:49.0,,K. O'Quinn misses 2-pt jump shot from 11 ft,21,23
83,1,2:45.0,Defensive rebound by K. Knox,,21,23
84,1,2:28.0,E. Payton misses 3-pt jump shot from 25 ft,,21,23
85,1,2:23.0,,Defensive rebound by K. O'Quinn,21,23
86,1,2:15.0,,J. Richardson misses 2-pt jump shot from 13 ft,21,23
87,1,2:15.0,Defensive rebound by Team,,21,23
88,1,2:15.0,R. Bullock enters the game for R. Barrett,,21,23
89,1,2:03.0,Shooting foul by K. O'Quinn (drawn by E. Payton),,21,23
90,1,2:03.0,E. Payton misses free throw 1 of 2,,21,23
91,1,2:03.0,Offensive rebound by Team,,21,23
92,1,2:03.0,E. Payton misses free throw 2 of 2,,21,23
93,1,2:01.0,,Defensive rebound by A. Burks,21,23
94,1,1:36.0,,J. Richardson misses 2-pt jump shot from 7 ft,21,23
95,1,1:34.0,Defensive rebound by J. Randle,,21,23
96,1,1:23.0,E. Payton misses 2-pt jump shot from 8 ft,,21,23
97,1,1:21.0,,Defensive rebound by K. O'Quinn,21,23
98,1,1:21.0,D. Smith enters the game for E. Payton,,21,23
99,1,1:08.0,,M. Scott misses 3-pt jump shot from 26 ft,21,23
100,1,1:04.0,Defensive rebound by M. Robinson,,21,23
101,1,0:58.0,Personal foul by M. Scott (drawn by J. Randle),,21,23
102,1,0:58.0,W. Ellington enters the game for J. Randle,,21,23
103,1,0:49.0,D. Smith misses 2-pt dunk from 1 ft (block by K. O'Quinn),,21,23
104,1,0:45.0,,Defensive rebound by K. O'Quinn,21,23
105,1,0:43.0,,M. Scott misses 3-pt jump shot from 26 ft,21,23
106,1,0:38.0,,Offensive rebound by K. O'Quinn,21,23
107,1,0:37.0,,F. Korkmaz makes 3-pt jump shot from 24 ft (assist by M. Scott),21,26
108,1,0:15.0,Turnover by D. Smith (lost ball; steal by J. Richardson),,21,26
109,1,0:03.0,,Personal take foul by W. Ellington (drawn by A. Burks),21,26
110,1,0:01.0,,F. Korkmaz misses 3-pt jump shot from 27 ft,21,26
111,1,0:01.0,,Offensive rebound by M. Scott,21,26
112,1,0:01.0,,M. Scott misses 2-pt layup at rim,21,26
113,1,0:01.0,,Offensive rebound by Team,21,26
114,2,11:42.0,K. Knox misses 2-pt jump shot from 9 ft,,21,26
115,2,11:38.0,Offensive rebound by M. Robinson,,21,26
116,2,11:38.0,Shooting foul by K. O'Quinn (drawn by K. Knox),,21,26
117,2,11:38.0,K. Knox misses free throw 1 of 2,,21,26
118,2,11:38.0,Offensive rebound by Team,,21,26
119,2,11:38.0,K. Knox misses free throw 2 of 2,,21,26
120,2,11:36.0,,Defensive rebound by K. O'Quinn,21,26
121,2,11:18.0,,A. Burks misses 3-pt jump shot from 26 ft,21,26
122,2,11:15.0,Defensive rebound by M. Robinson,,21,26
123,2,11:03.0,K. Knox misses 3-pt jump shot from 27 ft,,21,26
124,2,11:00.0,,Defensive rebound by K. O'Quinn,21,26
125,2,10:50.0,,M. Scott makes 3-pt jump shot from 27 ft (assist by J. Richardson),21,29
126,2,10:35.0,D. Smith misses 2-pt jump shot from 8 ft,,21,29
127,2,10:35.0,,Defensive rebound by Team,21,29
128,2,10:35.0,Loose ball foul by D. Smith (drawn by J. Richardson),,21,29
129,2,10:35.0,,G. Robinson enters the game for F. Korkmaz,21,29
130,2,10:23.0,,K. O'Quinn makes 2-pt jump shot from 15 ft,21,31
131,2,10:09.0,W. Ellington misses 3-pt jump shot from 26 ft,,21,31
132,2,10:05.0,Offensive rebound by D. Smith,,21,31
133,2,10:01.0,D. Smith misses 2-pt jump shot from 20 ft,,21,31
134,2,9:57.0,,Defensive rebound by J. Richardson,21,31
135,2,9:41.0,,Turnover by M. Scott (bad pass; steal by W. Ellington),21,31
136,2,9:38.0,Shooting foul by J. Richardson (drawn by K. Knox),,21,31
137,2,9:38.0,K. Knox makes free throw 1 of 2,,22,31
138,2,9:38.0,K. Knox misses free throw 2 of 2,,22,31
139,2,9:36.0,,Defensive rebound by K. O'Quinn,22,31
140,2,9:24.0,,A. Burks makes 2-pt jump shot from 10 ft,22,33
141,2,9:03.0,D. Smith makes 2-pt layup at rim (assist by M. Robinson),,24,33
142,2,8:47.0,,J. Richardson misses 3-pt jump shot from 27 ft,24,33
143,2,8:43.0,,Offensive rebound by K. O'Quinn,24,33
144,2,8:42.0,,M. Scott makes 2-pt jump shot from 10 ft (assist by K. O'Quinn),24,35
145,2,8:34.0,New York full timeout,,24,35
146,2,8:34.0,B. Portis enters the game for K. Knox,,24,35
147,2,8:34.0,,M. Thybulle enters the game for M. Scott,24,35
148,2,8:28.0,W. Ellington misses 3-pt jump shot from 28 ft,,24,35
149,2,8:26.0,,Defensive rebound by A. Burks,24,35
150,2,8:15.0,,A. Burks misses 2-pt layup from 4 ft (block by M. Robinson),24,35
151,2,8:15.0,,Offensive rebound by Team,24,35
152,2,8:10.0,,M. Thybulle misses 2-pt jump shot from 6 ft,24,35
153,2,8:08.0,,Offensive rebound by G. Robinson,24,35
154,2,8:06.0,,G. Robinson misses 2-pt layup from 2 ft,24,35
155,2,8:06.0,Defensive rebound by M. Robinson,,24,35
156,2,7:55.0,D. Smith makes 2-pt layup from 2 ft (assist by R. Bullock),,26,35
157,2,7:38.0,,A. Burks misses 2-pt jump shot from 17 ft,26,35
158,2,7:37.0,Defensive rebound by Team,,26,35
159,2,7:37.0,,Loose ball foul by K. O'Quinn (drawn by M. Robinson),26,35
160,2,7:37.0,,T. Harris enters the game for K. O'Quinn,26,35
161,2,7:37.0,,A. Horford enters the game for J. Richardson,26,35
162,2,7:24.0,Turnover by D. Smith (bad pass; steal by A. Horford),,26,35
163,2,7:13.0,,G. Robinson makes 2-pt dunk from 1 ft (assist by A. Horford),26,37
164,2,6:48.0,R. Bullock misses 3-pt jump shot from 26 ft,,26,37
165,2,6:45.0,,Defensive rebound by G. Robinson,26,37
166,2,6:36.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Burks),26,40
167,2,6:29.0,New York full timeout,,26,40
168,2,6:29.0,R. Barrett enters the game for R. Bullock,,26,40
169,2,6:29.0,E. Payton enters the game for M. Robinson,,26,40
