,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BROOKLYN_ACTION,ATLANTA_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,J. Allen makes 2-pt layup from 4 ft (assist by K. Irving),0,2
1,1,11:40.0,,Shooting foul by J. Collins (drawn by J. Allen),0,2
2,1,11:40.0,,J. Allen misses free throw 1 of 1,0,2
3,1,11:37.0,Defensive rebound by J. Collins,,0,2
4,1,11:20.0,D. Hunter misses 3-pt jump shot from 23 ft,,0,2
5,1,11:15.0,,Defensive rebound by J. Harris,0,2
6,1,11:04.0,,Turnover by J. Harris (bad pass; steal by B. Goodwin),0,2
7,1,11:00.0,B. Goodwin misses 2-pt layup from 3 ft,,0,2
8,1,10:59.0,,Defensive rebound by Team,0,2
9,1,10:45.0,,T. Prince makes 2-pt layup from 1 ft (assist by S. Dinwiddie),0,4
10,1,10:32.0,J. Collins misses 3-pt jump shot from 25 ft,,0,4
11,1,10:28.0,,Defensive rebound by T. Prince,0,4
12,1,10:21.0,,J. Allen makes 2-pt dunk from 2 ft (assist by K. Irving),0,6
13,1,10:09.0,Offensive foul by D. Hunter (drawn by T. Prince),,0,6
14,1,10:09.0,Turnover by D. Hunter (offensive foul),,0,6
15,1,9:56.0,,K. Irving misses 2-pt jump shot from 17 ft,0,6
16,1,9:51.0,Defensive rebound by K. Huerter,,0,6
17,1,9:45.0,K. Huerter misses 2-pt layup from 1 ft,,0,6
18,1,9:42.0,,Defensive rebound by S. Dinwiddie,0,6
19,1,9:34.0,,J. Harris misses 2-pt jump shot from 11 ft,0,6
20,1,9:31.0,Defensive rebound by J. Collins,,0,6
21,1,9:22.0,K. Huerter makes 2-pt jump shot from 6 ft (assist by J. Collins),,2,6
22,1,9:01.0,,K. Irving makes 2-pt layup from 3 ft,2,8
23,1,8:45.0,J. Collins misses 2-pt hook shot from 11 ft,,2,8
24,1,8:42.0,,Defensive rebound by J. Allen,2,8
25,1,8:35.0,,K. Irving makes 2-pt layup from 2 ft,2,10
26,1,8:11.0,B. Goodwin makes 3-pt jump shot from 25 ft (assist by D. Hunter),,5,10
27,1,8:02.0,,Personal foul by B. Goodwin (drawn by J. Allen),5,10
28,1,7:59.0,,Turnover by J. Allen (bad pass; steal by C. Reddish),5,10
29,1,7:53.0,C. Reddish makes 2-pt dunk from 2 ft,,7,10
30,1,7:36.0,,J. Harris makes 2-pt layup from 1 ft (assist by J. Allen),7,12
31,1,7:21.0,D. Hunter misses 3-pt jump shot from 26 ft,,7,12
32,1,7:18.0,,Defensive rebound by J. Allen,7,12
33,1,7:02.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by J. Allen),7,15
34,1,6:49.0,B. Goodwin misses 3-pt jump shot from 23 ft,,7,15
