,QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,D. DeRozan makes 2-pt jump shot from 17 ft,0,2
1,1,11:29.0,G. Hayward misses 2-pt jump shot from 11 ft (block by T. Lyles),,0,2
2,1,11:29.0,Offensive rebound by J. Tatum,,0,2
3,1,11:23.0,G. Hayward misses 3-pt jump shot from 24 ft,,0,2
4,1,11:20.0,,Defensive rebound by D. Murray,0,2
5,1,11:16.0,,D. Murray makes 2-pt layup from 1 ft,0,4
6,1,11:02.0,J. Brown misses 2-pt jump shot from 15 ft,,0,4
7,1,11:02.0,,Defensive rebound by D. Murray,0,4
8,1,10:52.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),0,7
9,1,10:38.0,Turnover by J. Tatum (bad pass),,0,7
10,1,10:25.0,,Turnover by D. Murray (bad pass; steal by J. Brown),0,7
11,1,10:19.0,J. Brown makes 2-pt layup at rim,,2,7
12,1,10:05.0,,Turnover by T. Lyles (bad pass; steal by G. Hayward),2,7
13,1,10:02.0,G. Hayward misses 2-pt layup from 2 ft,,2,7
14,1,9:58.0,,Defensive rebound by T. Lyles,2,7
15,1,9:49.0,,B. Forbes misses 2-pt jump shot from 8 ft,2,7
16,1,9:48.0,Defensive rebound by J. Brown,,2,7
17,1,9:42.0,J. Brown makes 2-pt layup from 2 ft,,4,7
18,1,9:42.0,Shooting foul by L. Aldridge (drawn by J. Brown),,4,7
19,1,9:42.0,J. Brown makes free throw 1 of 1,,5,7
20,1,9:25.0,,T. Lyles misses 3-pt jump shot from 26 ft,5,7
21,1,9:25.0,Defensive rebound by D. Theis,,5,7
22,1,9:10.0,J. Brown makes 2-pt jump shot from 9 ft,,7,7
23,1,8:57.0,,Shooting foul by K. Walker (drawn by B. Forbes),7,7
24,1,8:57.0,,B. Forbes makes free throw 1 of 3,7,8
25,1,8:57.0,,B. Forbes makes free throw 2 of 3,7,9
26,1,8:57.0,,B. Forbes makes free throw 3 of 3,7,10
27,1,8:46.0,K. Walker misses 2-pt jump shot from 11 ft,,7,10
28,1,8:44.0,,Defensive rebound by T. Lyles,7,10
29,1,8:36.0,,D. Murray misses 2-pt layup from 5 ft (block by G. Hayward),7,10
30,1,8:36.0,Defensive rebound by Team,,7,10
31,1,8:24.0,D. Theis makes 2-pt layup from 2 ft (assist by K. Walker),,9,10
32,1,8:20.0,,San Antonio full timeout,9,10
33,1,8:00.0,,B. Forbes misses 3-pt jump shot from 27 ft,9,10
34,1,7:57.0,Defensive rebound by J. Tatum,,9,10
35,1,7:52.0,J. Tatum makes 2-pt jump shot from 18 ft (assist by J. Brown),,11,10
36,1,7:24.0,,L. Aldridge misses 2-pt layup from 1 ft (block by D. Theis),11,10
37,1,7:19.0,Defensive rebound by D. Theis,,11,10
38,1,7:16.0,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Brown),,14,10
39,1,6:58.0,,Turnover by D. DeRozan (bad pass; steal by D. Theis),14,10
40,1,6:54.0,G. Hayward makes 2-pt dunk from 3 ft (assist by K. Walker),,16,10
41,1,6:54.0,,San Antonio full timeout,16,10
42,1,6:54.0,,M. Belinelli enters the game for L. Aldridge,16,10
43,1,6:54.0,,R. Gay enters the game for D. DeRozan,16,10
44,1,6:54.0,,P. Mills enters the game for B. Forbes,16,10
45,1,6:54.0,,J. Poeltl enters the game for T. Lyles,16,10
46,1,6:54.0,,D. White enters the game for D. Murray,16,10
47,1,6:42.0,,M. Belinelli misses 2-pt jump shot from 21 ft,16,10
48,1,6:38.0,Defensive rebound by K. Walker,,16,10
49,1,6:33.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by G. Hayward),,19,10
50,1,6:16.0,,J. Poeltl makes 2-pt hook shot from 5 ft (assist by M. Belinelli),19,12
51,1,6:03.0,J. Brown makes 3-pt jump shot from 26 ft (assist by K. Walker),,22,12
52,1,5:43.0,,P. Mills makes 2-pt jump shot from 19 ft (assist by J. Poeltl),22,14
53,1,5:22.0,K. Walker misses 3-pt jump shot from 28 ft,,22,14
54,1,5:18.0,,Defensive rebound by M. Belinelli,22,14
55,1,5:12.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by R. Gay),22,17
56,1,4:51.0,K. Walker makes 2-pt layup from 4 ft,,24,17
57,1,4:41.0,,M. Belinelli misses 3-pt jump shot from 26 ft,24,17
58,1,4:37.0,,Offensive rebound by P. Mills,24,17
59,1,4:32.0,,Turnover by R. Gay (bad pass; steal by J. Tatum),24,17
60,1,4:32.0,Clear path foul by D. White,,24,17
61,1,4:32.0,Instant Replay (Request: Ruling Stands),,24,17
62,1,4:32.0,M. Smart enters the game for G. Hayward,,24,17
63,1,4:32.0,R. Williams enters the game for D. Theis,,24,17
64,1,4:32.0,J. Tatum makes clear path free throw 1 of 2,,25,17
65,1,4:32.0,J. Tatum makes clear path free throw 2 of 2,,26,17
66,1,4:25.0,M. Smart makes 3-pt jump shot from 25 ft,,29,17
67,1,4:08.0,,P. Mills misses 3-pt jump shot from 25 ft,29,17
68,1,4:08.0,Defensive rebound by Team,,29,17
69,1,3:56.0,M. Smart makes 3-pt jump shot from 25 ft,,32,17
70,1,3:39.0,,M. Belinelli misses 2-pt jump shot from 18 ft,32,17
71,1,3:36.0,,Offensive rebound by R. Gay,32,17
72,1,3:36.0,,R. Gay makes 2-pt jump shot from 3 ft,32,19
73,1,3:36.0,Violation by Team (def goaltending),,32,19
74,1,3:23.0,Offensive foul by J. Tatum (drawn by D. White),,32,19
75,1,3:23.0,Turnover by J. Tatum (offensive foul),,32,19
76,1,3:14.0,,J. Poeltl misses 2-pt layup from 1 ft,32,19
77,1,3:11.0,,Offensive rebound by D. White,32,19
78,1,3:08.0,,R. Gay misses 3-pt jump shot from 24 ft,32,19
79,1,3:04.0,Defensive rebound by M. Smart,,32,19
80,1,3:01.0,J. Brown misses 2-pt layup from 2 ft,,32,19
81,1,2:58.0,,Defensive rebound by J. Poeltl,32,19
82,1,2:54.0,,P. Mills misses 2-pt jump shot from 18 ft,32,19
83,1,2:50.0,,Offensive rebound by J. Poeltl,32,19
84,1,2:47.0,,Personal foul by J. Tatum (drawn by D. White),32,19
85,1,2:47.0,B. Wanamaker enters the game for K. Walker,,32,19
86,1,2:39.0,,D. White makes 3-pt jump shot from 25 ft (assist by P. Mills),32,22
87,1,2:24.0,Shooting foul by J. Poeltl (drawn by J. Brown),,32,22
88,1,2:24.0,J. Brown makes free throw 1 of 2,,33,22
89,1,2:24.0,G. Hayward enters the game for J. Tatum,,33,22
90,1,2:24.0,,L. Aldridge enters the game for P. Mills,33,22
91,1,2:24.0,,D. Murray enters the game for J. Poeltl,33,22
92,1,2:24.0,J. Brown makes free throw 2 of 2,,34,22
93,1,2:09.0,,L. Aldridge misses 2-pt jump shot from 20 ft,34,22
94,1,2:07.0,,Offensive rebound by R. Gay,34,22
95,1,2:07.0,,R. Gay makes 2-pt dunk at rim,34,24
96,1,1:49.0,J. Brown misses 2-pt jump shot from 8 ft,,34,24
97,1,1:45.0,,Defensive rebound by R. Gay,34,24
98,1,1:40.0,,M. Belinelli misses 2-pt jump shot from 20 ft,34,24
99,1,1:38.0,,Offensive rebound by D. White,34,24
100,1,1:38.0,,Shooting foul by J. Brown (drawn by D. White),34,24
101,1,1:38.0,,D. White makes free throw 1 of 2,34,25
102,1,1:38.0,G. Williams enters the game for J. Brown,,34,25
103,1,1:38.0,,D. DeRozan enters the game for M. Belinelli,34,25
104,1,1:38.0,,D. White makes free throw 2 of 2,34,26
105,1,1:29.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by M. Smart),,37,26
106,1,1:12.0,,Personal foul by R. Williams (drawn by D. DeRozan),37,26
