,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
0,1,11:49.0,Personal foul by J. Hernangómez (drawn by A. Gordon),,0,0
1,1,11:37.0,A. Gordon misses 2-pt jump shot from 12 ft,,0,0
2,1,11:36.0,,Defensive rebound by J. Okogie,0,0
3,1,11:36.0,,Personal foul by W. Iwundu (drawn by J. Okogie),0,0
4,1,11:23.0,,J. Okogie misses 2-pt layup from 4 ft (block by W. Iwundu),0,0
5,1,11:21.0,Defensive rebound by N. Vučević,,0,0
6,1,11:03.0,W. Iwundu misses 3-pt jump shot from 25 ft,,0,0
7,1,11:01.0,,Defensive rebound by Team,0,0
8,1,10:45.0,,N. Reid misses 2-pt layup from 2 ft,0,0
9,1,10:43.0,Defensive rebound by N. Vučević,,0,0
10,1,10:40.0,M. Fultz misses 2-pt layup from 2 ft,,0,0
11,1,10:38.0,,Defensive rebound by J. Hernangómez,0,0
12,1,10:29.0,,M. Beasley makes 2-pt jump shot from 10 ft (assist by J. Hernangómez),0,2
13,1,10:15.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by M. Fultz),,3,2
14,1,10:07.0,,D. Russell misses 3-pt jump shot from 25 ft,3,2
15,1,10:05.0,Defensive rebound by J. Ennis,,3,2
16,1,9:55.0,M. Fultz makes 2-pt jump shot from 14 ft,,5,2
17,1,9:35.0,,M. Beasley misses 2-pt jump shot from 13 ft,5,2
18,1,9:33.0,Defensive rebound by N. Vučević,,5,2
19,1,9:27.0,M. Fultz makes 2-pt layup from 1 ft,,7,2
20,1,9:26.0,,Minnesota full timeout,7,2
21,1,9:12.0,,D. Russell misses 2-pt jump shot from 14 ft,7,2
22,1,9:09.0,Defensive rebound by A. Gordon,,7,2
23,1,8:59.0,M. Fultz misses 3-pt jump shot from 26 ft,,7,2
24,1,8:56.0,,Defensive rebound by M. Beasley,7,2
25,1,8:49.0,,M. Beasley makes 2-pt layup from 1 ft,7,4
26,1,8:35.0,Personal foul by J. Hernangómez (drawn by A. Gordon),,7,4
27,1,8:35.0,,J. Johnson enters the game for J. Hernangómez,7,4
28,1,8:30.0,A. Gordon misses 3-pt jump shot from 25 ft,,7,4
29,1,8:27.0,,Defensive rebound by J. Okogie,7,4
30,1,8:09.0,,N. Reid makes 2-pt layup from 1 ft (assist by J. Johnson),7,6
31,1,7:53.0,N. Vučević makes 2-pt hook shot from 8 ft,,9,6
32,1,7:41.0,,N. Reid misses 3-pt jump shot from 24 ft,9,6
33,1,7:38.0,Defensive rebound by W. Iwundu,,9,6
34,1,7:19.0,A. Gordon misses 2-pt jump shot from 21 ft,,9,6
35,1,7:17.0,,Defensive rebound by M. Beasley,9,6
36,1,7:06.0,,Personal foul by M. Fultz (drawn by D. Russell),9,6
37,1,7:06.0,,J. McLaughlin enters the game for D. Russell,9,6
38,1,7:00.0,,J. McLaughlin makes 2-pt layup from 1 ft (assist by J. Johnson),9,8
39,1,6:37.0,J. Ennis makes 3-pt jump shot from 26 ft,,12,8
40,1,6:19.0,,Shooting foul by N. Vučević (drawn by N. Reid),12,8
41,1,6:19.0,,N. Reid makes free throw 1 of 2,12,9
42,1,6:19.0,T. Ross enters the game for J. Ennis,,12,9
43,1,6:19.0,,N. Reid makes free throw 2 of 2,12,10
44,1,6:02.0,Shooting foul by N. Reid (drawn by N. Vučević),,12,10
45,1,6:02.0,N. Vučević makes free throw 1 of 2,,13,10
