,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:46.0,J. Parker makes 3-pt jump shot from 24 ft (assist by K. Huerter),,3,0
1,1,11:21.0,,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),3,3
2,1,11:05.0,J. Parker misses 3-pt jump shot from 24 ft,,3,3
3,1,11:03.0,,Defensive rebound by M. Leonard,3,3
4,1,10:56.0,,K. Nunn makes 2-pt jump shot from 15 ft,3,5
5,1,10:42.0,K. Huerter misses 3-pt jump shot from 26 ft,,3,5
6,1,10:42.0,,Defensive rebound by Team,3,5
7,1,10:42.0,Loose ball foul by D. Jones (drawn by M. Leonard),,3,5
8,1,10:28.0,,K. Nunn makes 2-pt jump shot from 21 ft,3,7
9,1,10:19.0,T. Young misses 2-pt jump shot from 9 ft,,3,7
10,1,10:16.0,,Defensive rebound by B. Adebayo,3,7
11,1,10:13.0,,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),3,10
12,1,9:54.0,D. Hunter misses 3-pt jump shot from 23 ft,,3,10
13,1,9:54.0,Offensive rebound by Team,,3,10
14,1,9:46.0,Turnover by T. Young (bad pass; steal by B. Adebayo),,3,10
15,1,9:37.0,,M. Leonard makes 2-pt dunk at rim (assist by J. Butler),3,12
16,1,9:37.0,Atlanta full timeout,,3,12
17,1,9:24.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by K. Huerter),,6,12
18,1,8:57.0,,D. Robinson misses 3-pt jump shot from 27 ft,6,12
19,1,8:55.0,Defensive rebound by J. Parker,,6,12
20,1,8:48.0,T. Young misses 3-pt jump shot from 26 ft,,6,12
21,1,8:45.0,,Defensive rebound by M. Leonard,6,12
22,1,8:30.0,,B. Adebayo makes 2-pt layup from 6 ft (assist by M. Leonard),6,14
23,1,8:22.0,J. Parker misses 2-pt jump shot from 8 ft,,6,14
24,1,8:20.0,,Defensive rebound by J. Butler,6,14
25,1,8:03.0,,K. Nunn misses 2-pt jump shot from 9 ft,6,14
26,1,8:01.0,Defensive rebound by J. Parker,,6,14
27,1,7:50.0,D. Jones misses 2-pt layup from 6 ft (block by M. Leonard),,6,14
28,1,7:50.0,,Defensive rebound by J. Butler,6,14
29,1,7:50.0,,Personal foul by D. Jones (drawn by J. Butler),6,14
30,1,7:50.0,A. Len enters the game for K. Huerter,,6,14
31,1,7:50.0,C. Reddish enters the game for D. Jones,,6,14
32,1,7:33.0,,K. Nunn makes 3-pt jump shot from 25 ft (assist by B. Adebayo),6,17
33,1,7:27.0,A. Len misses 2-pt jump shot from 9 ft,,6,17
