,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
0,1,11:41.0,Turnover by S. Harrison (lost ball; steal by D. Russell),,0,0
1,1,11:30.0,,Turnover by D. Russell (bad pass; steal by T. Satoranský),0,0
2,1,11:26.0,S. Harrison misses 2-pt layup from 1 ft,,0,0
3,1,11:23.0,,Defensive rebound by J. Hernangómez,0,0
4,1,11:20.0,,J. Okogie misses 3-pt jump shot from 25 ft,0,0
5,1,11:18.0,Defensive rebound by W. Carter,,0,0
6,1,11:12.0,D. Valentine misses 2-pt jump shot from 11 ft,,0,0
7,1,11:07.0,,Defensive rebound by N. Reid,0,0
8,1,10:51.0,,J. Okogie misses 3-pt jump shot from 23 ft,0,0
9,1,10:48.0,Defensive rebound by L. Markkanen,,0,0
10,1,10:29.0,L. Markkanen misses 2-pt jump shot from 6 ft,,0,0
11,1,10:24.0,Offensive rebound by W. Carter,,0,0
12,1,10:24.0,W. Carter misses 2-pt layup from 1 ft,,0,0
13,1,10:23.0,,Defensive rebound by J. Okogie,0,0
14,1,10:16.0,,Offensive foul by M. Beasley (drawn by T. Satoranský),0,0
15,1,10:16.0,,Turnover by M. Beasley (offensive foul),0,0
16,1,10:04.0,T. Satoranský makes 2-pt layup from 2 ft,,2,0
17,1,9:47.0,,N. Reid misses 2-pt layup from 2 ft,2,0
18,1,9:45.0,,Offensive rebound by J. Okogie,2,0
19,1,9:44.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,2,0
20,1,9:41.0,Defensive rebound by W. Carter,,2,0
21,1,9:28.0,Def 3 sec tech foul by Team,,2,0
22,1,9:28.0,D. Valentine misses technical free throw,,2,0
23,1,9:28.0,Offensive rebound by Team,,2,0
24,1,9:22.0,L. Markkanen misses 3-pt jump shot from 25 ft,,2,0
25,1,9:19.0,,Defensive rebound by N. Reid,2,0
26,1,9:11.0,,D. Russell misses 2-pt layup from 6 ft (block by S. Harrison),2,0
