,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
0,1,11:37.0,Turnover by S. Adams (traveling),,0,0
1,1,11:22.0,,A. Davis makes 2-pt layup from 1 ft (assist by L. James),0,2
2,1,11:22.0,,Shooting foul by C. Paul (drawn by A. Davis),0,2
3,1,11:22.0,,A. Davis makes free throw 1 of 1,0,3
4,1,11:04.0,D. Gallinari makes 2-pt layup from 1 ft,,2,3
5,1,10:54.0,,A. Davis misses 2-pt jump shot from 20 ft,2,3
6,1,10:52.0,Defensive rebound by S. Gilgeous-Alexander,,2,3
7,1,10:49.0,S. Adams makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),,4,3
8,1,10:31.0,,J. McGee makes 2-pt hook shot from 8 ft,4,5
9,1,10:09.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,4,5
10,1,10:07.0,Offensive rebound by T. Ferguson,,4,5
11,1,10:01.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,4,5
12,1,9:59.0,Offensive rebound by S. Gilgeous-Alexander,,4,5
13,1,9:48.0,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft (block by J. McGee),,4,5
14,1,9:48.0,Offensive rebound by Team,,4,5
15,1,9:48.0,Turnover by Team (shot clock),,4,5
16,1,9:39.0,,D. Green makes 2-pt layup from 1 ft (assist by L. James),4,7
17,1,9:19.0,Turnover by D. Gallinari (lost ball; steal by A. Davis),,4,7
18,1,9:09.0,,L. James misses 3-pt jump shot from 25 ft,4,7
19,1,9:05.0,,Offensive rebound by K. Caldwell-Pope,4,7
20,1,9:03.0,,Shooting foul by T. Ferguson (drawn by J. McGee),4,7
21,1,9:03.0,,J. McGee misses free throw 1 of 2,4,7
22,1,9:03.0,,Offensive rebound by Team,4,7
23,1,9:03.0,,J. McGee makes free throw 2 of 2,4,8
24,1,8:47.0,S. Adams misses 2-pt jump shot from 9 ft,,4,8
25,1,8:43.0,Offensive rebound by S. Adams,,4,8
26,1,8:43.0,S. Adams misses 2-pt layup at rim,,4,8
27,1,8:43.0,Offensive rebound by S. Adams,,4,8
28,1,8:34.0,S. Gilgeous-Alexander misses 2-pt layup from 6 ft,,4,8
29,1,8:32.0,,Defensive rebound by J. McGee,4,8
30,1,8:17.0,,Turnover by L. James (lost ball; steal by C. Paul),4,8
31,1,8:06.0,Turnover by S. Adams (lost ball; steal by A. Davis),,4,8
32,1,8:01.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by A. Davis),4,11
33,1,8:00.0,Oklahoma City full timeout,,4,11
34,1,7:44.0,D. Gallinari makes 2-pt jump shot from 23 ft (assist by C. Paul),,6,11
35,1,7:28.0,,Turnover by L. James (bad pass),6,11
36,1,7:16.0,C. Paul misses 2-pt jump shot from 17 ft,,6,11
37,1,7:13.0,,Defensive rebound by J. McGee,6,11
38,1,7:06.0,,L. James misses 2-pt jump shot from 13 ft,6,11
39,1,7:03.0,Defensive rebound by D. Gallinari,,6,11
40,1,6:53.0,S. Gilgeous-Alexander makes 3-pt jump shot from 29 ft (assist by D. Gallinari),,9,11
41,1,6:38.0,,A. Davis makes 2-pt dunk at rim (assist by D. Green),9,13
42,1,6:38.0,N. Noel enters the game for S. Adams,,9,13
43,1,6:20.0,D. Gallinari makes 2-pt layup from 10 ft,,11,13
44,1,6:20.0,Shooting foul by J. McGee (drawn by D. Gallinari),,11,13
45,1,6:20.0,,K. Kuzma enters the game for J. McGee,11,13
46,1,6:20.0,D. Gallinari misses free throw 1 of 1,,11,13
47,1,6:17.0,,Defensive rebound by K. Caldwell-Pope,11,13
48,1,6:14.0,,Turnover by L. James (bad pass; steal by S. Gilgeous-Alexander),11,13
49,1,6:09.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,11,13
50,1,6:08.0,,Defensive rebound by D. Green,11,13
51,1,6:07.0,,L. James makes 2-pt dunk from 1 ft,11,15
52,1,6:07.0,,Shooting foul by D. Gallinari (drawn by L. James),11,15
53,1,6:07.0,D. Schröder enters the game for C. Paul,,11,15
54,1,6:07.0,,R. Rondo enters the game for K. Caldwell-Pope,11,15
55,1,6:07.0,,L. James makes free throw 1 of 1,11,16
56,1,5:58.0,Shooting foul by D. Green (drawn by N. Noel),,11,16
57,1,5:58.0,N. Noel makes free throw 1 of 2,,12,16
58,1,5:58.0,N. Noel misses free throw 2 of 2,,12,16
59,1,5:56.0,,Defensive rebound by L. James,12,16
60,1,5:51.0,,K. Kuzma misses 3-pt jump shot from 28 ft,12,16
61,1,5:48.0,Defensive rebound by N. Noel,,12,16
62,1,5:40.0,Shooting foul by K. Kuzma (drawn by D. Gallinari),,12,16
63,1,5:40.0,D. Gallinari misses free throw 1 of 2,,12,16
64,1,5:40.0,Offensive rebound by Team,,12,16
65,1,5:40.0,D. Gallinari makes free throw 2 of 2,,13,16
66,1,5:28.0,,Turnover by R. Rondo (bad pass; steal by N. Noel),13,16
67,1,5:22.0,Turnover by D. Schröder (bad pass; steal by A. Davis),,13,16
68,1,5:12.0,,L. James makes 2-pt layup from 2 ft,13,18
69,1,5:01.0,Turnover by D. Schröder (bad pass; steal by L. James),,13,18
70,1,4:57.0,,A. Davis makes 2-pt layup from 2 ft (assist by L. James),13,20
71,1,4:56.0,Oklahoma City full timeout,,13,20
72,1,4:56.0,D. Bazley enters the game for D. Gallinari,,13,20
73,1,4:39.0,D. Schröder makes 2-pt jump shot from 10 ft,,15,20
74,1,4:16.0,,A. Davis misses 2-pt layup from 3 ft,15,20
75,1,4:13.0,Defensive rebound by D. Schröder,,15,20
76,1,4:11.0,Turnover by D. Schröder (bad pass; steal by L. James),,15,20
77,1,4:02.0,,L. James makes 2-pt dunk from 1 ft (assist by A. Davis),15,22
78,1,3:57.0,Shooting foul by D. Green (drawn by D. Schröder),,15,22
79,1,3:57.0,D. Schröder makes free throw 1 of 2,,16,22
80,1,3:57.0,,A. Caruso enters the game for D. Green,16,22
81,1,3:57.0,,Q. Cook enters the game for L. James,16,22
82,1,3:57.0,D. Schröder makes free throw 2 of 2,,17,22
83,1,3:50.0,,Personal foul by D. Bazley (drawn by K. Kuzma),17,22
84,1,3:50.0,A. Nader enters the game for T. Ferguson,,17,22
85,1,3:38.0,,Offensive foul by A. Davis (drawn by N. Noel),17,22
86,1,3:38.0,,Turnover by A. Davis (offensive foul),17,22
87,1,3:23.0,Turnover by D. Schröder (bad pass; steal by A. Davis),,17,22
88,1,3:03.0,,R. Rondo misses 2-pt layup from 4 ft (block by A. Nader),17,22
89,1,3:03.0,,Offensive rebound by Team,17,22
90,1,3:03.0,D. Burton enters the game for S. Gilgeous-Alexander,,17,22
91,1,3:01.0,,A. Caruso makes 3-pt jump shot from 22 ft (assist by R. Rondo),17,25
92,1,2:43.0,N. Noel misses 2-pt jump shot from 17 ft,,17,25
93,1,2:41.0,,Defensive rebound by A. Caruso,17,25
94,1,2:33.0,,A. Caruso misses 2-pt jump shot from 6 ft,17,25
95,1,2:27.0,Defensive rebound by D. Schröder,,17,25
96,1,2:24.0,D. Bazley makes 2-pt layup from 3 ft,,19,25
97,1,2:17.0,,Q. Cook misses 3-pt jump shot from 26 ft,19,25
98,1,2:17.0,Defensive rebound by D. Bazley,,19,25
99,1,2:04.0,D. Schröder makes 2-pt jump shot from 14 ft,,21,25
100,1,2:04.0,,LA Lakers full timeout,21,25
101,1,2:04.0,S. Adams enters the game for N. Noel,,21,25
102,1,1:43.0,,A. Davis makes 2-pt jump shot from 15 ft,21,27
103,1,1:27.0,D. Burton makes 2-pt layup from 1 ft (assist by S. Adams),,23,27
104,1,1:14.0,,A. Davis makes 3-pt jump shot from 27 ft (assist by R. Rondo),23,30
105,1,0:52.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by S. Adams),,26,30
106,1,0:47.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by R. Rondo),26,32
107,1,0:31.0,A. Nader misses 3-pt jump shot from 25 ft,,26,32
108,1,0:25.0,,Defensive rebound by A. Davis,26,32
109,1,0:25.0,,Personal foul by D. Burton (drawn by A. Davis),26,32
110,1,0:25.0,,A. Davis misses free throw 1 of 2,26,32
111,1,0:25.0,,Offensive rebound by Team,26,32
112,1,0:25.0,D. Gallinari enters the game for D. Bazley,,26,32
113,1,0:25.0,C. Paul enters the game for D. Burton,,26,32
114,1,0:25.0,,D. Howard enters the game for Q. Cook,26,32
115,1,0:25.0,,A. Davis makes free throw 2 of 2,26,33
116,1,0:13.0,Personal foul by A. Caruso (drawn by C. Paul),,26,33
117,1,0:13.0,C. Paul makes free throw 1 of 2,,27,33
118,1,0:13.0,D. Bazley enters the game for D. Gallinari,,27,33
119,1,0:13.0,,Q. Cook enters the game for D. Howard,27,33
120,1,0:13.0,C. Paul makes free throw 2 of 2,,28,33
121,1,0:02.0,,K. Kuzma misses 3-pt jump shot from 26 ft,28,33
122,1,0:00.0,Defensive rebound by D. Bazley,,28,33
123,2,11:44.0,,R. Rondo makes 2-pt jump shot from 3 ft,28,35
124,2,11:31.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by C. Paul),,31,35
125,2,11:11.0,,Personal foul by D. Bazley (drawn by R. Rondo),31,35
126,2,11:11.0,T. Ferguson enters the game for A. Nader,,31,35
127,2,10:57.0,,K. Kuzma makes 3-pt jump shot from 28 ft (assist by R. Rondo),31,38
128,2,10:38.0,Personal foul by D. Howard (drawn by S. Adams),,31,38
129,2,10:29.0,Turnover by C. Paul (bad pass; steal by D. Howard),,31,38
130,2,10:24.0,,Turnover by L. James (bad pass; steal by C. Paul),31,38
131,2,10:12.0,D. Schröder makes 2-pt layup from 2 ft,,33,38
132,2,9:58.0,,Turnover by K. Kuzma (traveling),33,38
133,2,9:58.0,N. Noel enters the game for S. Adams,,33,38
134,2,9:48.0,,Violation by Team (kicked ball),33,38
135,2,9:37.0,D. Schröder misses 2-pt layup from 3 ft,,33,38
136,2,9:34.0,,Defensive rebound by A. Caruso,33,38
137,2,9:25.0,,Turnover by A. Caruso (bad pass; steal by D. Bazley),33,38
138,2,9:21.0,Offensive foul by D. Bazley (drawn by K. Kuzma),,33,38
139,2,9:21.0,Turnover by D. Bazley (offensive foul),,33,38
140,2,9:21.0,D. Burton enters the game for D. Bazley,,33,38
141,2,9:21.0,,K. Caldwell-Pope enters the game for K. Kuzma,33,38
142,2,9:03.0,,R. Rondo misses 3-pt jump shot from 26 ft,33,38
143,2,8:59.0,Defensive rebound by C. Paul,,33,38
144,2,8:53.0,D. Schröder misses 3-pt jump shot from 26 ft,,33,38
145,2,8:49.0,Offensive rebound by N. Noel,,33,38
146,2,8:44.0,C. Paul misses 2-pt jump shot from 17 ft,,33,38
147,2,8:41.0,,Defensive rebound by L. James,33,38
148,2,8:30.0,,R. Rondo makes 2-pt layup from 2 ft,33,40
149,2,8:21.0,D. Schröder makes 2-pt jump shot from 12 ft,,35,40
150,2,8:02.0,,A. Caruso misses 3-pt jump shot from 22 ft,35,40
151,2,7:59.0,Defensive rebound by N. Noel,,35,40
152,2,7:50.0,N. Noel makes 2-pt dunk from 2 ft (assist by C. Paul),,37,40
153,2,7:50.0,,LA Lakers full timeout,37,40
154,2,7:50.0,S. Gilgeous-Alexander enters the game for D. Schröder,,37,40
155,2,7:32.0,,A. Caruso makes 3-pt jump shot from 25 ft (assist by R. Rondo),37,43
156,2,7:08.0,T. Ferguson misses 3-pt jump shot from 24 ft,,37,43
157,2,7:02.0,Offensive rebound by N. Noel,,37,43
158,2,7:02.0,N. Noel makes 2-pt dunk at rim,,39,43
159,2,6:50.0,,Offensive foul by D. Howard (drawn by S. Gilgeous-Alexander),39,43
160,2,6:50.0,,Turnover by D. Howard (offensive foul),39,43
161,2,6:50.0,D. Gallinari enters the game for D. Burton,,39,43
162,2,6:30.0,N. Noel misses 2-pt jump shot from 6 ft,,39,43
163,2,6:27.0,,Defensive rebound by A. Caruso,39,43
164,2,6:24.0,,A. Caruso makes 2-pt layup from 1 ft (assist by R. Rondo),39,45
165,2,6:14.0,T. Ferguson misses 3-pt jump shot from 23 ft,,39,45
166,2,6:14.0,,Defensive rebound by L. James,39,45
167,2,6:08.0,,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),39,47
168,2,6:08.0,,Q. Cook enters the game for L. James,39,47
169,2,6:08.0,,A. Davis enters the game for R. Rondo,39,47
170,2,5:43.0,N. Noel makes 2-pt dunk from 2 ft (assist by C. Paul),,41,47
171,2,5:30.0,,Personal foul by C. Paul (drawn by A. Caruso),41,47
172,2,5:30.0,S. Adams enters the game for N. Noel,,41,47
173,2,5:30.0,,D. Green enters the game for A. Caruso,41,47
174,2,5:26.0,Violation by Team (kicked ball),,41,47
175,2,5:11.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft,41,47
176,2,5:07.0,,Offensive rebound by D. Howard,41,47
177,2,5:07.0,,D. Howard makes 2-pt dunk from 1 ft,41,49
178,2,4:58.0,C. Paul misses 2-pt layup from 3 ft (block by D. Howard),,41,49
179,2,4:55.0,,Defensive rebound by K. Caldwell-Pope,41,49
180,2,4:52.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),41,52
181,2,4:23.0,Shooting foul by D. Green (drawn by S. Gilgeous-Alexander),,41,52
182,2,4:23.0,S. Gilgeous-Alexander makes free throw 1 of 3,,42,52
183,2,4:23.0,S. Gilgeous-Alexander makes free throw 2 of 3,,43,52
184,2,4:23.0,D. Schröder enters the game for C. Paul,,43,52
185,2,4:23.0,,R. Rondo enters the game for D. Green,43,52
186,2,4:23.0,S. Gilgeous-Alexander makes free throw 3 of 3,,44,52
187,2,4:17.0,,A. Davis misses 2-pt layup from 2 ft,44,52
188,2,4:15.0,Defensive rebound by S. Adams,,44,52
189,2,4:11.0,D. Gallinari misses 2-pt layup from 3 ft (block by D. Howard),,44,52
190,2,4:11.0,Offensive rebound by Team,,44,52
191,2,4:03.0,D. Schröder makes 2-pt jump shot from 17 ft,,46,52
192,2,3:49.0,,R. Rondo misses 2-pt jump shot from 16 ft,46,52
193,2,3:46.0,Defensive rebound by D. Schröder,,46,52
194,2,3:37.0,S. Gilgeous-Alexander makes 3-pt jump shot from 27 ft (assist by T. Ferguson),,49,52
195,2,3:12.0,,A. Davis makes 3-pt jump shot from 27 ft (assist by R. Rondo),49,55
196,2,2:51.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,51,55
197,2,2:39.0,,Shooting foul by T. Ferguson (drawn by R. Rondo),51,55
198,2,2:39.0,Oklahoma City full timeout,,51,55
199,2,2:39.0,,L. James enters the game for Q. Cook,51,55
200,2,2:39.0,,R. Rondo makes free throw 1 of 2,51,56
201,2,2:39.0,,R. Rondo misses free throw 2 of 2,51,56
202,2,2:36.0,Defensive rebound by S. Adams,,51,56
203,2,2:27.0,T. Ferguson misses 3-pt jump shot from 23 ft,,51,56
204,2,2:23.0,,Defensive rebound by A. Davis,51,56
205,2,2:16.0,,R. Rondo misses 2-pt hook shot from 5 ft,51,56
206,2,2:14.0,,Offensive rebound by D. Howard,51,56
207,2,2:12.0,,A. Davis makes 3-pt jump shot from 27 ft (assist by L. James),51,59
208,2,2:01.0,D. Gallinari misses 3-pt jump shot from 26 ft,,51,59
209,2,1:58.0,,Defensive rebound by L. James,51,59
210,2,1:36.0,,R. Rondo misses 3-pt jump shot from 26 ft,51,59
211,2,1:32.0,Defensive rebound by Team,,51,59
212,2,1:25.0,Offensive foul by D. Schröder (drawn by K. Caldwell-Pope),,51,59
213,2,1:25.0,Turnover by D. Schröder (offensive foul),,51,59
214,2,1:12.0,,Shooting foul by S. Adams (drawn by L. James),51,59
215,2,1:12.0,,L. James makes free throw 1 of 2,51,60
216,2,1:12.0,,L. James makes free throw 2 of 2,51,61
217,2,1:00.0,D. Schröder misses 2-pt layup from 3 ft,,51,61
218,2,0:57.0,Offensive rebound by D. Gallinari,,51,61
219,2,0:55.0,D. Gallinari misses 3-pt jump shot from 26 ft,,51,61
220,2,0:53.0,,Defensive rebound by L. James,51,61
221,2,0:43.0,,L. James misses 2-pt layup from 2 ft,51,61
222,2,0:40.0,,Offensive rebound by D. Howard,51,61
223,2,0:40.0,,D. Howard misses 2-pt layup from 1 ft,51,61
224,2,0:40.0,Defensive rebound by D. Gallinari,,51,61
225,2,0:34.0,D. Schröder makes 2-pt jump shot from 16 ft (assist by S. Adams),,53,61
226,2,0:17.0,,A. Davis misses 2-pt jump shot from 18 ft,53,61
227,2,0:14.0,Defensive rebound by S. Adams,,53,61
228,2,0:04.0,D. Schröder misses 3-pt jump shot from 26 ft,,53,61
229,2,0:04.0,,Defensive rebound by R. Rondo,53,61
