,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
0,1,11:40.0,,K. Nunn makes 2-pt jump shot from 16 ft (assist by B. Adebayo),0,2
1,1,11:14.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,3,2
2,1,10:56.0,,D. Robinson misses 3-pt jump shot from 26 ft,3,2
3,1,10:54.0,Defensive rebound by J. Allen,,3,2
4,1,10:41.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,3,2
5,1,10:37.0,,Defensive rebound by J. Butler,3,2
6,1,10:31.0,,D. Jones misses 3-pt jump shot from 26 ft,3,2
7,1,10:28.0,Defensive rebound by C. LeVert,,3,2
8,1,10:18.0,J. Allen makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,5,2
9,1,10:05.0,,K. Nunn misses 3-pt jump shot from 25 ft,5,2
10,1,10:03.0,Defensive rebound by J. Allen,,5,2
11,1,9:50.0,C. LeVert misses 3-pt jump shot from 24 ft,,5,2
12,1,9:48.0,,Defensive rebound by D. Robinson,5,2
13,1,9:30.0,,K. Nunn makes 3-pt jump shot from 26 ft,5,5
14,1,9:10.0,J. Allen makes 2-pt hook shot from 4 ft (assist by S. Dinwiddie),,7,5
15,1,8:57.0,,Shooting foul by T. Prince (drawn by J. Butler),7,5
16,1,8:57.0,,J. Butler misses free throw 1 of 2,7,5
17,1,8:57.0,,Offensive rebound by Team,7,5
18,1,8:57.0,R. Kurucs enters the game for T. Prince,,7,5
19,1,8:57.0,,J. Butler makes free throw 2 of 2,7,6
20,1,8:46.0,J. Harris misses 3-pt jump shot from 25 ft,,7,6
21,1,8:46.0,,Defensive rebound by Team,7,6
22,1,8:46.0,T. Prince enters the game for R. Kurucs,,7,6
23,1,8:25.0,,K. Nunn misses 3-pt jump shot from 25 ft,7,6
24,1,8:23.0,Defensive rebound by J. Allen,,7,6
25,1,8:15.0,S. Dinwiddie misses 2-pt jump shot from 5 ft,,7,6
26,1,8:13.0,,Defensive rebound by K. Nunn,7,6
27,1,8:03.0,,B. Adebayo misses 2-pt jump shot from 14 ft,7,6
28,1,8:01.0,Defensive rebound by C. LeVert,,7,6
29,1,7:54.0,T. Prince misses 3-pt jump shot from 24 ft,,7,6
30,1,7:51.0,,Defensive rebound by D. Jones,7,6
31,1,7:42.0,,J. Butler makes 2-pt jump shot from 6 ft,7,8
32,1,7:30.0,J. Harris misses 2-pt jump shot from 12 ft,,7,8
33,1,7:28.0,Offensive rebound by J. Harris,,7,8
34,1,7:25.0,J. Allen makes 2-pt layup from 1 ft (assist by J. Harris),,9,8
35,1,7:08.0,,K. Nunn makes 2-pt jump shot from 2 ft,9,10
36,1,6:50.0,C. LeVert makes 2-pt jump shot from 4 ft,,11,10
37,1,6:33.0,,Personal foul by S. Dinwiddie (drawn by D. Robinson),11,10
38,1,6:33.0,,Miami full timeout,11,10
39,1,6:33.0,G. Temple enters the game for C. LeVert,,11,10
40,1,6:03.0,,Turnover by Team (shot clock),11,10
41,1,6:03.0,G. Temple misses 3-pt jump shot from 26 ft,,11,10
42,1,6:01.0,,Defensive rebound by B. Adebayo,11,10
43,1,5:51.0,,Turnover by B. Adebayo (bad pass),11,10
44,1,5:38.0,J. Harris makes 3-pt jump shot from 26 ft (assist by G. Temple),,14,10
45,1,5:22.0,,K. Nunn misses 3-pt jump shot from 26 ft,14,10
46,1,5:20.0,Defensive rebound by T. Prince,,14,10
47,1,5:12.0,Shooting foul by D. Robinson (drawn by S. Dinwiddie),,14,10
48,1,5:12.0,S. Dinwiddie misses free throw 1 of 2,,14,10
49,1,5:12.0,Offensive rebound by Team,,14,10
50,1,5:12.0,W. Chandler enters the game for J. Allen,,14,10
51,1,5:12.0,D. Jordan enters the game for T. Prince,,14,10
52,1,5:12.0,,G. Dragić enters the game for D. Robinson,14,10
53,1,5:12.0,S. Dinwiddie makes free throw 2 of 2,,15,10
54,1,4:57.0,,J. Butler misses 2-pt jump shot from 14 ft,15,10
55,1,4:53.0,Defensive rebound by D. Jordan,,15,10
56,1,4:33.0,J. Harris misses 2-pt jump shot from 18 ft,,15,10
57,1,4:31.0,,Defensive rebound by B. Adebayo,15,10
58,1,4:14.0,,D. Jones makes 2-pt layup from 3 ft (assist by J. Butler),15,12
59,1,4:05.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by B. Adebayo),,15,12
60,1,4:03.0,,Defensive rebound by D. Jones,15,12
61,1,4:03.0,,Offensive foul by J. Butler (drawn by J. Harris),15,12
62,1,4:03.0,,Turnover by J. Butler (offensive foul),15,12
63,1,4:03.0,C. LeVert enters the game for S. Dinwiddie,,15,12
64,1,4:03.0,T. Luwawu-Cabarrot enters the game for J. Harris,,15,12
65,1,4:03.0,,J. Crowder enters the game for D. Jones,15,12
66,1,3:49.0,G. Temple misses 3-pt jump shot from 25 ft,,15,12
67,1,3:47.0,,Defensive rebound by B. Adebayo,15,12
68,1,3:41.0,,Shooting foul by D. Jordan (drawn by B. Adebayo),15,12
69,1,3:41.0,,B. Adebayo makes free throw 1 of 2,15,13
70,1,3:41.0,,B. Adebayo makes free throw 2 of 2,15,14
71,1,3:24.0,C. LeVert misses 2-pt jump shot from 7 ft,,15,14
72,1,3:22.0,,Defensive rebound by K. Nunn,15,14
73,1,3:17.0,,G. Dragić misses 3-pt jump shot from 25 ft,15,14
74,1,3:15.0,Defensive rebound by G. Temple,,15,14
75,1,3:04.0,C. LeVert misses 2-pt jump shot from 12 ft,,15,14
76,1,3:04.0,,Defensive rebound by Team,15,14
77,1,3:04.0,Loose ball foul by D. Jordan (drawn by J. Butler),,15,14
78,1,3:04.0,,K. Olynyk enters the game for B. Adebayo,15,14
79,1,2:44.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by G. Dragić),15,17
80,1,2:44.0,Brooklyn full timeout,,15,17
81,1,2:29.0,C. LeVert makes 2-pt layup from 1 ft (assist by G. Temple),,17,17
82,1,2:16.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Crowder),17,17
83,1,2:16.0,,J. Crowder makes free throw 1 of 2,17,18
84,1,2:16.0,,J. Crowder makes free throw 2 of 2,17,19
85,1,2:05.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,17,19
86,1,2:02.0,,Defensive rebound by G. Dragić,17,19
87,1,1:49.0,,J. Crowder misses 3-pt jump shot from 26 ft,17,19
88,1,1:45.0,Defensive rebound by D. Jordan,,17,19
89,1,1:36.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by C. LeVert),,20,19
90,1,1:24.0,,K. Olynyk misses 3-pt jump shot from 24 ft,20,19
91,1,1:22.0,Defensive rebound by G. Temple,,20,19
92,1,1:16.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by W. Chandler),,23,19
93,1,1:01.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Butler),23,21
94,1,0:46.0,Personal foul by K. Nunn (drawn by C. LeVert),,23,21
95,1,0:46.0,,A. Iguodala enters the game for J. Butler,23,21
96,1,0:46.0,,D. Robinson enters the game for K. Nunn,23,21
97,1,0:43.0,W. Chandler makes 2-pt layup at rim (assist by D. Jordan),,25,21
98,1,0:26.0,,G. Dragić makes 3-pt jump shot from 26 ft,25,24
99,1,0:09.0,C. LeVert makes 2-pt jump shot from 11 ft,,27,24
100,1,0:01.0,,Turnover by G. Dragić (lost ball; steal by T. Luwawu-Cabarrot),27,24
101,2,11:45.0,C. LeVert misses 3-pt jump shot from 26 ft,,27,24
102,2,11:41.0,Offensive rebound by D. Jordan,,27,24
103,2,11:40.0,Shooting foul by K. Olynyk (drawn by C. LeVert),,27,24
104,2,11:40.0,C. LeVert makes free throw 1 of 2,,28,24
105,2,11:40.0,C. LeVert makes free throw 2 of 2,,29,24
106,2,11:26.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by G. Dragić),29,27
107,2,11:16.0,Offensive foul by W. Chandler (drawn by J. Crowder),,29,27
108,2,11:16.0,Turnover by W. Chandler (offensive foul),,29,27
109,2,11:03.0,,J. Crowder misses 3-pt jump shot from 23 ft,29,27
110,2,11:01.0,,Offensive rebound by A. Iguodala,29,27
111,2,10:52.0,,G. Dragić makes 3-pt jump shot from 26 ft,29,30
112,2,10:38.0,Turnover by C. LeVert (bad pass; steal by J. Crowder),,29,30
