,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
0,1,11:42.0,,N. Jokić makes 2-pt jump shot from 13 ft (assist by J. Grant),0,2
1,1,11:14.0,Turnover by Team (shot clock),,0,2
2,1,11:06.0,,Shooting foul by P. Washington (drawn by J. Grant),0,2
3,1,11:06.0,,J. Grant makes free throw 1 of 2,0,3
4,1,11:06.0,,J. Grant makes free throw 2 of 2,0,4
5,1,10:49.0,M. Bridges misses 3-pt jump shot from 25 ft,,0,4
6,1,10:46.0,,Defensive rebound by N. Jokić,0,4
7,1,10:39.0,,W. Barton misses 3-pt jump shot from 26 ft,0,4
8,1,10:36.0,Defensive rebound by C. Zeller,,0,4
9,1,10:14.0,C. Zeller makes 2-pt layup from 3 ft (assist by T. Rozier),,2,4
10,1,9:51.0,,Turnover by J. Grant (traveling),2,4
11,1,9:28.0,C. Zeller misses 2-pt layup from 6 ft,,2,4
12,1,9:26.0,,Defensive rebound by N. Jokić,2,4
13,1,9:22.0,,Personal foul by T. Rozier (drawn by W. Barton),2,4
14,1,9:10.0,,Turnover by J. Murray (lost ball; steal by T. Rozier),2,4
15,1,8:58.0,C. Zeller makes 2-pt layup from 2 ft (assist by T. Rozier),,4,4
16,1,8:43.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Grant),4,7
17,1,8:27.0,Turnover by D. Graham (bad pass; steal by J. Murray),,4,7
18,1,8:22.0,,Turnover by J. Murray (lost ball; steal by P. Washington),4,7
19,1,8:17.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by P. Washington),,7,7
20,1,7:52.0,,J. Grant misses 3-pt jump shot from 23 ft,7,7
21,1,7:48.0,Defensive rebound by P. Washington,,7,7
22,1,7:44.0,C. Zeller makes 2-pt dunk from 1 ft (assist by T. Rozier),,9,7
23,1,7:20.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),9,9
24,1,7:06.0,D. Graham misses 3-pt jump shot from 25 ft,,9,9
25,1,7:03.0,,Defensive rebound by J. Grant,9,9
26,1,6:51.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),9,11
27,1,6:32.0,,Denver full timeout,9,11
28,1,6:32.0,N. Batum enters the game for M. Bridges,,9,11
29,1,6:32.0,B. Biyombo enters the game for C. Zeller,,9,11
30,1,6:30.0,P. Washington makes 3-pt jump shot from 23 ft (assist by N. Batum),,12,11
