,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
0,1,11:45.0,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by G. Temple),,3,0
1,1,11:25.0,,J. Culver makes 3-pt jump shot from 26 ft (assist by G. Dieng),3,3
2,1,11:15.0,T. Prince misses 3-pt jump shot from 24 ft,,3,3
3,1,11:12.0,,Defensive rebound by K. Martin,3,3
4,1,11:02.0,,K. Martin misses 2-pt jump shot from 13 ft,3,3
5,1,10:59.0,Defensive rebound by T. Prince,,3,3
6,1,10:49.0,J. Allen makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,5,3
7,1,10:49.0,Shooting foul by G. Dieng (drawn by J. Allen),,5,3
8,1,10:49.0,J. Allen misses free throw 1 of 1,,5,3
9,1,10:47.0,,Defensive rebound by G. Dieng,5,3
10,1,10:34.0,,K. Martin misses 3-pt jump shot from 23 ft,5,3
11,1,10:32.0,Defensive rebound by J. Allen,,5,3
12,1,10:21.0,J. Harris misses 2-pt layup from 3 ft (block by G. Dieng),,5,3
13,1,10:19.0,,Defensive rebound by S. Napier,5,3
14,1,10:09.0,,R. Covington misses 3-pt jump shot from 25 ft,5,3
15,1,10:06.0,Defensive rebound by S. Dinwiddie,,5,3
16,1,10:00.0,J. Allen misses 2-pt dunk from 1 ft,,5,3
17,1,9:58.0,,Defensive rebound by J. Culver,5,3
18,1,9:50.0,,S. Napier misses 2-pt layup from 1 ft,5,3
19,1,9:48.0,Defensive rebound by S. Dinwiddie,,5,3
20,1,9:45.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,5,3
21,1,9:43.0,,Defensive rebound by K. Martin,5,3
22,1,9:43.0,,Personal foul by J. Allen (drawn by K. Martin),5,3
23,1,9:31.0,,Turnover by S. Napier (lost ball; steal by S. Dinwiddie),5,3
24,1,9:22.0,J. Allen misses 2-pt layup from 2 ft,,5,3
25,1,9:20.0,,Defensive rebound by G. Dieng,5,3
26,1,9:17.0,,Offensive foul by R. Covington (drawn by T. Prince),5,3
27,1,9:17.0,,Turnover by R. Covington (offensive foul),5,3
