,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:35.0,K. Towns makes 2-pt hook shot from 5 ft,,2,0
1,1,11:14.0,,P. Beverley misses 3-pt jump shot from 25 ft,2,0
2,1,11:10.0,,Offensive rebound by I. Zubac,2,0
3,1,11:09.0,,Turnover by I. Zubac (lost ball; steal by R. Covington),2,0
4,1,11:01.0,K. Towns misses 3-pt jump shot from 25 ft,,2,0
5,1,10:56.0,,Defensive rebound by M. Harkless,2,0
6,1,10:49.0,,P. George makes 2-pt jump shot from 14 ft,2,2
7,1,10:46.0,Shooting foul by M. Harkless (drawn by A. Wiggins),,2,2
8,1,10:46.0,Technical foul by P. Beverley,,2,2
9,1,10:46.0,K. Towns misses technical free throw,,2,2
10,1,10:46.0,Offensive rebound by Team,,2,2
11,1,10:46.0,A. Wiggins makes free throw 1 of 2,,3,2
12,1,10:46.0,A. Wiggins makes free throw 2 of 2,,4,2
13,1,10:27.0,,Personal foul by S. Napier (drawn by P. Beverley),4,2
14,1,10:22.0,,K. Leonard misses 2-pt jump shot from 11 ft,4,2
15,1,10:19.0,Defensive rebound by A. Wiggins,,4,2
16,1,10:06.0,J. Culver misses 3-pt jump shot from 27 ft,,4,2
17,1,10:02.0,,Defensive rebound by P. Beverley,4,2
18,1,9:59.0,,K. Leonard misses 3-pt jump shot from 24 ft,4,2
19,1,9:55.0,Defensive rebound by J. Culver,,4,2
20,1,9:47.0,K. Towns makes 2-pt jump shot from 3 ft,,6,2
21,1,9:37.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by P. Beverley),6,5
22,1,9:23.0,A. Wiggins misses 2-pt jump shot from 12 ft,,6,5
23,1,9:20.0,,Defensive rebound by K. Leonard,6,5
24,1,9:15.0,,Shooting foul by A. Wiggins (drawn by K. Leonard),6,5
25,1,9:15.0,,K. Leonard makes free throw 1 of 2,6,6
26,1,9:15.0,,K. Leonard makes free throw 2 of 2,6,7
27,1,9:02.0,R. Covington misses 3-pt jump shot from 28 ft,,6,7
28,1,8:59.0,,Defensive rebound by I. Zubac,6,7
29,1,8:51.0,,P. Beverley makes 2-pt layup from 1 ft,6,9
30,1,8:36.0,K. Towns makes 3-pt jump shot from 28 ft (assist by S. Napier),,9,9
31,1,8:25.0,,Shooting foul by K. Towns (drawn by I. Zubac),9,9
32,1,8:25.0,,I. Zubac makes free throw 1 of 2,9,10
33,1,8:25.0,,I. Zubac makes free throw 2 of 2,9,11
34,1,8:10.0,Shooting foul by M. Harkless (drawn by J. Culver),,9,11
35,1,8:10.0,J. Culver misses free throw 1 of 2,,9,11
36,1,8:10.0,Offensive rebound by Team,,9,11
37,1,8:10.0,,L. Shamet enters the game for M. Harkless,9,11
38,1,8:10.0,J. Culver makes free throw 2 of 2,,10,11
39,1,7:52.0,,K. Leonard misses 2-pt jump shot from 6 ft,10,11
40,1,7:48.0,Defensive rebound by K. Towns,,10,11
41,1,7:44.0,K. Towns misses 2-pt layup from 2 ft,,10,11
42,1,7:41.0,,Defensive rebound by P. George,10,11
43,1,7:39.0,,Shooting foul by R. Covington (drawn by K. Leonard),10,11
44,1,7:39.0,,K. Leonard makes free throw 1 of 2,10,12
45,1,7:39.0,,K. Leonard makes free throw 2 of 2,10,13
46,1,7:30.0,J. Culver misses 3-pt jump shot from 26 ft,,10,13
