,QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
0,1,11:44.0,,R. Westbrook misses 2-pt jump shot from 14 ft,0,0
1,1,11:42.0,,Offensive rebound by R. Westbrook,0,0
2,1,11:41.0,,Turnover by R. Westbrook (bad pass),0,0
3,1,11:25.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by K. Nunn),,3,0
4,1,11:12.0,,P. Tucker misses 2-pt jump shot from 23 ft,3,0
5,1,11:11.0,Defensive rebound by B. Adebayo,,3,0
6,1,10:59.0,K. Nunn misses 3-pt jump shot from 25 ft,,3,0
7,1,10:59.0,,Defensive rebound by Team,3,0
8,1,10:50.0,,Turnover by R. Westbrook (step out of bounds),3,0
9,1,10:34.0,G. Dragić misses 3-pt jump shot from 27 ft,,3,0
10,1,10:31.0,Offensive rebound by B. Adebayo,,3,0
11,1,10:28.0,D. Robinson misses 3-pt jump shot from 25 ft,,3,0
12,1,10:26.0,,Defensive rebound by R. Westbrook,3,0
13,1,10:20.0,,Personal foul by M. Leonard (drawn by J. Harden),3,0
14,1,10:15.0,,P. Tucker makes 2-pt jump shot from 3 ft (assist by R. Westbrook),3,2
15,1,9:54.0,D. Robinson misses 3-pt jump shot from 23 ft,,3,2
16,1,9:53.0,,Defensive rebound by J. Harden,3,2
17,1,9:46.0,,J. Harden misses 3-pt jump shot from 26 ft,3,2
18,1,9:45.0,,Offensive rebound by D. House,3,2
19,1,9:44.0,,Shooting foul by G. Dragić (drawn by D. House),3,2
20,1,9:44.0,,D. House misses free throw 1 of 2,3,2
21,1,9:44.0,,Offensive rebound by Team,3,2
22,1,9:44.0,,D. House makes free throw 2 of 2,3,3
23,1,9:33.0,Turnover by B. Adebayo (bad pass),,3,3
24,1,9:25.0,,J. Harden makes 2-pt layup from 1 ft,3,5
25,1,9:06.0,K. Nunn misses 3-pt jump shot from 26 ft,,3,5
26,1,9:03.0,,Defensive rebound by R. Westbrook,3,5
27,1,9:01.0,,Personal foul by D. Robinson (drawn by R. Westbrook),3,5
28,1,8:52.0,,D. House makes 3-pt jump shot from 25 ft (assist by R. Westbrook),3,8
29,1,8:28.0,K. Nunn misses 3-pt jump shot from 23 ft (block by J. Harden),,3,8
30,1,8:27.0,,Defensive rebound by R. Westbrook,3,8
31,1,8:17.0,,R. Westbrook makes 2-pt jump shot from 15 ft,3,10
32,1,8:16.0,Miami full timeout,,3,10
33,1,8:16.0,,I. Hartenstein enters the game for T. Chandler,3,10
34,1,8:07.0,Shooting foul by I. Hartenstein (drawn by B. Adebayo),,3,10
35,1,8:07.0,B. Adebayo makes free throw 1 of 2,,4,10
36,1,8:07.0,B. Adebayo misses free throw 2 of 2,,4,10
37,1,8:07.0,,Defensive rebound by P. Tucker,4,10
38,1,7:53.0,,I. Hartenstein misses 2-pt jump shot from 6 ft,4,10
39,1,7:52.0,Defensive rebound by M. Leonard,,4,10
