,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
0,1,11:44.0,,K. Huerter misses 2-pt jump shot from 4 ft,0,0
1,1,11:40.0,,Offensive rebound by B. Fernando,0,0
2,1,11:39.0,,D. Hunter misses 3-pt jump shot from 25 ft,0,0
3,1,11:36.0,Defensive rebound by D. Brooks,,0,0
4,1,11:30.0,D. Brooks misses 3-pt jump shot from 25 ft,,0,0
5,1,11:26.0,Offensive rebound by J. Valančiūnas,,0,0
6,1,11:23.0,D. Melton misses 2-pt jump shot from 13 ft,,0,0
7,1,11:20.0,Offensive rebound by J. Valančiūnas,,0,0
8,1,11:18.0,D. Brooks misses 3-pt jump shot from 26 ft,,0,0
9,1,11:15.0,,Defensive rebound by K. Huerter,0,0
10,1,11:09.0,,Turnover by T. Young (bad pass),0,0
11,1,10:55.0,Turnover by K. Anderson (bad pass; steal by J. Collins),,0,0
12,1,10:50.0,,B. Fernando misses 2-pt dunk from 2 ft,0,0
13,1,10:46.0,Defensive rebound by J. Morant,,0,0
14,1,10:38.0,J. Morant misses 2-pt jump shot from 11 ft,,0,0
15,1,10:34.0,,Defensive rebound by J. Collins,0,0
16,1,10:29.0,,Personal foul by J. Morant (drawn by T. Young),0,0
17,1,10:23.0,,T. Young makes 2-pt jump shot from 17 ft (assist by B. Fernando),0,2
18,1,10:06.0,K. Anderson misses 3-pt jump shot from 23 ft,,0,2
19,1,10:04.0,,Defensive rebound by D. Hunter,0,2
20,1,9:57.0,,B. Fernando misses 3-pt jump shot from 23 ft,0,2
21,1,9:53.0,Defensive rebound by J. Valančiūnas,,0,2
22,1,9:48.0,Turnover by D. Melton (lost ball; steal by T. Young),,0,2
23,1,9:45.0,,T. Young misses 2-pt layup from 12 ft,0,2
24,1,9:39.0,Defensive rebound by J. Valančiūnas,,0,2
25,1,9:30.0,D. Brooks misses 2-pt hook shot from 7 ft,,0,2
26,1,9:27.0,Offensive rebound by J. Valančiūnas,,0,2
27,1,9:26.0,J. Valančiūnas misses 2-pt layup from 2 ft,,0,2
28,1,9:26.0,Offensive rebound by J. Valančiūnas,,0,2
29,1,9:22.0,D. Brooks misses 3-pt jump shot from 25 ft,,0,2
30,1,9:18.0,,Defensive rebound by D. Hunter,0,2
31,1,9:10.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),0,4
32,1,9:10.0,Memphis full timeout,,0,4
33,1,8:52.0,K. Anderson misses 2-pt jump shot from 3 ft,,0,4
34,1,8:49.0,,Defensive rebound by B. Fernando,0,4
35,1,8:45.0,,T. Young misses 2-pt jump shot from 9 ft,0,4
36,1,8:42.0,,Offensive rebound by Team,0,4
37,1,8:35.0,,D. Hunter misses 3-pt jump shot from 23 ft,0,4
38,1,8:32.0,,Offensive rebound by B. Fernando,0,4
39,1,8:30.0,,B. Fernando misses 2-pt layup from 4 ft,0,4
40,1,8:30.0,,Offensive rebound by D. Hunter,0,4
41,1,8:26.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by D. Hunter),0,7
42,1,8:11.0,J. Morant misses 2-pt jump shot from 13 ft,,0,7
43,1,8:08.0,,Defensive rebound by D. Hunter,0,7
44,1,8:00.0,,J. Collins misses 2-pt dunk from 2 ft,0,7
45,1,7:57.0,Defensive rebound by J. Valančiūnas,,0,7
46,1,7:54.0,D. Brooks misses 3-pt jump shot from 26 ft,,0,7
47,1,7:50.0,Offensive rebound by J. Valančiūnas,,0,7
48,1,7:49.0,J. Valančiūnas makes 2-pt layup from 1 ft,,2,7
49,1,7:37.0,,K. Huerter misses 2-pt jump shot from 21 ft,2,7
50,1,7:35.0,,Offensive rebound by K. Huerter,2,7
51,1,7:31.0,,J. Collins misses 2-pt layup from 4 ft (block by K. Anderson),2,7
52,1,7:30.0,,Offensive rebound by Team,2,7
53,1,7:29.0,,D. Hunter makes 2-pt dunk from 1 ft (assist by K. Huerter),2,9
54,1,7:29.0,Memphis full timeout,,2,9
55,1,7:15.0,Personal foul by B. Fernando (drawn by J. Valančiūnas),,2,9
56,1,7:08.0,D. Melton misses 2-pt jump shot from 13 ft,,2,9
57,1,7:03.0,,Defensive rebound by B. Fernando,2,9
58,1,6:47.0,,T. Young makes 2-pt jump shot from 16 ft,2,11
59,1,6:26.0,J. Valančiūnas makes 2-pt hook shot from 7 ft (assist by J. Morant),,4,11
60,1,6:08.0,,T. Young misses 3-pt jump shot from 27 ft,4,11
61,1,6:05.0,Defensive rebound by K. Anderson,,4,11
62,1,5:57.0,J. Morant makes 2-pt jump shot from 12 ft,,6,11
63,1,5:40.0,,T. Young misses 2-pt jump shot from 10 ft,6,11
64,1,5:36.0,Defensive rebound by D. Brooks,,6,11
65,1,5:33.0,D. Melton misses 2-pt layup from 3 ft (block by D. Hunter),,6,11
66,1,5:32.0,Offensive rebound by J. Morant,,6,11
67,1,5:32.0,J. Morant makes 2-pt dunk from 1 ft,,8,11
68,1,5:32.0,,Atlanta full timeout,8,11
69,1,5:32.0,G. Dieng enters the game for K. Anderson,,8,11
70,1,5:32.0,J. Jackson enters the game for D. Melton,,8,11
71,1,5:32.0,,V. Carter enters the game for B. Fernando,8,11
72,1,5:32.0,,J. Teague enters the game for K. Huerter,8,11
73,1,5:16.0,,V. Carter misses 3-pt jump shot from 25 ft,8,11
74,1,5:11.0,,Offensive rebound by J. Collins,8,11
75,1,5:07.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Collins),8,14
76,1,4:50.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Morant),,11,14
77,1,4:33.0,,V. Carter misses 3-pt jump shot from 26 ft,11,14
78,1,4:31.0,Defensive rebound by Team,,11,14
79,1,4:16.0,J. Jackson misses 2-pt layup from 7 ft (block by J. Teague),,11,14
80,1,4:16.0,,Defensive rebound by Team,11,14
81,1,4:11.0,,Shooting foul by D. Brooks (drawn by T. Young),11,14
82,1,4:11.0,,T. Young makes free throw 1 of 3,11,15
83,1,4:11.0,,T. Young makes free throw 2 of 3,11,16
84,1,4:11.0,T. Jones enters the game for J. Morant,,11,16
85,1,4:11.0,,D. Jones enters the game for J. Collins,11,16
86,1,4:11.0,,T. Young makes free throw 3 of 3,11,17
87,1,3:58.0,T. Jones misses 3-pt jump shot from 24 ft,,11,17
88,1,3:55.0,,Defensive rebound by J. Teague,11,17
89,1,3:52.0,,Turnover by J. Teague (lost ball; steal by T. Jones),11,17
90,1,3:45.0,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by T. Jones),,14,17
91,1,3:31.0,,T. Young misses 2-pt jump shot from 13 ft,14,17
92,1,3:27.0,,Offensive rebound by D. Jones,14,17
93,1,3:27.0,,D. Jones makes 2-pt dunk at rim,14,19
94,1,3:17.0,G. Dieng misses 2-pt hook shot from 3 ft,,14,19
95,1,3:13.0,,Defensive rebound by D. Jones,14,19
96,1,3:07.0,,V. Carter misses 3-pt jump shot from 26 ft,14,19
97,1,3:03.0,Defensive rebound by T. Jones,,14,19
98,1,3:00.0,D. Brooks misses 3-pt jump shot from 25 ft,,14,19
99,1,2:55.0,Offensive rebound by J. Valančiūnas,,14,19
100,1,2:54.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,17,19
101,1,2:41.0,,J. Teague misses 3-pt jump shot from 25 ft,17,19
102,1,2:38.0,Defensive rebound by J. Jackson,,17,19
103,1,2:31.0,Shooting foul by V. Carter (drawn by G. Dieng),,17,19
104,1,2:31.0,G. Dieng makes free throw 1 of 2,,18,19
105,1,2:31.0,A. Tolliver enters the game for J. Valančiūnas,,18,19
106,1,2:31.0,,B. Goodwin enters the game for D. Hunter,18,19
107,1,2:31.0,,T. Graham enters the game for T. Young,18,19
108,1,2:31.0,G. Dieng makes free throw 2 of 2,,19,19
109,1,2:13.0,,T. Graham misses 2-pt layup from 6 ft (block by J. Jackson),19,19
