,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
0,1,11:43.0,Turnover by J. Holiday (out of bounds lost ball),,0,0
1,1,11:22.0,,T. Warren misses 3-pt jump shot from 24 ft,0,0
2,1,11:19.0,Defensive rebound by N. Melli,,0,0
3,1,11:07.0,N. Melli makes 3-pt jump shot from 23 ft (assist by J. Holiday),,3,0
4,1,10:52.0,,J. Lamb makes 2-pt jump shot from 5 ft,3,2
5,1,10:43.0,Shooting foul by J. Lamb (drawn by D. Favors),,3,2
6,1,10:43.0,D. Favors makes free throw 1 of 2,,4,2
7,1,10:43.0,D. Favors makes free throw 2 of 2,,5,2
8,1,10:28.0,,J. Lamb misses 3-pt jump shot from 24 ft,5,2
9,1,10:26.0,Defensive rebound by J. Hart,,5,2
10,1,10:20.0,J. Holiday misses 3-pt jump shot from 23 ft,,5,2
11,1,10:17.0,,Defensive rebound by M. Turner,5,2
12,1,9:57.0,,D. Sabonis misses 2-pt hook shot from 6 ft,5,2
13,1,9:54.0,Defensive rebound by N. Melli,,5,2
14,1,9:43.0,Turnover by J. Holiday (bad pass; steal by T. Warren),,5,2
15,1,9:37.0,,T. Warren makes 2-pt layup from 1 ft (assist by M. Brogdon),5,4
16,1,9:25.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Holiday),,7,4
17,1,9:15.0,,Personal foul by D. Favors (drawn by T. Warren),7,4
18,1,9:08.0,,M. Brogdon makes 2-pt jump shot from 19 ft (assist by M. Turner),7,6
19,1,8:58.0,J. Holiday makes 2-pt layup from 6 ft (assist by L. Ball),,9,6
20,1,8:45.0,,J. Lamb makes 2-pt jump shot from 5 ft,9,8
21,1,8:27.0,D. Favors makes 2-pt jump shot from 5 ft (assist by J. Holiday),,11,8
22,1,8:14.0,,M. Brogdon misses 3-pt jump shot from 32 ft,11,8
23,1,8:14.0,Defensive rebound by N. Melli,,11,8
24,1,8:08.0,,Violation by Team (kicked ball),11,8
25,1,7:55.0,J. Hart misses 3-pt jump shot from 23 ft,,11,8
26,1,7:52.0,,Defensive rebound by M. Turner,11,8
27,1,7:37.0,,Turnover by M. Turner (lost ball; steal by J. Holiday),11,8
28,1,7:28.0,Offensive foul by D. Favors (drawn by M. Brogdon),,11,8
29,1,7:28.0,Turnover by D. Favors (offensive foul),,11,8
30,1,7:05.0,,J. Lamb makes 3-pt jump shot from 29 ft,11,11
31,1,6:49.0,J. Hart makes 3-pt jump shot from 28 ft (assist by J. Holiday),,14,11
32,1,6:35.0,,Turnover by M. Brogdon (bad pass),14,11
33,1,6:35.0,,Indiana full timeout,14,11
34,1,6:35.0,J. Hayes enters the game for D. Favors,,14,11
35,1,6:35.0,,J. Holiday enters the game for D. Sabonis,14,11
36,1,6:25.0,J. Holiday misses 3-pt jump shot from 26 ft,,14,11
37,1,6:21.0,Offensive rebound by J. Hayes,,14,11
38,1,6:12.0,N. Melli misses 2-pt jump shot from 19 ft,,14,11
39,1,6:08.0,,Defensive rebound by M. Brogdon,14,11
40,1,5:51.0,,M. Brogdon misses 2-pt jump shot from 14 ft,14,11
41,1,5:48.0,Defensive rebound by L. Ball,,14,11
42,1,5:40.0,L. Ball misses 3-pt jump shot from 28 ft,,14,11
