,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,S. Adams makes 2-pt layup from 2 ft (assist by C. Paul),0,2
1,1,11:29.0,I. Zubac makes 2-pt layup from 6 ft (assist by L. Williams),,2,2
2,1,11:22.0,,S. Adams misses 2-pt dunk from 2 ft,2,2
3,1,11:20.0,Defensive rebound by L. Williams,,2,2
4,1,11:17.0,I. Zubac makes 2-pt dunk from 1 ft (assist by P. George),,4,2
5,1,11:17.0,Shooting foul by S. Gilgeous-Alexander (drawn by I. Zubac),,4,2
6,1,11:17.0,I. Zubac makes free throw 1 of 1,,5,2
7,1,11:11.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft,5,4
8,1,11:11.0,,Shooting foul by P. George (drawn by S. Gilgeous-Alexander),5,4
9,1,11:11.0,,S. Gilgeous-Alexander makes free throw 1 of 1,5,5
10,1,10:58.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by I. Zubac),,8,5
11,1,10:33.0,,S. Adams makes 2-pt layup from 2 ft (assist by D. Bazley),8,7
12,1,10:16.0,Turnover by P. George (bad pass; steal by T. Ferguson),,8,7
13,1,10:11.0,,D. Bazley makes 2-pt dunk from 1 ft (assist by C. Paul),8,9
14,1,9:57.0,L. Williams misses 2-pt layup from 2 ft,,8,9
15,1,9:55.0,,Defensive rebound by C. Paul,8,9
16,1,9:49.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by P. Patterson),8,9
17,1,9:45.0,Defensive rebound by I. Zubac,,8,9
18,1,9:43.0,Personal foul by C. Paul (drawn by P. George),,8,9
19,1,9:38.0,P. George makes 2-pt jump shot from 15 ft,,10,9
20,1,9:28.0,,C. Paul makes 3-pt jump shot from 25 ft,10,12
21,1,9:14.0,Turnover by I. Zubac (traveling),,10,12
22,1,9:03.0,,Shooting foul by M. Harkless (drawn by S. Adams),10,12
23,1,9:03.0,,S. Adams misses free throw 1 of 2,10,12
24,1,9:03.0,,Offensive rebound by Team,10,12
25,1,9:03.0,,S. Adams misses free throw 2 of 2,10,12
26,1,9:01.0,Defensive rebound by I. Zubac,,10,12
27,1,8:54.0,L. Williams misses 2-pt jump shot from 20 ft,,10,12
28,1,8:51.0,,Defensive rebound by D. Bazley,10,12
29,1,8:43.0,,S. Gilgeous-Alexander misses 2-pt layup from 4 ft,10,12
30,1,8:42.0,,Offensive rebound by S. Adams,10,12
31,1,8:41.0,,S. Adams misses 2-pt layup from 2 ft,10,12
32,1,8:40.0,,Offensive rebound by S. Adams,10,12
33,1,8:38.0,,S. Adams makes 2-pt layup from 1 ft,10,14
34,1,8:21.0,P. George makes 3-pt jump shot from 25 ft (assist by I. Zubac),,13,14
35,1,8:09.0,,C. Paul misses 3-pt jump shot from 25 ft,13,14
36,1,8:09.0,Defensive rebound by I. Zubac,,13,14
37,1,8:01.0,P. George makes 3-pt jump shot from 28 ft,,16,14
38,1,7:52.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by P. George),16,14
39,1,7:47.0,L. Williams makes 3-pt jump shot from 22 ft (assist by M. Harkless),,19,14
40,1,7:33.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,19,14
41,1,7:33.0,Defensive rebound by I. Zubac,,19,14
42,1,7:12.0,I. Zubac makes 2-pt jump shot from 21 ft (assist by M. Harkless),,21,14
43,1,7:12.0,,Oklahoma City full timeout,21,14
44,1,7:12.0,,N. Noel enters the game for S. Adams,21,14
45,1,7:02.0,,T. Ferguson misses 3-pt jump shot from 24 ft,21,14
46,1,6:57.0,,Offensive rebound by N. Noel,21,14
