,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:40.0,,K. Porziņģis misses 2-pt jump shot from 5 ft,0,0
1,1,11:38.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:28.0,T. Lyles misses 3-pt jump shot from 25 ft,,0,0
3,1,11:25.0,,Defensive rebound by D. Powell,0,0
4,1,11:11.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by K. Porziņģis),0,3
5,1,10:50.0,T. Lyles misses 2-pt jump shot from 16 ft,,0,3
6,1,10:47.0,,Defensive rebound by K. Porziņģis,0,3
7,1,10:37.0,,L. Dončić makes 2-pt hook shot from 3 ft,0,5
8,1,10:12.0,Turnover by B. Forbes (out of bounds lost ball),,0,5
9,1,9:56.0,,T. Hardaway makes 3-pt jump shot from 26 ft,0,8
10,1,9:34.0,L. Aldridge misses 2-pt jump shot from 13 ft,,0,8
11,1,9:32.0,,Defensive rebound by K. Porziņģis,0,8
12,1,9:23.0,,Turnover by L. Dončić (lost ball; steal by L. Aldridge),0,8
13,1,9:18.0,D. Murray makes 2-pt layup from 1 ft,,2,8
14,1,9:18.0,,Violation by Team (def goaltending),2,8
15,1,9:05.0,,L. Dončić misses 3-pt jump shot from 26 ft,2,8
16,1,9:02.0,Defensive rebound by T. Lyles,,2,8
17,1,8:51.0,D. DeRozan misses 2-pt jump shot from 14 ft,,2,8
18,1,8:49.0,,Defensive rebound by D. Powell,2,8
19,1,8:41.0,,Turnover by L. Dončić (bad pass; steal by D. DeRozan),2,8
20,1,8:36.0,T. Lyles makes 2-pt dunk at rim (assist by D. DeRozan),,4,8
21,1,8:24.0,,K. Porziņģis misses 3-pt jump shot from 28 ft,4,8
22,1,8:21.0,Defensive rebound by B. Forbes,,4,8
23,1,8:13.0,Shooting foul by T. Hardaway (drawn by D. DeRozan),,4,8
24,1,8:13.0,D. DeRozan makes free throw 1 of 2,,5,8
25,1,8:13.0,D. DeRozan misses free throw 2 of 2,,5,8
26,1,8:11.0,,Defensive rebound by D. Powell,5,8
27,1,8:03.0,,T. Hardaway misses 3-pt jump shot from 25 ft,5,8
28,1,8:01.0,,Offensive rebound by D. Finney-Smith,5,8
29,1,7:59.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,5,8
30,1,7:59.0,,Offensive rebound by L. Dončić,5,8
31,1,7:53.0,,L. Dončić makes 2-pt layup at rim,5,10
32,1,7:44.0,B. Forbes misses 3-pt jump shot from 25 ft,,5,10
33,1,7:42.0,,Defensive rebound by D. Finney-Smith,5,10
34,1,7:35.0,,Personal foul by D. Murray (drawn by L. Dončić),5,10
35,1,7:28.0,,T. Hardaway misses 2-pt jump shot from 5 ft,5,10
36,1,7:26.0,,Offensive rebound by K. Porziņģis,5,10
37,1,7:22.0,,D. Powell misses 3-pt jump shot from 23 ft,5,10
38,1,7:17.0,Defensive rebound by T. Lyles,,5,10
39,1,7:10.0,D. Murray misses 2-pt layup from 3 ft (block by K. Porziņģis),,5,10
40,1,7:08.0,,Defensive rebound by Team,5,10
41,1,7:00.0,,Turnover by L. Dončić (bad pass),5,10
42,1,6:45.0,Turnover by D. Murray (back court),,5,10
43,1,6:45.0,,Dallas full timeout,5,10
44,1,6:31.0,,L. Dončić misses 2-pt jump shot from 15 ft,5,10
45,1,6:28.0,Defensive rebound by T. Lyles,,5,10
46,1,6:17.0,L. Aldridge makes 2-pt layup from 2 ft,,7,10
47,1,6:05.0,,T. Hardaway makes 2-pt jump shot from 11 ft,7,12
48,1,5:45.0,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. Murray),,9,12
