,QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,,D. Gallinari misses 2-pt layup from 2 ft,0,0
1,1,11:38.0,,Offensive rebound by D. Gallinari,0,0
2,1,11:38.0,,D. Gallinari makes 2-pt layup at rim,0,2
3,1,11:18.0,W. Carter makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,2,2
4,1,11:01.0,,D. Gallinari misses 3-pt jump shot from 26 ft,2,2
5,1,11:00.0,Defensive rebound by T. Satoranský,,2,2
6,1,10:49.0,L. Markkanen misses 3-pt jump shot from 25 ft,,2,2
7,1,10:46.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
8,1,10:28.0,,Turnover by S. Adams (lost ball; steal by T. Satoranský),2,2
9,1,10:13.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by K. Dunn),,5,2
10,1,9:54.0,,Turnover by C. Paul (bad pass; steal by K. Dunn),5,2
11,1,9:50.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by K. Dunn),,7,2
12,1,9:28.0,,S. Adams misses 2-pt jump shot from 6 ft,7,2
13,1,9:25.0,Defensive rebound by W. Carter,,7,2
14,1,9:17.0,L. Markkanen misses 2-pt jump shot from 7 ft,,7,2
15,1,9:15.0,Offensive rebound by L. Markkanen,,7,2
16,1,9:15.0,L. Markkanen makes 2-pt dunk from 1 ft,,9,2
17,1,8:47.0,,S. Adams makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),9,4
18,1,8:32.0,W. Carter makes 2-pt jump shot from 11 ft (assist by T. Satoranský),,11,4
19,1,8:19.0,,T. Ferguson makes 3-pt jump shot from 24 ft (assist by C. Paul),11,7
20,1,8:04.0,T. Satoranský makes 2-pt jump shot from 13 ft (assist by K. Dunn),,13,7
21,1,7:52.0,,Shooting foul by Z. LaVine (drawn by S. Gilgeous-Alexander),13,7
22,1,7:52.0,,S. Gilgeous-Alexander misses free throw 1 of 2,13,7
23,1,7:52.0,,Offensive rebound by Team,13,7
24,1,7:52.0,,S. Gilgeous-Alexander makes free throw 2 of 2,13,8
25,1,7:30.0,Z. LaVine misses 3-pt jump shot from 31 ft,,13,8
26,1,7:26.0,,Defensive rebound by S. Adams,13,8
27,1,7:18.0,,Turnover by C. Paul (bad pass; steal by W. Carter),13,8
28,1,7:09.0,W. Carter misses 2-pt jump shot from 21 ft,,13,8
29,1,7:06.0,,Defensive rebound by C. Paul,13,8
30,1,7:03.0,,Turnover by S. Adams (out of bounds lost ball),13,8
31,1,6:47.0,Personal foul by T. Ferguson (drawn by Z. LaVine),,13,8
32,1,6:47.0,,Oklahoma City full timeout,13,8
33,1,6:47.0,T. Young enters the game for L. Markkanen,,13,8
34,1,6:41.0,K. Dunn makes 2-pt jump shot from 7 ft,,15,8
35,1,6:30.0,Loose ball foul by K. Dunn (drawn by C. Paul),,15,8
36,1,6:30.0,,N. Noel enters the game for S. Adams,15,8
37,1,6:18.0,,T. Ferguson misses 3-pt jump shot from 26 ft,15,8
38,1,6:14.0,Defensive rebound by W. Carter,,15,8
39,1,5:54.0,Shooting foul by T. Ferguson (drawn by T. Satoranský),,15,8
40,1,5:54.0,T. Satoranský makes free throw 1 of 2,,16,8
41,1,5:54.0,,A. Nader enters the game for T. Ferguson,16,8
42,1,5:54.0,,D. Schröder enters the game for C. Paul,16,8
43,1,5:54.0,T. Satoranský makes free throw 2 of 2,,17,8
44,1,5:41.0,,Turnover by D. Schröder (bad pass; steal by Z. LaVine),17,8
45,1,5:39.0,Z. LaVine makes 2-pt layup from 1 ft,,19,8
46,1,5:39.0,Shooting foul by D. Schröder (drawn by Z. LaVine),,19,8
47,1,5:39.0,C. White enters the game for T. Satoranský,,19,8
48,1,5:39.0,Z. LaVine makes free throw 1 of 1,,20,8
49,1,5:27.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by D. Schröder),20,11
50,1,5:14.0,Z. LaVine misses 3-pt jump shot from 28 ft,,20,11
51,1,5:11.0,,Defensive rebound by D. Gallinari,20,11
52,1,5:05.0,,D. Schröder makes 2-pt layup from 2 ft,20,13
53,1,5:00.0,Chicago full timeout,,20,13
54,1,5:00.0,L. Markkanen enters the game for W. Carter,,20,13
55,1,4:51.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by L. Markkanen),,22,13
56,1,4:38.0,,N. Noel misses 2-pt dunk from 1 ft,22,13
57,1,4:37.0,Defensive rebound by Z. LaVine,,22,13
58,1,4:30.0,Z. LaVine makes 3-pt jump shot from 26 ft,,25,13
59,1,4:15.0,,Turnover by D. Schröder (bad pass; steal by K. Dunn),25,13
60,1,4:10.0,C. White makes 2-pt layup from 1 ft (assist by Z. LaVine),,27,13
61,1,4:10.0,,Oklahoma City full timeout,27,13
62,1,4:10.0,,D. Bazley enters the game for D. Gallinari,27,13
63,1,3:56.0,,D. Schröder misses 3-pt jump shot from 24 ft,27,13
64,1,3:52.0,Defensive rebound by Z. LaVine,,27,13
65,1,3:43.0,L. Markkanen makes 2-pt dunk from 2 ft (assist by T. Young),,29,13
66,1,3:30.0,,Turnover by D. Bazley (lost ball; steal by K. Dunn),29,13
67,1,3:10.0,L. Markkanen makes 2-pt dunk from 1 ft,,31,13
68,1,2:48.0,,D. Bazley misses 3-pt jump shot from 23 ft,31,13
69,1,2:46.0,Defensive rebound by C. White,,31,13
70,1,2:36.0,T. Young misses 3-pt jump shot from 25 ft,,31,13
71,1,2:33.0,,Defensive rebound by A. Nader,31,13
72,1,2:19.0,,Offensive foul by D. Bazley (drawn by T. Young),31,13
73,1,2:19.0,,Turnover by D. Bazley (offensive foul),31,13
74,1,2:19.0,R. Arcidiacono enters the game for K. Dunn,,31,13
75,1,2:19.0,D. Valentine enters the game for Z. LaVine,,31,13
76,1,2:19.0,,C. Paul enters the game for S. Gilgeous-Alexander,31,13
77,1,2:05.0,T. Young makes 2-pt jump shot from 19 ft,,33,13
78,1,1:58.0,,Personal foul by D. Valentine (drawn by D. Schröder),33,13
79,1,1:52.0,,N. Noel misses 2-pt jump shot from 16 ft,33,13
80,1,1:50.0,Defensive rebound by L. Markkanen,,33,13
81,1,1:46.0,L. Markkanen misses 3-pt jump shot from 29 ft,,33,13
82,1,1:42.0,,Defensive rebound by Team,33,13
83,1,1:27.0,,A. Nader misses 3-pt jump shot from 24 ft,33,13
84,1,1:24.0,Defensive rebound by C. White,,33,13
85,1,1:09.0,T. Young misses 2-pt jump shot from 15 ft,,33,13
86,1,1:06.0,,Defensive rebound by D. Schröder,33,13
87,1,1:00.0,,Shooting foul by D. Valentine (drawn by N. Noel),33,13
88,1,1:00.0,,N. Noel makes free throw 1 of 2,33,14
89,1,1:00.0,,N. Noel misses free throw 2 of 2,33,14
90,1,0:58.0,Defensive rebound by T. Young,,33,14
91,1,0:46.0,C. White misses 3-pt jump shot from 23 ft,,33,14
92,1,0:44.0,,Defensive rebound by N. Noel,33,14
93,1,0:33.0,,Turnover by D. Bazley (bad pass; steal by L. Markkanen),33,14
94,1,0:28.0,R. Arcidiacono makes 2-pt layup from 3 ft (assist by C. White),,35,14
