,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:38.0,A. Bradley makes 2-pt layup from 1 ft (assist by L. James),,2,0
1,1,11:38.0,,Violation by Team (def goaltending),2,0
2,1,11:17.0,,Turnover by H. Whiteside (lost ball; steal by A. Davis),2,0
3,1,11:11.0,D. Green misses 3-pt jump shot from 26 ft,,2,0
4,1,11:07.0,Offensive rebound by A. Davis,,2,0
5,1,11:05.0,D. Green misses 3-pt jump shot from 24 ft,,2,0
6,1,11:05.0,,Defensive rebound by Team,2,0
7,1,10:56.0,,C. McCollum makes 2-pt jump shot from 5 ft (assist by D. Lillard),2,2
8,1,10:36.0,A. Bradley makes 2-pt jump shot from 7 ft (assist by A. Davis),,4,2
9,1,10:24.0,,S. Labissière misses 3-pt jump shot from 25 ft,4,2
10,1,10:22.0,Defensive rebound by L. James,,4,2
11,1,10:20.0,Clear path foul by S. Labissière,,4,2
12,1,10:20.0,Instant Replay (Request: Ruling Stands),,4,2
13,1,10:20.0,A. Davis makes clear path free throw 1 of 2,,5,2
14,1,10:20.0,A. Davis misses clear path free throw 2 of 2,,5,2
15,1,10:20.0,Offensive rebound by Team,,5,2
16,1,10:09.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,7,2
17,1,9:54.0,,C. Anthony misses 2-pt jump shot from 17 ft,7,2
18,1,9:52.0,Defensive rebound by A. Bradley,,7,2
19,1,9:47.0,A. Bradley misses 3-pt jump shot from 25 ft,,7,2
20,1,9:41.0,,Defensive rebound by S. Labissière,7,2
21,1,9:30.0,,D. Lillard makes 2-pt jump shot from 21 ft,7,4
22,1,9:23.0,Personal take foul by S. Labissière (drawn by L. James),,7,4
23,1,9:23.0,,K. Bazemore enters the game for S. Labissière,7,4
24,1,9:17.0,A. Bradley misses 2-pt jump shot from 18 ft,,7,4
25,1,9:15.0,,Defensive rebound by C. Anthony,7,4
26,1,9:10.0,,Shooting foul by J. McGee (drawn by D. Lillard),7,4
27,1,9:10.0,,D. Lillard makes free throw 1 of 2,7,5
28,1,9:10.0,,D. Lillard makes free throw 2 of 2,7,6
29,1,9:03.0,L. James makes 2-pt layup from 2 ft,,9,6
30,1,9:03.0,Shooting foul by K. Bazemore (drawn by L. James),,9,6
31,1,9:03.0,L. James makes free throw 1 of 1,,10,6
32,1,8:54.0,,D. Lillard makes 2-pt jump shot from 19 ft,10,8
33,1,8:38.0,Turnover by A. Davis (bad pass),,10,8
34,1,8:29.0,,C. Anthony makes 2-pt jump shot from 16 ft (assist by D. Lillard),10,10
35,1,8:11.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,12,10
36,1,7:57.0,,D. Lillard makes 3-pt jump shot from 25 ft,12,13
37,1,7:48.0,Turnover by A. Bradley (lost ball; steal by D. Lillard),,12,13
38,1,7:38.0,,D. Lillard misses 3-pt jump shot from 35 ft,12,13
39,1,7:36.0,Defensive rebound by J. McGee,,12,13
40,1,7:20.0,D. Green misses 3-pt jump shot from 23 ft,,12,13
41,1,7:18.0,,Defensive rebound by C. Anthony,12,13
42,1,7:08.0,,K. Bazemore misses 2-pt layup from 1 ft (block by J. McGee),12,13
43,1,7:04.0,Defensive rebound by J. McGee,,12,13
44,1,7:00.0,L. James misses 2-pt jump shot from 14 ft,,12,13
45,1,6:57.0,,Defensive rebound by H. Whiteside,12,13
46,1,6:52.0,,C. McCollum misses 3-pt jump shot from 25 ft,12,13
47,1,6:50.0,,Offensive rebound by H. Whiteside,12,13
48,1,6:50.0,,H. Whiteside makes 2-pt dunk from 1 ft,12,15
49,1,6:50.0,LA Lakers full timeout,,12,15
50,1,6:50.0,K. Caldwell-Pope enters the game for D. Green,,12,15
51,1,6:50.0,K. Kuzma enters the game for J. McGee,,12,15
52,1,6:36.0,L. James makes 3-pt jump shot from 23 ft (assist by K. Kuzma),,15,15
53,1,6:12.0,,Turnover by C. Anthony (traveling),15,15
54,1,6:00.0,A. Davis misses 2-pt jump shot from 4 ft,,15,15
55,1,5:58.0,,Defensive rebound by D. Lillard,15,15
56,1,5:54.0,,D. Lillard misses 3-pt jump shot from 28 ft,15,15
57,1,5:52.0,,Offensive rebound by C. Anthony,15,15
58,1,5:51.0,,C. Anthony makes 2-pt layup from 2 ft,15,17
59,1,5:34.0,K. Kuzma makes 2-pt hook shot from 3 ft,,17,17
60,1,5:31.0,,Technical foul by F. Vogel,17,17
61,1,5:31.0,,D. Lillard makes technical free throw,17,18
62,1,5:22.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),17,21
63,1,5:07.0,A. Bradley misses 3-pt jump shot from 23 ft,,17,21
64,1,5:04.0,,Defensive rebound by C. McCollum,17,21
65,1,5:00.0,,K. Bazemore misses 3-pt jump shot from 24 ft,17,21
66,1,4:57.0,Defensive rebound by A. Davis,,17,21
67,1,4:50.0,A. Davis makes 2-pt hook shot from 7 ft,,19,21
68,1,4:39.0,,Shooting foul by A. Bradley (drawn by D. Lillard),19,21
69,1,4:39.0,,D. Lillard makes free throw 1 of 2,19,22
70,1,4:39.0,A. Caruso enters the game for A. Bradley,,19,22
71,1,4:39.0,,D. Lillard makes free throw 2 of 2,19,23
72,1,4:25.0,L. James makes 2-pt layup from 1 ft (assist by A. Davis),,21,23
73,1,4:09.0,,C. McCollum misses 3-pt jump shot from 25 ft,21,23
74,1,4:07.0,Defensive rebound by L. James,,21,23
75,1,3:57.0,L. James makes 2-pt layup from 2 ft,,23,23
76,1,3:45.0,,C. Anthony misses 2-pt layup from 3 ft,23,23
77,1,3:44.0,Defensive rebound by A. Davis,,23,23
78,1,3:41.0,A. Caruso makes 2-pt layup from 1 ft (assist by A. Davis),,25,23
79,1,3:41.0,Shooting foul by K. Bazemore (drawn by A. Caruso),,25,23
80,1,3:41.0,,Portland full timeout,25,23
81,1,3:41.0,R. Rondo enters the game for L. James,,25,23
82,1,3:41.0,,N. Little enters the game for C. Anthony,25,23
83,1,3:41.0,,A. Simons enters the game for C. McCollum,25,23
84,1,3:41.0,A. Caruso misses free throw 1 of 1,,25,23
85,1,3:39.0,,Defensive rebound by H. Whiteside,25,23
86,1,3:23.0,,D. Lillard misses 3-pt jump shot from 25 ft,25,23
87,1,3:21.0,Defensive rebound by K. Kuzma,,25,23
88,1,3:14.0,Shooting foul by H. Whiteside (drawn by A. Davis),,25,23
89,1,3:14.0,A. Davis makes free throw 1 of 2,,26,23
90,1,3:14.0,,A. Tolliver enters the game for H. Whiteside,26,23
91,1,3:14.0,A. Davis makes free throw 2 of 2,,27,23
92,1,2:52.0,,D. Lillard misses 2-pt jump shot from 11 ft,27,23
