,QUARTER,TIME_REMAINING,ORLANDO_ACTION,HOUSTON_ACTION,ORLANDO_SCORE,HOUSTON_SCORE
0,1,11:37.0,Personal foul by R. Covington (drawn by J. Ennis),,0,0
1,1,11:23.0,W. Iwundu misses 2-pt jump shot from 7 ft,,0,0
2,1,11:20.0,Offensive rebound by W. Iwundu,,0,0
3,1,11:20.0,W. Iwundu makes 2-pt layup from 1 ft,,2,0
4,1,11:08.0,,R. Covington makes 2-pt layup from 2 ft (assist by R. Westbrook),2,2
5,1,11:08.0,Violation by Team (def goaltending),,2,2
6,1,10:57.0,M. Fultz misses 2-pt layup from 1 ft,,2,2
7,1,10:56.0,,Defensive rebound by P. Tucker,2,2
8,1,10:42.0,,R. Covington misses 3-pt jump shot from 26 ft,2,2
9,1,10:38.0,Defensive rebound by W. Iwundu,,2,2
10,1,10:22.0,Turnover by M. Fultz (lost ball; steal by R. Westbrook),,2,2
11,1,10:06.0,,P. Tucker makes 2-pt layup from 2 ft (assist by J. Harden),2,4
12,1,9:55.0,M. Fultz misses 2-pt jump shot from 14 ft,,2,4
13,1,9:52.0,Offensive rebound by Team,,2,4
14,1,9:49.0,N. Vučević makes 2-pt jump shot from 16 ft,,4,4
15,1,9:22.0,,R. Westbrook makes 3-pt jump shot from 23 ft (assist by J. Harden),4,7
16,1,9:03.0,W. Iwundu makes 2-pt jump shot from 18 ft,,6,7
17,1,8:54.0,,Turnover by R. Westbrook (bad pass),6,7
18,1,8:32.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,8,7
19,1,8:14.0,,Shooting foul by A. Gordon (drawn by R. Westbrook),8,7
20,1,8:14.0,,R. Westbrook makes free throw 1 of 2,8,8
21,1,8:14.0,,R. Westbrook makes free throw 2 of 2,8,9
22,1,7:57.0,N. Vučević misses 2-pt layup from 1 ft,,8,9
23,1,7:56.0,,Defensive rebound by P. Tucker,8,9
24,1,7:50.0,,R. Westbrook misses 2-pt jump shot from 16 ft,8,9
25,1,7:48.0,Defensive rebound by M. Fultz,,8,9
26,1,7:43.0,W. Iwundu makes 2-pt layup from 1 ft (assist by M. Fultz),,10,9
27,1,7:30.0,,J. Harden misses 3-pt jump shot from 23 ft,10,9
28,1,7:30.0,Defensive rebound by J. Ennis,,10,9
29,1,7:20.0,M. Fultz makes 2-pt layup from 1 ft,,12,9
30,1,7:09.0,,R. Covington misses 2-pt layup from 4 ft (block by N. Vučević),12,9
31,1,7:07.0,Defensive rebound by N. Vučević,,12,9
32,1,7:04.0,W. Iwundu makes 2-pt layup from 1 ft (assist by A. Gordon),,14,9
33,1,6:43.0,,P. Tucker makes 2-pt jump shot from 8 ft (assist by R. Westbrook),14,11
34,1,6:22.0,Turnover by J. Ennis (bad pass; steal by D. House),,14,11
35,1,6:14.0,,D. House misses 3-pt jump shot from 22 ft,14,11
36,1,6:11.0,Defensive rebound by A. Gordon,,14,11
37,1,6:07.0,A. Gordon misses 2-pt jump shot from 6 ft,,14,11
38,1,6:06.0,Offensive rebound by A. Gordon,,14,11
39,1,6:06.0,A. Gordon misses 2-pt layup from 1 ft,,14,11
40,1,6:05.0,Offensive rebound by A. Gordon,,14,11
41,1,6:05.0,A. Gordon misses 2-pt layup from 1 ft,,14,11
42,1,6:04.0,Offensive rebound by A. Gordon,,14,11
43,1,6:03.0,A. Gordon makes 2-pt layup from 1 ft,,16,11
44,1,5:50.0,,J. Harden misses 2-pt layup from 1 ft,16,11
45,1,5:48.0,Defensive rebound by N. Vučević,,16,11
46,1,5:44.0,J. Ennis misses 3-pt jump shot from 25 ft,,16,11
47,1,5:43.0,,Defensive rebound by Team,16,11
48,1,5:43.0,,Houston full timeout,16,11
49,1,5:43.0,M. Carter-Williams enters the game for J. Ennis,,16,11
50,1,5:43.0,T. Ross enters the game for W. Iwundu,,16,11
51,1,5:43.0,,J. Green enters the game for D. House,16,11
52,1,5:31.0,,J. Harden makes 3-pt jump shot from 27 ft,16,14
53,1,5:24.0,Turnover by A. Gordon (bad pass),,16,14
54,1,5:14.0,,Shooting foul by T. Ross (drawn by J. Harden),16,14
55,1,5:14.0,,J. Harden makes free throw 1 of 2,16,15
56,1,5:14.0,,A. Rivers enters the game for R. Westbrook,16,15
57,1,5:14.0,,J. Harden makes free throw 2 of 2,16,16
58,1,5:01.0,M. Carter-Williams misses 2-pt jump shot from 6 ft (block by R. Covington),,16,16
59,1,4:58.0,Offensive rebound by A. Gordon,,16,16
60,1,4:58.0,A. Gordon makes 2-pt layup from 1 ft,,18,16
61,1,4:49.0,,Offensive foul by J. Harden (drawn by M. Carter-Williams),18,16
62,1,4:49.0,,Turnover by J. Harden (offensive foul),18,16
63,1,4:35.0,T. Ross makes 3-pt jump shot from 26 ft (assist by N. Vučević),,21,16
64,1,4:12.0,,Shooting foul by M. Fultz (drawn by A. Rivers),21,16
65,1,4:12.0,,A. Rivers misses free throw 1 of 2,21,16
66,1,4:12.0,,Offensive rebound by Team,21,16
67,1,4:12.0,,D. Carroll enters the game for R. Covington,21,16
68,1,4:12.0,,A. Rivers misses free throw 2 of 2,21,16
69,1,4:12.0,Defensive rebound by N. Vučević,,21,16
70,1,3:56.0,T. Ross misses 3-pt jump shot from 25 ft,,21,16
71,1,3:51.0,,Defensive rebound by J. Green,21,16
72,1,3:41.0,,Turnover by J. Green (out of bounds lost ball),21,16
73,1,3:41.0,D. Augustin enters the game for M. Fultz,,21,16
74,1,3:27.0,D. Augustin makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),,24,16
75,1,3:04.0,,J. Harden misses 3-pt jump shot from 25 ft,24,16
76,1,3:02.0,Defensive rebound by M. Carter-Williams,,24,16
77,1,2:57.0,D. Augustin makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),,27,16
78,1,2:55.0,,Houston full timeout,27,16
79,1,2:55.0,M. Bamba enters the game for A. Gordon,,27,16
80,1,2:55.0,J. Ennis enters the game for N. Vučević,,27,16
81,1,2:55.0,,R. Westbrook enters the game for J. Harden,27,16
82,1,2:45.0,,Shooting foul by M. Carter-Williams (drawn by R. Westbrook),27,16
83,1,2:45.0,,R. Westbrook misses free throw 1 of 2,27,16
84,1,2:45.0,,Offensive rebound by Team,27,16
85,1,2:45.0,,D. House enters the game for P. Tucker,27,16
86,1,2:45.0,,R. Westbrook makes free throw 2 of 2,27,17
87,1,2:31.0,M. Bamba misses 3-pt jump shot from 25 ft,,27,17
88,1,2:28.0,,Defensive rebound by R. Westbrook,27,17
89,1,2:23.0,,R. Westbrook misses 2-pt layup from 2 ft,27,17
90,1,2:21.0,Defensive rebound by T. Ross,,27,17
91,1,2:16.0,M. Carter-Williams misses 2-pt jump shot from 15 ft,,27,17
92,1,2:13.0,Offensive rebound by M. Bamba,,27,17
93,1,2:12.0,M. Bamba misses 2-pt layup from 2 ft,,27,17
94,1,2:12.0,,Defensive rebound by Team,27,17
95,1,2:01.0,,Shooting foul by M. Bamba (drawn by J. Green),27,17
96,1,2:01.0,,J. Green misses free throw 1 of 2,27,17
97,1,2:01.0,,Offensive rebound by Team,27,17
98,1,2:01.0,,J. Green makes free throw 2 of 2,27,18
99,1,1:37.0,T. Ross makes 3-pt jump shot from 28 ft (assist by D. Augustin),,30,18
100,1,1:28.0,,Turnover by R. Westbrook (bad pass; steal by J. Ennis),30,18
101,1,1:27.0,Personal foul by D. House (drawn by J. Ennis),,30,18
102,1,1:14.0,Personal foul by D. Carroll (drawn by M. Carter-Williams),,30,18
103,1,1:14.0,M. Carter-Williams makes free throw 1 of 2,,31,18
104,1,1:14.0,M. Carter-Williams makes free throw 2 of 2,,32,18
105,1,1:07.0,,R. Westbrook makes 2-pt layup from 1 ft,32,20
106,1,0:50.0,T. Ross misses 2-pt jump shot from 17 ft,,32,20
107,1,0:49.0,,Defensive rebound by R. Westbrook,32,20
108,1,0:44.0,,R. Westbrook makes 2-pt layup from 1 ft,32,22
109,1,0:24.0,J. Ennis misses 2-pt jump shot from 20 ft,,32,22
110,1,0:22.0,Offensive rebound by M. Bamba,,32,22
111,1,0:21.0,M. Bamba makes 2-pt layup from 1 ft,,34,22
112,1,0:15.0,,J. Green makes 2-pt layup from 1 ft,34,24
113,1,0:01.0,D. Augustin misses 3-pt jump shot from 30 ft,,34,24
114,1,0:00.0,,Defensive rebound by Team,34,24
115,2,11:46.0,,Turnover by R. Westbrook (bad pass),34,24
116,2,11:27.0,M. Bamba makes 2-pt dunk from 1 ft (assist by A. Gordon),,36,24
117,2,11:13.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by D. House),36,27
118,2,10:49.0,M. Carter-Williams makes 2-pt layup from 1 ft,,38,27
119,2,10:39.0,,R. Westbrook makes 2-pt jump shot from 11 ft,38,29
120,2,10:24.0,D. Augustin makes 2-pt layup from 1 ft,,40,29
121,2,10:17.0,,D. House misses 2-pt layup from 2 ft,40,29
122,2,10:15.0,Defensive rebound by M. Bamba,,40,29
123,2,10:14.0,Personal take foul by R. Westbrook (drawn by A. Gordon),,40,29
124,2,10:14.0,,R. Covington enters the game for A. Rivers,40,29
125,2,10:00.0,T. Ross makes 2-pt jump shot from 16 ft (assist by A. Gordon),,42,29
126,2,9:46.0,,R. Covington misses 3-pt jump shot from 26 ft,42,29
127,2,9:43.0,,Offensive rebound by R. Westbrook,42,29
128,2,9:37.0,,R. Westbrook misses 3-pt jump shot from 24 ft,42,29
129,2,9:35.0,Defensive rebound by D. Augustin,,42,29
130,2,9:18.0,D. Augustin misses 2-pt hook shot from 9 ft,,42,29
131,2,9:17.0,Offensive rebound by Team,,42,29
132,2,9:17.0,,J. Harden enters the game for D. Carroll,42,29
133,2,9:15.0,Turnover by M. Carter-Williams (bad pass; steal by D. House),,42,29
134,2,9:12.0,,Turnover by R. Westbrook (lost ball; steal by M. Carter-Williams),42,29
135,2,9:05.0,D. Augustin makes 2-pt layup from 1 ft (assist by M. Bamba),,44,29
136,2,8:57.0,,R. Westbrook makes 2-pt layup from 1 ft,44,31
137,2,8:42.0,M. Carter-Williams misses 2-pt jump shot from 10 ft,,44,31
138,2,8:42.0,Offensive rebound by M. Bamba,,44,31
139,2,8:41.0,Shooting foul by R. Covington (drawn by M. Bamba),,44,31
140,2,8:41.0,M. Bamba misses free throw 1 of 2,,44,31
141,2,8:41.0,Offensive rebound by Team,,44,31
142,2,8:41.0,,P. Tucker enters the game for J. Green,44,31
143,2,8:41.0,M. Bamba makes free throw 2 of 2,,45,31
144,2,8:33.0,,Turnover by R. Covington (lost ball; steal by A. Gordon),45,31
145,2,8:18.0,A. Gordon misses 2-pt jump shot from 8 ft,,45,31
146,2,8:16.0,Offensive rebound by A. Gordon,,45,31
147,2,8:16.0,A. Gordon makes 2-pt layup from 1 ft,,47,31
148,2,8:03.0,,D. House misses 3-pt jump shot from 24 ft,47,31
149,2,8:03.0,Defensive rebound by M. Bamba,,47,31
150,2,7:53.0,M. Carter-Williams makes 3-pt jump shot from 26 ft (assist by D. Augustin),,50,31
151,2,7:51.0,,Houston full timeout,50,31
152,2,7:51.0,J. Ennis enters the game for M. Bamba,,50,31
153,2,7:51.0,M. Fultz enters the game for M. Carter-Williams,,50,31
154,2,7:51.0,N. Vučević enters the game for A. Gordon,,50,31
155,2,7:51.0,,A. Rivers enters the game for R. Westbrook,50,31
156,2,7:39.0,,R. Covington misses 2-pt jump shot from 6 ft,50,31
157,2,7:38.0,,Offensive rebound by Team,50,31
158,2,7:38.0,,Violation by Team (delay of game),50,31
159,2,7:31.0,,J. Harden misses 2-pt jump shot from 6 ft,50,31
160,2,7:29.0,,Offensive rebound by J. Harden,50,31
161,2,7:29.0,,J. Harden misses 2-pt layup at rim,50,31
162,2,7:29.0,Defensive rebound by N. Vučević,,50,31
163,2,7:15.0,T. Ross misses 2-pt jump shot from 19 ft (block by R. Covington),,50,31
164,2,7:11.0,,Defensive rebound by R. Covington,50,31
165,2,7:00.0,,Shooting foul by J. Ennis (drawn by J. Harden),50,31
166,2,7:00.0,,J. Harden misses free throw 1 of 2,50,31
167,2,7:00.0,,Offensive rebound by Team,50,31
168,2,7:00.0,,J. Harden misses free throw 2 of 2,50,31
169,2,7:00.0,Defensive rebound by N. Vučević,,50,31
170,2,6:52.0,Turnover by D. Augustin (out of bounds lost ball),,50,31
171,2,6:34.0,,J. Harden makes 3-pt jump shot from 27 ft,50,34
172,2,6:09.0,M. Fultz makes 2-pt jump shot from 17 ft,,52,34
173,2,5:54.0,,J. Harden makes 2-pt layup at rim,52,36
174,2,5:37.0,N. Vučević misses 2-pt hook shot from 4 ft,,52,36
175,2,5:35.0,,Defensive rebound by R. Covington,52,36
176,2,5:30.0,,D. House makes 3-pt jump shot from 23 ft (assist by R. Covington),52,39
177,2,5:29.0,Orlando full timeout,,52,39
178,2,5:29.0,A. Gordon enters the game for D. Augustin,,52,39
179,2,5:29.0,W. Iwundu enters the game for T. Ross,,52,39
180,2,5:12.0,A. Gordon misses 2-pt jump shot from 11 ft,,52,39
181,2,5:10.0,Offensive rebound by N. Vučević,,52,39
182,2,5:10.0,Shooting foul by D. House (drawn by N. Vučević),,52,39
183,2,5:10.0,N. Vučević makes free throw 1 of 2,,53,39
184,2,5:10.0,N. Vučević makes free throw 2 of 2,,54,39
185,2,4:44.0,,J. Harden misses 3-pt jump shot from 27 ft,54,39
186,2,4:42.0,Defensive rebound by A. Gordon,,54,39
187,2,4:36.0,N. Vučević misses 2-pt jump shot from 6 ft,,54,39
188,2,4:35.0,,Defensive rebound by J. Harden,54,39
189,2,4:26.0,,R. Covington misses 3-pt jump shot from 26 ft,54,39
190,2,4:24.0,Defensive rebound by A. Gordon,,54,39
191,2,4:17.0,M. Fultz misses 2-pt layup from 1 ft (block by R. Covington),,54,39
192,2,4:17.0,Offensive rebound by N. Vučević,,54,39
193,2,4:13.0,N. Vučević makes 2-pt layup from 1 ft,,56,39
194,2,3:56.0,,R. Covington makes 2-pt layup at rim (assist by J. Harden),56,41
195,2,3:40.0,M. Fultz makes 2-pt jump shot from 18 ft,,58,41
196,2,3:29.0,,R. Covington makes 2-pt layup from 1 ft (assist by A. Rivers),58,43
197,2,3:29.0,,Shooting foul by M. Fultz (drawn by R. Covington),58,43
198,2,3:29.0,,J. Green enters the game for D. House,58,43
199,2,3:29.0,,R. Westbrook enters the game for A. Rivers,58,43
200,2,3:29.0,,R. Covington makes free throw 1 of 1,58,44
201,2,3:15.0,N. Vučević makes 2-pt hook shot from 6 ft,,60,44
202,2,3:05.0,,Turnover by R. Westbrook (lost ball; steal by J. Ennis),60,44
203,2,3:01.0,W. Iwundu misses 3-pt jump shot from 23 ft,,60,44
204,2,2:59.0,,Defensive rebound by P. Tucker,60,44
205,2,2:48.0,,R. Westbrook misses 2-pt layup from 1 ft,60,44
206,2,2:47.0,,Offensive rebound by Team,60,44
207,2,2:47.0,T. Ross enters the game for W. Iwundu,,60,44
208,2,2:38.0,,J. Harden misses 2-pt jump shot from 6 ft,60,44
209,2,2:37.0,Defensive rebound by N. Vučević,,60,44
210,2,2:29.0,J. Ennis misses 3-pt jump shot from 24 ft,,60,44
211,2,2:24.0,,Defensive rebound by R. Covington,60,44
212,2,2:09.0,,Turnover by R. Covington (lost ball; steal by A. Gordon),60,44
213,2,2:03.0,A. Gordon misses 2-pt jump shot from 8 ft,,60,44
214,2,2:01.0,,Defensive rebound by R. Westbrook,60,44
215,2,1:44.0,,Shooting foul by J. Ennis (drawn by J. Harden),60,44
216,2,1:44.0,,J. Harden makes free throw 1 of 2,60,45
217,2,1:44.0,D. Augustin enters the game for M. Fultz,,60,45
218,2,1:44.0,,J. Harden makes free throw 2 of 2,60,46
219,2,1:35.0,T. Ross misses 3-pt jump shot from 25 ft,,60,46
220,2,1:33.0,,Defensive rebound by P. Tucker,60,46
221,2,1:28.0,,J. Harden misses 3-pt jump shot from 25 ft,60,46
222,2,1:24.0,Defensive rebound by J. Ennis,,60,46
223,2,1:18.0,A. Gordon misses 2-pt layup from 1 ft,,60,46
224,2,1:16.0,Offensive rebound by D. Augustin,,60,46
225,2,1:08.0,Personal foul by J. Green (drawn by D. Augustin),,60,46
226,2,0:53.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),,63,46
227,2,0:53.0,Shooting foul by J. Green (drawn by A. Gordon),,63,46
228,2,0:53.0,Technical foul by J. Green,,63,46
229,2,0:53.0,D. Augustin makes technical free throw,,64,46
230,2,0:53.0,M. Carter-Williams enters the game for J. Ennis,,64,46
231,2,0:53.0,A. Gordon makes free throw 1 of 1,,65,46
232,2,0:46.0,,Turnover by J. Harden (lost ball; steal by A. Gordon),65,46
233,2,0:39.0,T. Ross misses 3-pt jump shot from 23 ft,,65,46
234,2,0:37.0,Offensive rebound by N. Vučević,,65,46
235,2,0:37.0,Shooting foul by P. Tucker (drawn by N. Vučević),,65,46
236,2,0:37.0,N. Vučević makes free throw 1 of 2,,66,46
237,2,0:37.0,N. Vučević makes free throw 2 of 2,,67,46
238,2,0:29.0,,R. Westbrook misses 2-pt layup from 4 ft (block by A. Gordon),67,46
239,2,0:29.0,,Offensive rebound by Team,67,46
240,2,0:24.0,,J. Harden misses 3-pt jump shot from 25 ft,67,46
241,2,0:21.0,,Offensive rebound by R. Covington,67,46
242,2,0:20.0,,Turnover by R. Covington (bad pass; steal by D. Augustin),67,46
243,2,0:18.0,M. Carter-Williams makes 2-pt dunk at rim (assist by D. Augustin),,69,46
244,2,0:03.0,,Offensive foul by R. Covington (drawn by M. Carter-Williams),69,46
245,2,0:03.0,,Turnover by R. Covington (offensive foul),69,46
246,2,0:03.0,Technical foul by R. Covington,,69,46
247,2,0:03.0,D. Augustin makes technical free throw,,70,46
248,2,0:03.0,Technical foul by M. D'Antoni,,70,46
249,2,0:03.0,D. Augustin makes technical free throw,,71,46
250,2,0:00.0,N. Vučević misses 2-pt jump shot from 18 ft,,71,46
251,2,0:00.0,Offensive rebound by Team,,71,46
252,3,11:44.0,,R. Westbrook misses 2-pt layup from 2 ft,71,46
253,3,11:41.0,,Offensive rebound by R. Westbrook,71,46
254,3,11:41.0,,R. Westbrook misses 2-pt layup from 1 ft,71,46
255,3,11:40.0,Defensive rebound by N. Vučević,,71,46
256,3,11:27.0,J. Ennis makes 3-pt jump shot from 27 ft (assist by M. Fultz),,74,46
257,3,11:12.0,,Turnover by J. Harden (bad pass),74,46
258,3,10:56.0,N. Vučević makes 2-pt hook shot from 6 ft,,76,46
259,3,10:47.0,,Personal foul by J. Ennis (drawn by J. Harden),76,46
260,3,10:33.0,,P. Tucker misses 3-pt jump shot from 23 ft,76,46
261,3,10:28.0,Defensive rebound by W. Iwundu,,76,46
262,3,10:24.0,W. Iwundu misses 2-pt layup from 1 ft,,76,46
263,3,10:21.0,,Defensive rebound by J. Harden,76,46
264,3,10:09.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by R. Covington),76,48
265,3,9:54.0,Turnover by J. Ennis (lost ball; steal by P. Tucker),,76,48
266,3,9:47.0,,D. House makes 2-pt layup at rim,76,50
267,3,9:47.0,,Shooting foul by J. Ennis (drawn by D. House),76,50
268,3,9:47.0,M. Carter-Williams enters the game for J. Ennis,,76,50
269,3,9:47.0,,D. House makes free throw 1 of 1,76,51
