,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:48.0,M. Chriss makes 2-pt dunk at rim (assist by M. Mulder),,2,0
1,1,11:29.0,,J. Murray misses 3-pt jump shot from 24 ft,2,0
2,1,11:27.0,,Offensive rebound by P. Millsap,2,0
3,1,11:27.0,,Shooting foul by J. Toscano-Anderson (drawn by P. Millsap),2,0
4,1,11:27.0,,P. Millsap misses free throw 1 of 2,2,0
5,1,11:27.0,,Offensive rebound by Team,2,0
6,1,11:27.0,,P. Millsap misses free throw 2 of 2,2,0
7,1,11:25.0,Defensive rebound by M. Chriss,,2,0
8,1,11:12.0,M. Mulder makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,5,0
9,1,10:52.0,,G. Harris misses 2-pt layup from 2 ft,5,0
10,1,10:50.0,Defensive rebound by M. Chriss,,5,0
11,1,10:40.0,Turnover by J. Toscano-Anderson (bad pass; steal by G. Harris),,5,0
12,1,10:31.0,,Turnover by N. Jokić (bad pass; steal by D. Lee),5,0
13,1,10:25.0,D. Lee makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,8,0
14,1,10:05.0,,Shooting foul by M. Chriss (drawn by N. Jokić),8,0
15,1,10:05.0,,N. Jokić makes free throw 1 of 2,8,1
16,1,10:05.0,,N. Jokić makes free throw 2 of 2,8,2
17,1,9:50.0,A. Wiggins misses 2-pt hook shot from 10 ft,,8,2
18,1,9:47.0,,Defensive rebound by N. Jokić,8,2
19,1,9:46.0,,Personal foul by A. Wiggins (drawn by N. Jokić),8,2
20,1,9:34.0,,N. Jokić misses 2-pt jump shot from 5 ft,8,2
21,1,9:33.0,Defensive rebound by J. Toscano-Anderson,,8,2
22,1,9:24.0,Shooting foul by J. Murray (drawn by A. Wiggins),,8,2
23,1,9:24.0,A. Wiggins misses free throw 1 of 2,,8,2
24,1,9:24.0,Offensive rebound by Team,,8,2
25,1,9:24.0,A. Wiggins makes free throw 2 of 2,,9,2
26,1,9:09.0,,W. Barton misses 3-pt jump shot from 25 ft,9,2
27,1,9:05.0,Defensive rebound by J. Toscano-Anderson,,9,2
28,1,9:00.0,D. Lee misses 3-pt jump shot from 26 ft,,9,2
29,1,8:56.0,,Defensive rebound by N. Jokić,9,2
30,1,8:49.0,,P. Millsap misses 2-pt layup from 2 ft (block by J. Toscano-Anderson),9,2
31,1,8:47.0,,Offensive rebound by P. Millsap,9,2
32,1,8:40.0,,N. Jokić misses 2-pt jump shot from 10 ft,9,2
33,1,8:38.0,,Offensive rebound by N. Jokić,9,2
34,1,8:36.0,,N. Jokić misses 2-pt layup from 1 ft,9,2
35,1,8:35.0,Defensive rebound by D. Lee,,9,2
36,1,8:35.0,Personal foul by P. Millsap (drawn by D. Lee),,9,2
37,1,8:16.0,M. Mulder misses 3-pt jump shot from 24 ft,,9,2
38,1,8:11.0,,Defensive rebound by N. Jokić,9,2
39,1,8:04.0,,J. Murray misses 2-pt jump shot from 12 ft,9,2
40,1,8:02.0,,Offensive rebound by N. Jokić,9,2
41,1,8:02.0,,N. Jokić makes 2-pt layup from 4 ft,9,4
42,1,8:02.0,Violation by Team (def goaltending),,9,4
43,1,7:47.0,A. Wiggins misses 2-pt jump shot from 11 ft,,9,4
44,1,7:43.0,,Defensive rebound by W. Barton,9,4
45,1,7:36.0,,W. Barton misses 3-pt jump shot from 25 ft,9,4
46,1,7:31.0,Defensive rebound by J. Toscano-Anderson,,9,4
47,1,7:16.0,M. Chriss misses 2-pt dunk from 2 ft (block by N. Jokić),,9,4
48,1,7:14.0,,Defensive rebound by N. Jokić,9,4
49,1,7:09.0,,W. Barton misses 3-pt jump shot from 25 ft,9,4
50,1,7:06.0,,Offensive rebound by N. Jokić,9,4
51,1,6:54.0,,N. Jokić makes 2-pt layup from 3 ft (assist by G. Harris),9,6
52,1,6:40.0,,Denver full timeout,9,6
53,1,6:29.0,J. Toscano-Anderson makes 3-pt jump shot from 25 ft (assist by D. Lee),,12,6
54,1,6:07.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),12,8
55,1,5:51.0,M. Mulder makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,15,8
56,1,5:38.0,,Turnover by G. Harris (traveling),15,8
57,1,5:38.0,,M. Morris enters the game for J. Murray,15,8
58,1,5:25.0,Turnover by A. Wiggins (traveling),,15,8
59,1,5:25.0,,J. Grant enters the game for P. Millsap,15,8
60,1,5:18.0,,Personal foul by D. Lee (drawn by G. Harris),15,8
61,1,5:18.0,E. Paschall enters the game for J. Toscano-Anderson,,15,8
62,1,5:18.0,J. Poole enters the game for A. Wiggins,,15,8
63,1,5:13.0,,N. Jokić misses 2-pt jump shot from 8 ft,15,8
64,1,5:10.0,Defensive rebound by J. Poole,,15,8
65,1,5:04.0,Offensive foul by M. Mulder (drawn by G. Harris),,15,8
66,1,5:04.0,Turnover by M. Mulder (offensive foul),,15,8
67,1,5:04.0,D. Bender enters the game for M. Chriss,,15,8
68,1,4:49.0,,N. Jokić misses 2-pt jump shot from 5 ft,15,8
69,1,4:46.0,,Offensive rebound by J. Grant,15,8
70,1,4:44.0,,W. Barton makes 2-pt jump shot from 10 ft (assist by J. Grant),15,10
71,1,4:44.0,,Shooting foul by M. Mulder (drawn by W. Barton),15,10
72,1,4:44.0,,W. Barton makes free throw 1 of 1,15,11
73,1,4:32.0,Personal foul by M. Morris (drawn by J. Poole),,15,11
74,1,4:32.0,C. Randle enters the game for M. Mulder,,15,11
75,1,4:23.0,Turnover by D. Bender (traveling),,15,11
76,1,4:18.0,,Turnover by W. Barton (bad pass; steal by J. Poole),15,11
77,1,4:17.0,Personal take foul by N. Jokić (drawn by J. Poole),,15,11
78,1,4:17.0,,M. Porter enters the game for W. Barton,15,11
79,1,4:17.0,Golden State full timeout,,15,11
80,1,4:01.0,D. Bender makes 2-pt layup from 1 ft (assist by J. Poole),,17,11
81,1,3:40.0,,N. Jokić makes 2-pt jump shot from 6 ft,17,13
82,1,3:25.0,E. Paschall misses 3-pt jump shot from 25 ft,,17,13
83,1,3:22.0,,Defensive rebound by N. Jokić,17,13
84,1,3:14.0,,G. Harris makes 2-pt jump shot from 19 ft (assist by N. Jokić),17,15
85,1,2:57.0,D. Bender makes 3-pt jump shot from 24 ft (assist by D. Lee),,20,15
86,1,2:43.0,,M. Porter makes 3-pt jump shot from 25 ft (assist by M. Morris),20,18
87,1,2:23.0,Personal foul by G. Harris (drawn by E. Paschall),,20,18
88,1,2:23.0,E. Paschall makes free throw 1 of 2,,21,18
89,1,2:23.0,A. Wiggins enters the game for D. Lee,,21,18
90,1,2:23.0,,J. Murray enters the game for G. Harris,21,18
91,1,2:23.0,,M. Plumlee enters the game for N. Jokić,21,18
92,1,2:23.0,E. Paschall makes free throw 2 of 2,,22,18
93,1,2:08.0,,Shooting foul by D. Bender (drawn by J. Murray),22,18
94,1,2:08.0,,J. Murray makes free throw 1 of 2,22,19
