,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BROOKLYN_ACTION,PHOENIX_SCORE,BROOKLYN_SCORE
0,1,11:42.0,,C. LeVert misses 2-pt layup from 4 ft,0,0
1,1,11:40.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,Turnover by J. Harris (lost ball; steal by M. Bridges),0,0
3,1,11:33.0,M. Bridges misses 2-pt layup from 7 ft,,0,0
4,1,11:26.0,Offensive rebound by D. Ayton,,0,0
5,1,11:26.0,D. Ayton makes 2-pt dunk from 1 ft,,2,0
6,1,11:20.0,,Shooting foul by D. Booker (drawn by T. Prince),2,0
7,1,11:20.0,,T. Prince makes free throw 1 of 2,2,1
8,1,11:20.0,,T. Prince makes free throw 2 of 2,2,2
9,1,11:07.0,D. Ayton makes 2-pt jump shot from 13 ft (assist by M. Bridges),,4,2
10,1,10:56.0,,Offensive foul by J. Allen (drawn by K. Oubre),4,2
11,1,10:56.0,,Turnover by J. Allen (offensive foul),4,2
12,1,10:38.0,K. Oubre misses 2-pt layup from 6 ft (block by J. Allen),,4,2
13,1,10:36.0,Offensive rebound by D. Ayton,,4,2
14,1,10:36.0,D. Ayton misses 2-pt layup from 4 ft (block by J. Allen),,4,2
15,1,10:36.0,Offensive rebound by Team,,4,2
16,1,10:34.0,K. Oubre misses 2-pt jump shot from 17 ft,,4,2
17,1,10:30.0,,Defensive rebound by J. Allen,4,2
18,1,10:25.0,,S. Dinwiddie makes 2-pt layup from 5 ft,4,4
19,1,10:13.0,Shooting foul by T. Prince (drawn by K. Oubre),,4,4
20,1,10:13.0,K. Oubre misses free throw 1 of 2,,4,4
21,1,10:13.0,Offensive rebound by Team,,4,4
22,1,10:13.0,K. Oubre makes free throw 2 of 2,,5,4
23,1,9:55.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by J. Allen),5,7
24,1,9:44.0,D. Ayton makes 2-pt jump shot from 16 ft (assist by K. Oubre),,7,7
25,1,9:28.0,,T. Prince makes 2-pt layup from 4 ft (assist by J. Harris),7,9
26,1,9:15.0,M. Bridges makes 2-pt jump shot from 21 ft (assist by D. Ayton),,9,9
27,1,9:02.0,,S. Dinwiddie misses 2-pt layup from 4 ft (block by M. Bridges),9,9
28,1,8:58.0,Defensive rebound by M. Bridges,,9,9
29,1,8:55.0,D. Booker misses 3-pt jump shot from 26 ft,,9,9
30,1,8:52.0,Offensive rebound by D. Ayton,,9,9
31,1,8:51.0,D. Ayton misses 2-pt jump shot from 17 ft,,9,9
32,1,8:48.0,,Defensive rebound by J. Harris,9,9
33,1,8:40.0,,J. Harris misses 3-pt jump shot from 24 ft,9,9
34,1,8:36.0,Defensive rebound by D. Booker,,9,9
35,1,8:28.0,D. Ayton makes 2-pt dunk from 3 ft (assist by D. Booker),,11,9
36,1,8:06.0,,Offensive foul by C. LeVert (drawn by R. Rubio),11,9
37,1,8:06.0,,Turnover by C. LeVert (offensive foul),11,9
38,1,7:58.0,Turnover by R. Rubio (bad pass),,11,9
39,1,7:47.0,,C. LeVert misses 3-pt jump shot from 25 ft,11,9
